股票名称,股票涨跌幅1,股票涨跌幅2,股票涨跌幅3,股票涨跌幅4,股票涨跌幅5,股票涨跌幅6,股票涨跌幅7,股票涨跌幅8,总涨跌幅,
万兴科技_1300624.csv,-0.8746,-3.0217,-0.4573,-0.3331,-1.5703,-1.0417,-1.1145,-1.1352,-9.548399999999999,
东晶电子_1002199.csv,-0.3231,-3.2813,-0.6211,-1.8293,-0.2281,-3.4508,-0.2928,-1.3718,-11.3983,
中大力德_1002896.csv,-0.7212,-3.3636,-0.9604,-1.1276,-0.59,-0.0295,-0.9349,-0.0584,-7.785599999999999,
信捷电气_0603416.csv,-2.1461,-2.5321,-0.5111,-0.6889,-0.9695,-1.5205,-1.2914,-0.0349,-9.6945,
克明面业_1002661.csv,-1.2303,-3.8765,-0.0657,-0.3272,-0.3262,-3.1586,-1.799,-0.861,-11.6445,
华谊B股_0900909.csv,-0.1063,-1.569,-0.3128,-0.4154,-0.9259,-0.3077,-0.4086,-0.2039,-4.2496,
卧龙地产_0600173.csv,-1.4644,-6.4579,-0.7767,-0.3868,-2.6365,-1.8484,-0.3683,0.0,-13.938999999999998,
吉林化纤_1000420.csv,-1.5748,-5.2239,0.0,-1.8315,-1.7986,-1.0676,-1.0563,0.0,-12.552700000000002,
同方股份_0600100.csv,-0.2901,-10.0087,-4.0902,-2.6016,-2.7668,-0.7843,-1.1628,-1.2251,-22.9296,
奥瑞金_1002701.csv,-2.7881,-1.2844,-1.0889,0.0,-4.007,-0.5199,-3.5117,-0.9934,-14.193399999999997,
应流股份_0603308.csv,-1.8429,-4.537,-1.0082,-1.3562,-0.5396,-0.8029,-1.0591,-0.3518,-11.497699999999998,
方正科技_0600601.csv,-0.5479,-3.4392,0.0,-0.5263,-1.5544,-0.5155,-0.5128,0.0,-7.096100000000001,
株冶集团_0600961.csv,-0.2252,-6.9182,-3.5389,-1.592,-2.8046,-1.8044,0.0,-3.6597,-20.543000000000003,
江苏银行_0600919.csv,-1.1252,-1.5235,-0.2762,-0.2755,-2.0243,-0.1348,-0.9346,0.0,-6.2941,
海利得_1002206.csv,-1.7738,-3.838,-0.2128,-2.8926,-2.4194,-0.2012,-0.7984,0.0,-12.136199999999999,
海欣B股_0900917.csv,-0.4167,-2.2403,-0.2033,-0.2028,-0.404,-0.2016,-1.3917,0.0,-5.0604,
湖北能源_1000883.csv,-2.3981,-3.9171,0.0,-1.3636,-0.2268,-0.4515,-0.8949,0.0,-9.251999999999999,
福能股份_0600483.csv,-5.5324,-1.2371,-0.103,-1.1202,-1.7017,-0.2994,-1.5717,-0.7797,-12.3452,
读者传媒_0603999.csv,-0.9554,-4.7041,-0.1515,-1.9316,-3.1655,-0.9972,-1.2658,-3.7889,-16.96,
锦旅B股_0900929.csv,-0.0536,-1.9958,-0.7299,0.0,-0.0521,-0.4668,-0.1554,-0.1551,-3.6087000000000002,
际华集团_0601718.csv,-1.1905,-6.6667,-1.9608,-4.5738,-0.4141,-0.2066,-0.8197,-0.611,-16.443199999999997,
青岛银行_1002948.csv,-3.385,-2.3416,0.0,-0.955,-1.6107,0.0,-0.9309,-0.9223,-10.145499999999998,
