日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'603712,七一二,21.22,21.57,20.8,21.16,21.23,-0.01,-0.0471,2.4601,9014539,191339719.0,16381840000.0,7775788896.0
2019-04-25,'603712,七一二,21.23,23.0,21.23,22.47,22.0,-0.77,-3.5,5.5054,20173703,449001978.0,16389560000.0,7779453264.0
2019-04-24,'603712,七一二,22.0,22.2,21.35,21.68,21.75,0.25,1.1494,4.7863,17538909,383424816.0,16984000000.0,8061609600.0
2019-04-23,'603712,七一二,21.75,21.77,20.21,20.63,20.8,0.95,4.5673,5.4485,19965182,423896972.0,16791000000.0,7970000400.0
2019-04-22,'603712,七一二,20.8,21.62,20.8,21.55,21.32,-0.52,-2.439,2.6248,9618361,203708334.0,16057600000.0,7621885440.0
2019-04-19,'603712,七一二,21.32,21.42,20.66,20.8,20.79,0.53,2.5493,2.9631,10857888,228643314.0,16459040000.0,7812432576.0
2019-04-18,'603712,七一二,20.79,21.46,20.75,21.35,21.34,-0.55,-2.5773,3.1586,11574204,242852428.0,16049880000.0,7618221072.0
2019-04-17,'603712,七一二,21.34,22.24,21.2,21.82,22.04,-0.7,-3.176,4.3198,15829405,343099915.0,16474480000.0,7819761312.0
2019-04-16,'603712,七一二,22.04,22.28,21.31,21.43,21.78,0.26,1.1938,5.3535,19617011,430179671.0,17014880000.0,8076267072.0
2019-04-15,'603712,七一二,21.78,21.97,20.9,21.3,20.9,0.88,4.2105,5.0361,18454287,396005009.0,16814160000.0,7980993504.0
2019-04-12,'603712,七一二,20.9,21.41,20.65,21.0,20.92,-0.02,-0.0956,2.8124,10305568,217049980.0,16134800000.0,7658529120.0
2019-04-11,'603712,七一二,20.92,21.65,20.83,21.55,21.45,-0.53,-2.4709,3.7729,13825282,293170479.0,16150240000.0,7665857856.0
2019-04-10,'603712,七一二,21.45,22.29,21.33,22.29,22.32,-0.87,-3.8978,5.7833,21192030,458003596.0,16559400000.0,7860069360.0
2019-04-09,'603712,七一二,22.32,23.5,22.02,22.08,22.54,-0.22,-0.976,8.7755,32156540,734863866.0,17231040000.0,8178869376.0
2019-04-08,'603712,七一二,22.54,22.95,21.42,21.88,21.89,0.65,2.9694,10.1556,37213995,835310441.0,17400880000.0,8259485472.0
2019-04-04,'603712,七一二,21.89,22.93,20.98,21.66,21.66,0.23,1.0619,9.5103,34849209,756119500.0,16899080000.0,8021301552.0
2019-04-03,'603712,七一二,21.66,22.5,21.21,21.5,20.96,0.7,3.3397,13.3633,48968103,1064452482.0,16721520000.0,7937021088.0
2019-04-02,'603712,七一二,20.96,20.96,19.0,19.3,19.05,1.91,10.0262,8.4645,31017147,621218832.0,16181120000.0,7680515328.0
2019-04-01,'603712,七一二,19.05,19.22,18.58,18.61,18.54,0.51,2.7508,3.9357,14422034,273606005.0,14706600000.0,6980621040.0
2019-03-29,'603712,七一二,18.54,18.54,17.91,18.18,18.16,0.38,2.0925,2.2651,8300131,152180739.0,14312880000.0,6793738272.0
2019-03-28,'603712,七一二,18.16,18.59,18.0,18.19,18.16,0.0,0.0,1.8212,6673553,122218931.0,14019520000.0,6654492288.0
2019-03-27,'603712,七一二,18.16,18.59,17.87,18.4,18.42,-0.26,-1.4115,2.3057,8448791,153255812.0,14019520000.0,6654492288.0
2019-03-26,'603712,七一二,18.42,19.57,18.38,19.57,19.59,-1.17,-5.9724,4.5713,16750749,316468279.0,14220240000.0,6749765856.0
2019-03-25,'603712,七一二,19.59,19.97,18.72,18.9,18.98,0.61,3.2139,7.3056,26770459,521405267.0,15123480000.0,7178496912.0
2019-03-22,'603712,七一二,18.98,19.43,18.23,18.78,18.61,0.37,1.9882,3.4168,12520245,236223909.0,14652560000.0,6954970464.0
2019-03-21,'603712,七一二,18.61,18.88,18.43,18.45,18.59,0.02,0.1076,2.2286,8166265,152637445.0,14366920000.0,6819388848.0
2019-03-20,'603712,七一二,18.59,18.98,18.12,18.98,18.91,-0.32,-1.6922,2.4378,8933050,165716963.0,14351480000.0,6812060112.0
2019-03-19,'603712,七一二,18.91,18.98,18.5,18.59,18.58,0.33,1.7761,2.3502,8611935,161655226.0,14598520000.0,6929319888.0
2019-03-18,'603712,七一二,18.58,18.58,18.02,18.28,18.22,0.36,1.9759,1.7452,6395121,117351910.0,14343760000.0,6808395744.0
2019-03-15,'603712,七一二,18.22,18.48,17.88,18.25,18.11,0.11,0.6074,1.7612,6453688,117704503.0,14065840000.0,6676478496.0
2019-03-14,'603712,七一二,18.11,18.7,17.78,18.6,18.84,-0.73,-3.8747,2.7284,9997983,182172579.0,13980920000.0,6636170448.0
2019-03-13,'603712,七一二,18.84,19.97,18.66,19.8,19.53,-0.69,-3.533,4.4283,16227043,315214954.0,14544480000.0,6903669312.0
2019-03-12,'603712,七一二,19.53,19.8,19.0,19.4,18.78,0.75,3.9936,5.6114,20562221,397515346.0,15077160000.0,7156510704.0
2019-03-11,'603712,七一二,18.78,18.8,18.12,18.12,18.08,0.7,3.8717,2.9774,10910109,202417409.0,14498160000.0,6881683104.0
