日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002082,万邦德,10.0,10.28,9.95,10.18,10.12,-0.12,-1.1858,1.1134,2649777,26699680.49,2380000000.0,2380000000.0
2019-04-25,'002082,万邦德,10.12,10.91,10.03,10.88,10.83,-0.71,-6.5559,1.7345,4128127,43240505.3,2408560000.0,2408560000.0
2019-04-24,'002082,万邦德,10.83,10.86,10.6,10.71,10.65,0.18,1.6901,1.2795,3045304,32750785.1,2577540000.0,2577540000.0
2019-04-23,'002082,万邦德,10.65,11.24,10.6,11.16,11.13,-0.48,-4.3127,2.3026,5480266,59147986.9,2534700000.0,2534700000.0
2019-04-22,'002082,万邦德,11.13,11.39,11.08,11.28,11.16,-0.03,-0.2688,1.7271,4110601,46267407.02,2648940000.0,2648940000.0
2019-04-19,'002082,万邦德,11.16,11.28,11.02,11.05,11.31,-0.15,-1.3263,2.0913,4977400,55501182.11,2656080000.0,2656080000.0
2019-04-18,'002082,万邦德,11.31,12.17,11.11,12.15,12.15,-0.84,-6.9136,5.2474,12488792,142741048.86,2691780000.0,2691780000.0
2019-04-17,'002082,万邦德,12.15,12.22,11.55,11.89,11.9,0.25,2.1008,3.0722,7311828,86407205.02,2891700000.0,2891700000.0
2019-04-16,'002082,万邦德,11.9,12.1,11.73,11.8,11.77,0.13,1.1045,2.5672,6109855,72628245.77,2832200000.0,2832200000.0
2019-04-15,'002082,万邦德,11.77,12.6,11.75,12.5,12.2,-0.43,-3.5246,3.3639,8006200,96286598.73,2801260000.0,2801260000.0
2019-04-12,'002082,万邦德,12.2,12.38,11.36,11.45,11.5,0.7,6.087,4.794,11409696,136516043.97,2903600000.0,2903600000.0
2019-04-11,'002082,万邦德,11.5,11.67,11.03,11.14,11.06,0.44,3.9783,3.9392,9375263,107301853.54,2737000000.0,2737000000.0
2019-04-10,'002082,万邦德,11.06,11.25,10.94,11.14,11.14,-0.08,-0.7181,2.1449,5104797,56531887.92,2632280000.0,2632280000.0
2019-04-09,'002082,万邦德,11.14,11.3,10.97,11.09,11.13,0.01,0.0898,2.133,5076642,56619847.33,2651320000.0,2651320000.0
2019-04-08,'002082,万邦德,11.13,11.74,11.04,11.6,11.6,-0.47,-4.0517,4.0687,9683570,109641246.36,2648940000.0,2648940000.0
2019-04-04,'002082,万邦德,11.6,11.77,11.06,11.3,11.33,0.27,2.3831,4.7462,11295884,129561300.36,2760800000.0,2760800000.0
2019-04-03,'002082,万邦德,11.33,11.48,10.67,10.91,10.98,0.35,3.1876,4.7426,11287397,126197432.5,2696540000.0,2696540000.0
2019-04-02,'002082,万邦德,10.98,11.77,10.83,11.17,11.0,-0.02,-0.1818,9.0148,21455281,243507242.59,2613240000.0,2613240000.0
2019-04-01,'002082,万邦德,11.0,11.0,10.11,10.11,10.0,1.0,10.0,7.4007,17613660,187699924.95,2618000000.0,2618000000.0
2019-03-29,'002082,万邦德,10.0,10.15,9.7,10.02,9.98,0.02,0.2004,3.5859,8534551,84931240.95,2380000000.0,2380000000.0
2019-03-28,'002082,万邦德,9.98,10.43,9.95,10.14,10.59,-0.61,-5.7602,5.5717,13260658,135371630.13,2375240000.0,2375240000.0
2019-03-27,'002082,万邦德,10.59,10.9,9.65,9.9,10.14,0.45,4.4379,11.4371,27220276,278154720.71,2520420000.0,2520420000.0
2019-03-26,'002082,万邦德,10.14,10.14,9.17,9.27,9.22,0.92,9.9783,10.0578,23937678,239402469.89,2413320000.0,2413320000.0
2019-03-25,'002082,万邦德,9.22,9.33,9.14,9.22,9.36,-0.14,-1.4957,1.2518,2979236,27533433.88,2194360000.0,2194360000.0
2019-03-22,'002082,万邦德,9.36,9.36,9.13,9.32,9.36,0.0,0.0,1.5575,3706757,34254442.07,2227680000.0,2227680000.0
2019-03-21,'002082,万邦德,9.36,9.45,9.25,9.38,9.26,0.1,1.0799,2.4629,5861699,54806386.27,2227680000.0,2227680000.0
2019-03-20,'002082,万邦德,9.26,9.32,8.96,9.23,9.2,0.06,0.6522,1.7125,4075710,37345906.44,2203880000.0,2203880000.0
2019-03-19,'002082,万邦德,9.2,9.58,9.14,9.29,9.28,-0.08,-0.8621,1.3991,3329800,30983190.99,2189600000.0,2189600000.0
2019-03-18,'002082,万邦德,9.28,9.37,8.97,9.05,9.02,0.26,2.8825,1.8019,4288481,39456549.75,2208640000.0,2208640000.0
2019-03-15,'002082,万邦德,9.02,9.11,8.92,8.97,8.93,0.09,1.0078,1.34,3189240,28754109.49,2146760000.0,2146760000.0
2019-03-14,'002082,万邦德,8.93,9.39,8.87,9.39,9.4,-0.47,-5.0,2.1484,5113095,46417073.78,2125340000.0,2125340000.0
2019-03-13,'002082,万邦德,9.4,9.48,9.18,9.23,9.24,0.16,1.7316,2.9739,7077923,66244479.93,2237200000.0,2237200000.0
