日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300591,万里马,6.55,6.78,6.51,6.72,6.72,-0.17,-2.5298,2.3895,2733580,18180376.9,2043600000.0,749320000.0
2019-04-25,'300591,万里马,6.72,7.2,6.63,7.13,7.23,-0.51,-7.0539,3.658,4184778,28890702.18,2096640000.0,768768000.0
2019-04-24,'300591,万里马,7.23,7.25,6.94,6.94,7.03,0.2,2.845,2.3903,2734553,19513944.07,2255760000.0,827112000.0
2019-04-23,'300591,万里马,7.03,7.27,7.03,7.25,7.25,-0.22,-3.0345,1.9486,2229144,15966109.56,2193360000.0,804232000.0
2019-04-22,'300591,万里马,7.25,7.44,7.19,7.31,7.32,-0.07,-0.9563,2.3507,2689150,19629140.1,2262000000.0,829400000.0
2019-04-19,'300591,万里马,7.32,7.45,7.2,7.39,7.4,-0.08,-1.0811,2.2682,2594840,18956800.3,2283840000.0,837408000.0
2019-04-18,'300591,万里马,7.4,7.57,7.3,7.37,7.36,0.04,0.5435,3.5911,4108230,30594055.0,2308800000.0,846560000.0
2019-04-17,'300591,万里马,7.36,7.59,7.34,7.4,7.45,-0.09,-1.2081,3.6581,4184830,31132119.4,2296320000.0,841984000.0
2019-04-16,'300591,万里马,7.45,7.47,7.05,7.12,7.17,0.28,3.9052,4.253,4865460,35635180.14,2324400000.0,852280000.0
2019-04-15,'300591,万里马,7.17,7.43,7.14,7.4,7.3,-0.13,-1.7808,3.1612,3616390,26454915.8,2237040000.0,820248000.0
2019-04-12,'300591,万里马,7.3,7.35,7.05,7.08,7.11,0.19,2.6723,3.2333,3698858,26803014.29,2277600000.0,835120000.0
2019-04-11,'300591,万里马,7.11,7.3,7.08,7.2,7.22,-0.11,-1.5235,2.8036,3207290,22970748.4,2218320000.0,813384000.0
2019-04-10,'300591,万里马,7.22,7.32,7.15,7.32,7.32,-0.1,-1.3661,2.568,2937798,21257627.48,2252640000.0,825968000.0
2019-04-09,'300591,万里马,7.32,7.33,7.11,7.26,7.31,0.01,0.1368,3.4743,3974558,28714063.14,2283840000.0,837408000.0
2019-04-08,'300591,万里马,7.31,7.55,7.11,7.27,7.27,0.04,0.5502,4.6759,5349225,39110500.57,2280720000.0,836264000.0
2019-04-04,'300591,万里马,7.27,7.4,7.21,7.25,7.3,-0.03,-0.411,2.874,3287845,23941902.0,2268240000.0,831688000.0
2019-04-03,'300591,万里马,7.3,7.4,7.06,7.09,7.17,0.13,1.8131,3.9279,4493543,32737024.24,2277600000.0,835120000.0
2019-04-02,'300591,万里马,7.17,7.36,7.06,7.11,7.11,0.06,0.8439,5.2031,5952370,42896774.9,2237040000.0,820248000.0
2019-04-01,'300591,万里马,7.11,7.15,6.91,7.0,6.97,0.14,2.0086,4.1303,4725110,33397332.8,2218320000.0,813384000.0
2019-03-29,'300591,万里马,6.97,7.0,6.59,6.85,6.85,0.12,1.7518,3.9999,4575898,31299939.96,2174640000.0,797368000.0
2019-03-28,'300591,万里马,6.85,7.01,6.67,6.7,6.75,0.1,1.4815,4.4452,5085287,35015608.22,2137200000.0,783640000.0
2019-03-27,'300591,万里马,6.75,6.78,6.55,6.71,6.66,0.09,1.3514,1.8407,2105721,14099683.49,2106000000.0,772200000.0
2019-03-26,'300591,万里马,6.66,6.95,6.63,6.95,6.95,-0.29,-4.1727,3.6818,4211970,28676084.8,2077920000.0,761904000.0
2019-03-25,'300591,万里马,6.95,7.13,6.72,6.8,6.91,0.04,0.5789,4.7376,5419810,37512465.22,2168400000.0,795080000.0
2019-03-22,'300591,万里马,6.91,6.92,6.7,6.8,6.79,0.12,1.7673,2.906,3324450,22611703.8,2155920000.0,790504000.0
2019-03-21,'300591,万里马,6.79,6.84,6.72,6.76,6.78,0.01,0.1475,3.329,3808410,25873684.1,2118480000.0,776776000.0
2019-03-20,'300591,万里马,6.78,6.87,6.69,6.76,6.73,0.05,0.7429,3.8899,4450085,30160799.75,2115360000.0,775632000.0
2019-03-19,'300591,万里马,6.73,6.79,6.64,6.79,6.76,-0.03,-0.4438,3.0002,3432197,23006130.95,2099760000.0,769912000.0
2019-03-18,'300591,万里马,6.76,6.77,6.62,6.65,6.64,0.12,1.8072,2.693,3080780,20669543.8,2109120000.0,773344000.0
2019-03-15,'300591,万里马,6.64,6.64,6.45,6.45,6.42,0.22,3.4268,2.6331,3012295,19796785.01,2071680000.0,759616000.0
2019-03-14,'300591,万里马,6.42,6.69,6.31,6.69,6.64,-0.22,-3.3133,2.7976,3200509,20731359.72,2003040000.0,734448000.0
2019-03-13,'300591,万里马,6.64,6.84,6.57,6.84,6.8,-0.16,-2.3529,5.2078,5957739,40062548.7,2071680000.0,759616000.0
2019-03-12,'300591,万里马,6.8,6.97,6.7,6.75,6.77,0.03,0.4431,5.2528,6009227,41020260.84,2121600000.0,777920000.0
2019-03-11,'300591,万里马,6.77,6.77,6.42,6.5,6.5,0.27,4.1538,4.1739,4774886,31549719.54,2112240000.0,774488000.0
2019-03-08,'300591,万里马,6.5,6.83,6.5,6.68,6.76,-0.26,-3.8462,6.103,6981799,46649241.99,2028000000.0,743600000.0
2019-03-07,'300591,万里马,6.76,6.95,6.5,6.57,6.55,0.21,3.2061,6.237,7135101,47974298.6,2109120000.0,773344000.0
2019-03-06,'300591,万里马,6.55,6.58,6.36,6.45,6.39,0.16,2.5039,4.2035,4808774,31162695.18,2043600000.0,749320000.0
2019-03-05,'300591,万里马,6.39,6.4,6.26,6.31,6.29,0.1,1.5898,3.1327,3583825,22688090.5,1993680000.0,731016000.0
2019-03-04,'300591,万里马,6.29,6.42,6.27,6.3,6.26,0.03,0.4792,3.2268,3691402,23415120.9,1962480000.0,719576000.0
2019-03-01,'300591,万里马,6.26,6.34,6.19,6.33,6.28,-0.02,-0.3185,2.0592,2355679,14746010.01,1953120000.0,716144000.0
