日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300408,三环集团,19.91,20.47,19.9,20.32,20.31,-0.4,-1.9695,0.5369,9303033,187421102.09,34706375768.0,34501183308.0
2019-04-25,'300408,三环集团,20.31,20.72,20.16,20.5,20.54,-0.23,-1.1198,0.5789,10030933,204685055.89,35403640976.8,35194326116.8
2019-04-24,'300408,三环集团,20.54,20.7,19.91,20.29,20.11,0.43,2.1382,0.5889,10204701,207353315.63,35804568471.9,35592883231.9
2019-04-23,'300408,三环集团,20.11,20.5,20.0,20.5,20.38,-0.27,-1.3248,0.5204,9017372,182775264.68,35055008372.4,34847754712.4
2019-04-22,'300408,三环集团,20.38,20.95,20.2,20.95,20.85,-0.47,-2.2542,0.7442,12895159,264385365.1,35525662388.4,35315626108.4
2019-04-19,'300408,三环集团,20.85,21.08,20.69,20.71,20.7,0.15,0.7246,0.418,7242693,150947996.97,36344949008.7,36130068908.7
2019-04-18,'300408,三环集团,20.7,21.2,20.6,21.05,21.27,-0.57,-2.6798,0.646,11194126,233192679.77,36083474555.4,35870140355.4
2019-04-17,'300408,三环集团,21.27,21.59,21.01,21.03,21.1,0.17,0.8057,0.6522,11301570,240431005.55,37077077477.9,36857868857.9
2019-04-16,'300408,三环集团,21.1,21.17,20.17,20.47,21.01,0.09,0.4284,0.7728,13391558,276172006.04,36780739764.2,36563283164.2
2019-04-15,'300408,三环集团,21.01,21.61,20.9,21.35,21.05,-0.04,-0.19,0.8134,14094550,300050058.35,36623855092.2,36407326032.2
2019-04-12,'300408,三环集团,21.05,21.36,20.72,20.9,20.88,0.17,0.8142,0.6271,10866627,228705246.11,36693581613.1,36476640313.1
2019-04-11,'300408,三环集团,20.88,21.33,20.36,21.33,21.15,-0.27,-1.2766,1.0806,18725166,387290189.9,36397243899.4,36182054619.4
2019-04-10,'300408,三环集团,21.15,21.45,20.69,21.18,21.2,-0.05,-0.2358,0.5988,10376472,219370740.93,36867897915.3,36649926015.3
2019-04-09,'300408,三环集团,21.2,21.38,20.28,20.59,21.21,-0.01,-0.0471,1.079,18697144,390724095.67,36955056066.4,36736568866.4
2019-04-08,'300408,三环集团,21.21,21.99,21.05,21.84,21.74,-0.53,-2.4379,0.9447,16370764,349711471.88,36977896246.6,36753897436.6
2019-04-04,'300408,三环集团,21.74,21.99,21.41,21.5,21.48,0.26,1.2104,0.7304,12657442,275346655.55,37901907798.3,37672311658.3
2019-04-03,'300408,三环集团,21.48,21.73,21.06,21.4,21.43,0.05,0.2333,0.6973,12083099,258324891.0,37448619112.6,37221768832.6
2019-04-02,'300408,三环集团,21.43,21.99,21.28,21.98,21.99,-0.56,-2.5466,0.9305,16124829,348630488.21,37361448211.5,37135125981.5
2019-04-01,'300408,三环集团,21.99,22.18,20.9,20.9,20.74,1.25,6.027,1.2314,21337892,460679106.98,38337762303.8,38105525913.8
2019-03-29,'300408,三环集团,20.74,20.99,19.68,20.81,20.61,0.13,0.6308,1.7028,29507593,599619123.8,36158489776.3,35939454636.3
2019-03-28,'300408,三环集团,20.61,21.28,20.61,21.1,21.18,-0.57,-2.6912,0.773,13394988,279075204.44,35931845433.4,35714183223.4
2019-03-27,'300408,三环集团,21.18,21.4,20.75,21.3,21.19,-0.01,-0.0472,0.5552,9620817,202902542.97,36925593706.0,36701911726.0
2019-03-26,'300408,三环集团,21.19,22.2,21.1,22.2,22.0,-0.81,-3.6818,0.8723,15115851,325045405.5,36943027886.2,36719240296.2
2019-03-25,'300408,三环集团,22.0,22.22,21.51,21.91,22.2,-0.2,-0.9009,0.6563,11373122,249470351.03,38355196484.0,38122854484.0
2019-03-22,'300408,三环集团,22.2,22.48,21.65,22.41,22.33,-0.13,-0.5822,0.8087,14012914,308361101.26,38703880088.4,38469425888.4
2019-03-21,'300408,三环集团,22.33,22.98,22.25,22.48,22.48,-0.15,-0.6673,0.6749,11695600,263420998.36,38930524431.3,38694697301.3
2019-03-20,'300408,三环集团,22.48,23.3,22.25,23.3,23.84,-1.36,-5.7047,1.8501,32059805,724934431.46,39192037134.6,38954625854.6
2019-03-19,'300408,三环集团,23.84,24.05,22.55,22.8,22.63,1.21,5.3469,1.1666,20215093,469931703.82,41563085644.5,41311311404.5
2019-03-18,'300408,三环集团,22.63,22.98,22.08,22.51,22.51,0.12,0.5331,1.0335,17908826,405222615.11,39453549837.9,39214554407.9
2019-03-15,'300408,三环集团,22.51,22.56,21.79,22.2,21.8,0.71,3.2569,0.9956,17252058,384220761.38,39244339675.2,39006611565.2
2019-03-14,'300408,三环集团,21.8,22.37,21.38,21.75,21.79,0.01,0.0459,1.33,23046156,503764233.46,38006512879.6,37776283079.6
2019-03-13,'300408,三环集团,21.79,22.5,21.55,22.0,22.07,-0.28,-1.2687,1.6388,28398689,621249167.58,37989078699.4,37758954509.4
2019-03-12,'300408,三环集团,22.07,22.6,20.92,21.01,21.03,1.04,4.9453,2.318,40167653,885424558.06,38477235745.5,38244154475.5
2019-03-11,'300408,三环集团,21.03,21.04,19.9,19.9,19.79,1.24,6.2658,1.6697,28934132,595844324.3,36664081002.7,36441983172.7
2019-03-08,'300408,三环集团,19.79,20.38,19.62,19.72,20.15,-0.36,-1.7866,1.5135,26226548,525766637.19,34502242655.4,34293240465.4
2019-03-07,'300408,三环集团,20.15,20.9,20.0,20.58,20.72,-0.57,-2.751,1.5857,27478005,558811632.61,35129873143.3,34917068993.3
2019-03-06,'300408,三环集团,20.72,20.73,20.06,20.18,20.11,0.61,3.0333,1.3383,23190227,474474863.22,36123621415.8,35904797495.8
2019-03-05,'300408,三环集团,20.11,20.29,19.58,20.21,20.2,-0.09,-0.4455,1.1504,19935144,395502268.98,35060136422.4,34847754712.4
2019-03-04,'300408,三环集团,20.2,20.65,19.8,20.02,19.9,0.3,1.5075,1.7046,29537545,599524653.25,35217044044.4,35003711844.4
2019-03-01,'300408,三环集团,19.9,20.29,19.5,20.14,19.68,0.22,1.1179,0.8346,14462682,285698558.25,34694018637.8,34483854737.8
2019-02-28,'300408,三环集团,19.68,20.48,19.36,20.21,20.05,-0.37,-1.8454,1.2447,21568812,426596012.42,34310466673.0,34102626193.0
2019-02-27,'300408,三环集团,20.05,20.7,19.89,20.4,20.48,-0.43,-2.0996,0.7115,12329834,250034216.23,34955531341.1,34743783291.1
2019-02-26,'300408,三环集团,20.48,21.09,20.48,20.88,20.95,-0.47,-2.2434,0.7555,13091877,271524245.38,35705201090.6,35488911810.6
2019-02-25,'300408,三环集团,20.95,21.0,20.2,20.3,19.89,1.06,5.3293,1.1847,20528579,424436327.3,36524607560.9,36303354610.9
2019-02-22,'300408,三环集团,19.89,19.95,18.91,19.06,18.98,0.91,4.7945,1.0168,17619280,343213978.24,34676584457.6,34466526167.6
2019-02-21,'300408,三环集团,18.98,19.6,18.5,18.72,18.86,0.12,0.6363,1.2335,21375559,408952502.67,33090074057.6,32889626277.6
2019-02-20,'300408,三环集团,18.86,19.07,18.6,18.94,18.85,0.01,0.0531,0.6547,11345766,213871353.12,32880863894.9,32681683434.9
2019-02-19,'300408,三环集团,18.85,19.89,18.7,19.89,19.25,-0.4,-2.0779,0.786,13620130,259671998.69,32863429714.7,32664354864.7
2019-02-18,'300408,三环集团,19.25,19.55,18.62,18.66,18.5,0.75,4.0541,0.7763,13451374,257560796.31,33560796923.5,33357497673.5
2019-02-15,'300408,三环集团,18.5,18.85,18.45,18.57,18.5,0.0,0.0,0.7373,12776723,238725669.51,32253233407.0,32057854907.0
2019-02-14,'300408,三环集团,18.5,18.98,18.47,18.91,18.93,-0.43,-2.2715,0.629,10899964,203037759.02,32253233407.0,32057854907.0
2019-02-13,'300408,三环集团,18.93,19.1,18.61,18.75,18.61,0.32,1.7195,0.9073,15721515,297677129.87,33002903156.5,32802983426.5
