日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600838,上海九百,7.4,7.48,7.36,7.4,7.41,-0.01,-0.135,1.0204,4090533,30315568.0,2966526659.4,2966526659.4
2019-04-25,'600838,上海九百,7.41,7.82,7.36,7.8,7.81,-0.4,-5.1216,1.4118,5659847,42976271.0,2970535479.21,2970535479.21
2019-04-24,'600838,上海九百,7.81,7.81,7.6,7.8,7.74,0.07,0.9044,1.0675,4279239,33089647.0,3130888271.61,3130888271.61
2019-04-23,'600838,上海九百,7.74,7.97,7.73,7.97,7.99,-0.25,-3.1289,1.492,5981244,47007980.0,3102826532.94,3102826532.94
2019-04-22,'600838,上海九百,7.99,8.11,7.93,8.04,8.04,-0.05,-0.6219,1.3503,5413059,43488449.0,3203047028.19,3203047028.19
2019-04-19,'600838,上海九百,8.04,8.06,7.88,8.01,8.01,0.03,0.3745,1.2543,5028144,40049186.0,3223091127.24,3223091127.24
2019-04-18,'600838,上海九百,8.01,8.15,8.0,8.15,8.15,-0.14,-1.7178,1.4605,5854931,47208807.0,3211064667.81,3211064667.81
2019-04-17,'600838,上海九百,8.15,8.2,8.03,8.04,8.06,0.09,1.1166,2.146,8602835,69798645.0,3267188145.15,3267188145.15
2019-04-16,'600838,上海九百,8.06,8.06,7.78,7.92,8.0,0.06,0.75,1.9183,7690043,60884433.0,3231108766.86,3231108766.86
2019-04-15,'600838,上海九百,8.0,8.23,7.99,8.08,8.03,-0.03,-0.3736,2.064,8274199,67212771.0,3207055848.0,3207055848.0
2019-04-12,'600838,上海九百,8.03,8.11,7.88,8.01,8.0,0.03,0.375,1.62,6494361,52129134.0,3219082307.43,3219082307.43
2019-04-11,'600838,上海九百,8.0,8.16,7.98,8.16,8.16,-0.16,-1.9608,1.7796,7133958,57559570.0,3207055848.0,3207055848.0
2019-04-10,'600838,上海九百,8.16,8.18,8.04,8.11,8.11,0.05,0.6165,2.0245,8115852,65951977.0,3271196964.96,3271196964.96
2019-04-09,'600838,上海九百,8.11,8.2,8.02,8.2,8.21,-0.1,-1.218,2.1779,8730652,70632283.0,3251152865.91,3251152865.91
2019-04-08,'600838,上海九百,8.21,8.22,8.0,8.16,8.13,0.08,0.984,3.923,15726639,127807718.0,3291241064.01,3291241064.01
2019-04-04,'600838,上海九百,8.13,8.37,8.05,8.27,8.35,-0.22,-2.6347,5.4437,21822840,178026218.0,3259170505.53,3259170505.53
2019-04-03,'600838,上海九百,8.35,8.66,7.8,7.84,7.87,0.48,6.0991,8.7432,35049888,288377234.0,3347364541.35,3347364541.35
2019-04-02,'600838,上海九百,7.87,7.94,7.73,7.77,7.77,0.1,1.287,3.4094,13667553,107516251.0,3154941190.47,3154941190.47
2019-04-01,'600838,上海九百,7.77,7.82,7.5,7.53,7.53,0.24,3.1873,2.988,11978473,92338279.0,3114852992.37,3114852992.37
2019-03-29,'600838,上海九百,7.53,7.56,7.33,7.34,7.33,0.2,2.7285,1.5802,6334840,47223272.0,3018641316.93,3018641316.93
2019-03-28,'600838,上海九百,7.33,7.55,7.27,7.51,7.54,-0.21,-2.7851,1.7996,7214432,53663872.0,2938464920.73,2938464920.73
