日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600021,上海电力,8.84,9.16,8.84,8.99,9.06,-0.22,-2.4283,0.3623,7752215,69653542.0,23135731501.5,18915295031.9
2019-04-25,'600021,上海电力,9.06,9.33,9.05,9.33,9.34,-0.28,-2.9979,0.4101,8774856,80476383.0,23711507624.8,19386037668.4
2019-04-24,'600021,上海电力,9.34,9.34,9.13,9.19,9.19,0.15,1.6322,0.3139,6715646,61904340.0,24444313600.0,19985164660.4
2019-04-23,'600021,上海电力,9.19,9.33,9.17,9.33,9.33,-0.14,-1.5005,0.3368,7205820,66614981.0,24051738970.4,19664203771.8
2019-04-22,'600021,上海电力,9.33,9.37,9.24,9.33,9.33,0.0,0.0,0.3558,7612460,70819707.0,24418141958.0,19963767267.8
2019-04-19,'600021,上海电力,9.33,9.37,9.22,9.35,9.36,-0.03,-0.3205,0.3711,7941479,73709461.0,24418141958.0,19963767267.8
2019-04-18,'600021,上海电力,9.36,9.42,9.26,9.36,9.4,-0.04,-0.4255,0.4111,8797392,81983097.0,24496656883.9,20027959445.5
2019-04-17,'600021,上海电力,9.4,9.53,9.31,9.53,9.53,-0.13,-1.3641,0.4968,10631282,99991211.0,24601343451.8,20113549015.8
2019-04-16,'600021,上海电力,9.53,9.58,9.19,9.39,9.48,0.05,0.5274,0.5572,11923597,111819938.0,24941574797.4,20391715119.2
2019-04-15,'600021,上海电力,9.48,9.95,9.43,9.72,9.6,-0.12,-1.25,1.0864,23246429,225741966.0,24810716587.6,20284728156.4
2019-04-12,'600021,上海电力,9.6,9.6,9.21,9.25,9.19,0.41,4.4614,1.1027,23595700,224200752.0,25124776291.2,20541496867.2
2019-04-11,'600021,上海电力,9.19,9.52,9.18,9.43,9.29,-0.1,-1.0764,0.5143,11004731,102817712.0,24051738970.4,19664203771.8
2019-04-10,'600021,上海电力,9.29,9.38,9.16,9.24,9.25,0.04,0.4324,0.3943,8436859,77945054.0,24313455390.1,19878177697.5
2019-04-09,'600021,上海电力,9.25,9.3,9.15,9.24,9.24,0.01,0.1082,0.3464,7411935,68477769.0,24208768822.2,19792588127.2
2019-04-08,'600021,上海电力,9.24,9.55,9.15,9.43,9.43,-0.19,-2.0148,0.648,13864716,129254175.0,24182597180.3,19771190734.7
2019-04-04,'600021,上海电力,9.43,9.54,9.33,9.33,9.26,0.17,1.8359,0.7821,16734411,157543322.0,24679858377.7,20177741193.5
2019-04-03,'600021,上海电力,9.26,9.26,9.12,9.15,9.17,0.09,0.9815,0.4667,9985952,91951498.0,24234940464.2,19813985519.8
2019-04-02,'600021,上海电力,9.17,9.32,9.15,9.24,9.22,-0.05,-0.5423,0.4326,9255720,85323365.0,23999395686.5,19621408986.7
2019-04-01,'600021,上海电力,9.22,9.38,9.04,9.06,9.03,0.19,2.1041,0.5775,12356328,114097365.0,24130253896.3,19728395949.5
2019-03-29,'600021,上海电力,9.03,9.09,8.73,8.73,8.73,0.3,3.4364,0.3913,8371945,74749677.0,23632992698.9,19321845490.7
2019-03-28,'600021,上海电力,8.73,8.91,8.71,8.86,8.89,-0.16,-1.7998,0.291,6225828,54692543.0,22847843439.8,18679923713.6
2019-03-27,'600021,上海电力,8.89,8.95,8.84,8.93,8.9,-0.01,-0.1124,0.2367,5064353,45033590.0,23266589711.3,19022281994.7
2019-03-26,'600021,上海电力,8.9,9.21,8.84,9.15,9.15,-0.25,-2.7322,0.4056,8679290,78236295.0,23292761353.3,19043679387.3
2019-03-25,'600021,上海电力,9.15,9.32,9.1,9.21,9.32,-0.17,-1.824,0.4835,10345006,95222866.0,23947052402.5,19578614201.5
2019-03-22,'600021,上海电力,9.32,9.38,9.1,9.17,9.17,0.15,1.6358,0.6426,13749253,127240023.0,24391970316.0,19942369875.2
2019-03-21,'600021,上海电力,9.17,9.24,9.09,9.13,9.14,0.03,0.3282,0.5409,11573599,106291128.0,23999395686.5,19621408986.7
