日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600688,上海石化,5.25,5.38,5.24,5.35,5.41,-0.16,-2.9575,0.2289,16778353,88952439.0,56825020875.0,38476270875.0
2019-04-25,'600688,上海石化,5.41,5.54,5.39,5.54,5.56,-0.15,-2.6978,0.1984,14541274,79352356.0,58556831035.0,39648881035.0
2019-04-24,'600688,上海石化,5.56,5.62,5.52,5.6,5.63,-0.07,-1.2433,0.2093,15336760,85354991.0,60180403060.0,40748203060.0
2019-04-23,'600688,上海石化,5.63,5.72,5.56,5.66,5.64,-0.01,-0.1773,0.3186,23347098,131370354.0,60938070005.0,41261220005.0
2019-04-22,'600688,上海石化,5.64,5.72,5.54,5.58,5.58,0.06,1.0753,0.3794,27806146,157063401.0,61046308140.0,41334508140.0
2019-04-19,'600688,上海石化,5.58,5.6,5.53,5.57,5.58,0.0,0.0,0.1549,11350592,63151318.0,60396879330.0,40894779330.0
2019-04-18,'600688,上海石化,5.58,5.62,5.56,5.59,5.59,-0.01,-0.1789,0.1606,11770263,65805760.0,60396879330.0,40894779330.0
2019-04-17,'600688,上海石化,5.59,5.63,5.55,5.59,5.6,-0.01,-0.1786,0.2268,16619764,92956304.0,60505117465.0,40968067465.0
2019-04-16,'600688,上海石化,5.6,5.6,5.42,5.52,5.54,0.06,1.083,0.2836,20782239,114642197.0,60613355600.0,41041355600.0
2019-04-15,'600688,上海石化,5.54,5.7,5.52,5.59,5.55,-0.01,-0.1802,0.3196,23420895,131425389.0,59963926790.0,40601626790.0
2019-04-12,'600688,上海石化,5.55,5.62,5.52,5.55,5.56,-0.01,-0.1799,0.1648,12080042,67220901.0,60072164925.0,40674914925.0
2019-04-11,'600688,上海石化,5.56,5.7,5.56,5.66,5.63,-0.07,-1.2433,0.192,14071372,79145241.0,60180403060.0,40748203060.0
2019-04-10,'600688,上海石化,5.63,5.7,5.58,5.67,5.66,-0.03,-0.53,0.2125,15577168,87841316.0,60938070005.0,41261220005.0
2019-04-09,'600688,上海石化,5.66,5.79,5.64,5.78,5.75,-0.09,-1.5652,0.3431,25143049,143239503.0,61262784410.0,41481084410.0
2019-04-08,'600688,上海石化,5.75,5.86,5.67,5.8,5.66,0.09,1.5901,0.4948,36260442,209500404.0,62236927625.0,42140677625.0
2019-04-04,'600688,上海石化,5.66,5.76,5.58,5.6,5.6,0.06,1.0714,0.3822,28012292,158698971.0,61262784410.0,41481084410.0
2019-04-03,'600688,上海石化,5.6,5.65,5.42,5.46,5.44,0.16,2.9412,0.4819,35315145,196211845.0,60613355600.0,41041355600.0
2019-04-02,'600688,上海石化,5.44,5.52,5.43,5.5,5.48,-0.04,-0.7299,0.2384,17471118,95524542.0,58881545440.0,39868745440.0
2019-04-01,'600688,上海石化,5.48,5.48,5.35,5.36,5.37,0.11,2.0484,0.3128,22923211,124450587.0,59314497980.0,40161897980.0
2019-03-29,'600688,上海石化,5.37,5.39,5.23,5.26,5.25,0.12,2.2857,0.2379,17437035,92717567.0,58123878495.0,39355728495.0
2019-03-28,'600688,上海石化,5.25,5.29,5.24,5.29,5.3,-0.05,-0.9434,0.1411,10339075,54364427.0,56825020875.0,38476270875.0
2019-03-27,'600688,上海石化,5.3,5.35,5.27,5.33,5.3,0.0,0.0,0.1223,8966308,47536196.0,57366211550.0,38842711550.0
2019-03-26,'600688,上海石化,5.3,5.45,5.29,5.44,5.42,-0.12,-2.214,0.1849,13550565,72614956.0,57366211550.0,38842711550.0
2019-03-25,'600688,上海石化,5.42,5.51,5.41,5.47,5.55,-0.13,-2.3423,0.2124,15569965,85038714.0,58665069170.0,39722169170.0
2019-03-22,'600688,上海石化,5.55,5.58,5.5,5.57,5.59,-0.04,-0.7156,0.1881,13786012,76321510.0,60072164925.0,40674914925.0
2019-03-21,'600688,上海石化,5.59,5.61,5.52,5.54,5.54,0.05,0.9025,0.2682,19653905,109345436.0,60505117465.0,40968067465.0
2019-03-20,'600688,上海石化,5.54,5.56,5.49,5.55,5.59,-0.05,-0.8945,0.2418,17721776,97875825.0,59963926790.0,40601626790.0
2019-03-19,'600688,上海石化,5.59,5.66,5.51,5.6,5.6,-0.01,-0.1786,0.2855,20923756,116909327.0,60505117465.0,40968067465.0
2019-03-18,'600688,上海石化,5.6,5.6,5.44,5.5,5.49,0.11,2.0036,0.323,23675157,131125849.0,60613355600.0,41041355600.0
2019-03-15,'600688,上海石化,5.49,5.55,5.42,5.45,5.44,0.05,0.9191,0.2059,15088050,82752127.0,59422736115.0,40235186115.0
2019-03-14,'600688,上海石化,5.44,5.57,5.42,5.5,5.47,-0.03,-0.5484,0.2109,15455018,84821798.0,58881545440.0,39868745440.0
2019-03-13,'600688,上海石化,5.47,5.58,5.44,5.58,5.59,-0.12,-2.1467,0.2176,15946943,87674298.0,59206259845.0,40088609845.0
2019-03-12,'600688,上海石化,5.59,5.68,5.46,5.5,5.47,0.12,2.1938,0.3847,28196716,156976334.0,60505117465.0,40968067465.0
2019-03-11,'600688,上海石化,5.47,5.48,5.4,5.41,5.41,0.06,1.1091,0.18,13194721,71901354.0,59206259845.0,40088609845.0
2019-03-08,'600688,上海石化,5.41,5.61,5.38,5.61,5.62,-0.21,-3.7367,0.2907,21301971,116931223.0,58556831035.0,39648881035.0
2019-03-07,'600688,上海石化,5.62,5.69,5.57,5.64,5.67,-0.05,-0.8818,0.3385,24811087,139659180.0,60829831870.0,41187931870.0
2019-03-06,'600688,上海石化,5.67,5.68,5.53,5.57,5.56,0.11,1.9784,0.4126,30236590,169693877.0,61371022545.0,41554372545.0
2019-03-05,'600688,上海石化,5.56,5.6,5.51,5.55,5.54,0.02,0.361,0.2309,16924762,93904534.0,60180403060.0,40748203060.0
2019-03-04,'600688,上海石化,5.54,5.62,5.46,5.52,5.52,0.02,0.3623,0.3513,25745751,142756822.0,59963926790.0,40601626790.0
2019-03-01,'600688,上海石化,5.52,5.54,5.46,5.53,5.51,0.01,0.1815,0.1891,13861696,76138013.0,59747450520.0,40455050520.0
2019-02-28,'600688,上海石化,5.51,5.54,5.47,5.5,5.48,0.03,0.5474,0.2531,18548233,102147569.0,59639212385.0,40381762385.0
2019-02-27,'600688,上海石化,5.48,5.55,5.42,5.44,5.46,0.02,0.3663,0.2656,19463300,106947675.0,59314497980.0,40161897980.0
2019-02-26,'600688,上海石化,5.46,5.54,5.38,5.44,5.46,0.0,0.0,0.3373,24716953,134769791.0,59098021710.0,40015321710.0
2019-02-25,'600688,上海石化,5.46,5.46,5.27,5.28,5.27,0.19,3.6053,0.3574,26193908,140760399.0,59098021710.0,40015321710.0
2019-02-22,'600688,上海石化,5.27,5.28,5.18,5.21,5.23,0.04,0.7648,0.1309,9590788,50093103.0,57041497145.0,38622847145.0
2019-02-21,'600688,上海石化,5.23,5.29,5.22,5.28,5.27,-0.04,-0.759,0.154,11287137,59443546.0,56608544605.0,38329694605.0
2019-02-20,'600688,上海石化,5.27,5.28,5.25,5.27,5.28,-0.01,-0.1894,0.1001,7332554,38617636.0,57041497145.0,38622847145.0
2019-02-19,'600688,上海石化,5.28,5.31,5.24,5.3,5.29,-0.01,-0.189,0.1805,13226971,69836807.0,57149735280.0,38696135280.0
2019-02-18,'600688,上海石化,5.29,5.3,5.23,5.26,5.22,0.07,1.341,0.2019,14800274,77953362.0,57257973415.0,38769423415.0
2019-02-15,'600688,上海石化,5.22,5.28,5.21,5.26,5.26,-0.04,-0.7605,0.1216,8909621,46808441.0,56500306470.0,38256406470.0
2019-02-14,'600688,上海石化,5.26,5.28,5.22,5.26,5.27,-0.01,-0.1898,0.1228,8997477,47221249.0,56933259010.0,38549559010.0
2019-02-13,'600688,上海石化,5.27,5.28,5.21,5.22,5.22,0.05,0.9579,0.2245,16456254,86271685.0,57041497145.0,38622847145.0
2019-02-12,'600688,上海石化,5.22,5.22,5.17,5.21,5.21,0.01,0.1919,0.1364,10000077,51947924.0,56500306470.0,38256406470.0
2019-02-11,'600688,上海石化,5.21,5.22,5.15,5.17,5.17,0.04,0.7737,0.1434,10507118,54404967.0,56392068335.0,38183118335.0
2019-02-01,'600688,上海石化,5.17,5.19,5.15,5.17,5.16,0.01,0.1938,0.0914,6701058,34625293.0,55959115795.0,37889965795.0
2019-01-31,'600688,上海石化,5.16,5.19,5.13,5.16,5.14,0.02,0.3891,0.076,5567268,28735130.0,55850877660.0,37816677660.0
2019-01-30,'600688,上海石化,5.14,5.17,5.12,5.14,5.12,0.02,0.3906,0.051,3738305,19261737.0,55634401390.0,37670101390.0
2019-01-29,'600688,上海石化,5.12,5.15,5.09,5.14,5.15,-0.03,-0.5825,0.0547,4008756,20535326.0,55417925120.0,37523525120.0
2019-01-28,'600688,上海石化,5.15,5.19,5.15,5.16,5.13,0.02,0.3899,0.0756,5538955,28620267.0,55742639525.0,37743389525.0
2019-01-25,'600688,上海石化,5.13,5.21,5.12,5.18,5.18,-0.05,-0.9653,0.0677,4962146,25614847.0,55526163255.0,37596813255.0
