日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600018,上港集团,7.88,8.26,7.87,8.1,8.17,-0.29,-3.5496,0.3696,85660229,687742680.0,1.82608556242e+11,1.82608556242e+11
2019-04-25,'600018,上港集团,8.17,8.63,8.05,8.42,8.49,-0.32,-3.7691,0.3806,88197958,733469238.0,1.8932892189e+11,1.8932892189e+11
2019-04-24,'600018,上港集团,8.49,8.92,8.32,8.85,8.93,-0.44,-4.9272,0.4945,114605080,980490525.0,1.96744497778e+11,1.96744497778e+11
2019-04-23,'600018,上港集团,8.93,9.16,8.42,8.55,8.57,0.36,4.2007,0.7493,173639983,1542696303.0,2.06940914624e+11,2.06940914624e+11
2019-04-22,'600018,上港集团,8.57,8.67,8.3,8.48,8.4,0.17,2.0238,0.3395,78671649,670753911.0,1.9859839175e+11,1.9859839175e+11
2019-04-19,'600018,上港集团,8.4,8.65,8.26,8.42,8.49,-0.09,-1.0601,0.2342,54278991,457400418.0,1.9465886706e+11,1.9465886706e+11
2019-04-18,'600018,上港集团,8.49,8.75,8.47,8.69,8.75,-0.26,-2.9714,0.3342,77452084,663196557.0,1.96744497778e+11,1.96744497778e+11
2019-04-17,'600018,上港集团,8.75,9.04,8.68,8.78,8.89,-0.14,-1.5748,0.4346,100716555,887718040.0,2.02769653188e+11,2.02769653188e+11
2019-04-16,'600018,上港集团,8.89,9.11,8.39,8.54,8.7,0.19,2.1839,0.573,132777372,1168707130.0,2.06013967638e+11,2.06013967638e+11
2019-04-15,'600018,上港集团,8.7,9.2,8.18,8.49,8.36,0.34,4.067,0.8102,187762521,1670249250.0,2.01610969455e+11,2.01610969455e+11
2019-04-12,'600018,上港集团,8.36,8.67,8.19,8.19,8.11,0.25,3.0826,0.4476,103720323,874338583.0,1.93731920074e+11,1.93731920074e+11
2019-04-11,'600018,上港集团,8.11,8.36,8.0,8.12,8.11,0.0,0.0,0.421,97551911,799142667.0,1.87938501412e+11,1.87938501412e+11
2019-04-10,'600018,上港集团,8.11,8.24,7.8,7.87,7.96,0.15,1.8844,0.4462,103410352,835625190.0,1.87938501412e+11,1.87938501412e+11
2019-04-09,'600018,上港集团,7.96,8.3,7.91,8.3,8.55,-0.59,-6.9006,0.6235,144498407,1163977708.0,1.84462450214e+11,1.84462450214e+11
2019-04-08,'600018,上港集团,8.55,8.73,8.08,8.73,8.87,-0.32,-3.6077,1.0313,238987687,2007532652.0,1.98134918258e+11,1.98134918258e+11
2019-04-04,'600018,上港集团,8.87,8.87,8.87,8.87,8.06,0.81,10.0496,0.1786,41379753,367038409.0,2.05550494146e+11,2.05550494146e+11
2019-04-03,'600018,上港集团,8.06,8.06,7.37,7.48,7.33,0.73,9.9591,0.4232,98069538,773638734.0,1.86779817679e+11,1.86779817679e+11
2019-04-02,'600018,上港集团,7.33,7.47,7.3,7.45,7.38,-0.05,-0.6775,0.2108,48843869,360194997.0,1.69863035184e+11,1.69863035184e+11
2019-04-01,'600018,上港集团,7.38,7.49,7.21,7.25,7.27,0.11,1.5131,0.3354,77719055,573718834.0,1.71021718917e+11,1.71021718917e+11
2019-03-29,'600018,上港集团,7.27,7.31,6.91,6.91,6.95,0.32,4.6043,0.2846,65952572,471940968.0,1.68472614706e+11,1.68472614706e+11
2019-03-28,'600018,上港集团,6.95,7.15,6.93,6.97,6.99,-0.04,-0.5722,0.1386,32113494,226059176.0,1.61057038818e+11,1.61057038818e+11
2019-03-27,'600018,上港集团,6.99,7.13,6.93,7.02,6.92,0.07,1.0116,0.1025,23747551,166285729.0,1.61983985804e+11,1.61983985804e+11
2019-03-26,'600018,上港集团,6.92,7.19,6.82,7.15,7.15,-0.23,-3.2168,0.2634,61030397,427965711.0,1.60361828578e+11,1.60361828578e+11
2019-03-25,'600018,上港集团,7.15,7.34,7.13,7.15,7.25,-0.1,-1.3793,0.1797,41631517,300541558.0,1.65691773748e+11,1.65691773748e+11
2019-03-22,'600018,上港集团,7.25,7.29,7.06,7.18,7.17,0.08,1.1158,0.1801,41743099,300008826.0,1.68009141212e+11,1.68009141212e+11
2019-03-21,'600018,上港集团,7.17,7.25,7.11,7.22,7.17,0.0,0.0,0.1771,41041366,295105850.0,1.6615524724e+11,1.6615524724e+11
2019-03-20,'600018,上港集团,7.17,7.24,7.05,7.18,7.24,-0.07,-0.9669,0.1491,34557835,246681971.0,1.6615524724e+11,1.6615524724e+11
2019-03-19,'600018,上港集团,7.24,7.33,7.18,7.18,7.25,-0.01,-0.1379,0.1388,32168908,233133134.0,1.67777404466e+11,1.67777404466e+11
2019-03-18,'600018,上港集团,7.25,7.4,7.08,7.33,7.42,-0.17,-2.2911,0.3053,70740182,509608842.0,1.68009141212e+11,1.68009141212e+11
2019-03-15,'600018,上港集团,7.42,7.67,7.21,7.35,7.23,0.19,2.6279,0.401,92936630,691944041.0,1.71948665903e+11,1.71948665903e+11
2019-03-14,'600018,上港集团,7.23,7.61,7.14,7.45,7.42,-0.19,-2.5606,0.2854,66136925,484992527.0,1.6754566772e+11,1.6754566772e+11
2019-03-13,'600018,上港集团,7.42,7.68,7.07,7.1,7.31,0.11,1.5048,0.4573,105982901,792524124.0,1.71948665903e+11,1.71948665903e+11
2019-03-12,'600018,上港集团,7.31,7.53,6.94,7.09,6.95,0.36,5.1799,0.5372,124493458,902120454.0,1.69399561692e+11,1.69399561692e+11
2019-03-11,'600018,上港集团,6.95,6.95,6.43,6.43,6.32,0.63,9.9684,0.3612,83707123,574704431.0,1.61057038818e+11,1.61057038818e+11
2019-03-08,'600018,上港集团,6.32,6.52,6.26,6.4,6.44,-0.12,-1.8634,0.1601,37094176,236446733.0,1.46457623788e+11,1.46457623788e+11
2019-03-07,'600018,上港集团,6.44,6.55,6.35,6.44,6.45,-0.01,-0.155,0.1474,34154670,220013631.0,1.49238464746e+11,1.49238464746e+11
2019-03-06,'600018,上港集团,6.45,6.56,6.19,6.19,6.18,0.27,4.3689,0.2546,59004691,378901892.0,1.49470201492e+11,1.49470201492e+11
2019-03-05,'600018,上港集团,6.18,6.24,6.02,6.08,6.07,0.11,1.8122,0.128,29670747,181611966.0,1.43213309337e+11,1.43213309337e+11
2019-03-04,'600018,上港集团,6.07,6.2,6.04,6.09,6.04,0.03,0.4967,0.1269,29411085,179682130.0,1.40664205126e+11,1.40664205126e+11
2019-03-01,'600018,上港集团,6.04,6.09,5.95,6.01,5.97,0.07,1.1725,0.079,18316154,110127369.0,1.39968994886e+11,1.39968994886e+11
2019-02-28,'600018,上港集团,5.97,6.06,5.95,5.97,5.99,-0.02,-0.3339,0.0573,13280254,79773054.0,1.3834683766e+11,1.3834683766e+11
2019-02-27,'600018,上港集团,5.99,6.14,5.95,6.09,6.02,-0.03,-0.4983,0.1023,23713186,143474384.0,1.38810311154e+11,1.38810311154e+11
2019-02-26,'600018,上港集团,6.02,6.25,5.9,5.99,5.99,0.03,0.5008,0.1566,36279495,221152098.0,1.39505521393e+11,1.39505521393e+11
2019-02-25,'600018,上港集团,5.99,6.0,5.69,5.72,5.68,0.31,5.4577,0.1774,41114707,240689862.0,1.38810311154e+11,1.38810311154e+11
2019-02-22,'600018,上港集团,5.68,5.69,5.56,5.59,5.59,0.09,1.61,0.0568,13164511,73995234.0,1.31626472012e+11,1.31626472012e+11
2019-02-21,'600018,上港集团,5.59,5.68,5.58,5.67,5.66,-0.07,-1.2367,0.0534,12384390,69782147.0,1.29540841294e+11,1.29540841294e+11
2019-02-20,'600018,上港集团,5.66,5.75,5.62,5.72,5.66,0.0,0.0,0.0478,11080947,62895130.0,1.31162998519e+11,1.31162998519e+11
2019-02-19,'600018,上港集团,5.66,5.77,5.62,5.65,5.63,0.03,0.5329,0.0711,16481664,93754042.0,1.31162998519e+11,1.31162998519e+11
2019-02-18,'600018,上港集团,5.63,5.63,5.56,5.56,5.52,0.11,1.9928,0.0551,12778287,71684474.0,1.3046778828e+11,1.3046778828e+11
2019-02-15,'600018,上港集团,5.52,5.59,5.51,5.57,5.57,-0.05,-0.8977,0.0338,7833493,43494385.0,1.27918684068e+11,1.27918684068e+11
2019-02-14,'600018,上港集团,5.57,5.6,5.51,5.57,5.59,-0.02,-0.3578,0.053,12280342,68293905.0,1.290773678e+11,1.290773678e+11
2019-02-13,'600018,上港集团,5.59,5.6,5.51,5.55,5.52,0.07,1.2681,0.0624,14457979,80387164.0,1.29540841294e+11,1.29540841294e+11
2019-02-12,'600018,上港集团,5.52,5.54,5.44,5.46,5.46,0.06,1.0989,0.0452,10472902,57651598.0,1.27918684068e+11,1.27918684068e+11
2019-02-11,'600018,上港集团,5.46,5.47,5.38,5.39,5.42,0.04,0.738,0.0402,9316745,50588349.0,1.26528263589e+11,1.26528263589e+11
2019-02-01,'600018,上港集团,5.42,5.42,5.32,5.4,5.37,0.05,0.9311,0.0436,10107461,54323806.0,1.25601316603e+11,1.25601316603e+11
2019-01-31,'600018,上港集团,5.37,5.39,5.29,5.33,5.33,0.04,0.7505,0.0718,16635425,89102856.0,1.2444263287e+11,1.2444263287e+11
2019-01-30,'600018,上港集团,5.33,5.43,5.31,5.39,5.43,-0.1,-1.8416,0.0464,10753309,57613570.0,1.23515685884e+11,1.23515685884e+11
2019-01-29,'600018,上港集团,5.43,5.57,5.36,5.42,5.45,-0.02,-0.367,0.0619,14333431,78295487.0,1.2583305335e+11,1.2583305335e+11
2019-01-28,'600018,上港集团,5.45,5.55,5.33,5.37,5.35,0.1,1.8692,0.0836,19384148,106028417.0,1.26296526842e+11,1.26296526842e+11
2019-01-25,'600018,上港集团,5.35,5.48,5.21,5.23,5.22,0.13,2.4904,0.0668,15473788,82914592.0,1.23979159378e+11,1.23979159378e+11
2019-01-24,'600018,上港集团,5.22,5.25,5.19,5.24,5.22,0.0,0.0,0.0251,5810143,30293998.0,1.20966581673e+11,1.20966581673e+11
2019-01-23,'600018,上港集团,5.22,5.3,5.21,5.28,5.27,-0.05,-0.9488,0.0179,4154945,21806351.0,1.20966581673e+11,1.20966581673e+11
2019-01-22,'600018,上港集团,5.27,5.33,5.26,5.32,5.31,-0.04,-0.7533,0.0162,3754843,19881076.0,1.22125265406e+11,1.22125265406e+11
