日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002796,世嘉科技,36.94,38.37,36.81,36.9,37.58,-0.64,-1.703,6.3897,3794513,142723272.69,6217376276.08,2193666569.9
2019-04-25,'002796,世嘉科技,37.58,39.49,37.0,38.99,38.58,-1.0,-2.592,9.2099,5469234,210267461.99,6325094760.56,2231672704.3
2019-04-24,'002796,世嘉科技,38.58,39.8,38.02,39.22,38.6,-0.02,-0.0518,8.7351,5187274,202441211.24,6493404892.56,2291057289.3
2019-04-23,'002796,世嘉科技,38.6,41.46,37.63,41.28,40.5,-1.9,-4.6914,14.4458,8578560,336177315.44,6496771095.2,2292244981.0
2019-04-22,'002796,世嘉科技,40.5,43.37,40.15,41.1,42.28,-1.78,-4.21,13.0032,7721925,320311434.66,6816560346.0,2405075692.5
2019-04-19,'002796,世嘉科技,42.28,44.4,39.5,40.0,40.97,1.31,3.1975,13.9668,8294122,339522499.51,7116152380.96,2510780253.8
2019-04-18,'002796,世嘉科技,40.97,42.88,36.4,40.5,39.35,1.62,4.1169,19.8138,11766354,470346517.92,6895666108.04,2432986447.45
2019-04-17,'002796,世嘉科技,39.35,39.35,36.5,38.0,35.77,3.58,10.0084,8.4876,5040323,194966689.98,6623003694.2,2336783419.75
2019-04-16,'002796,世嘉科技,35.77,35.77,32.56,32.96,32.52,3.25,9.9938,15.9546,9474576,329977823.41,6020453421.64,2124186605.45
2019-04-15,'002796,世嘉科技,32.52,33.33,31.35,31.46,30.67,1.85,6.032,11.0706,6574259,213481872.46,5473445492.64,1931186704.2
2019-04-12,'002796,世嘉科技,30.67,31.29,30.25,30.61,30.68,-0.01,-0.0326,2.9064,1725978,53236677.32,5162071748.44,1821325221.95
2019-04-11,'002796,世嘉科技,30.68,32.0,30.6,31.57,31.62,-0.94,-2.9728,4.1715,2477216,77067486.56,5163754849.76,1821919067.8
2019-04-10,'002796,世嘉科技,31.62,32.38,31.23,31.53,32.1,-0.48,-1.4953,3.5364,2100075,66526720.5,5321966373.84,1877740577.7
2019-04-09,'002796,世嘉科技,32.1,32.42,31.0,31.45,31.65,0.45,1.4218,5.2352,2881450,92160435.5,5402755237.2,1766787627.3
2019-04-08,'002796,世嘉科技,31.65,33.82,30.88,33.35,33.35,-1.7,-5.0975,10.0573,5535528,176566540.81,5327015677.8,1742019576.45
2019-04-04,'002796,世嘉科技,33.35,34.49,33.1,33.43,33.5,-0.15,-0.4478,5.6303,3098950,104018333.5,5613142902.2,1835587768.55
2019-04-03,'002796,世嘉科技,33.5,34.49,33.01,33.74,33.9,-0.4,-1.1799,7.1135,3915291,130646431.23,5638389422.0,1843843785.5
2019-04-02,'002796,世嘉科技,33.9,35.45,33.33,34.15,34.02,-0.12,-0.3527,10.8113,5950542,205070837.75,5705713474.8,1865859830.7
2019-04-01,'002796,世嘉科技,34.02,35.14,32.21,32.8,32.86,1.16,3.5301,10.3358,5688832,191156651.01,5725910690.64,1872464644.26
2019-03-29,'002796,世嘉科技,49.49,49.68,47.64,48.63,48.73,0.76,1.5596,5.8883,2160616,105747733.29,5553112304.95,1815956811.41
