日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002016,世荣兆业,9.79,9.87,9.78,9.8,9.83,-0.04,-0.4069,0.4927,3986480,39155015.32,7921046237.28,7921046237.28
2019-04-25,'002016,世荣兆业,9.83,10.24,9.82,10.21,10.25,-0.42,-4.0976,0.889,7193081,72005692.76,7953410062.56,7953410062.56
2019-04-24,'002016,世荣兆业,10.25,10.32,10.1,10.25,10.25,0.0,0.0,0.5381,4354077,44402348.99,8293230228.0,8293230228.0
2019-04-23,'002016,世荣兆业,10.25,10.42,10.23,10.36,10.41,-0.16,-1.537,0.7293,5900900,60834283.0,8293230228.0,8293230228.0
2019-04-22,'002016,世荣兆业,10.41,10.71,10.4,10.62,10.56,-0.15,-1.4205,0.8402,6797622,71363611.84,8422685529.12,8422685529.12
2019-04-19,'002016,世荣兆业,10.56,10.67,10.39,10.63,10.64,-0.08,-0.7519,1.0621,8593574,90397547.13,8544049873.92,8544049873.92
2019-04-18,'002016,世荣兆业,10.64,10.87,10.61,10.77,10.62,0.02,0.1883,1.3847,11203641,120258699.28,8608777524.48,8608777524.48
2019-04-17,'002016,世荣兆业,10.62,10.8,10.54,10.57,10.54,0.08,0.759,0.9688,7838755,83387587.28,8592595611.84,8592595611.84
2019-04-16,'002016,世荣兆业,10.54,10.55,10.22,10.34,10.39,0.15,1.4437,1.0432,8440448,87924162.35,8527867961.28,8527867961.28
2019-04-15,'002016,世荣兆业,10.39,10.7,10.38,10.62,10.46,-0.07,-0.6692,1.1026,8921217,94369896.23,8406503616.48,8406503616.48
2019-04-12,'002016,世荣兆业,10.46,10.66,10.35,10.61,10.6,-0.14,-1.3208,1.0683,8643702,90456109.77,8463140310.72,8463140310.72
2019-04-11,'002016,世荣兆业,10.6,10.99,10.6,10.95,10.95,-0.35,-3.1963,1.4254,11532869,124309389.2,8576413699.2,8576413699.2
2019-04-10,'002016,世荣兆业,10.95,11.09,10.72,11.05,11.15,-0.2,-1.7937,1.879,15203044,166572950.32,8859597170.4,8859597170.4
2019-04-09,'002016,世荣兆业,11.15,11.35,10.97,10.97,10.92,0.23,2.1062,3.0812,24929805,278745670.9,9021416296.8,9021416296.8
2019-04-08,'002016,世荣兆业,10.92,11.03,10.67,10.97,10.89,0.03,0.2755,1.8213,14736170,159907747.44,8835324301.44,8835324301.44
2019-04-04,'002016,世荣兆业,10.89,11.19,10.82,10.9,10.94,-0.05,-0.457,2.2124,17900588,195841172.9,8811051432.48,8811051432.48
2019-04-03,'002016,世荣兆业,10.94,11.01,10.8,10.9,11.03,-0.09,-0.816,2.7912,22583505,246035790.91,8851506214.08,8851506214.08
2019-04-02,'002016,世荣兆业,11.03,11.9,11.02,11.88,11.09,-0.06,-0.541,6.2981,50957397,578976619.4,8924324820.96,8924324820.96
2019-04-01,'002016,世荣兆业,11.09,11.16,10.67,10.68,10.63,0.46,4.3274,3.5744,28920551,318714121.84,8972870558.88,8972870558.88
2019-03-29,'002016,世荣兆业,10.63,10.68,10.16,10.27,10.26,0.37,3.6062,2.0476,16567322,174350058.38,8600686568.16,8600686568.16
2019-03-28,'002016,世荣兆业,10.26,10.61,10.25,10.59,10.63,-0.37,-3.4807,1.3326,10782230,112073512.7,8301321184.32,8301321184.32
2019-03-27,'002016,世荣兆业,10.63,10.71,9.98,10.17,10.23,0.4,3.9101,1.8867,15265583,158503634.06,8600686568.16,8600686568.16
2019-03-26,'002016,世荣兆业,10.23,10.72,10.19,10.62,10.6,-0.37,-3.4906,1.3745,11120805,115905496.15,8277048315.36,8277048315.36
2019-03-25,'002016,世荣兆业,10.6,10.87,10.6,10.71,10.97,-0.37,-3.3728,1.6763,13563258,145230213.36,8576413699.2,8576413699.2
2019-03-22,'002016,世荣兆业,10.97,11.13,10.74,10.8,10.84,0.13,1.1993,2.7114,21937479,241049559.75,8875779083.04,8875779083.04
2019-03-21,'002016,世荣兆业,10.84,10.95,10.68,10.78,10.79,0.05,0.4634,2.461,19911698,214956764.72,8770596650.88,8770596650.88
2019-03-20,'002016,世荣兆业,10.79,10.86,10.34,10.62,10.62,0.17,1.6008,2.489,20138011,214047346.03,8730141869.28,8730141869.28
2019-03-19,'002016,世荣兆业,10.62,10.92,10.52,10.75,10.75,-0.13,-1.2093,2.2945,18564813,198754669.27,8592595611.84,8592595611.84
2019-03-18,'002016,世荣兆业,10.75,10.82,10.22,10.3,10.25,0.5,4.878,2.8372,22955710,242579758.82,8697778044.0,8697778044.0
2019-03-15,'002016,世荣兆业,10.25,10.4,10.03,10.07,10.02,0.23,2.2954,1.4474,11711122,119964042.65,8293230228.0,8293230228.0
