日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002310,东方园林,7.16,7.26,7.03,7.06,7.06,0.1,1.4164,1.6239,42800383,305506064.52,19227907948.6,18870909203.0
2019-04-25,'002310,东方园林,7.06,7.35,7.03,7.18,7.24,-0.18,-2.4862,2.3517,61981728,445574002.08,18959361748.2,18607349018.6
2019-04-24,'002310,东方园林,7.24,7.67,7.01,7.66,7.79,-0.55,-7.0603,4.4875,118271387,862531118.39,19442744909.0,19081757350.6
2019-04-23,'002310,东方园林,7.79,7.99,7.77,7.99,8.09,-0.3,-3.7083,2.7426,72282780,566845961.54,20919749011.2,20531338364.8
2019-04-22,'002310,东方园林,8.09,8.4,8.08,8.33,8.52,-0.43,-5.0469,4.7227,124470422,1022160212.22,21725387612.4,21322018918.0
2019-04-19,'002310,东方园林,8.52,8.88,8.11,8.19,8.11,0.41,5.0555,6.3481,167310151,1425066160.58,22880136274.1,22455327710.9
2019-04-18,'002310,东方园林,8.11,8.28,8.09,8.23,8.24,-0.13,-1.5777,2.2995,60605472,494558851.49,21779096852.4,21374730954.8
2019-04-17,'002310,东方园林,8.24,8.25,7.93,8.03,8.04,0.2,2.4876,3.0835,81268473,660739074.74,22128206913.0,21717359194.6
2019-04-16,'002310,东方园林,8.04,8.04,7.7,7.83,7.85,0.19,2.4204,2.1777,57395964,452479655.93,21591114512.2,21190238825.8
2019-04-15,'002310,东方园林,7.85,8.05,7.81,8.0,7.88,-0.03,-0.3807,1.6277,42900029,341192945.09,21080876731.4,20689474475.4
2019-04-12,'002310,东方园林,7.88,7.95,7.8,7.82,7.82,0.06,0.7673,1.4509,38239886,301232444.57,21161440591.5,20768542530.7
2019-04-11,'002310,东方园林,7.82,8.17,7.8,8.16,8.16,-0.34,-4.1667,2.9638,78114361,621993722.89,21000312871.3,20610406420.1
2019-04-10,'002310,东方园林,8.16,8.28,8.13,8.24,8.35,-0.19,-2.2754,2.2187,58475053,478533359.61,21913369952.6,21506511047.0
2019-04-09,'002310,东方园林,8.35,8.41,8.23,8.38,8.39,-0.04,-0.4768,2.2658,59717539,496856466.71,22423607733.4,22007275397.4
2019-04-08,'002310,东方园林,8.39,8.56,8.2,8.24,8.24,0.15,1.8204,4.0721,107324556,897559608.76,22531026213.6,22112699471.2
