日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'603110,东方材料,14.02,14.29,13.82,13.82,14.17,-0.15,-1.0586,3.2431,1761023,24750748.0,2015141987.6,761293570.8
2019-04-25,'603110,东方材料,14.17,15.64,13.95,15.64,15.5,-1.33,-8.5806,7.1283,3870726,57039249.0,2036701994.6,769438651.8
2019-04-24,'603110,东方材料,15.5,15.78,15.43,15.43,15.62,-0.12,-0.7682,4.6401,2519620,39266844.0,2227867390.0,841658370.0
2019-04-23,'603110,东方材料,15.62,16.5,15.42,16.27,16.44,-0.82,-4.9878,10.3134,5600233,89003068.0,2245115395.6,848174434.8
2019-04-22,'603110,东方材料,16.44,18.35,16.36,17.7,17.17,-0.73,-4.2516,19.1675,10408083,180779208.0,2362976767.2,892700877.6
2019-04-19,'603110,东方材料,17.17,17.17,15.5,15.55,15.61,1.56,9.9936,15.4465,8387543,139365095.0,2467902134.6,932340271.8
2019-04-18,'603110,东方材料,15.61,15.78,15.56,15.56,15.63,-0.02,-0.128,2.7944,1517360,23729044.0,2243678061.8,847631429.4
2019-04-17,'603110,东方材料,15.63,15.8,15.5,15.6,15.59,0.04,0.2566,4.211,2286580,35899082.0,2246552729.4,848717440.2
2019-04-16,'603110,东方材料,15.59,15.68,14.93,15.23,15.43,0.16,1.0369,4.5241,2456600,37585303.0,2240803394.2,846545418.6
2019-04-15,'603110,东方材料,15.43,16.08,15.43,16.08,15.79,-0.36,-2.2799,3.8867,2110520,33287491.0,2217806053.4,837857332.2
2019-04-12,'603110,东方材料,15.79,15.9,15.4,15.6,15.54,0.25,1.6088,4.0264,2186340,34141942.0,2269550070.2,857405526.6
2019-04-11,'603110,东方材料,15.54,15.94,15.43,15.64,15.81,-0.27,-1.7078,4.9271,2675440,41740352.0,2233616725.2,843830391.6
2019-04-10,'603110,东方材料,15.81,16.36,15.8,16.36,16.46,-0.65,-3.949,5.4752,2973066,47504863.0,2272424737.8,858491537.4
2019-04-09,'603110,东方材料,16.46,16.48,15.99,16.33,16.35,0.11,0.6728,7.5835,4117895,66842678.0,2365851434.8,893786888.4
2019-04-08,'603110,东方材料,16.35,16.79,15.9,16.7,16.51,-0.16,-0.9691,8.6382,4690608,76690291.0,2350040763.0,887813829.0
2019-04-04,'603110,东方材料,16.51,17.1,16.32,16.91,16.9,-0.39,-2.3077,10.5922,5751606,95748127.0,2373038103.8,896501915.4
2019-04-03,'603110,东方材料,16.9,17.4,16.8,16.99,17.83,-0.93,-5.2159,16.209,8801593,150071344.0,2429094122.0,917679126.0
2019-04-02,'603110,东方材料,17.83,18.52,16.21,16.51,17.03,0.8,4.6976,27.0023,14662421,248149172.0,2562766165.4,968178628.2
2019-04-01,'603110,东方材料,17.03,18.23,16.3,16.3,16.57,0.46,2.7761,29.9259,16249915,283588857.0,2447779461.4,924738196.2
2019-03-29,'603110,东方材料,16.57,16.57,15.36,15.36,15.06,1.51,10.0266,26.0126,14124976,228253863.0,2381662106.6,899759947.8
2019-03-28,'603110,东方材料,15.06,15.06,13.43,13.6,13.69,1.37,10.0073,12.2733,6664448,98105812.0,2164624702.8,817766132.4
2019-03-27,'603110,东方材料,13.69,14.03,13.36,14.01,13.83,-0.14,-1.0123,3.8407,2085500,28489733.0,1967709972.2,743374392.6
2019-03-26,'603110,东方材料,13.83,14.61,13.5,14.47,14.57,-0.74,-5.0789,8.7723,4763394,66936572.0,1987832645.4,750976468.2
2019-03-25,'603110,东方材料,14.57,15.1,13.82,13.95,14.2,0.37,2.6056,13.2322,7185173,105639282.0,2094195346.6,791158867.8
2019-03-22,'603110,东方材料,14.2,14.26,13.46,13.75,13.73,0.47,3.4232,10.8288,5880123,82668344.0,2041013996.0,771067668.0
2019-03-21,'603110,东方材料,13.73,13.98,13.58,13.61,13.61,0.12,0.8817,8.6246,4683200,64772674.0,1973459307.4,745546414.2
2019-03-20,'603110,东方材料,13.61,13.63,13.3,13.62,13.61,0.0,0.0,4.3764,2376420,32034172.0,1956211301.8,739030349.4
2019-03-19,'603110,东方材料,13.61,13.73,13.41,13.5,13.56,0.05,0.3687,5.1502,2796600,37893190.0,1956211301.8,739030349.4
2019-03-18,'603110,东方材料,13.56,13.57,13.0,13.18,13.17,0.39,2.9613,7.1432,3878821,52180488.0,1949024632.8,736315322.4
2019-03-15,'603110,东方材料,13.17,13.5,12.6,12.77,12.58,0.59,4.69,5.4233,2944882,38445206.0,1892968614.6,715138111.8
2019-03-14,'603110,东方材料,12.58,13.13,12.3,13.02,12.99,-0.41,-3.1563,4.8781,2648821,33666736.0,1808165920.4,683100793.2
2019-03-13,'603110,东方材料,12.99,13.45,12.98,13.41,13.4,-0.41,-3.0597,5.722,3107080,41090054.0,1867096606.2,705364014.6
2019-03-12,'603110,东方材料,13.4,13.59,13.21,13.37,13.3,0.1,0.7519,7.8689,4272855,57343807.0,1926027292.0,727627236.0
2019-03-11,'603110,东方材料,13.3,13.35,12.83,12.84,12.92,0.38,2.9412,6.2356,3385980,44544533.0,1911653954.0,722197182.0
2019-03-08,'603110,东方材料,12.92,14.0,12.92,13.84,14.33,-1.41,-9.8395,11.4186,6200380,84103764.0,1857035269.6,701562976.8
2019-03-07,'603110,东方材料,14.33,14.69,13.22,13.33,13.35,0.98,7.3408,17.383,9439040,132018673.0,2059699335.4,778126738.2
2019-03-06,'603110,东方材料,13.35,13.4,13.06,13.38,13.31,0.04,0.3005,9.6777,5255040,69585850.0,1918840623.0,724912209.0
2019-03-05,'603110,东方材料,13.31,13.39,12.79,12.9,12.97,0.34,2.6214,9.6933,5263520,69308498.0,1913091287.8,722740187.4
2019-03-04,'603110,东方材料,12.97,13.38,12.89,13.0,12.95,0.02,0.1544,9.5571,5189580,68029384.0,1864221938.6,704278003.8
2019-03-01,'603110,东方材料,12.95,13.03,12.78,12.97,12.95,0.0,0.0,3.5452,1925075,24763255.0,1861347271.0,703191993.0
2019-02-28,'603110,东方材料,12.95,12.99,12.66,12.77,12.69,0.26,2.0489,4.4473,2414886,30999993.0,1861347271.0,703191993.0
2019-02-27,'603110,东方材料,12.69,13.06,12.55,12.98,12.92,-0.23,-1.7802,6.0958,3310066,42545695.0,1823976592.2,689073852.6
2019-02-26,'603110,东方材料,12.92,13.28,12.79,13.25,13.25,-0.33,-2.4906,11.3952,6187635,80659527.0,1857035269.6,701562976.8
2019-02-25,'603110,东方材料,13.25,13.26,12.8,12.97,12.77,0.48,3.7588,13.8577,7524780,98339934.0,1904467285.0,719482155.0
2019-02-22,'603110,东方材料,12.77,12.86,12.51,12.55,12.69,0.08,0.6304,6.6796,3627080,46045740.0,1835475262.6,693417895.8
2019-02-21,'603110,东方材料,12.69,13.14,12.65,12.88,12.87,-0.18,-1.3986,9.0633,4921435,63570152.0,1823976592.2,689073852.6
2019-02-20,'603110,东方材料,12.87,13.11,12.66,13.03,13.22,-0.35,-2.6475,10.5956,5753480,74133443.0,1849848600.6,698847949.8
2019-02-19,'603110,东方材料,13.22,13.43,12.93,13.2,13.49,-0.27,-2.0015,18.3764,9978504,131016786.0,1900155283.6,717853138.8
2019-02-18,'603110,东方材料,13.49,13.98,12.8,12.93,13.4,0.09,0.6716,23.4107,12712143,168562774.0,1938963296.2,732514284.6
2019-02-15,'603110,东方材料,13.4,14.26,13.16,13.54,12.96,0.44,3.3951,32.057,17407144,240358392.0,1926027292.0,727627236.0
2019-02-14,'603110,东方材料,12.96,12.96,11.72,12.62,11.78,1.18,10.017,14.876,8077770,99554261.0,1862784604.8,703734998.4
2019-02-13,'603110,东方材料,11.78,11.78,10.69,10.71,10.71,1.07,9.9907,6.634,3602280,41022552.0,1693179216.4,639660361.2
2019-02-12,'603110,东方材料,10.71,10.83,10.54,10.64,10.63,0.08,0.7526,1.6225,881050,9423254.0,1539384499.8,581558783.4
2019-02-11,'603110,东方材料,10.63,10.67,10.34,10.41,10.35,0.28,2.7053,1.4821,804810,8464985.0,1527885829.4,577214740.2
2019-02-01,'603110,东方材料,10.35,10.45,10.07,10.15,10.01,0.34,3.3966,1.5165,823489,8440100.0,1487640483.0,562010589.0
2019-01-31,'603110,东方材料,10.01,10.5,9.85,10.47,10.39,-0.38,-3.6574,2.0208,1097310,11111784.0,1438771133.8,543548405.4
2019-01-30,'603110,东方材料,10.39,10.53,10.35,10.43,10.42,-0.03,-0.2879,0.8744,474800,4955991.0,1493389818.2,564182610.6
2019-01-29,'603110,东方材料,10.42,10.75,10.2,10.74,10.75,-0.33,-3.0698,1.6977,921887,9676157.0,1497701819.6,565811626.8
2019-01-28,'603110,东方材料,10.75,10.93,10.7,10.83,10.75,0.0,0.0,1.7144,930940,10058130.0,1545133835.0,583730805.0
2019-01-25,'603110,东方材料,10.75,11.14,10.61,11.14,11.14,-0.39,-3.5009,3.2909,1787000,19490509.0,1545133835.0,583730805.0
2019-01-24,'603110,东方材料,11.14,11.24,11.07,11.21,11.22,-0.08,-0.713,1.6168,877947,9793998.0,1601189853.2,604908015.6
2019-01-23,'603110,东方材料,11.22,11.28,11.05,11.1,11.15,0.07,0.6278,2.2844,1240460,13845642.0,1612688523.6,609252058.8
2019-01-22,'603110,东方材料,11.15,11.45,11.08,11.3,11.4,-0.25,-2.193,2.6903,1460861,16349181.0,1602627187.0,605451021.0
2019-01-21,'603110,东方材料,11.4,11.68,11.03,11.11,11.19,0.21,1.8767,4.3812,2379034,26974761.0,1638560532.0,619026156.0
