日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000682,东方电子,5.43,5.72,5.42,5.66,5.67,-0.24,-4.2328,2.7593,26990368,150364650.77,7280147648.01,5311426148.85
2019-04-25,'000682,东方电子,5.67,6.05,5.67,6.01,6.05,-0.38,-6.281,2.6282,25707687,151823694.53,7601922129.69,5546185315.65
2019-04-24,'000682,东方电子,6.05,6.12,5.84,5.93,5.93,0.12,2.0236,2.5252,24700345,148002972.85,8111398392.35,5917887329.75
2019-04-23,'000682,东方电子,5.93,6.09,5.91,6.02,6.01,-0.08,-1.3311,2.3752,23233403,139452903.66,7950511151.51,5800507746.35
2019-04-22,'000682,东方电子,6.01,6.18,6.0,6.14,6.14,-0.13,-2.1173,2.3514,23000654,139753017.08,8057769312.07,5878760801.95
2019-04-19,'000682,东方电子,6.14,6.18,6.06,6.07,6.08,0.06,0.9868,1.9875,19440983,119249229.25,8232063822.98,6005922017.3
2019-04-18,'000682,东方电子,6.08,6.24,6.06,6.24,6.26,-0.18,-2.8754,2.9529,28884459,177354140.89,8151620202.56,5947232225.6
2019-04-17,'000682,东方电子,6.26,6.34,6.05,6.18,6.23,0.03,0.4815,3.8714,37868397,236909851.02,8392951063.82,6123301600.7
2019-04-16,'000682,东方电子,6.23,6.23,6.0,6.13,6.13,0.1,1.6313,2.8847,28216598,172737781.97,8352729253.61,6093956704.85
2019-04-15,'000682,东方电子,6.13,6.35,6.11,6.3,6.19,-0.06,-0.9693,2.3843,23322545,145357933.28,8218656552.91,5996140385.35
2019-04-12,'000682,东方电子,6.19,6.27,6.07,6.14,6.18,0.01,0.1618,2.3649,23133067,142778141.95,8299100173.33,6054830177.05
2019-04-11,'000682,东方电子,6.18,6.45,6.08,6.18,6.17,0.01,0.1621,4.1631,40721865,253928380.89,8285692903.26,6045048545.1
2019-04-10,'000682,东方电子,6.17,6.36,6.11,6.35,6.44,-0.27,-4.1925,4.9446,48366702,298898635.47,8272285633.19,6035266913.15
2019-04-09,'000682,东方电子,6.44,6.61,6.36,6.58,6.64,-0.2,-3.012,4.6802,45780345,296611760.76,8634281925.08,6299370975.8
2019-04-08,'000682,东方电子,6.64,6.66,6.3,6.36,6.36,0.28,4.4025,6.6484,65032146,419955892.68,8902427326.48,6495003614.8
2019-04-04,'000682,东方电子,6.36,6.52,6.31,6.42,6.39,-0.03,-0.4695,4.393,42970764,274352662.28,8527023764.52,6221117920.2
2019-04-03,'000682,东方电子,6.39,6.45,6.25,6.45,6.54,-0.15,-2.2936,5.5463,54252021,344855271.08,8567245574.73,6250462816.05
2019-04-02,'000682,东方电子,6.54,6.92,6.41,6.42,6.41,0.13,2.0281,8.7752,85835578,570118607.95,8768354625.78,6397187295.3
2019-04-01,'000682,东方电子,6.41,6.45,6.09,6.14,6.12,0.29,4.7386,7.1219,69663768,440758588.56,8594060114.87,6270026079.95
2019-03-29,'000682,东方电子,6.12,6.23,5.91,6.01,6.01,0.11,1.8303,6.7011,65548052,398240988.33,8205249282.84,5986358753.4
2019-03-28,'000682,东方电子,6.01,6.49,5.98,6.3,6.5,-0.49,-7.5385,6.7681,66203371,411496295.72,8057769312.07,5878760801.95
2019-03-27,'000682,东方电子,6.5,6.62,6.08,6.48,6.41,0.09,1.4041,8.845,86518602,548799729.46,8714725545.5,6358060767.5
2019-03-26,'000682,东方电子,6.41,6.97,6.41,6.9,7.12,-0.71,-9.9719,12.9434,126607161,833535299.58,8594060114.87,6270026079.95
2019-03-25,'000682,东方电子,7.12,7.86,7.0,7.34,7.51,-0.39,-5.1931,16.5491,161876757,1220594002.53,9545976289.84,6964521948.4
