日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000301,东方盛虹,6.0,6.12,5.98,6.12,6.07,-0.07,-1.1532,0.6093,7422263,44700790.6,24174319332.0,7309418670.0
2019-04-25,'000301,东方盛虹,6.07,6.32,6.04,6.19,6.16,-0.09,-1.461,0.9557,11643227,72039742.58,24456353057.5,7394695221.15
2019-04-24,'000301,东方盛虹,6.16,6.18,6.07,6.14,6.11,0.05,0.8183,0.5546,6756075,41413466.62,24818967847.5,7504336501.2
2019-04-23,'000301,东方盛虹,6.11,6.19,6.07,6.14,6.17,-0.06,-0.9724,0.8094,9860688,60312345.08,24617515186.4,7443424678.95
2019-04-22,'000301,东方盛虹,6.17,6.42,6.12,6.39,6.36,-0.19,-2.9874,1.535,18700501,116551235.94,24859258379.7,7516518865.65
2019-04-19,'000301,东方盛虹,6.36,6.38,6.27,6.34,6.33,0.03,0.4739,0.6813,8300435,52422114.14,25624778491.9,7747983790.2
2019-04-18,'000301,东方盛虹,6.33,6.42,6.3,6.38,6.37,-0.04,-0.6279,0.6266,7634029,48467248.38,25503906895.3,7711436696.85
2019-04-17,'000301,东方盛虹,6.37,6.5,6.31,6.46,6.46,-0.09,-1.3932,1.3495,16439998,104859488.61,25665069024.1,7760166154.65
2019-04-16,'000301,东方盛虹,6.46,6.48,6.34,6.43,6.43,0.03,0.4666,0.7606,9266269,59474211.03,26027683814.1,7869807434.7
2019-04-15,'000301,东方盛虹,6.43,6.85,6.42,6.76,6.62,-0.19,-2.8701,1.4449,17602372,115839826.17,25906812217.5,7833260341.35
2019-04-12,'000301,东方盛虹,6.62,6.65,6.33,6.39,6.39,0.23,3.5994,1.5673,19093229,123651905.86,26672332329.6,8064725265.9
2019-04-11,'000301,东方盛虹,6.39,6.8,6.33,6.7,6.64,-0.25,-3.7651,1.9858,24191881,158354042.4,25745650088.6,7784530883.55
2019-04-10,'000301,东方盛虹,6.64,6.68,6.52,6.58,6.61,0.03,0.4539,1.2645,15404567,101547490.49,26752913394.1,8089089994.8
2019-04-09,'000301,东方盛虹,6.61,6.72,6.4,6.65,6.65,-0.04,-0.6015,1.6012,19506052,128149604.48,26632041797.4,8052542901.45
2019-04-08,'000301,东方盛虹,6.65,6.96,6.5,6.7,6.47,0.18,2.7821,3.4024,41449168,278339309.74,26793203926.3,8101272359.25
2019-04-04,'000301,东方盛虹,6.47,6.66,6.1,6.1,6.06,0.41,6.7657,3.4619,42173797,269043660.62,26067974346.3,7881989799.15
