日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600958,东方证券,11.46,11.64,11.33,11.4,11.46,0.0,0.0,0.9679,54952075,630564077.0,80147295502.4,65062551788.4
2019-04-25,'600958,东方证券,11.46,11.89,11.44,11.75,11.82,-0.36,-3.0457,0.7901,44857662,523440480.0,80147295502.4,65062551788.4
2019-04-24,'600958,东方证券,11.82,11.89,11.55,11.77,11.77,0.05,0.4248,0.6823,38734459,456015052.0,82665011591.5,67106401582.8
2019-04-23,'600958,东方证券,11.77,12.09,11.55,11.8,11.82,-0.05,-0.423,0.945,53649894,632546665.0,82315328801.3,66822533555.8
2019-04-22,'600958,东方证券,11.82,12.4,11.77,12.32,12.11,-0.29,-2.3947,0.9591,54450108,654728181.0,82665011591.5,67106401582.8
2019-04-19,'600958,东方证券,12.11,12.28,11.89,11.89,11.74,0.37,3.1516,1.1492,65244994,786604941.0,84693171774.3,68752836139.4
2019-04-18,'600958,东方证券,11.74,11.83,11.64,11.78,11.74,0.0,0.0,0.4381,24873029,292096941.0,82105519127.2,66652212739.6
2019-04-17,'600958,东方证券,11.74,11.97,11.7,11.84,11.83,-0.09,-0.7608,0.7225,41017931,484774268.0,82105519127.2,66652212739.6
2019-04-16,'600958,东方证券,11.83,11.85,11.35,11.45,11.53,0.3,2.6019,0.8693,49350505,573497225.0,82734948149.5,67163175188.2
2019-04-15,'600958,东方证券,11.53,12.14,11.52,12.08,11.86,-0.33,-2.7825,1.0134,57532695,684066856.0,80636851408.6,65459967026.2
2019-04-12,'600958,东方证券,11.86,12.01,11.74,11.85,11.85,0.01,0.0844,0.6315,35849766,425954702.0,82944757823.6,67333496004.4
2019-04-11,'600958,东方证券,11.85,12.23,11.77,12.1,12.13,-0.28,-2.3083,0.9201,52238437,624439932.0,82874821265.6,67276722399.0
2019-04-10,'600958,东方证券,12.13,12.39,11.88,12.39,12.37,-0.24,-1.9402,1.1654,66163641,799803379.0,84833044890.4,68866383350.2
2019-04-09,'600958,东方证券,12.37,12.55,12.11,12.38,12.38,-0.01,-0.0808,0.9792,55595289,685863650.0,86511522283.1,70228949879.8
2019-04-08,'600958,东方证券,12.38,12.9,12.16,12.86,12.73,-0.35,-2.7494,1.2733,72290338,904681387.0,86581458841.1,70285723485.2
2019-04-04,'600958,东方证券,12.73,12.93,12.54,12.85,12.66,0.07,0.5529,1.5454,87738601,1116185196.0,89029238372.2,72272799674.2
2019-04-03,'600958,东方证券,12.66,12.86,11.98,12.08,12.11,0.55,4.5417,1.9443,110384783,1362452297.0,88539682466.0,71875384436.4
2019-04-02,'600958,东方证券,12.11,12.38,12.06,12.18,12.17,-0.06,-0.493,1.1748,66694975,815633031.0,84693171774.3,68752836139.4
2019-04-01,'600958,东方证券,12.17,12.32,11.82,12.05,11.92,0.25,2.0973,1.4975,85017099,1028836000.0,85112791122.5,69093477771.8
2019-03-29,'600958,东方证券,11.92,11.94,11.15,11.19,11.14,0.78,7.0018,1.7088,97012551,1129270034.0,83364377171.8,67674137636.8
2019-03-28,'600958,东方证券,11.14,11.34,10.95,11.08,11.15,-0.01,-0.0897,0.7716,43808270,488751232.0,77909325645.4,63245796415.6
2019-03-27,'600958,东方证券,11.15,11.26,11.03,11.23,11.08,0.07,0.6318,0.882,50075281,558602163.0,77979262203.4,63302570021.0
2019-03-26,'600958,东方证券,11.08,11.66,11.0,11.61,11.56,-0.48,-4.1522,1.3055,74115934,836021956.0,77489706297.2,62905154783.2
2019-03-25,'600958,东方证券,11.56,11.93,11.54,11.76,12.02,-0.46,-3.827,1.0783,61220641,718198600.0,80846661082.7,65630287842.4
2019-03-22,'600958,东方证券,12.02,12.15,11.74,12.02,12.14,-0.12,-0.9885,1.0198,57898183,692241029.0,84063742752.1,68241873690.8
2019-03-21,'600958,东方证券,12.14,12.36,11.88,11.93,11.96,0.18,1.505,1.707,96912272,1177424063.0,84902981448.4,68923156955.6
2019-03-20,'600958,东方证券,11.96,12.15,11.68,11.85,11.93,0.03,0.2515,1.2429,70562687,840633248.0,83644123403.9,67901232058.4
2019-03-19,'600958,东方证券,11.93,12.12,11.81,12.0,12.02,-0.09,-0.7488,0.847,48087071,575270772.0,83434313729.8,67730911242.2
2019-03-18,'600958,东方证券,12.02,12.03,11.63,11.82,11.76,0.26,2.2109,1.356,76983651,909601679.0,84063742752.1,68241873690.8
2019-03-15,'600958,东方证券,11.76,11.96,11.55,11.79,11.6,0.16,1.3793,1.2273,69679010,819965286.0,82245392243.3,66765759950.4
2019-03-14,'600958,东方证券,11.6,12.22,11.39,11.89,12.03,-0.43,-3.5744,1.3395,76046370,897557551.0,81126407314.8,65857382264.0
2019-03-13,'600958,东方证券,12.03,12.4,11.92,12.31,12.4,-0.37,-2.9839,1.5672,88974566,1076827451.0,84133679310.1,68298647296.2
2019-03-12,'600958,东方证券,12.4,12.72,12.25,12.5,12.35,0.05,0.4049,1.6843,95622810,1193084688.0,86721331957.2,70399270696.0
2019-03-11,'600958,东方证券,12.35,12.46,11.68,12.2,12.22,0.13,1.0638,1.7597,99906619,1207968705.0,86371649167.1,70115402669.0
2019-03-08,'600958,东方证券,12.22,13.09,12.22,12.6,13.58,-1.36,-10.0147,2.3552,133714464,1685656025.0,85462473912.7,69377345798.8
2019-03-07,'600958,东方证券,13.58,14.15,12.86,13.14,13.14,0.44,3.3486,3.2242,183049429,2450807214.0,94973845804.7,77098556133.2
