日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600718,东软集团,13.88,14.2,13.75,13.81,13.83,0.05,0.3615,1.0492,13034837,182727783.0,17244099694.6,17244099694.6
2019-04-25,'600718,东软集团,13.83,14.59,13.82,14.46,14.55,-0.72,-4.9485,1.0945,13598167,192516664.0,17181981179.8,17181981179.8
2019-04-24,'600718,东软集团,14.55,14.64,14.09,14.27,14.17,0.38,2.6817,1.0926,13574452,195928950.0,18076487792.2,18076487792.2
2019-04-23,'600718,东软集团,14.17,14.5,14.09,14.41,14.41,-0.24,-1.6655,0.8787,10916195,155316122.0,17604387080.2,17604387080.2
2019-04-22,'600718,东软集团,14.41,14.82,14.38,14.8,14.82,-0.41,-2.7665,1.195,14846430,215772381.0,17902555951.0,17902555951.0
2019-04-19,'600718,东软集团,14.82,14.92,14.54,14.58,14.52,0.3,2.0661,1.0825,13448839,198223408.0,18411927771.9,18411927771.9
2019-04-18,'600718,东软集团,14.52,14.86,14.51,14.85,14.8,-0.28,-1.8919,0.946,11752429,171847418.0,18039216683.4,18039216683.4
2019-04-17,'600718,东软集团,14.8,15.07,14.77,14.82,14.8,0.0,0.0,1.4196,17636596,262861585.0,18387080366.0,18387080366.0
2019-04-16,'600718,东软集团,14.8,14.86,14.18,14.51,14.59,0.21,1.4393,1.5198,18881750,274769235.0,18387080366.0,18387080366.0
2019-04-15,'600718,东软集团,14.59,15.22,14.58,15.0,14.86,-0.27,-1.817,1.7185,21349690,318397451.0,18126182604.0,18126182604.0
2019-04-12,'600718,东软集团,14.86,14.86,14.4,14.48,14.46,0.4,2.7663,1.3182,16376340,240160333.0,18461622583.7,18461622583.7
2019-04-11,'600718,东软集团,14.46,14.9,14.44,14.75,14.8,-0.34,-2.2973,1.3904,17274276,252816621.0,17964674465.7,17964674465.7
2019-04-10,'600718,东软集团,14.8,15.09,14.63,14.9,14.98,-0.18,-1.2016,1.533,19045833,282901355.0,18387080366.0,18387080366.0
2019-04-09,'600718,东软集团,14.98,15.26,14.8,15.01,15.02,-0.04,-0.2663,1.3364,16602760,249300189.0,18610707019.1,18610707019.1
2019-04-08,'600718,东软集团,15.02,15.8,14.78,15.62,15.55,-0.53,-3.4084,2.4389,30299887,460743654.0,18660401830.9,18660401830.9
2019-04-04,'600718,东软集团,15.55,15.75,15.3,15.69,15.45,0.1,0.6472,2.0184,25076255,388982397.0,19318858087.2,19318858087.2
2019-04-03,'600718,东软集团,15.45,15.66,15.11,15.3,15.4,0.05,0.3247,1.9925,24754566,380923602.0,19194621057.8,19194621057.8
2019-04-02,'600718,东软集团,15.4,16.19,15.38,15.67,15.58,-0.18,-1.1553,3.6388,45207411,709573913.0,19132502543.0,19132502543.0
2019-04-01,'600718,东软集团,15.58,15.6,15.07,15.08,14.65,0.93,6.3481,3.3621,41769514,642921972.0,19356129196.1,19356129196.1
2019-03-29,'600718,东软集团,14.65,14.65,13.92,14.18,14.13,0.52,3.6801,1.9299,23976594,345489384.0,18200724821.8,18200724821.8
2019-03-28,'600718,东软集团,14.13,14.72,14.1,14.45,14.56,-0.43,-2.9533,1.6881,20972452,301938905.0,17554692268.3,17554692268.3
2019-03-27,'600718,东软集团,14.56,15.04,14.21,14.95,14.91,-0.35,-2.3474,2.0241,25146904,367190957.0,18088911495.2,18088911495.2
2019-03-26,'600718,东软集团,14.91,15.64,14.88,14.9,14.82,0.09,0.6073,3.3369,41456867,629807743.0,18523741098.5,18523741098.5
2019-03-25,'600718,东软集团,14.82,15.28,14.56,14.69,15.05,-0.23,-1.5282,2.2591,28065798,420774366.0,18411927771.9,18411927771.9
2019-03-22,'600718,东软集团,15.05,15.15,14.56,15.11,15.21,-0.16,-1.0519,2.7006,33551401,499076130.0,18697672939.8,18697672939.8
