日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000099,中信海直,7.57,7.67,7.54,7.6,7.6,-0.03,-0.3947,0.7257,4397971,33479948.42,4587953079.4,4587953079.4
2019-04-25,'000099,中信海直,7.6,7.95,7.58,7.88,7.92,-0.32,-4.0404,1.0875,6590787,51100692.19,4606135192.0,4606135192.0
2019-04-24,'000099,中信海直,7.92,8.07,7.74,8.0,7.98,-0.06,-0.7519,1.2622,7649762,60372201.44,4800077726.4,4800077726.4
2019-04-23,'000099,中信海直,7.98,8.38,7.9,8.33,8.43,-0.45,-5.3381,1.8429,11169255,91172154.8,4836441951.6,4836441951.6
2019-04-22,'000099,中信海直,8.43,8.45,8.18,8.31,8.3,0.13,1.5663,1.8352,11122748,92552574.96,5109173640.6,5109173640.6
2019-04-19,'000099,中信海直,8.3,8.38,8.21,8.33,8.35,-0.05,-0.5988,1.1536,6991501,57878983.97,5030384486.0,5030384486.0
2019-04-18,'000099,中信海直,8.35,8.43,8.29,8.4,8.39,-0.04,-0.4768,1.4851,9000884,75281027.35,5060688007.0,5060688007.0
2019-04-17,'000099,中信海直,8.39,8.45,8.3,8.41,8.4,-0.01,-0.119,1.3114,7948092,66641903.6,5084930823.8,5084930823.8
2019-04-16,'000099,中信海直,8.4,8.42,8.17,8.25,8.25,0.15,1.8182,1.3199,7999632,66747839.59,5090991528.0,5090991528.0
2019-04-15,'000099,中信海直,8.25,8.51,8.22,8.35,8.33,-0.08,-0.9604,1.7454,10578635,88740173.85,5000080965.0,5000080965.0
2019-04-12,'000099,中信海直,8.33,8.41,8.25,8.37,8.28,0.05,0.6039,0.8812,5340568,44531500.35,5048566598.6,5048566598.6
2019-04-11,'000099,中信海直,8.28,8.59,8.26,8.54,8.53,-0.25,-2.9308,1.6035,9718163,81610155.45,5018263077.6,5018263077.6
2019-04-10,'000099,中信海直,8.53,8.59,8.32,8.46,8.46,0.07,0.8274,1.9563,11856517,100528419.62,5169780682.6,5169780682.6
2019-04-09,'000099,中信海直,8.46,8.57,8.31,8.57,8.55,-0.09,-1.0526,2.3212,14068004,118836395.3,5127355753.2,5127355753.2
2019-04-08,'000099,中信海直,8.55,8.8,8.45,8.7,8.95,-0.4,-4.4693,5.7124,34621241,298174225.85,5181902091.0,5181902091.0
2019-04-04,'000099,中信海直,8.95,9.46,8.91,9.45,8.6,0.35,4.0698,8.8605,53700925,499482148.02,5424330259.0,5424330259.0
2019-04-03,'000099,中信海直,8.6,8.74,8.28,8.38,8.28,0.32,3.8647,4.2055,25488493,218135563.99,5212205612.0,5212205612.0
2019-04-02,'000099,中信海直,8.28,8.5,8.18,8.18,8.15,0.13,1.5951,3.9317,23829115,199245032.5,5018263077.6,5018263077.6
2019-04-01,'000099,中信海直,8.15,8.16,7.79,7.79,7.79,0.36,4.6213,2.7778,16835692,135710996.83,4939473923.0,4939473923.0
2019-03-29,'000099,中信海直,7.79,7.83,7.54,7.56,7.55,0.24,3.1788,1.4663,8887113,68823772.53,4721288571.8,4721288571.8
2019-03-28,'000099,中信海直,7.55,7.78,7.52,7.59,7.56,-0.01,-0.1323,1.266,7672824,58834908.09,4575831671.0,4575831671.0
2019-03-27,'000099,中信海直,7.56,7.74,7.43,7.69,7.67,-0.11,-1.4342,1.3374,8105691,61324491.51,4581892375.2,4581892375.2
2019-03-26,'000099,中信海直,7.67,8.18,7.53,8.18,8.19,-0.52,-6.3492,3.0802,18668140,147120994.84,4648560121.4,4648560121.4
2019-03-25,'000099,中信海直,8.19,8.41,7.73,7.8,7.96,0.23,2.8894,4.5352,27486777,225260998.45,4963716739.8,4963716739.8
2019-03-22,'000099,中信海直,7.96,8.0,7.84,7.95,8.0,-0.04,-0.5,1.5681,9503763,75344303.57,4824320543.2,4824320543.2
2019-03-21,'000099,中信海直,8.0,8.08,7.86,7.87,7.88,0.12,1.5228,2.498,15139576,120243793.65,4848563360.0,4848563360.0
2019-03-20,'000099,中信海直,7.88,7.91,7.7,7.82,7.84,0.04,0.5102,1.5995,9694011,75809834.99,4775834909.6,4775834909.6
2019-03-19,'000099,中信海直,7.84,7.99,7.78,7.9,7.93,-0.09,-1.1349,1.9775,11985014,94391452.6,4751592092.8,4751592092.8
2019-03-18,'000099,中信海直,7.93,7.95,7.67,7.72,7.72,0.21,2.7202,1.8692,11328523,88855955.72,4806138430.6,4806138430.6
2019-03-15,'000099,中信海直,7.72,7.85,7.63,7.75,7.75,-0.03,-0.3871,1.569,9509281,73696767.55,4678863642.4,4678863642.4
2019-03-14,'000099,中信海直,7.75,7.91,7.49,7.55,7.62,0.13,1.706,2.325,14091242,108317428.78,4697045755.0,4697045755.0
2019-03-13,'000099,中信海直,7.62,7.96,7.58,7.93,7.98,-0.36,-4.5113,2.2767,13798266,107551590.51,4618256600.4,4618256600.4
2019-03-12,'000099,中信海直,7.98,8.16,7.73,7.8,7.8,0.18,2.3077,3.7405,22669936,178483731.46,4836441951.6,4836441951.6
2019-03-11,'000099,中信海直,7.8,7.83,7.55,7.55,7.55,0.25,3.3113,1.9375,11742324,90511720.49,4727349276.0,4727349276.0
2019-03-08,'000099,中信海直,7.55,8.03,7.52,7.91,8.13,-0.58,-7.1341,3.0589,18538942,144487900.9,4575831671.0,4575831671.0
2019-03-07,'000099,中信海直,8.13,8.26,8.0,8.09,8.28,-0.15,-1.8116,3.3807,20489610,166101227.37,4927352514.6,4927352514.6
2019-03-06,'000099,中信海直,8.28,8.35,8.03,8.3,8.31,-0.03,-0.361,3.4687,21022503,172339098.8,5018263077.6,5018263077.6
2019-03-05,'000099,中信海直,8.31,8.39,8.09,8.25,8.28,0.03,0.3623,3.3504,20305908,167407815.58,5036445190.2,5036445190.2
2019-03-04,'000099,中信海直,8.28,8.44,7.71,7.71,7.67,0.61,7.9531,4.6899,28424293,231528597.48,5018263077.6,5018263077.6
2019-03-01,'000099,中信海直,7.67,7.67,7.43,7.6,7.55,0.12,1.5894,1.8738,11356279,85874742.6,4648560121.4,4648560121.4
2019-02-28,'000099,中信海直,7.55,7.89,7.41,7.52,7.47,0.08,1.071,2.0748,12574742,95101208.44,4575831671.0,4575831671.0
2019-02-27,'000099,中信海直,7.47,7.69,7.22,7.29,7.3,0.17,2.3288,2.8811,17461449,129702477.73,4527346037.4,4527346037.4
2019-02-26,'000099,中信海直,7.3,7.42,7.13,7.21,7.25,0.05,0.6897,2.478,15018580,109509034.39,4424314066.0,4424314066.0
2019-02-25,'000099,中信海直,7.25,7.34,7.0,7.03,7.02,0.23,3.2764,2.533,15351686,110555633.37,4394010545.0,4394010545.0
2019-02-22,'000099,中信海直,7.02,7.04,6.85,6.92,6.94,0.08,1.1527,1.5823,9589916,66598580.97,4254614348.4,4254614348.4
2019-02-21,'000099,中信海直,6.94,7.13,6.91,6.99,7.05,-0.11,-1.5603,1.8281,11079722,77786822.86,4206128714.8,4206128714.8
2019-02-20,'000099,中信海直,7.05,7.16,6.71,6.78,6.82,0.23,3.3724,2.0664,12524079,86943853.53,4272796461.0,4272796461.0
2019-02-19,'000099,中信海直,6.82,6.95,6.68,6.84,6.84,-0.02,-0.2924,1.9631,11897684,80902537.8,4133400264.4,4133400264.4
2019-02-18,'000099,中信海直,6.84,6.88,6.61,6.62,6.64,0.2,3.012,2.0802,12607761,85483186.78,4145521672.8,4145521672.8
2019-02-15,'000099,中信海直,6.64,6.75,6.46,6.49,6.49,0.15,2.3112,2.3536,14264640,94611264.57,4024307588.8,4024307588.8
2019-02-14,'000099,中信海直,6.49,6.56,6.45,6.5,6.56,-0.07,-1.0671,1.3747,8331892,54152669.71,3933397025.8,3933397025.8
2019-02-13,'000099,中信海直,6.56,6.58,6.41,6.51,6.51,0.05,0.768,1.6033,9717248,63221824.13,3975821955.2,3975821955.2
2019-02-12,'000099,中信海直,6.51,6.53,6.33,6.38,6.43,0.08,1.2442,1.5074,9136203,58724552.48,3945518434.2,3945518434.2
2019-02-11,'000099,中信海直,6.43,6.45,6.14,6.17,6.18,0.25,4.0453,1.7333,10505227,66642197.49,3897032800.6,3897032800.6
2019-02-01,'000099,中信海直,6.18,6.18,6.05,6.06,6.06,0.12,1.9802,0.9699,5878017,35890425.3,3745515195.6,3745515195.6
2019-01-31,'000099,中信海直,6.06,6.28,6.03,6.27,6.28,-0.22,-3.5032,1.5237,9234701,56799715.32,3672786745.2,3672786745.2
2019-01-30,'000099,中信海直,6.28,6.44,6.1,6.16,6.19,0.09,1.454,2.3467,14222933,89401457.06,3806122237.6,3806122237.6
2019-01-29,'000099,中信海直,6.19,6.25,5.96,6.08,6.05,0.14,2.314,1.6616,10070576,61765918.19,3751575899.8,3751575899.8
2019-01-28,'000099,中信海直,6.05,6.14,6.05,6.1,6.08,-0.03,-0.4934,0.5778,3501623,21350777.91,3666726041.0,3666726041.0
2019-01-25,'000099,中信海直,6.08,6.13,6.03,6.06,6.08,0.0,0.0,0.721,4369709,26609826.7,3684908153.6,3684908153.6
2019-01-24,'000099,中信海直,6.08,6.1,5.99,6.04,6.04,0.04,0.6623,0.4847,2937594,17796443.59,3684908153.6,3684908153.6
2019-01-23,'000099,中信海直,6.04,6.04,5.97,5.99,5.99,0.05,0.8347,0.3295,1997294,11993513.93,3660665336.8,3660665336.8
2019-01-22,'000099,中信海直,5.99,6.07,5.96,6.05,6.06,-0.07,-1.1551,0.3479,2108785,12662890.61,3630361815.8,3630361815.8
2019-01-21,'000099,中信海直,6.06,6.11,6.04,6.06,6.05,0.01,0.1653,0.3595,2178970,13224859.6,3672786745.2,3672786745.2
2019-01-18,'000099,中信海直,6.05,6.08,5.98,5.98,5.99,0.06,1.0017,0.3793,2298700,13861202.0,3666726041.0,3666726041.0
2019-01-17,'000099,中信海直,5.99,6.12,5.98,6.09,6.07,-0.08,-1.318,0.42,2545258,15390401.26,3630361815.8,3630361815.8
2019-01-16,'000099,中信海直,6.07,6.14,6.06,6.14,6.12,-0.05,-0.817,0.5005,3033600,18496000.0,3678847449.4,3678847449.4
2019-01-15,'000099,中信海直,6.12,6.13,6.06,6.07,6.08,0.04,0.6579,0.642,3891009,23742730.83,3709150970.4,3709150970.4
2019-01-14,'000099,中信海直,6.08,6.16,6.05,6.1,6.1,-0.02,-0.3279,0.4345,2633600,16039402.8,3684908153.6,3684908153.6
2019-01-11,'000099,中信海直,6.1,6.12,6.01,6.04,6.04,0.06,0.9934,0.7138,4325989,26291912.3,3697029562.0,3697029562.0
2019-01-10,'000099,中信海直,6.04,6.14,6.01,6.09,6.1,-0.06,-0.9836,0.6645,4027471,24468397.98,3660665336.8,3660665336.8
2019-01-09,'000099,中信海直,6.1,6.16,6.05,6.05,6.07,0.03,0.4942,0.8268,5011023,30555518.26,3697029562.0,3697029562.0
2019-01-08,'000099,中信海直,6.07,6.23,6.03,6.2,6.24,-0.17,-2.7244,1.3044,7905760,48160890.0,3678847449.4,3678847449.4
2019-01-07,'000099,中信海直,6.24,6.34,5.92,5.96,5.9,0.34,5.7627,1.9257,11671263,71479666.63,3781879420.8,3781879420.8
2019-01-04,'000099,中信海直,5.9,5.93,5.6,5.69,5.76,0.14,2.4306,0.8506,5155341,30087548.82,3575815478.0,3575815478.0
2019-01-03,'000099,中信海直,5.76,5.98,5.65,5.67,5.64,0.12,2.1277,0.8069,4890327,28433741.72,3490965619.2,3490965619.2
2019-01-02,'000099,中信海直,5.64,5.7,5.63,5.65,5.64,0.0,0.0,0.2241,1358192,7685122.88,3418237168.8,3418237168.8
2018-12-28,'000099,中信海直,5.64,5.74,5.61,5.66,5.68,-0.04,-0.7042,0.3494,2117881,11989044.84,3418237168.8,3418237168.8
2018-12-27,'000099,中信海直,5.68,5.84,5.68,5.79,5.73,-0.05,-0.8726,0.3519,2133000,12324832.98,3442479985.6,3442479985.6
2018-12-26,'000099,中信海直,5.73,5.78,5.67,5.69,5.73,0.0,0.0,0.2276,1379532,7906566.34,3472783506.6,3472783506.6
2018-12-25,'000099,中信海直,5.73,5.79,5.57,5.79,5.79,-0.06,-1.0363,0.4719,2859747,16214420.81,3472783506.6,3472783506.6
2018-12-24,'000099,中信海直,5.79,5.8,5.73,5.73,5.74,0.05,0.8711,0.2706,1640080,9477646.2,3509147731.8,3509147731.8
2018-12-21,'000099,中信海直,5.74,5.85,5.7,5.79,5.8,-0.06,-1.0345,0.416,2521505,14499217.9,3478844210.8,3478844210.8
2018-12-20,'000099,中信海直,5.8,5.87,5.74,5.87,5.85,-0.05,-0.8547,0.5502,3334589,19341800.95,3515208436.0,3515208436.0
2018-12-19,'000099,中信海直,5.85,6.02,5.8,5.9,5.84,0.01,0.1712,0.6174,3741947,22012730.45,3545511957.0,3545511957.0
2018-12-18,'000099,中信海直,5.84,5.92,5.73,5.84,5.86,-0.02,-0.3413,0.5965,3614918,21055304.62,3539451252.8,3539451252.8
2018-12-17,'000099,中信海直,5.86,5.96,5.8,5.91,5.91,-0.05,-0.846,0.5768,3495860,20523993.7,3551572661.2,3551572661.2
2018-12-14,'000099,中信海直,5.91,6.21,5.86,6.13,6.16,-0.25,-4.0584,1.1785,7142829,43092070.89,3581876182.2,3581876182.2
2018-12-13,'000099,中信海直,6.16,6.26,5.93,5.95,5.92,0.24,4.0541,1.5723,9529129,58371878.36,3733393787.2,3733393787.2
2018-12-12,'000099,中信海直,5.92,6.05,5.89,5.91,5.91,0.01,0.1692,0.4219,2557001,15216757.95,3587936886.4,3587936886.4
2018-12-11,'000099,中信海直,5.91,5.94,5.84,5.89,5.86,0.05,0.8532,0.3309,2005675,11801808.42,3581876182.2,3581876182.2
2018-12-10,'000099,中信海直,5.86,5.95,5.84,5.95,5.96,-0.1,-1.6779,0.3524,2135501,12562045.89,3551572661.2,3551572661.2
2018-12-07,'000099,中信海直,5.96,6.0,5.93,5.97,5.97,-0.01,-0.1675,0.3076,1864024,11116134.0,3612179703.2,3612179703.2
2018-12-06,'000099,中信海直,5.97,6.07,5.91,6.05,6.07,-0.1,-1.6474,0.5303,3214266,19238148.75,3618240407.4,3618240407.4
2018-12-05,'000099,中信海直,6.07,6.09,5.98,6.05,6.11,-0.04,-0.6547,0.4547,2755689,16629151.67,3678847449.4,3678847449.4
2018-12-04,'000099,中信海直,6.11,6.13,6.05,6.08,6.12,-0.01,-0.1634,0.5133,3111189,18952372.17,3703090266.2,3703090266.2
2018-12-03,'000099,中信海直,6.12,6.13,5.99,6.0,5.89,0.23,3.9049,0.9526,5773402,34982387.76,3709150970.4,3709150970.4
2018-11-30,'000099,中信海直,5.89,5.93,5.76,5.92,5.92,-0.03,-0.5068,0.4675,2833089,16611546.55,3569754773.8,3569754773.8
2018-11-29,'000099,中信海直,5.92,6.06,5.9,6.02,6.01,-0.09,-1.4975,0.4192,2540606,15225292.4,3587936886.4,3587936886.4
2018-11-28,'000099,中信海直,6.01,6.01,5.81,5.89,5.9,0.11,1.8644,0.5651,3425176,20363358.78,3642483224.2,3642483224.2
2018-11-27,'000099,中信海直,5.9,6.0,5.81,5.87,5.86,0.04,0.6826,0.506,3066437,18192629.69,3575815478.0,3575815478.0
2018-11-26,'000099,中信海直,5.86,5.94,5.78,5.8,5.77,0.09,1.5598,0.5059,3066245,17992680.05,3551572661.2,3551572661.2
2018-11-23,'000099,中信海直,5.77,6.15,5.76,6.08,6.1,-0.33,-5.4098,0.8289,5023600,29619481.0,3497026323.4,3497026323.4
2018-11-22,'000099,中信海直,6.1,6.18,6.09,6.13,6.12,-0.02,-0.3268,0.54,3272645,20054116.47,3697029562.0,3697029562.0
2018-11-21,'000099,中信海直,6.12,6.14,6.02,6.05,6.1,0.02,0.3279,0.791,4794000,29185767.0,3709150970.4,3709150970.4
2018-11-20,'000099,中信海直,6.1,6.35,6.1,6.23,6.36,-0.26,-4.0881,1.3021,7891675,48996593.21,3697029562.0,3697029562.0
2018-11-19,'000099,中信海直,6.36,6.63,6.07,6.12,6.1,0.26,4.2623,2.0789,12599447,79942202.19,3854607871.2,3854607871.2
2018-11-16,'000099,中信海直,6.1,6.15,6.01,6.07,6.06,0.04,0.6601,0.9589,5811647,35419160.82,3697029562.0,3697029562.0
2018-11-15,'000099,中信海直,6.06,6.08,5.89,5.9,5.94,0.12,2.0202,0.895,5424362,32569709.48,3672786745.2,3672786745.2
2018-11-14,'000099,中信海直,5.94,6.17,5.94,6.02,5.91,0.03,0.5076,1.155,6999944,42376813.12,3600058294.8,3600058294.8
2018-11-13,'000099,中信海直,5.91,5.97,5.74,5.78,5.81,0.1,1.7212,0.9717,5889290,34579384.37,3581876182.2,3581876182.2
2018-11-12,'000099,中信海直,5.81,5.85,5.62,5.64,5.67,0.14,2.4691,0.5756,3488788,20148960.3,3521269140.2,3521269140.2
