日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'601117,中国化学,6.2,6.32,6.18,6.25,6.28,-0.08,-1.2739,0.6205,30608307,191082313.0,30584600000.0,30584600000.0
2019-04-25,'601117,中国化学,6.28,6.49,6.26,6.48,6.5,-0.22,-3.3846,0.7229,35661509,227154413.0,30979240000.0,30979240000.0
2019-04-24,'601117,中国化学,6.5,6.51,6.39,6.49,6.47,0.03,0.4637,0.6119,30183696,194946364.0,32064500000.0,32064500000.0
2019-04-23,'601117,中国化学,6.47,6.69,6.43,6.67,6.68,-0.21,-3.1437,0.9442,46578423,304140101.0,31916510000.0,31916510000.0
2019-04-22,'601117,中国化学,6.68,6.92,6.66,6.89,6.87,-0.19,-2.7656,0.8772,43271435,292168180.0,32952440000.0,32952440000.0
2019-04-19,'601117,中国化学,6.87,6.88,6.73,6.81,6.81,0.06,0.8811,0.663,32707830,222868286.0,33889710000.0,33889710000.0
2019-04-18,'601117,中国化学,6.81,6.86,6.75,6.8,6.82,-0.01,-0.1466,0.5518,27220442,184967237.0,33593730000.0,33593730000.0
2019-04-17,'601117,中国化学,6.82,6.95,6.78,6.89,6.88,-0.06,-0.8721,0.7747,38217934,261857366.0,33643060000.0,33643060000.0
2019-04-16,'601117,中国化学,6.88,6.89,6.65,6.71,6.75,0.13,1.9259,0.8183,40368916,275031505.0,33939040000.0,33939040000.0
2019-04-15,'601117,中国化学,6.75,7.02,6.75,6.93,6.83,-0.08,-1.1713,1.145,56483315,389561162.0,33297750000.0,33297750000.0
2019-04-12,'601117,中国化学,6.83,6.84,6.62,6.7,6.72,0.11,1.6369,0.8701,42924216,288746925.0,33692390000.0,33692390000.0
2019-04-11,'601117,中国化学,6.72,6.87,6.62,6.85,6.86,-0.14,-2.0408,1.1369,56084855,377172290.0,33149760000.0,33149760000.0
2019-04-10,'601117,中国化学,6.86,6.98,6.8,6.86,6.89,-0.03,-0.4354,0.9573,47223011,324780180.0,33840380000.0,33840380000.0
2019-04-09,'601117,中国化学,6.89,7.05,6.83,6.93,6.94,-0.05,-0.7205,1.1423,56349528,389837828.0,33988370000.0,33988370000.0
2019-04-08,'601117,中国化学,6.94,7.22,6.85,7.12,6.84,0.1,1.462,1.7286,85270244,597647296.0,34235020000.0,34235020000.0
2019-04-04,'601117,中国化学,6.84,6.96,6.69,6.88,6.85,-0.01,-0.146,1.8025,88915703,606005424.0,33741720000.0,33741720000.0
2019-04-03,'601117,中国化学,6.85,6.89,6.46,6.5,6.52,0.33,5.0613,1.8549,91504529,613574281.0,33791050000.0,33791050000.0
2019-04-02,'601117,中国化学,6.52,6.65,6.5,6.64,6.61,-0.09,-1.3616,1.0043,49542711,324845309.0,32163160000.0,32163160000.0
2019-04-01,'601117,中国化学,6.61,6.62,6.5,6.51,6.47,0.14,2.1638,1.0784,53198732,349780525.0,32607130000.0,32607130000.0
2019-03-29,'601117,中国化学,6.47,6.48,6.23,6.31,6.3,0.17,2.6984,0.8079,39852917,254187525.0,31916510000.0,31916510000.0
2019-03-28,'601117,中国化学,6.3,6.44,6.26,6.35,6.38,-0.08,-1.2539,0.4828,23814243,151002940.0,31077900000.0,31077900000.0
2019-03-27,'601117,中国化学,6.38,6.41,6.31,6.35,6.32,0.06,0.9494,0.4614,22760069,144736187.0,31472540000.0,31472540000.0
2019-03-26,'601117,中国化学,6.32,6.53,6.29,6.51,6.47,-0.15,-2.3184,0.7529,37141137,237013049.0,31176560000.0,31176560000.0
2019-03-25,'601117,中国化学,6.47,6.66,6.46,6.58,6.68,-0.21,-3.1437,0.919,45333717,297667758.0,31916510000.0,31916510000.0
2019-03-22,'601117,中国化学,6.68,6.72,6.44,6.5,6.52,0.16,2.454,0.9601,47361394,310475981.0,32952440000.0,32952440000.0
2019-03-21,'601117,中国化学,6.52,6.64,6.47,6.5,6.5,0.02,0.3077,0.944,46565303,305107775.0,32163160000.0,32163160000.0
2019-03-20,'601117,中国化学,6.5,6.54,6.38,6.48,6.44,0.06,0.9317,0.8177,40337638,260829653.0,32064500000.0,32064500000.0
2019-03-19,'601117,中国化学,6.44,6.59,6.36,6.44,6.42,0.02,0.3115,1.097,54116750,350274408.0,31768520000.0,31768520000.0
2019-03-18,'601117,中国化学,6.42,6.45,6.14,6.16,6.15,0.27,4.3902,1.3937,68751578,436699169.0,31669860000.0,31669860000.0
2019-03-15,'601117,中国化学,6.15,6.22,6.05,6.05,6.05,0.1,1.6529,0.8205,40477005,248392168.0,30337950000.0,30337950000.0
2019-03-14,'601117,中国化学,6.05,6.2,6.01,6.12,6.16,-0.11,-1.7857,0.5764,28434482,172998371.0,29844650000.0,29844650000.0
2019-03-13,'601117,中国化学,6.16,6.25,6.12,6.25,6.26,-0.1,-1.5974,0.6996,34510792,213597832.0,30387280000.0,30387280000.0
2019-03-12,'601117,中国化学,6.26,6.36,6.18,6.28,6.2,0.06,0.9677,0.9173,45249765,283906455.0,30880580000.0,30880580000.0
2019-03-11,'601117,中国化学,6.2,6.21,6.05,6.07,6.02,0.18,2.99,0.794,39169247,240371302.0,30584600000.0,30584600000.0
2019-03-08,'601117,中国化学,6.02,6.33,6.01,6.3,6.4,-0.38,-5.9375,1.1133,54918043,339332047.0,29696660000.0,29696660000.0
2019-03-07,'601117,中国化学,6.4,6.49,6.32,6.37,6.38,0.02,0.3135,0.9925,48960006,314042049.0,31571200000.0,31571200000.0
2019-03-06,'601117,中国化学,6.38,6.39,6.25,6.33,6.34,0.04,0.6309,1.033,50956194,322711491.0,31472540000.0,31472540000.0
2019-03-05,'601117,中国化学,6.34,6.46,6.15,6.22,6.24,0.1,1.6026,1.0714,52853202,332385686.0,31275220000.0,31275220000.0
2019-03-04,'601117,中国化学,6.24,6.35,6.18,6.19,6.17,0.07,1.1345,0.9647,47586676,298116793.0,30781920000.0,30781920000.0
2019-03-01,'601117,中国化学,6.17,6.19,6.09,6.18,6.14,0.03,0.4886,0.4639,22883713,140408199.0,30436610000.0,30436610000.0
2019-02-28,'601117,中国化学,6.14,6.22,6.08,6.12,6.12,0.02,0.3268,0.6124,30207335,185739159.0,30288620000.0,30288620000.0
2019-02-27,'601117,中国化学,6.12,6.23,6.07,6.12,6.15,-0.03,-0.4878,0.8259,40740915,250602664.0,30189960000.0,30189960000.0
2019-02-26,'601117,中国化学,6.15,6.39,6.04,6.1,6.11,0.04,0.6547,1.2422,61276924,381910409.0,30337950000.0,30337950000.0
2019-02-25,'601117,中国化学,6.11,6.14,5.82,5.85,5.8,0.31,5.3448,1.0995,54239647,323887674.0,30140630000.0,30140630000.0
2019-02-22,'601117,中国化学,5.8,5.8,5.71,5.74,5.74,0.06,1.0453,0.3796,18723374,107737824.0,28611400000.0,28611400000.0
2019-02-21,'601117,中国化学,5.74,5.84,5.72,5.81,5.82,-0.08,-1.3746,0.528,26047534,150633902.0,28315420000.0,28315420000.0
2019-02-20,'601117,中国化学,5.82,5.85,5.78,5.83,5.84,-0.02,-0.3425,0.281,13863087,80658460.0,28710060000.0,28710060000.0
2019-02-19,'601117,中国化学,5.84,5.92,5.76,5.83,5.83,0.01,0.1715,0.5552,27390179,160303223.0,28808720000.0,28808720000.0
