日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'601318,中国平安,83.11,84.43,82.8,83.0,83.4,-0.29,-0.3477,0.5991,64895907,5424636666.0,1.51927086359e+12,9.00302746429e+11
2019-04-25,'601318,中国平安,83.4,84.99,83.15,84.35,85.03,-1.63,-1.917,0.6054,65576928,5505578220.0,1.52457213359e+12,9.03444219133e+11
2019-04-24,'601318,中国平安,85.03,86.88,83.55,86.08,86.06,-1.03,-1.1968,0.7504,81285189,6916666438.0,1.55436892709e+12,9.21101462265e+11
2019-04-23,'601318,中国平安,86.06,87.38,84.5,84.75,84.96,1.1,1.2947,0.626,67811637,5833032636.0,1.57319757574e+12,9.32259106698e+11
2019-04-22,'601318,中国平安,84.96,88.09,84.5,87.22,87.0,-2.04,-2.3448,0.8605,93211520,8032960471.0,1.55308931019e+12,9.2034317575e+11
2019-04-19,'601318,中国平安,87.0,87.0,84.2,85.27,84.3,2.7,3.2028,0.7285,78913196,6768190588.0,1.59038100267e+12,9.42441811326e+11
2019-04-18,'601318,中国平安,84.3,85.02,83.88,84.69,84.48,-0.18,-0.2131,0.3667,39728704,3354513849.0,1.54102435086e+12,9.13193617181e+11
2019-04-17,'601318,中国平安,84.48,85.35,83.8,84.92,85.01,-0.53,-0.6235,0.5833,63191560,5350101242.0,1.54431479432e+12,9.15143496791e+11
2019-04-16,'601318,中国平安,85.01,85.13,80.9,81.22,81.66,3.35,4.1024,0.9566,103622277,8642148123.0,1.55400332226e+12,9.20884808975e+11
2019-04-15,'601318,中国平安,81.66,83.88,81.6,82.23,80.44,1.22,1.5167,0.9139,98995302,8203396924.0,1.49276451354e+12,8.84595382907e+11
2019-04-12,'601318,中国平安,80.44,81.16,79.9,80.35,80.71,-0.27,-0.3345,0.4863,52677940,4235942763.0,1.47046261902e+12,8.71379532219e+11
2019-04-11,'601318,中国平安,80.71,83.62,80.16,82.65,82.03,-1.32,-1.6092,0.6985,75662885,6180144016.0,1.4753982842e+12,8.74304351634e+11
2019-04-10,'601318,中国平安,82.03,82.11,79.66,80.8,81.1,0.93,1.1467,0.7234,78362038,6347140293.0,1.49952820286e+12,8.88603468771e+11
2019-04-09,'601318,中国平安,81.1,82.0,80.37,80.4,80.59,0.51,0.6328,0.5555,60173789,4887104136.0,1.48252757835e+12,8.78529090788e+11
2019-04-08,'601318,中国平安,80.59,82.25,80.02,80.7,80.2,0.39,0.4863,0.8457,91612230,7448621190.0,1.47320465523e+12,8.73004431894e+11
