日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600764,中国海防,28.54,29.47,28.33,29.06,29.0,-0.46,-1.5862,0.566,1860709,53678599.0,11267770175.2,9382973905.66
2019-04-25,'600764,中国海防,29.0,30.59,29.0,30.59,30.6,-1.6,-5.2288,0.4997,1642750,49019558.0,11449381047.0,9534206141.0
2019-04-24,'600764,中国海防,30.6,30.82,29.67,30.54,30.6,0.0,0.0,0.68,2235653,67508054.0,12081071035.8,10060231307.4
2019-04-23,'600764,中国海防,30.6,32.15,29.53,32.15,32.16,-1.56,-4.8507,0.8499,2794078,85813307.0,12081071035.8,10060231307.4
2019-04-22,'600764,中国海防,32.16,33.39,31.93,32.78,32.5,-0.34,-1.0462,0.7665,2519863,81950992.0,12696968774.9,10573105844.6
2019-04-19,'600764,中国海防,32.5,32.7,31.5,32.69,32.8,-0.3,-0.9146,0.6986,2296675,73670934.0,12831202897.5,10684886192.5
2019-04-18,'600764,中国海防,32.8,33.75,31.32,32.01,31.99,0.81,2.532,1.1872,3903075,127568276.0,12949644770.4,10783515911.2
2019-04-17,'600764,中国海防,31.99,32.16,31.43,31.86,31.65,0.34,1.0742,0.8127,2671842,84940092.0,12629851713.6,10517215670.7
2019-04-16,'600764,中国海防,31.65,31.8,30.13,30.8,30.65,1.0,3.2626,0.897,2949094,91887809.0,12495617591.0,10405435322.9
2019-04-15,'600764,中国海防,30.65,32.08,30.3,31.24,30.92,-0.27,-0.8732,0.9976,3279793,102875604.0,12100811348.0,10076669593.9
2019-04-12,'600764,中国海防,30.92,32.16,30.12,32.06,32.02,-1.1,-3.4354,1.1788,3875529,119786791.0,12207409033.6,10165436340.7
2019-04-11,'600764,中国海防,32.02,33.65,31.86,32.98,33.27,-1.25,-3.7571,0.966,3175901,103284609.0,12641695900.9,10527078642.6
2019-04-10,'600764,中国海防,33.27,34.73,31.92,34.73,34.53,-1.26,-3.649,1.3435,4416920,145568481.0,13135203704.6,10938035803.8
2019-04-09,'600764,中国海防,34.53,35.05,34.3,35.05,35.14,-0.61,-1.7359,0.6044,1987200,68755439.0,13632659570.8,11352280622.4
2019-04-08,'600764,中国海防,35.14,36.73,34.53,35.79,35.52,-0.38,-1.0698,0.9504,3124502,110853301.0,13873491379.0,11552827717.1
2019-04-04,'600764,中国海防,35.52,35.75,35.0,35.45,35.41,0.11,0.3106,0.8926,2934418,103713420.0,14023517751.4,11677758694.1
2019-04-03,'600764,中国海防,35.41,35.69,34.5,34.74,35.2,0.21,0.5966,0.9079,2984889,104949652.0,13980089064.6,11641594463.9
2019-04-02,'600764,中国海防,35.2,36.57,34.98,35.75,35.53,-0.33,-0.9288,1.3293,4370391,156079340.0,13897179753.6,11572553660.8
2019-04-01,'600764,中国海防,35.53,35.8,33.65,34.03,33.85,1.68,4.9631,1.3973,4593943,161686310.0,14027465813.8,11681046351.4
2019-03-29,'600764,中国海防,33.85,35.15,33.28,34.0,33.02,0.83,2.5136,1.1556,3799279,128854822.0,13364191325.5,11128719926.6
2019-03-28,'600764,中国海防,33.02,34.98,33.0,33.03,32.83,0.19,0.5787,0.6919,2274651,76717332.0,13036502143.9,10855844371.6
2019-03-27,'600764,中国海防,32.83,32.9,32.05,32.7,32.7,0.13,0.3976,0.3776,1241445,40303374.0,12961488957.7,10793378883.1
2019-03-26,'600764,中国海防,32.7,33.79,32.34,33.79,33.9,-1.2,-3.5398,0.8611,2830893,93116104.0,12910164146.1,10750639338.3
2019-03-25,'600764,中国海防,33.9,35.0,31.5,31.82,31.83,2.07,6.5033,2.0198,6640472,225179153.0,13383931637.7,11145158213.1
2019-03-22,'600764,中国海防,31.83,32.08,31.21,31.77,32.08,-0.25,-0.7793,0.3782,1243302,39288080.0,12566682714.7,10464613154.1
2019-03-21,'600764,中国海防,32.08,32.3,31.5,31.76,31.9,0.18,0.5643,0.4897,1610052,51463934.0,12665384275.4,10546804586.3
2019-03-20,'600764,中国海防,31.9,32.58,31.1,32.19,31.91,-0.01,-0.0313,0.4805,1579835,50050991.0,12594319151.7,10487626755.1
2019-03-19,'600764,中国海防,31.91,32.61,31.58,32.61,32.13,-0.22,-0.6847,0.6473,2128173,68471760.0,12598267214.1,10490914412.4
2019-03-18,'600764,中国海防,32.13,32.67,29.85,29.85,29.75,2.38,8.0,1.0293,3383945,105867790.0,12685124587.6,10563242872.8
2019-03-15,'600764,中国海防,29.75,30.42,29.2,29.99,29.99,-0.24,-0.8003,0.5876,1931897,57570029.0,11745485729.2,9780780437.75
2019-03-14,'600764,中国海防,29.99,31.48,29.0,30.75,31.06,-1.07,-3.4449,0.6628,2179134,65283085.0,11840239227.6,9859684212.71
2019-03-13,'600764,中国海防,31.06,33.0,30.0,30.0,30.01,1.05,3.4988,1.5145,4979198,158735726.0,12262681907.6,10211463542.7
2019-03-12,'600764,中国海防,30.01,30.49,29.5,29.95,29.96,0.05,0.1669,0.7527,2474616,74318320.0,11848135352.4,9866259527.29
2019-03-11,'600764,中国海防,29.96,30.28,27.92,27.92,27.9,2.06,7.3835,1.0465,3440653,101464013.0,11828395040.3,9849821240.84
2019-03-08,'600764,中国海防,27.9,29.22,27.75,29.17,29.26,-1.36,-4.648,0.6566,2158518,61853614.0,11015094179.7,9172563839.1
2019-03-07,'600764,中国海防,29.26,29.78,28.95,29.61,29.8,-0.54,-1.8121,0.6648,2185649,64055394.0,11552030670.2,9619685230.54
2019-03-06,'600764,中国海防,29.8,30.25,29.13,29.13,28.89,0.91,3.1499,1.1141,3662757,108782686.0,11765226041.4,9797218724.2
2019-03-05,'600764,中国海防,28.89,29.0,27.7,27.71,27.91,0.98,3.5113,0.9021,2965823,83859786.0,11405952360.3,9498041910.81
2019-03-04,'600764,中国海防,27.91,28.45,27.6,27.88,27.88,0.03,0.1076,0.7302,2400491,67140053.0,11019042242.1,9175851496.39
2019-03-01,'600764,中国海防,27.88,28.07,27.25,27.98,27.84,0.04,0.1437,0.7003,2302318,63570490.0,11007198054.8,9165988524.52
2019-02-28,'600764,中国海防,27.84,28.13,27.35,27.35,27.0,0.84,3.1111,0.8861,2913102,81110718.0,10991405805.1,9152837895.36
2019-02-27,'600764,中国海防,27.0,28.2,26.3,26.41,26.5,0.5,1.8868,1.0564,3473179,94982697.0,10659768561.0,8876674683.0
2019-02-26,'600764,中国海防,26.5,27.3,26.49,27.3,27.48,-0.98,-3.5662,0.7502,2466553,66229878.0,10462365439.5,8712291818.5
2019-02-25,'600764,中国海防,27.48,28.0,25.82,26.1,25.82,1.66,6.4291,0.8911,2929664,79061104.0,10849275557.6,9034482232.92
