日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002779,中坚科技,16.65,17.26,16.51,17.2,17.14,-0.49,-2.8588,0.4112,542784,9100609.8,2197800000.0,2197800000.0
2019-04-25,'002779,中坚科技,17.14,18.24,17.0,18.24,18.31,-1.17,-6.39,0.5998,791752,13994615.78,2262480000.0,2262480000.0
2019-04-24,'002779,中坚科技,18.31,18.57,18.0,18.0,18.0,0.31,1.7222,0.2854,376750,6891674.5,2416920000.0,2416920000.0
2019-04-23,'002779,中坚科技,18.0,18.33,18.0,18.1,18.23,-0.23,-1.2617,0.2387,315100,5723110.5,2376000000.0,2376000000.0
2019-04-22,'002779,中坚科技,18.23,18.65,18.15,18.5,18.57,-0.34,-1.8309,0.3343,441291,8087542.85,2406360000.0,2406360000.0
2019-04-19,'002779,中坚科技,18.57,18.62,18.22,18.28,18.2,0.37,2.033,0.4541,599404,11061767.28,2451240000.0,2451240000.0
2019-04-18,'002779,中坚科技,18.2,18.59,18.14,18.58,18.56,-0.36,-1.9397,0.3081,406650,7432627.5,2402400000.0,2402400000.0
2019-04-17,'002779,中坚科技,18.56,18.7,18.31,18.7,18.51,0.05,0.2701,0.4035,532598,9846394.06,2449920000.0,2449920000.0
2019-04-16,'002779,中坚科技,18.51,18.51,17.98,18.35,18.19,0.32,1.7592,0.3478,459154,8385578.1,2443320000.0,2443320000.0
2019-04-15,'002779,中坚科技,18.19,18.95,18.05,18.7,18.7,-0.51,-2.7273,0.3577,472200,8784603.0,2401080000.0,2401080000.0
2019-04-12,'002779,中坚科技,18.7,18.83,18.4,18.4,18.47,0.23,1.2453,0.3997,527594,9824682.94,2468400000.0,2468400000.0
2019-04-11,'002779,中坚科技,18.47,19.3,18.41,19.02,19.16,-0.69,-3.6013,0.5075,669904,12599942.92,2438040000.0,2438040000.0
2019-04-10,'002779,中坚科技,19.16,19.65,19.01,19.2,19.35,-0.19,-0.9819,1.0544,1391867,26777280.97,2529120000.0,2529120000.0
2019-04-09,'002779,中坚科技,19.35,19.45,18.82,19.01,19.2,0.15,0.7813,1.8327,2419098,46511152.32,2554200000.0,2554200000.0
2019-04-08,'002779,中坚科技,19.2,19.5,18.37,19.0,18.82,0.38,2.0191,0.9972,1316304,24864273.18,2534400000.0,2534400000.0
2019-04-04,'002779,中坚科技,18.82,19.19,18.65,19.09,19.09,-0.27,-1.4144,0.6554,865179,16288466.55,2484240000.0,2484240000.0
2019-04-03,'002779,中坚科技,19.09,19.09,18.71,18.85,18.85,0.24,1.2732,0.6882,908475,17199145.75,2519880000.0,2519880000.0
2019-04-02,'002779,中坚科技,18.85,19.21,18.8,19.21,19.07,-0.22,-1.1536,0.7581,1000650,18939728.5,2488200000.0,2488200000.0
2019-04-01,'002779,中坚科技,19.07,19.08,18.26,18.59,18.57,0.5,2.6925,1.0287,1357850,25609068.0,2517240000.0,2517240000.0
2019-03-29,'002779,中坚科技,18.57,18.57,18.19,18.4,18.41,0.16,0.8691,0.5511,727452,13422175.56,2451240000.0,2451240000.0
2019-03-28,'002779,中坚科技,18.41,19.19,18.28,18.32,18.42,-0.01,-0.0543,0.478,630933,11710255.84,2430120000.0,2430120000.0
2019-03-27,'002779,中坚科技,18.42,18.54,18.0,18.0,18.0,0.42,2.3333,0.5675,749050,13683377.5,2431440000.0,2431440000.0
2019-03-26,'002779,中坚科技,18.0,18.98,18.0,18.61,18.8,-0.8,-4.2553,0.8133,1073600,19803821.5,2376000000.0,2376000000.0
2019-03-25,'002779,中坚科技,18.8,19.39,18.5,19.39,19.8,-1.0,-5.0505,1.5241,2011833,37836464.69,2481600000.0,2481600000.0
2019-03-22,'002779,中坚科技,19.8,20.2,19.45,19.48,18.37,1.43,7.7844,3.344,4414058,87570550.13,2613600000.0,2613600000.0
2019-03-21,'002779,中坚科技,18.37,18.59,18.3,18.4,18.4,-0.03,-0.163,0.5678,749481,13817816.77,2424840000.0,2424840000.0
2019-03-20,'002779,中坚科技,18.4,18.53,18.08,18.46,18.4,0.0,0.0,0.3167,418007,7664488.16,2428800000.0,2428800000.0
2019-03-19,'002779,中坚科技,18.4,18.94,18.35,18.7,18.64,-0.24,-1.2876,0.3725,491740,9096052.3,2428800000.0,2428800000.0
2019-03-18,'002779,中坚科技,18.64,18.79,18.2,18.45,18.32,0.32,1.7467,0.6511,859500,15893033.5,2460480000.0,2460480000.0
2019-03-15,'002779,中坚科技,18.32,18.75,18.01,18.31,18.38,-0.06,-0.3264,0.3666,483856,8912272.7,2418240000.0,2418240000.0
2019-03-14,'002779,中坚科技,18.38,19.39,17.52,18.43,18.55,-0.17,-0.9164,1.0868,1434640,26049707.1,2426160000.0,2426160000.0
2019-03-13,'002779,中坚科技,18.55,19.3,18.51,19.3,19.22,-0.67,-3.486,0.7255,957616,17980331.05,2448600000.0,2448600000.0
2019-03-12,'002779,中坚科技,19.22,19.28,18.39,18.4,18.4,0.82,4.4565,1.1762,1552566,29409201.24,2537040000.0,2537040000.0
2019-03-11,'002779,中坚科技,18.4,18.4,17.96,17.99,17.9,0.5,2.7933,0.518,683716,12450376.16,2428800000.0,2428800000.0
2019-03-08,'002779,中坚科技,17.9,19.0,17.9,19.0,19.34,-1.44,-7.4457,1.1673,1540900,28419369.68,2362800000.0,2362800000.0
2019-03-07,'002779,中坚科技,19.34,19.84,18.9,19.7,19.91,-0.57,-2.8629,1.3279,1752860,33713709.59,2552880000.0,2552880000.0
2019-03-06,'002779,中坚科技,19.91,20.84,19.56,20.47,19.49,0.42,2.155,2.1404,2825297,57336693.61,2628120000.0,2628120000.0
2019-03-05,'002779,中坚科技,19.49,19.5,18.26,18.26,18.44,1.05,5.6941,1.349,1780668,34014364.34,2572680000.0,2572680000.0
2019-03-04,'002779,中坚科技,18.44,18.77,18.25,18.5,18.5,-0.06,-0.3243,0.6375,841562,15543474.36,2434080000.0,2434080000.0
2019-03-01,'002779,中坚科技,18.5,19.15,17.9,18.11,18.0,0.5,2.7778,0.6098,804893,14881673.31,2442000000.0,2442000000.0
2019-02-28,'002779,中坚科技,18.0,18.52,17.97,18.44,18.46,-0.46,-2.4919,0.5884,776666,14073527.4,2376000000.0,2376000000.0
2019-02-27,'002779,中坚科技,18.46,18.81,18.2,18.3,18.3,0.16,0.8743,1.2069,1593060,29252334.63,2436720000.0,2436720000.0
2019-02-26,'002779,中坚科技,18.3,18.77,18.12,18.49,18.91,-0.61,-3.2258,0.6982,921650,16907885.0,2415600000.0,2415600000.0
2019-02-25,'002779,中坚科技,18.91,19.0,17.5,17.68,17.6,1.31,7.4432,1.5916,2100936,38662991.24,2496120000.0,2496120000.0
2019-02-22,'002779,中坚科技,17.6,17.66,17.05,17.15,17.17,0.43,2.5044,0.2975,392638,6802603.28,2323200000.0,2323200000.0
2019-02-21,'002779,中坚科技,17.17,17.3,17.01,17.18,17.19,-0.02,-0.1163,0.2177,287325,4921229.0,2266440000.0,2266440000.0
2019-02-20,'002779,中坚科技,17.19,17.29,17.01,17.23,17.26,-0.07,-0.4056,0.1249,164900,2820737.0,2269080000.0,2269080000.0
2019-02-19,'002779,中坚科技,17.26,17.51,17.0,17.5,17.5,-0.24,-1.3714,0.3431,452850,7789892.5,2278320000.0,2278320000.0
2019-02-18,'002779,中坚科技,17.5,17.58,16.7,16.77,16.77,0.73,4.353,0.7866,1038350,17864370.0,2310000000.0,2310000000.0
2019-02-15,'002779,中坚科技,16.77,16.79,16.57,16.7,16.7,0.07,0.4192,0.128,168950,2823571.47,2213640000.0,2213640000.0
