日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300270,中威电子,8.22,8.37,8.11,8.18,8.21,0.01,0.1218,1.1084,3020410,24943585.7,2489065550.16,2239974660.0
2019-04-25,'300270,中威电子,8.21,8.72,8.21,8.71,8.74,-0.53,-6.0641,1.5198,4141500,34893001.0,2486037489.88,2237249630.0
2019-04-24,'300270,中威电子,8.74,8.74,8.35,8.6,8.67,0.07,0.8074,1.7478,4762705,40684849.95,2646524684.72,2381676220.0
2019-04-23,'300270,中威电子,8.67,8.91,8.63,8.83,8.82,-0.15,-1.7007,1.3129,3577680,31238857.0,2625328262.76,2362601010.0
2019-04-22,'300270,中威电子,8.82,9.05,8.8,9.0,9.01,-0.19,-2.1088,1.4873,4052943,36095710.26,2670749166.96,2403476460.0
2019-04-19,'300270,中威电子,9.01,9.05,8.82,8.88,8.87,0.14,1.5784,1.4241,3880700,34730826.75,2728282312.28,2455252030.0
2019-04-18,'300270,中威电子,8.87,9.14,8.85,9.06,9.06,-0.19,-2.0971,1.777,4842272,43495081.41,2685889468.36,2417101610.0
2019-04-17,'300270,中威电子,9.06,9.2,8.9,9.02,9.11,-0.05,-0.5488,2.5746,7015851,63459168.52,2743422613.68,2468877180.0
2019-04-16,'300270,中威电子,9.11,9.13,8.53,8.82,8.92,0.19,2.13,2.8674,7813622,69118969.83,2758562915.08,2482502330.0
2019-04-15,'300270,中威电子,8.92,9.14,8.88,9.05,9.02,-0.1,-1.1086,3.2276,8795425,79152604.17,2701029769.76,2430726760.0
2019-04-12,'300270,中威电子,9.02,9.28,8.88,9.14,9.4,-0.38,-4.0426,3.9077,10648521,96900346.8,2731310372.56,2457977060.0
2019-04-11,'300270,中威电子,9.4,10.04,9.4,9.88,10.44,-1.04,-9.9617,7.5049,20451072,197947017.69,2846376663.2,2561528200.0
2019-04-10,'300270,中威电子,10.44,10.89,9.58,9.84,9.9,0.54,5.4545,12.6071,34354645,357034622.76,3161294932.32,2844931320.0
2019-04-09,'300270,中威电子,9.9,9.9,9.12,9.2,9.0,0.9,10.0,8.3631,22789699,219491040.1,2997779677.2,2697779700.0
2019-04-08,'300270,中威电子,9.0,9.28,8.88,9.15,9.12,-0.12,-1.3158,2.5448,6934672,63078315.76,2725254252.0,2452527000.0
