日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000881,中广核技,9.54,9.83,9.52,9.82,9.73,-0.19,-1.9527,1.759,5418794,52249635.29,9778479737.04,2938838976.0
2019-04-25,'000881,中广核技,9.73,10.35,9.69,10.35,10.36,-0.63,-6.0811,2.6984,8312501,82970471.29,9973229333.48,2997369312.0
2019-04-24,'000881,中广核技,10.36,10.4,10.15,10.22,10.18,0.18,1.7682,1.9019,5858879,60304053.33,10618977995.4,3191443584.0
2019-04-23,'000881,中广核技,10.18,10.54,10.05,10.45,10.45,-0.27,-2.5837,2.6968,8307643,85048962.3,10434478377.7,3135993792.0
2019-04-22,'000881,中广核技,10.45,10.86,10.42,10.85,10.82,-0.37,-3.4196,2.3504,7240610,76723057.03,10711227804.2,3219168480.0
2019-04-19,'000881,中广核技,10.82,10.89,10.56,10.86,10.91,-0.09,-0.8249,2.3527,7247696,77791268.02,11090477018.3,3333148608.0
2019-04-18,'000881,中广核技,10.91,11.13,10.7,11.13,11.13,-0.22,-1.9766,3.2254,9936031,107659840.28,11182726827.2,3360873504.0
2019-04-17,'000881,中广核技,11.13,11.38,11.0,11.2,11.34,-0.21,-1.8519,4.0598,12506366,139327736.31,11408226359.9,3428645472.0
2019-04-16,'000881,中广核技,11.34,11.48,10.52,10.56,10.79,0.55,5.0973,5.7354,17668239,197073768.56,11623475913.8,3493336896.0
2019-04-15,'000881,中广核技,10.79,11.58,10.75,11.44,11.09,-0.3,-2.7051,6.4377,19831701,220864650.44,11059727082.0,3323906976.0
2019-04-12,'000881,中广核技,11.09,11.11,10.3,10.3,10.3,0.79,7.6699,7.1976,22172629,239571680.37,11367226444.8,3416323296.0
2019-04-11,'000881,中广核技,10.3,10.69,10.21,10.28,10.26,0.04,0.3899,3.8729,11930743,124302155.68,10557478122.8,3172960320.0
2019-04-10,'000881,中广核技,10.26,10.35,9.9,10.13,10.18,0.08,0.7859,2.6302,8102557,82319510.57,10516478207.8,3160638144.0
2019-04-09,'000881,中广核技,10.18,10.39,10.12,10.3,10.39,-0.21,-2.0212,2.8511,8782881,89756750.75,10434478377.7,3135993792.0
2019-04-08,'000881,中广核技,10.39,10.79,10.2,10.21,10.17,0.22,2.1632,4.7865,14745025,154171541.84,10649727931.6,3200685216.0
2019-04-04,'000881,中广核技,10.17,10.35,10.05,10.15,10.15,0.02,0.197,3.4055,10490748,106830340.02,10424228398.9,3132913248.0
2019-04-03,'000881,中广核技,10.15,10.2,9.96,10.0,10.18,-0.03,-0.2947,3.9507,12170447,122752275.22,10403728441.4,3126752160.0
2019-04-02,'000881,中广核技,10.18,10.5,9.91,10.1,9.93,0.25,2.5176,7.8558,24200203,246264144.49,10434478377.7,3135993792.0
2019-04-01,'000881,中广核技,9.93,10.27,9.36,9.38,9.34,0.59,6.3169,6.5543,20190822,199099426.1,10178228908.7,3058980192.0
2019-03-29,'000881,中广核技,9.34,9.35,8.96,9.06,9.02,0.32,3.5477,2.5801,7948251,72972075.14,9573480161.84,2877228096.0
2019-03-28,'000881,中广核技,9.02,9.3,9.0,9.0,9.16,-0.14,-1.5284,1.9255,5931601,54104713.01,9245480841.52,2778650688.0
2019-03-27,'000881,中广核技,9.16,9.32,8.92,9.24,9.27,-0.11,-1.1866,2.877,8862578,80785355.05,9388980544.16,2821778304.0
2019-03-26,'000881,中广核技,9.27,9.56,9.17,9.52,9.51,-0.24,-2.5237,3.3987,10469936,97738117.84,9501730310.52,2855664288.0
2019-03-25,'000881,中广核技,9.51,9.83,9.15,9.24,9.49,0.02,0.2107,5.4331,16736821,160209224.07,9747729800.76,2929597344.0
2019-03-22,'000881,中广核技,9.49,9.5,9.16,9.31,9.39,0.1,1.065,3.9724,12237009,113909271.34,9727229843.24,2923436256.0
2019-03-21,'000881,中广核技,9.39,9.56,9.11,9.27,9.27,0.12,1.2945,5.4609,16822432,156565669.66,9624730055.64,2892630816.0
2019-03-20,'000881,中广核技,9.27,9.39,9.14,9.38,9.65,-0.38,-3.9378,7.1623,22063870,204239472.13,9501730310.52,2855664288.0
2019-03-19,'000881,中广核技,9.65,10.07,9.62,10.02,9.15,0.5,5.4645,12.0978,37267833,370860186.14,9891229503.4,2972724960.0
2019-03-18,'000881,中广核技,9.15,9.15,8.81,9.04,9.0,0.15,1.6667,3.3728,10390118,93116070.32,9378730565.4,2818697760.0
2019-03-15,'000881,中广核技,9.0,9.19,8.92,9.11,9.05,-0.05,-0.5525,2.1403,6593397,59756148.36,9224980884.0,2772489600.0
2019-03-14,'000881,中广核技,9.05,9.42,8.77,9.42,9.42,-0.37,-3.9278,3.759,11579911,104228032.3,9276230777.8,2787892320.0
2019-03-13,'000881,中广核技,9.42,9.76,9.33,9.58,9.7,-0.28,-2.8866,3.1937,9838232,93924855.77,9655479991.92,2901872448.0
2019-03-12,'000881,中广核技,9.7,9.77,9.36,9.43,9.34,0.36,3.8544,4.552,14022683,134514583.99,9942479397.2,2988127680.0
2019-03-11,'000881,中广核技,9.34,9.35,9.05,9.05,9.05,0.29,3.2044,2.7307,8411943,77512262.73,9573480161.84,2877228096.0
2019-03-08,'000881,中广核技,9.05,9.6,9.02,9.5,9.76,-0.71,-7.2746,5.0514,15561112,144701345.42,9276230777.8,2787892320.0
2019-03-07,'000881,中广核技,9.76,10.4,9.33,9.59,9.6,0.16,1.6667,6.7449,20777810,204239501.5,10003979269.8,3006610944.0
2019-03-06,'000881,中广核技,9.6,9.6,8.78,8.81,8.73,0.87,9.9656,8.2548,25429182,236244377.15,9839979609.6,2957322240.0
2019-03-05,'000881,中广核技,8.73,8.73,8.25,8.31,8.37,0.36,4.3011,3.8763,11941170,101657463.49,8948231457.48,2689314912.0
2019-03-04,'000881,中广核技,8.37,8.57,8.34,8.34,8.33,0.04,0.4802,2.9778,9173201,77465354.71,8579232222.12,2578415328.0
2019-03-01,'000881,中广核技,8.33,8.54,8.2,8.5,8.41,-0.08,-0.9512,2.3762,7320114,60640506.56,8538232307.08,2566093152.0
2019-02-28,'000881,中广核技,8.41,8.53,8.31,8.41,8.41,0.0,0.0,1.6963,5225512,43934313.48,8620232137.16,2590737504.0
2019-02-27,'000881,中广核技,8.41,8.62,8.28,8.36,8.42,-0.01,-0.1188,2.7873,8586399,72535107.32,8620232137.16,2590737504.0
2019-02-26,'000881,中广核技,8.42,8.8,8.33,8.48,8.45,-0.03,-0.355,4.1313,12726760,108682749.78,8630482115.92,2593818048.0
2019-02-25,'000881,中广核技,8.45,8.48,8.14,8.16,8.11,0.34,4.1924,3.2652,10058534,83692872.71,8661232052.2,2603059680.0
2019-02-22,'000881,中广核技,8.11,8.13,7.88,7.95,7.95,0.16,2.0126,2.0894,6436517,51664466.81,8312732774.36,2498321184.0
2019-02-21,'000881,中广核技,7.95,8.25,7.95,8.17,8.16,-0.21,-2.5735,2.9513,9091718,73760777.65,8148733114.2,2449032480.0
2019-02-20,'000881,中广核技,8.16,8.27,8.07,8.16,8.16,0.0,0.0,1.6447,5066659,41374201.45,8363982668.16,2513723904.0
2019-02-19,'000881,中广核技,8.16,8.4,8.01,8.06,8.05,0.11,1.3665,3.4568,10648861,87088938.92,8363982668.16,2513723904.0
2019-02-18,'000881,中广核技,8.05,8.09,7.75,7.82,7.71,0.34,4.4099,2.843,8757872,69511246.8,8251232901.8,2479837920.0
2019-02-15,'000881,中广核技,7.71,7.93,7.71,7.8,7.86,-0.15,-1.9084,2.226,6857282,53395263.51,7902733623.96,2375099424.0
2019-02-14,'000881,中广核技,7.86,7.94,7.65,7.7,7.69,0.17,2.2107,3.6559,11262121,88180307.47,8056483305.36,2421307584.0
2019-02-13,'000881,中广核技,7.69,7.8,7.41,7.45,7.54,0.15,1.9894,3.2899,10134734,77312371.44,7882233666.44,2368938336.0
2019-02-12,'000881,中广核技,7.54,7.65,7.43,7.47,7.5,0.04,0.5333,2.2845,7037469,52880816.95,7728483985.04,2322730176.0
2019-02-11,'000881,中广核技,7.5,7.51,7.18,7.2,7.24,0.26,3.5912,2.7006,8319463,61682530.43,7687484070.0,2310408000.0
2019-02-01,'000881,中广核技,7.24,7.3,7.07,7.12,7.08,0.16,2.2599,1.9429,5985233,42914569.63,7420984622.24,2230313856.0
2019-01-31,'000881,中广核技,7.08,7.49,7.07,7.49,7.57,-0.49,-6.4729,3.385,10427659,75846007.2,7256984962.08,2181025152.0
2019-01-30,'000881,中广核技,7.57,7.84,7.36,7.69,7.83,-0.26,-3.3206,4.5412,13989473,105909820.03,7759233921.32,2331971808.0
2019-01-29,'000881,中广核技,7.83,7.97,7.25,7.26,7.34,0.49,6.6757,6.247,19244292,146930674.02,8025733369.08,2412065952.0
2019-01-28,'000881,中广核技,7.34,7.76,7.11,7.16,7.05,0.29,4.1135,4.7802,14725562,109436073.87,7523484409.84,2261119296.0
2019-01-25,'000881,中广核技,7.05,7.18,6.99,7.04,7.0,0.05,0.7143,1.4275,4397528,31167749.57,7226235025.8,2171783520.0
2019-01-24,'000881,中广核技,7.0,7.06,6.95,7.02,7.01,-0.01,-0.1427,0.8066,2484909,17435480.07,7174985132.0,2156380800.0
2019-01-23,'000881,中广核技,7.01,7.04,6.9,6.92,6.94,0.07,1.0086,0.7715,2376724,16590357.92,7185235110.76,2159461344.0
2019-01-22,'000881,中广核技,6.94,7.07,6.92,7.05,7.05,-0.11,-1.5603,1.057,3256158,22728219.42,7113485259.44,2137897536.0
2019-01-21,'000881,中广核技,7.05,7.14,7.02,7.05,7.08,-0.03,-0.4237,1.6335,5032065,35629378.24,7226235025.8,2171783520.0
2019-01-18,'000881,中广核技,7.08,7.13,7.0,7.11,7.12,-0.04,-0.5618,2.409,7420940,52543860.08,7256984962.08,2181025152.0
2019-01-17,'000881,中广核技,7.12,7.12,6.91,6.99,6.98,0.14,2.0057,2.1817,6720767,47174617.98,7297984877.12,2193347328.0
2019-01-16,'000881,中广核技,6.98,7.14,6.9,7.07,7.09,-0.11,-1.5515,2.3022,7091894,49487129.23,7154485174.48,2150219712.0
2019-01-15,'000881,中广核技,7.09,7.1,6.9,6.92,6.93,0.16,2.3088,1.7061,5255600,36908940.0,7267234940.84,2184105696.0
2019-01-14,'000881,中广核技,6.93,7.02,6.89,6.95,6.95,-0.02,-0.2878,1.1241,3462870,24054476.3,7103235280.68,2134816992.0
2019-01-11,'000881,中广核技,6.95,6.99,6.9,6.93,6.89,0.06,0.8708,1.0318,3178635,22078888.3,7123735238.2,2140978080.0
2019-01-10,'000881,中广核技,6.89,7.02,6.88,6.93,6.95,-0.06,-0.8633,1.3412,4131745,28705433.0,7062235365.64,2122494816.0
2019-01-09,'000881,中广核技,6.95,7.08,6.95,7.03,7.0,-0.05,-0.7143,1.7585,5417237,37997684.31,7123735238.2,2140978080.0
2019-01-08,'000881,中广核技,7.0,7.19,6.94,7.16,7.16,-0.16,-2.2346,1.6647,5128171,36103158.92,7174985132.0,2156380800.0
2019-01-07,'000881,中广核技,7.16,7.24,7.0,7.05,7.01,0.15,2.1398,3.215,9904037,70776302.18,7338984792.16,2205669504.0
2019-01-04,'000881,中广核技,7.01,7.05,6.69,6.72,6.75,0.26,3.8519,1.3273,4088665,28258706.07,7185235110.76,2159461344.0
2019-01-03,'000881,中广核技,6.75,6.88,6.69,6.69,6.71,0.04,0.5961,0.5056,1557508,10575232.6,6918735663.0,2079367200.0
2019-01-02,'000881,中广核技,6.71,6.79,6.7,6.73,6.72,-0.01,-0.1488,0.4162,1282258,8644603.58,6877735747.96,2067045024.0
2018-12-28,'000881,中广核技,6.72,6.76,6.65,6.69,6.67,0.05,0.7496,0.4054,1248875,8366871.58,6887985726.72,2070125568.0
2018-12-27,'000881,中广核技,6.67,6.94,6.66,6.92,6.82,-0.15,-2.1994,0.6972,2147609,14590536.08,6836735906.29,2054722848.0
2018-12-26,'000881,中广核技,6.82,6.88,6.77,6.85,6.84,-0.02,-0.2924,0.7625,2348900,16039620.0,6990485589.34,2100931008.0
2018-12-25,'000881,中广核技,6.84,6.89,6.61,6.84,6.88,-0.04,-0.5814,0.882,2717096,18330730.73,7010985547.08,2107092096.0
2018-12-24,'000881,中广核技,6.88,6.95,6.8,6.8,6.81,0.07,1.0279,0.4418,1361123,9365819.49,7051985462.56,2119414272.0
2018-12-21,'000881,中广核技,6.81,6.9,6.79,6.88,6.92,-0.11,-1.5896,0.524,1614351,11044348.84,6980235610.47,2097850464.0
2018-12-20,'000881,中广核技,6.92,6.92,6.77,6.8,6.8,0.12,1.7647,0.6603,2033978,13942397.55,7092985378.04,2131736448.0
