日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000506,中润资源,4.05,4.15,4.02,4.04,4.06,-0.01,-0.2463,3.1211,28985129,118381934.4,3762521932.05,3761117392.05
2019-04-25,'000506,中润资源,4.06,4.3,4.03,4.26,4.37,-0.31,-7.0938,5.0689,47073448,196578015.92,3771812109.66,3770404101.66
2019-04-24,'000506,中润资源,4.37,4.44,4.04,4.16,4.15,0.22,5.3012,5.7459,53360167,223143979.91,4059807615.57,4058292099.57
2019-04-23,'000506,中润资源,4.15,4.41,4.06,4.38,4.42,-0.27,-6.1086,5.9755,55492651,234139768.74,3855423708.15,3853984488.15
2019-04-22,'000506,中润资源,4.42,4.57,4.2,4.34,4.36,0.06,1.3761,8.1044,75263099,333033548.79,4106258503.62,4104725647.62
2019-04-19,'000506,中润资源,4.36,4.49,4.15,4.2,4.19,0.17,4.0573,7.7038,71542858,311156466.98,4050517437.96,4049005389.96
2019-04-18,'000506,中润资源,4.19,4.38,4.13,4.27,4.33,-0.14,-3.2333,6.2208,57770577,244131118.63,3892584418.59,3891131326.59
2019-04-17,'000506,中润资源,4.33,4.4,4.07,4.08,4.15,0.18,4.3373,9.4102,87389551,371221673.2,4022646905.13,4021145261.13
2019-04-16,'000506,中润资源,4.15,4.27,3.8,3.9,3.94,0.21,5.3299,8.4673,78633370,317132398.18,3855423708.15,3853984488.15
2019-04-15,'000506,中润资源,3.94,4.05,3.91,3.94,3.88,0.06,1.5464,5.6543,52509679,208794833.89,3660329978.34,3658963586.34
2019-04-12,'000506,中润资源,3.88,4.18,3.86,4.12,4.29,-0.41,-9.5571,10.3102,95747991,383203763.32,3604588912.68,3603243328.68
2019-04-11,'000506,中润资源,4.29,4.29,3.87,3.91,3.9,0.39,10.0,12.5804,116830232,477765848.87,3985486194.69,3983998422.69
2019-04-10,'000506,中润资源,3.9,4.03,3.76,3.83,3.84,0.06,1.5625,6.1555,57164232,222248652.88,3623169267.9,3621816747.9
2019-04-09,'000506,中润资源,3.84,3.84,3.71,3.77,3.74,0.1,2.6738,3.9799,36960074,139770230.38,3567428202.24,3566096490.24
2019-04-08,'000506,中润资源,3.74,3.85,3.68,3.77,3.78,-0.04,-1.0582,4.2078,39076181,147339775.34,3474526426.14,3473229394.14
2019-04-04,'000506,中润资源,3.78,3.88,3.76,3.84,3.84,-0.06,-1.5625,4.2006,39009563,148359160.31,3511687136.58,3510376232.58
2019-04-03,'000506,中润资源,3.84,3.86,3.75,3.83,3.84,0.0,0.0,4.1822,38839261,147802170.32,3567428202.24,3566096490.24
2019-04-02,'000506,中润资源,3.84,3.85,3.71,3.75,3.75,0.09,2.4,5.1239,47584359,179479521.39,3567428202.24,3566096490.24
2019-04-01,'000506,中润资源,3.75,3.78,3.6,3.62,3.61,0.14,3.8781,4.7092,43733203,162229732.3,3483816603.75,3482516103.75
2019-03-29,'000506,中润资源,3.61,3.69,3.4,3.47,3.47,0.14,4.0346,4.4222,41067476,145071944.95,3353754117.21,3352502169.21
2019-03-28,'000506,中润资源,3.47,3.54,3.45,3.5,3.54,-0.07,-1.9774,2.9915,27780942,97051728.71,3223691630.67,3222488234.67
