日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600872,中炬高新,34.29,35.08,33.66,34.4,34.55,-0.26,-0.7525,0.7521,5991766,206608642.0,27316689382.3,27316689382.3
2019-04-25,'600872,中炬高新,34.55,35.35,34.31,34.69,34.96,-0.41,-1.1728,0.8082,6438468,225610026.0,27523815052.7,27523815052.7
2019-04-24,'600872,中炬高新,34.96,35.22,34.52,34.64,34.57,0.39,1.1281,0.9678,7710115,269226431.0,27850436302.2,27850436302.2
2019-04-23,'600872,中炬高新,34.57,35.14,34.21,34.9,34.72,-0.15,-0.432,0.8136,6481355,224385440.0,27539747796.6,27539747796.6
2019-04-22,'600872,中炬高新,34.72,35.32,34.01,34.32,34.3,0.42,1.2245,0.8652,6892119,239422189.0,27659243375.7,27659243375.7
2019-04-19,'600872,中炬高新,34.3,34.75,33.7,34.39,34.28,0.02,0.0583,0.5888,4690804,159908322.0,27324655754.2,27324655754.2
2019-04-18,'600872,中炬高新,34.28,34.78,33.95,34.26,34.1,0.18,0.5279,0.8388,6682421,230029209.0,27308723010.3,27308723010.3
2019-04-17,'600872,中炬高新,34.1,34.94,33.8,34.52,34.21,-0.11,-0.3215,1.1465,9133330,312543255.0,27165328315.4,27165328315.4
2019-04-16,'600872,中炬高新,34.21,34.49,33.31,34.3,34.3,-0.09,-0.2624,1.5115,12041211,407796757.0,27252958406.7,27252958406.7
2019-04-15,'600872,中炬高新,34.3,35.47,34.2,35.17,34.73,-0.43,-1.2381,0.7229,5759266,200221387.0,27324655754.2,27324655754.2
2019-04-12,'600872,中炬高新,34.73,35.84,34.73,35.25,35.37,-0.64,-1.8094,0.8893,7084153,249256850.0,27667209747.6,27667209747.6
2019-04-11,'600872,中炬高新,35.37,36.22,35.28,36.22,36.23,-0.86,-2.3737,0.8582,6837020,243669301.0,28177057551.8,28177057551.8
2019-04-10,'600872,中炬高新,36.23,37.27,35.56,35.79,35.53,0.7,1.9702,1.2722,10134640,369725570.0,28862165538.6,28862165538.6
