日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600038,中直股份,42.02,42.92,41.8,42.61,42.74,-0.72,-1.6846,0.9757,5751572,243110404.0,24769811606.3,24769811606.3
2019-04-25,'600038,中直股份,42.74,43.82,42.7,43.5,43.49,-0.75,-1.7245,0.8023,4729438,204264425.0,25194234841.8,25194234841.8
2019-04-24,'600038,中直股份,43.49,43.68,42.68,43.18,43.19,0.3,0.6946,0.9774,5761695,248800535.0,25636342378.8,25636342378.8
2019-04-23,'600038,中直股份,43.19,45.25,43.1,45.2,45.3,-2.11,-4.6578,1.5124,8915371,391114667.0,25459499364.0,25459499364.0
2019-04-22,'600038,中直股份,45.3,45.83,44.96,45.64,45.35,-0.05,-0.1103,0.7419,4373452,197851623.0,26703295234.8,26703295234.8
2019-04-19,'600038,中直股份,45.35,45.88,44.87,45.88,45.98,-0.63,-1.3702,1.4435,8509213,384771221.0,26732769070.6,26732769070.6
2019-04-18,'600038,中直股份,45.98,46.95,45.78,46.5,46.35,-0.37,-0.7983,1.2076,7118437,329539317.0,27104139401.7,27104139401.7
2019-04-17,'600038,中直股份,46.35,46.66,45.9,46.13,46.13,0.22,0.4769,0.819,4827600,223742965.0,27322245786.6,27322245786.6
2019-04-16,'600038,中直股份,46.13,46.19,45.23,45.37,45.35,0.78,1.72,0.8796,5185175,237306654.0,27192560909.1,27192560909.1
2019-04-15,'600038,中直股份,45.35,46.66,45.27,45.99,45.66,-0.31,-0.6789,1.1451,6750286,310407661.0,26732769070.6,26732769070.6
2019-04-12,'600038,中直股份,45.66,46.19,45.51,45.68,45.84,-0.18,-0.3927,0.787,4639400,212199895.0,26915506852.6,26915506852.6
2019-04-11,'600038,中直股份,45.84,47.68,45.8,47.16,47.06,-1.22,-2.5924,1.2866,7584365,353685971.0,27021612661.4,27021612661.4
2019-04-10,'600038,中直股份,47.06,47.5,46.64,46.88,46.88,0.18,0.384,0.8083,4764794,223967368.0,27740774255.0,27740774255.0
2019-04-09,'600038,中直股份,46.88,47.55,46.66,47.2,47.14,-0.26,-0.5515,1.1013,6492179,305210022.0,27634668446.1,27634668446.1
2019-04-08,'600038,中直股份,47.14,48.97,46.78,48.95,48.19,-1.05,-2.1789,1.4605,8609428,408782747.0,27787932392.2,27787932392.2
2019-04-04,'600038,中直股份,48.19,49.62,48.05,49.32,48.8,-0.61,-1.25,1.4146,8338572,404387557.0,28406882944.0,28406882944.0
2019-04-03,'600038,中直股份,48.8,48.84,47.32,47.75,47.89,0.91,1.9002,1.5436,9099041,436756347.0,28766463740.8,28766463740.8
2019-04-02,'600038,中直股份,47.89,49.15,47.5,48.24,47.91,-0.02,-0.0417,1.9469,11476730,553257570.0,28230039929.2,28230039929.2
2019-04-01,'600038,中直股份,47.91,48.48,47.02,47.02,46.75,1.16,2.4813,1.6119,9501730,456125567.0,28241829463.6,28241829463.6
2019-03-29,'600038,中直股份,46.75,46.76,45.8,46.0,45.48,1.27,2.7924,1.6375,9652774,447654984.0,27558036473.0,27558036473.0
2019-03-28,'600038,中直股份,45.48,46.93,45.38,45.91,45.9,-0.42,-0.915,1.0003,5896400,271883612.0,26809401043.7,26809401043.7
2019-03-27,'600038,中直股份,45.9,47.74,45.0,47.43,46.94,-1.04,-2.2156,1.3999,8252051,379710892.0,27056981264.4,27056981264.4
2019-03-26,'600038,中直股份,46.94,49.36,46.84,49.3,49.27,-2.33,-4.729,1.7629,10391999,496957823.0,27670037049.0,27670037049.0
2019-03-25,'600038,中直股份,49.27,50.96,47.52,47.85,47.98,1.29,2.6886,2.5607,15094652,747066393.0,29043517797.3,29043517797.3
2019-03-22,'600038,中直股份,47.98,48.0,46.53,46.72,46.42,1.56,3.3606,1.6283,9598691,455376628.0,28283092833.7,28283092833.7
2019-03-21,'600038,中直股份,46.42,47.33,45.84,45.84,45.75,0.67,1.4645,1.4194,8366764,390924921.0,27363509156.7,27363509156.7
2019-03-20,'600038,中直股份,45.75,46.14,44.97,46.12,46.38,-0.63,-1.3583,1.0639,6271353,285301831.0,26968559757.0,26968559757.0
2019-03-19,'600038,中直股份,46.38,46.45,45.57,45.66,45.69,0.69,1.5102,1.298,7651530,353119493.0,27339930088.1,27339930088.1
2019-03-18,'600038,中直股份,45.69,45.69,44.8,44.91,44.85,0.84,1.8729,0.9375,5526558,250509750.0,26933191154.0,26933191154.0
2019-03-15,'600038,中直股份,44.85,45.64,44.62,45.5,45.27,-0.42,-0.9278,1.024,6036528,271867526.0,26438030712.6,26438030712.6
2019-03-14,'600038,中直股份,45.27,46.97,44.8,46.6,46.6,-1.33,-2.8541,1.6054,9463346,429085530.0,26685610933.3,26685610933.3
2019-03-13,'600038,中直股份,46.6,48.68,46.5,47.29,47.16,-0.56,-1.1874,1.5939,9395522,447974905.0,27469614965.6,27469614965.6
2019-03-12,'600038,中直股份,47.16,47.67,45.8,46.5,46.29,0.87,1.8795,1.905,11229441,524018068.0,27799721926.6,27799721926.6
2019-03-11,'600038,中直股份,46.29,46.4,45.0,45.12,44.9,1.39,3.0958,1.1588,6830916,312708074.0,27286877183.6,27286877183.6
2019-03-08,'600038,中直股份,44.9,46.85,44.5,46.85,47.64,-2.74,-5.7515,1.6836,9924371,456117012.0,26467504548.4,26467504548.4
2019-03-07,'600038,中直股份,47.64,48.54,47.4,48.09,48.08,-0.44,-0.9151,1.1043,6509421,310416531.0,28082670750.2,28082670750.2
2019-03-06,'600038,中直股份,48.08,48.68,47.23,48.0,47.54,0.54,1.1359,1.5858,9347879,447471022.0,28342040505.3,28342040505.3
2019-03-05,'600038,中直股份,47.54,47.57,46.45,47.19,47.19,0.35,0.7417,1.5453,9109042,427643181.0,28023723078.6,28023723078.6
2019-03-04,'600038,中直股份,47.19,48.5,47.03,47.13,46.95,0.24,0.5112,1.4435,8509133,406247454.0,27817406228.0,27817406228.0
2019-03-01,'600038,中直股份,46.95,47.19,45.68,46.69,46.64,0.31,0.6647,0.8261,4869611,226157620.0,27675931816.2,27675931816.2
2019-02-28,'600038,中直股份,46.64,49.0,45.91,48.59,47.7,-1.06,-2.2222,1.3964,8231490,386285443.0,27493194034.2,27493194034.2
2019-02-27,'600038,中直股份,47.7,49.2,46.76,46.76,47.25,0.45,0.9524,1.309,7716355,370433439.0,28118039353.2,28118039353.2
2019-02-26,'600038,中直股份,47.25,48.5,47.16,48.23,48.67,-1.42,-2.9176,1.2391,7304008,348898608.0,27852774831.0,27852774831.0
2019-02-25,'600038,中直股份,48.67,49.28,44.99,44.99,44.9,3.77,8.3964,2.1479,12661587,595348113.0,28689831767.7,28689831767.7
2019-02-22,'600038,中直股份,44.9,45.2,43.63,44.5,44.57,0.33,0.7404,0.8906,5250012,232391151.0,26467504548.4,26467504548.4
2019-02-21,'600038,中直股份,44.57,46.46,44.27,44.98,44.35,0.22,0.4961,1.6536,9747355,439638236.0,26272977232.1,26272977232.1
2019-02-20,'600038,中直股份,44.35,45.18,43.87,44.68,44.7,-0.35,-0.783,0.4972,2930609,130330335.0,26143292354.6,26143292354.6
2019-02-19,'600038,中直股份,44.7,45.48,43.91,44.99,44.9,-0.2,-0.4454,0.7604,4482349,199905490.0,26349609205.2,26349609205.2
2019-02-18,'600038,中直股份,44.9,45.12,42.99,42.99,42.68,2.22,5.2015,1.0743,6332988,281139034.0,26467504548.4,26467504548.4
2019-02-15,'600038,中直股份,42.68,43.9,42.6,43.69,43.57,-0.89,-2.0427,0.7156,4218256,181676406.0,25158866238.9,25158866238.9
2019-02-14,'600038,中直股份,43.57,44.11,43.07,43.39,43.39,0.18,0.4148,0.6314,3721925,162758084.0,25683500516.1,25683500516.1
2019-02-13,'600038,中直股份,43.39,43.67,42.65,42.98,42.99,0.4,0.9304,0.6622,3903747,168884451.0,25577394707.2,25577394707.2
2019-02-12,'600038,中直股份,42.99,43.3,41.7,42.17,42.17,0.82,1.9445,0.7658,4514355,193007013.0,25341604020.8,25341604020.8
2019-02-11,'600038,中直股份,42.17,42.22,41.55,41.78,41.43,0.74,1.7861,0.6661,3926311,164654149.0,24858233113.7,24858233113.7
2019-02-01,'600038,中直股份,41.43,41.85,40.43,40.44,40.26,1.17,2.9061,0.5416,3192561,131778440.0,24422020343.9,24422020343.9
2019-01-31,'600038,中直股份,40.26,41.1,40.18,40.8,40.82,-0.56,-1.3719,0.5939,3501063,141899039.0,23732332586.2,23732332586.2
2019-01-30,'600038,中直股份,40.82,41.5,40.37,40.62,40.76,0.06,0.1472,0.5276,3110238,127559267.0,24062439547.1,24062439547.1
2019-01-29,'600038,中直股份,40.76,41.69,40.05,41.64,41.63,-0.87,-2.0898,0.7815,4607015,187239081.0,24027070944.2,24027070944.2
2019-01-28,'600038,中直股份,41.63,42.39,41.4,42.17,41.98,-0.35,-0.8337,0.4484,2643255,110500052.0,24539915687.1,24539915687.1
2019-01-25,'600038,中直股份,41.98,42.48,41.87,42.46,42.37,-0.39,-0.9205,0.2947,1737113,73187406.0,24746232537.7,24746232537.7
2019-01-24,'600038,中直股份,42.37,42.44,41.12,41.6,41.51,0.86,2.0718,0.7456,4395386,184744963.0,24976128456.9,24976128456.9
2019-01-23,'600038,中直股份,41.51,41.57,40.51,41.2,41.15,0.36,0.8748,0.5375,3168561,129858666.0,24469178481.2,24469178481.2
2019-01-22,'600038,中直股份,41.15,41.6,41.02,41.5,41.62,-0.47,-1.1293,0.3911,2305708,95089186.0,24256966863.4,24256966863.4
2019-01-21,'600038,中直股份,41.62,41.69,40.18,40.58,40.58,1.04,2.5628,0.8931,5264752,217266769.0,24534020919.9,24534020919.9
2019-01-18,'600038,中直股份,40.58,40.7,39.96,40.5,40.5,0.08,0.1975,0.4651,2741368,110441682.0,23920965135.3,23920965135.3
2019-01-17,'600038,中直股份,40.5,40.8,39.91,40.63,40.7,-0.2,-0.4914,0.4346,2562064,103583907.0,23873806998.0,23873806998.0
2019-01-16,'600038,中直股份,40.7,41.55,40.43,41.07,41.3,-0.6,-1.4528,0.6286,3705542,151212130.0,23991702341.2,23991702341.2
2019-01-15,'600038,中直股份,41.3,41.46,40.46,40.9,40.62,0.68,1.6741,0.4989,2940907,120866107.0,24345388370.8,24345388370.8
2019-01-14,'600038,中直股份,40.62,41.36,40.41,40.7,40.9,-0.28,-0.6846,0.4741,2794448,114326102.0,23944544203.9,23944544203.9
2019-01-11,'600038,中直股份,40.9,41.06,40.03,40.28,40.1,0.8,1.995,0.7157,4218612,171227646.0,24109597684.4,24109597684.4
2019-01-10,'600038,中直股份,40.1,40.9,39.98,40.5,40.52,-0.42,-1.0365,0.5746,3386954,136514843.0,23638016311.6,23638016311.6
