日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'603019,中科曙光,42.88,43.99,41.77,41.8,41.99,0.89,2.1196,3.6068,32471530,1399537303.0,38604486913.3,38604486913.3
2019-04-25,'603019,中科曙光,41.99,44.43,41.98,43.53,43.97,-1.98,-4.5031,3.5254,31738873,1375812235.0,37803227739.9,37803227739.9
2019-04-24,'603019,中科曙光,43.97,44.2,40.0,41.25,41.25,2.72,6.5939,4.9743,44783061,1896501194.0,39585804327.8,39585804327.8
2019-04-23,'603019,DR中科曙,41.25,43.44,41.05,43.0,42.86,-1.61,-3.7564,1.6383,14749833,620377788.0,37137012247.5,37137012247.5
2019-04-22,'603019,中科曙光,60.15,61.33,59.71,60.66,59.83,0.32,0.5348,2.7476,17669078,1068947430.0,38680368592.1,38680368592.1
2019-04-19,'603019,中科曙光,59.83,60.28,58.58,58.97,59.13,0.7,1.1838,1.9303,12412962,739772254.0,38474587745.0,38474587745.0
2019-04-18,'603019,中科曙光,59.13,59.99,58.58,59.54,59.3,-0.17,-0.2867,1.7269,11105013,658279645.0,38024442142.1,38024442142.1
2019-04-17,'603019,中科曙光,59.3,60.85,59.01,59.11,60.07,-0.77,-1.2818,2.3592,15171113,907167401.0,38133763217.1,38133763217.1
2019-04-16,'603019,中科曙光,60.07,60.28,56.69,58.37,58.81,1.26,2.1425,3.7202,23923502,1393473808.0,38628923380.3,38628923380.3
2019-04-15,'603019,中科曙光,58.81,61.98,58.6,60.12,59.07,-0.26,-0.4402,2.8434,18284266,1105813893.0,37817805903.6,37817805903.6
2019-04-12,'603019,中科曙光,59.07,59.46,58.11,58.94,58.65,0.42,0.7161,1.7741,11408336,671392557.0,37984999060.1,37984999060.1
2019-04-11,'603019,中科曙光,58.65,60.5,58.59,60.0,60.08,-1.43,-2.3802,2.4821,15961415,945397734.0,37714917807.3,37714917807.3
2019-04-10,'603019,中科曙光,60.08,61.43,59.0,60.45,61.08,-1.0,-1.6372,2.7713,17821130,1071118116.0,38634480168.2,38634480168.2
2019-04-09,'603019,中科曙光,61.08,62.3,60.01,61.0,63.0,-1.92,-3.0476,3.3214,21358068,1301255600.0,39277530770.2,39277530770.2
2019-04-08,'603019,中科曙光,63.0,65.28,59.68,65.26,65.3,-2.3,-3.5222,6.5939,42401889,2619373622.0,40512187926.0,40512187926.0
2019-04-04,'603019,中科曙光,65.3,65.65,63.48,64.4,64.07,1.23,1.9198,3.8528,24775597,1602504899.0,41991204310.6,41991204310.6
2019-04-03,'603019,中科曙光,64.07,65.35,62.91,63.88,64.25,-0.18,-0.2802,3.3209,21354978,1362103943.0,41200252070.1,41200252070.1
2019-04-02,'603019,中科曙光,64.25,67.12,62.58,63.7,63.7,0.55,0.8634,5.8049,37327160,2413872652.0,41314290072.5,41314290072.5
2019-04-01,'603019,中科曙光,63.7,64.8,61.6,61.99,60.28,3.42,5.6735,5.4614,35118412,2223038788.0,40960626889.0,40960626889.0
2019-03-29,'603019,中科曙光,60.28,61.1,56.88,58.0,57.83,2.45,4.2366,4.3789,28157534,1664564993.0,38761484911.6,38761484911.6
2019-03-28,'603019,中科曙光,57.83,61.43,57.55,59.51,60.0,-2.17,-3.6167,5.0792,32660422,1932131318.0,37186076185.1,37186076185.1
2019-03-27,'603019,中科曙光,60.0,64.65,58.75,64.35,63.88,-3.88,-6.0739,6.49,41732393,2530317244.0,38581438200.0,38581438200.0
2019-03-26,'603019,中科曙光,63.88,68.28,63.68,65.55,66.04,-2.16,-3.2707,6.1483,39535130,2598986975.0,41076371203.6,41076371203.6
2019-03-25,'603019,中科曙光,66.04,67.58,59.7,60.3,61.7,4.34,7.034,6.8821,44253429,2850785727.0,42465302978.8,42465302978.8
2019-03-22,'603019,中科曙光,61.7,63.69,60.8,61.51,61.71,-0.01,-0.0162,4.0346,25943747,1610371361.0,39674578949.0,39674578949.0
2019-03-21,'603019,中科曙光,61.71,63.66,60.8,61.7,61.7,0.01,0.0162,4.8119,30941470,1923664653.0,39681009188.7,39681009188.7
