日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300114,中航电测,9.51,9.67,9.45,9.61,9.61,-0.1,-1.0406,1.0096,5964028,56842452.14,5618132345.49,5618132345.49
2019-04-25,'300114,中航电测,9.61,10.08,9.56,10.0,10.06,-0.45,-4.4732,0.9715,5739455,56308786.34,5677208395.39,5677208395.39
2019-04-24,'300114,中航电测,10.06,10.1,9.76,9.86,9.82,0.24,2.444,0.9604,5673678,56391061.27,5943050619.94,5943050619.94
2019-04-23,'300114,中航电测,9.82,10.19,9.82,10.18,10.17,-0.35,-3.4415,1.1865,7009160,69960057.63,5801268100.18,5801268100.18
2019-04-22,'300114,中航电测,10.17,10.42,10.12,10.38,10.36,-0.19,-1.834,1.0224,6040164,61960280.98,6008034274.83,6008034274.83
2019-04-19,'300114,中航电测,10.36,10.45,10.06,10.43,10.41,-0.05,-0.4803,1.5398,9096345,93037687.0,6120278769.64,6120278769.64
2019-04-18,'300114,中航电测,10.41,10.64,10.36,10.5,10.52,-0.11,-1.0456,1.3925,8226422,86400548.63,6149816794.59,6149816794.59
2019-04-17,'300114,中航电测,10.52,10.68,10.4,10.47,10.44,0.08,0.7663,1.3975,8255718,86834551.11,6214800449.48,6214800449.48
2019-04-16,'300114,中航电测,10.44,10.46,9.95,10.09,10.09,0.35,3.4688,1.4007,8274667,84307622.87,6167539609.56,6167539609.56
2019-04-15,'300114,中航电测,10.09,10.56,10.06,10.41,10.27,-0.18,-1.7527,1.2607,7447925,76865167.25,5960773434.91,5960773434.91
2019-04-12,'300114,中航电测,10.27,10.38,10.12,10.22,10.25,0.02,0.1951,0.936,5529495,56664987.05,6067110324.73,6067110324.73
2019-04-11,'300114,中航电测,10.25,10.68,10.21,10.65,10.65,-0.4,-3.7559,1.6646,9833544,102615085.55,6055295114.75,6055295114.75
2019-04-10,'300114,中航电测,10.65,10.83,10.41,10.5,10.65,0.0,0.0,1.4415,8515700,90654353.86,6291599314.35,6291599314.35
2019-04-09,'300114,中航电测,10.65,10.72,10.43,10.58,10.62,0.03,0.2825,1.326,7833643,83003696.06,6291599314.35,6291599314.35
2019-04-08,'300114,中航电测,10.62,11.13,10.34,11.13,10.97,-0.35,-3.1905,2.6633,15733918,168132272.87,6273876499.38,6273876499.38
2019-04-04,'300114,中航电测,10.97,11.21,10.82,11.21,11.15,-0.18,-1.6143,2.085,12317619,135500460.16,6480642674.03,6480642674.03
2019-04-03,'300114,中航电测,11.15,11.27,10.51,10.65,10.66,0.49,4.5966,3.0029,17739910,194032611.45,6586979563.85,6586979563.85
2019-04-02,'300114,中航电测,10.66,11.05,10.61,10.74,10.68,-0.02,-0.1873,2.1463,12679613,137456645.87,6297506919.34,6297506919.34
2019-04-01,'300114,中航电测,10.68,10.75,10.38,10.46,10.3,0.38,3.6893,1.9828,11713744,124358013.38,6309322129.32,6309322129.32
2019-03-29,'300114,中航电测,10.3,10.35,9.85,9.99,9.86,0.44,4.4625,1.6461,9724557,98767998.75,6084833139.7,6084833139.7
2019-03-28,'300114,中航电测,9.86,10.31,9.86,10.08,10.08,-0.22,-2.1825,1.36,8034200,81072213.94,5824898520.14,5824898520.14
2019-03-27,'300114,中航电测,10.08,10.25,9.8,10.14,10.13,-0.05,-0.4936,1.5074,8905002,89094534.26,5954865829.92,5954865829.92
2019-03-26,'300114,中航电测,10.13,11.13,10.0,10.93,10.97,-0.84,-7.6572,2.5549,15093596,158661993.02,5984403854.87,5984403854.87
2019-03-25,'300114,中航电测,10.97,11.59,10.32,10.45,10.59,0.38,3.5883,3.5221,20807179,229262052.56,6480642674.03,6480642674.03
2019-03-22,'300114,中航电测,10.59,10.72,10.35,10.48,10.37,0.22,2.1215,1.9664,11616888,122231399.06,6256153684.41,6256153684.41
2019-03-21,'300114,中航电测,10.37,10.46,10.23,10.31,10.32,0.05,0.4845,1.6864,9962806,103194835.51,6126186374.63,6126186374.63
2019-03-20,'300114,中航电测,10.32,10.43,9.98,10.24,10.28,0.04,0.3891,1.8943,11190894,114445290.41,6096648349.68,6096648349.68
2019-03-19,'300114,中航电测,10.28,10.42,10.1,10.23,10.27,0.01,0.0974,1.458,8613009,88602438.33,6073017929.72,6073017929.72
2019-03-18,'300114,中航电测,10.27,10.28,9.91,10.2,10.12,0.15,1.4822,1.4004,8273080,83797789.85,6067110324.73,6067110324.73
2019-03-15,'300114,中航电测,10.12,10.39,10.0,10.27,10.27,-0.15,-1.4606,2.0114,11882674,120771972.8,5978496249.88,5978496249.88
2019-03-14,'300114,中航电测,10.27,10.44,9.7,10.44,10.47,-0.2,-1.9102,2.1757,12853330,129050566.25,6067110324.73,6067110324.73
2019-03-13,'300114,中航电测,10.47,11.07,10.31,10.75,10.9,-0.43,-3.945,2.2701,13410632,143887871.1,6185262424.53,6185262424.53
2019-03-12,'300114,中航电测,10.9,11.04,10.25,10.41,10.29,0.61,5.9281,3.2384,19131005,204641616.74,6439289439.1,6439289439.1
2019-03-11,'300114,中航电测,10.29,10.3,9.77,9.77,9.79,0.5,5.1073,1.5101,8921152,90088763.44,6078925534.71,6078925534.71
2019-03-08,'300114,中航电测,9.79,10.42,9.74,10.0,10.23,-0.44,-4.3011,2.5942,15325274,153869997.12,5783545285.21,5783545285.21
2019-03-07,'300114,中航电测,10.23,10.43,10.04,10.16,10.17,0.06,0.59,1.7422,10292327,105168374.09,6043479904.77,6043479904.77
2019-03-06,'300114,中航电测,10.17,10.65,9.89,9.89,9.92,0.25,2.5202,2.3722,14014249,142948658.36,6008034274.83,6008034274.83
2019-03-05,'300114,中航电测,9.92,9.92,9.55,9.7,9.66,0.26,2.6915,1.8709,11052564,108020077.72,5860344150.08,5860344150.08
2019-03-04,'300114,中航电测,9.66,9.89,9.53,9.6,9.54,0.12,1.2579,1.753,10355949,100358200.76,5706746420.34,5706746420.34
2019-03-01,'300114,中航电测,9.54,9.7,9.42,9.68,9.65,-0.11,-1.1399,1.2314,7274531,69182794.09,5635855160.46,5635855160.46
2019-02-28,'300114,中航电测,9.65,9.79,9.45,9.5,9.57,0.08,0.8359,1.8206,10755395,103277530.42,5700838815.35,5700838815.35
2019-02-27,'300114,中航电测,9.57,10.08,9.48,9.91,9.84,-0.27,-2.7439,2.0964,12384529,121213446.32,5653577975.43,5653577975.43
2019-02-26,'300114,中航电测,9.84,10.29,9.05,9.3,9.35,0.49,5.2406,2.8636,16917076,162440446.42,5813083310.16,5813083310.16
2019-02-25,'300114,中航电测,9.35,9.45,8.85,8.88,8.78,0.57,6.492,2.3462,13860289,127073715.69,5523610665.65,5523610665.65
2019-02-22,'300114,中航电测,8.78,8.8,8.56,8.6,8.6,0.18,2.093,1.3301,7857954,68365262.09,5186877181.22,5186877181.22
2019-02-21,'300114,中航电测,8.6,8.95,8.5,8.5,8.53,0.07,0.8206,2.6362,15573463,136410333.88,5080540291.4,5080540291.4
2019-02-20,'300114,中航电测,8.53,8.7,8.46,8.59,8.66,-0.13,-1.5012,1.2478,7371567,63016557.48,5039187056.47,5039187056.47
2019-02-19,'300114,中航电测,8.66,8.66,8.41,8.6,8.63,0.03,0.3476,1.8042,10658741,90902292.71,5115985921.34,5115985921.34
2019-02-18,'300114,中航电测,8.63,8.69,8.23,8.23,8.22,0.41,4.9878,1.752,10350105,87846676.37,5098263106.37,5098263106.37
2019-02-15,'300114,中航电测,8.22,8.29,8.15,8.22,8.2,0.02,0.2439,1.0996,6495774,53389154.72,4856051301.78,4856051301.78
2019-02-14,'300114,中航电测,8.2,8.26,8.13,8.18,8.15,0.05,0.6135,1.1701,6912591,56752655.18,4844236091.8,4844236091.8
2019-02-13,'300114,中航电测,8.15,8.22,7.94,7.97,7.99,0.16,2.0025,1.7353,10251582,83314022.18,4814698066.85,4814698066.85
2019-02-12,'300114,中航电测,7.99,8.06,7.85,7.93,7.95,0.04,0.5031,1.0571,6244993,49807772.12,4720176387.01,4720176387.01
2019-02-11,'300114,中航电测,7.95,7.95,7.73,7.8,7.77,0.18,2.3166,0.9988,5900250,46259113.55,4696545967.05,4696545967.05
2019-02-01,'300114,中航电测,7.77,7.78,7.55,7.66,7.61,0.16,2.1025,0.8764,5177416,39772402.78,4590209077.23,4590209077.23
2019-01-31,'300114,中航电测,7.61,7.68,7.43,7.49,7.52,0.09,1.1968,0.9888,5841620,44045351.39,4495687397.39,4495687397.39
2019-01-30,'300114,中航电测,7.52,7.73,7.32,7.46,7.44,0.08,1.0753,0.8289,4896697,36979854.61,4442518952.48,4442518952.48
2019-01-29,'300114,中航电测,7.44,7.62,7.25,7.55,7.57,-0.13,-1.7173,0.7434,4391855,32542433.96,4395258112.56,4395258112.56
2019-01-28,'300114,中航电测,7.57,7.85,7.56,7.84,7.74,-0.17,-2.1964,0.7464,4409450,33987183.73,4472056977.43,4472056977.43
2019-01-25,'300114,中航电测,7.74,7.93,7.74,7.88,7.88,-0.14,-1.7766,0.6161,3639960,28662263.84,4572486262.26,4572486262.26
2019-01-24,'300114,中航电测,7.88,7.93,7.64,7.8,7.81,0.07,0.8963,0.8325,4917911,38473463.47,4655192732.12,4655192732.12
2019-01-23,'300114,中航电测,7.81,7.85,7.75,7.75,7.79,0.02,0.2567,0.416,2457856,19204769.78,4613839497.19,4613839497.19
2019-01-22,'300114,中航电测,7.79,8.02,7.74,8.02,8.02,-0.23,-2.8678,0.8395,4959327,38978560.28,4602024287.21,4602024287.21
2019-01-21,'300114,中航电测,8.02,8.12,7.92,8.03,8.03,-0.01,-0.1245,0.818,4832690,38732916.9,4737899201.98,4737899201.98
2019-01-18,'300114,中航电测,8.03,8.09,7.95,8.05,7.93,0.1,1.261,0.7162,4230800,33952568.0,4743806806.97,4743806806.97
2019-01-17,'300114,中航电测,7.93,8.14,7.91,8.1,8.1,-0.17,-2.0988,0.8936,5279060,42316803.5,4684730757.07,4684730757.07
2019-01-16,'300114,中航电测,8.1,8.31,8.07,8.24,8.21,-0.11,-1.3398,0.8257,4877751,39919934.57,4785160041.9,4785160041.9
2019-01-15,'300114,中航电测,8.21,8.26,8.04,8.06,8.08,0.13,1.6089,0.9201,5435530,44387770.5,4850143696.79,4850143696.79
2019-01-14,'300114,中航电测,8.08,8.23,8.01,8.06,8.1,-0.02,-0.2469,0.8797,5196954,42076967.33,4773344831.92,4773344831.92
2019-01-11,'300114,中航电测,8.1,8.15,7.96,8.08,8.07,0.03,0.3717,0.9555,5644966,45546993.55,4785160041.9,4785160041.9
