日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002883,中设股份,24.02,24.78,23.88,24.78,24.58,-0.56,-2.2783,4.1218,1278500,30980649.8,2080873737.6,745044673.6
2019-04-25,'002883,中设股份,24.58,25.9,24.58,25.55,25.55,-0.97,-3.7965,5.075,1574140,39955190.0,2129387030.4,762414574.4
2019-04-24,'002883,中设股份,25.55,25.56,24.98,25.12,24.91,0.64,2.5692,4.6397,1439120,36437409.0,2213418984.0,792501724.0
2019-04-23,'002883,中设股份,24.91,26.08,24.62,26.08,25.96,-1.05,-4.0447,6.337,1965600,49475859.6,2157975220.8,772650408.8
2019-04-22,'002883,中设股份,25.96,26.45,25.9,26.38,26.12,-0.16,-0.6126,3.7093,1150540,30120630.8,2248937644.8,805218972.8
2019-04-19,'002883,中设股份,26.12,26.31,25.89,26.1,26.11,0.01,0.0383,4.3849,1360100,35441760.22,2262798585.6,810181801.6
2019-04-18,'002883,中设股份,26.11,26.66,26.08,26.66,26.67,-0.56,-2.0997,4.6022,1427500,37550035.8,2261932276.8,809871624.8
2019-04-17,'002883,中设股份,26.67,26.96,26.53,26.74,26.78,-0.11,-0.4108,5.9778,1854160,49543490.2,2310445569.6,827241525.6
2019-04-16,'002883,中设股份,26.78,26.8,25.89,26.2,26.5,0.28,1.0566,6.1938,1921180,50677696.6,2319974966.4,830653470.4
2019-04-15,'002883,中设股份,26.5,27.05,26.07,26.28,25.87,0.63,2.4353,7.5158,2331240,62161835.2,2295718320.0,821968520.0
2019-04-12,'002883,中设股份,25.87,26.29,25.57,25.67,25.63,0.24,0.9364,5.5115,1709540,44357205.4,2241140865.6,802427381.6
2019-04-11,'002883,中设股份,25.63,26.86,25.57,26.86,26.73,-1.1,-4.1152,8.5463,2650860,69106288.8,2220349454.4,794983138.4
2019-04-10,'002883,中设股份,26.73,27.55,26.7,27.28,27.28,-0.55,-2.0161,7.2969,2263340,61211213.2,2315643422.4,829102586.4
2019-04-09,'002883,中设股份,27.28,27.75,27.0,27.0,27.51,-0.23,-0.8361,5.6291,1746018,47735117.68,2363290406.4,846162310.4
2019-04-08,'002883,中设股份,27.51,28.74,27.36,28.47,28.44,-0.93,-3.27,11.502,3567660,99993616.4,2383215508.8,853296376.8
2019-04-04,'002883,中设股份,28.44,28.79,27.68,27.99,27.64,0.8,2.8944,17.2009,5335318,150834631.4,2463782227.2,882142819.2
2019-04-03,'002883,中设股份,27.64,27.96,27.02,27.49,27.64,0.0,0.0,11.1896,3470760,95488724.4,2394477523.2,857328675.2
2019-04-02,'002883,中设股份,27.64,28.48,27.51,27.81,27.81,-0.17,-0.6113,16.2041,5026132,140526954.48,2394477523.2,857328675.2
2019-04-01,'002883,中设股份,27.81,28.1,26.06,26.75,27.16,0.65,2.3932,19.148,5939280,161676173.6,2409204772.8,862601680.8
2019-03-29,'002883,中设股份,27.16,27.88,25.97,27.02,28.85,-1.69,-5.8579,22.9534,7119623,189248929.58,2352894700.8,842440188.8
2019-03-28,'002883,中设股份,28.85,31.98,28.85,31.98,32.05,-3.2,-9.9844,23.8912,7410485,225179122.45,2499300888.0,894860068.0
2019-03-27,'002883,中设股份,32.05,33.0,30.7,31.2,30.87,1.18,3.8225,26.7715,8303885,261113012.75,2776519704.0,994116644.0
