日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'603810,丰山集团,40.6,41.27,40.56,40.87,40.83,-0.23,-0.5633,5.0061,1001224,40901380.0,3248000000.0,812000000.0
2019-04-25,'603810,丰山集团,40.83,42.7,40.83,42.39,43.33,-2.5,-5.7697,11.5316,2306321,96282378.0,3266400000.0,816600000.0
2019-04-24,'603810,丰山集团,43.33,43.85,42.5,43.79,43.56,-0.23,-0.528,6.7615,1352300,58283191.0,3466400000.0,866600000.0
2019-04-23,'603810,丰山集团,43.56,43.66,42.47,42.55,42.46,1.1,2.5907,9.1531,1830625,79193828.0,3484800000.0,871200000.0
2019-04-22,'603810,丰山集团,42.46,42.96,42.13,42.31,42.3,0.16,0.3783,4.94,988000,42021733.0,3396800000.0,849200000.0
2019-04-19,'603810,丰山集团,42.3,42.39,41.88,41.96,41.96,0.34,0.8103,3.874,774800,32664609.0,3384000000.0,846000000.0
2019-04-18,'603810,丰山集团,41.96,42.9,41.85,42.9,43.25,-1.29,-2.9827,8.4494,1689871,71143642.0,3356800000.0,839200000.0
2019-04-17,'603810,丰山集团,43.25,43.6,42.9,43.03,43.18,0.07,0.1621,4.6966,939322,40688934.0,3460000000.0,865000000.0
2019-04-16,'603810,丰山集团,43.18,43.24,42.02,42.99,43.12,0.06,0.1391,6.394,1278800,54608285.0,3454400000.0,863600000.0
2019-04-15,'603810,丰山集团,43.12,44.46,43.1,43.96,43.78,-0.66,-1.5075,6.7078,1341550,58817679.0,3449600000.0,862400000.0
2019-04-12,'603810,丰山集团,43.78,43.83,43.16,43.38,43.16,0.62,1.4365,4.6525,930498,40445285.0,3502400000.0,875600000.0
2019-04-11,'603810,丰山集团,43.16,44.18,43.07,43.87,43.88,-0.72,-1.6408,6.4848,1296950,56345033.0,3452800000.0,863200000.0
2019-04-10,'603810,丰山集团,43.88,44.4,43.18,44.21,44.21,-0.33,-0.7464,7.6911,1538222,67243236.0,3510400000.0,877600000.0
2019-04-09,'603810,丰山集团,44.21,45.44,43.67,45.15,45.62,-1.41,-3.0907,12.7471,2549422,113263607.0,3536800000.0,884200000.0
2019-04-08,'603810,丰山集团,45.62,47.98,45.0,46.5,43.92,1.7,3.8707,26.9582,5391639,249885584.0,3649600000.0,912400000.0
2019-04-04,'603810,丰山集团,43.92,45.5,43.15,43.31,43.14,0.78,1.8081,17.9365,3587294,158818437.0,3513600000.0,878400000.0
2019-04-03,'603810,丰山集团,43.14,43.18,42.5,42.99,43.17,-0.03,-0.0695,8.9665,1793293,76906885.0,3451200000.0,862800000.0
2019-04-02,'603810,丰山集团,43.17,43.28,42.32,42.59,42.49,0.68,1.6004,13.6994,2739889,117423856.0,3453600000.0,863400000.0
2019-04-01,'603810,丰山集团,42.49,42.65,41.52,41.7,41.51,0.98,2.3609,10.7229,2144586,90716503.0,3399200000.0,849800000.0
2019-03-29,'603810,丰山集团,41.51,41.54,40.6,40.85,40.95,0.56,1.3675,7.523,1504600,61929496.0,3320800000.0,830200000.0
2019-03-28,'603810,丰山集团,40.95,42.15,40.91,42.15,42.27,-1.32,-3.1228,8.8213,1764265,73266341.0,3276000000.0,819000000.0
2019-03-27,'603810,丰山集团,42.27,42.47,41.35,42.1,41.8,0.47,1.1244,7.9629,1592571,66811276.0,3381600000.0,845400000.0
2019-03-26,'603810,丰山集团,41.8,42.42,41.71,42.3,41.91,-0.11,-0.2625,7.2749,1454982,61106918.0,3344000000.0,836000000.0
2019-03-25,'603810,丰山集团,41.91,42.65,41.7,41.98,42.67,-0.76,-1.7811,8.0631,1612610,67973401.0,3352800000.0,838200000.0
2019-03-22,'603810,丰山集团,42.67,42.96,42.0,42.6,42.96,-0.29,-0.675,9.7155,1943100,82505193.0,3413600000.0,853400000.0
2019-03-21,'603810,丰山集团,42.96,44.13,42.91,43.28,43.52,-0.56,-1.2868,14.1665,2833294,123027425.0,3436800000.0,859200000.0
2019-03-20,'603810,丰山集团,43.52,43.55,42.44,42.65,42.55,0.97,2.2797,15.36,3071994,132201423.0,3481600000.0,870400000.0
2019-03-19,'603810,丰山集团,42.55,43.39,42.3,43.36,43.35,-0.8,-1.8454,13.1513,2630266,112385115.0,3404000000.0,851000000.0
2019-03-18,'603810,丰山集团,43.35,43.53,41.95,42.39,42.18,1.17,2.7738,15.4888,3097765,133314367.0,3468000000.0,867000000.0
2019-03-15,'603810,丰山集团,42.18,42.34,40.92,40.92,40.89,1.29,3.1548,11.2483,2249659,93881584.0,3374400000.0,843600000.0
2019-03-14,'603810,丰山集团,40.89,41.88,40.3,41.68,41.7,-0.81,-1.9424,10.473,2094600,85840992.0,3271200000.0,817800000.0
2019-03-13,'603810,丰山集团,41.7,43.4,41.39,42.4,42.58,-0.88,-2.0667,15.2051,3041011,129558645.0,3336000000.0,834000000.0
2019-03-12,'603810,丰山集团,42.58,43.1,41.6,41.61,41.61,0.97,2.3312,19.5245,3904908,165787358.0,3406400000.0,851600000.0
2019-03-11,'603810,丰山集团,41.61,41.64,40.71,40.71,40.7,0.91,2.2359,12.1368,2427365,100005650.0,3328800000.0,832200000.0
