日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002618,丹邦科技,15.0,15.83,14.94,15.69,15.69,-0.69,-4.3977,1.5653,8576734,130313229.29,8218800000.0,8218800000.0
2019-04-25,'002618,丹邦科技,15.69,16.64,15.68,16.64,16.56,-0.87,-5.2536,1.2028,6590596,105839628.57,8596864800.0,8596864800.0
2019-04-24,'002618,丹邦科技,16.56,16.73,16.2,16.38,16.25,0.31,1.9077,0.8774,4807600,79197681.22,9073555200.0,9073555200.0
2019-04-23,'002618,丹邦科技,16.25,16.64,16.11,16.63,16.51,-0.26,-1.5748,0.8199,4492568,73516213.06,8903700000.0,8903700000.0
2019-04-22,'002618,丹邦科技,16.51,17.03,16.47,16.88,17.04,-0.53,-3.1103,1.213,6646493,110857290.96,9046159200.0,9046159200.0
2019-04-19,'002618,丹邦科技,17.04,17.1,16.6,16.62,16.72,0.32,1.9139,0.8994,4928083,82874167.04,9336556800.0,9336556800.0
2019-04-18,'002618,丹邦科技,16.72,17.18,16.7,16.85,17.19,-0.47,-2.7341,1.22,6684464,112551678.3,9161222400.0,9161222400.0
2019-04-17,'002618,丹邦科技,17.19,17.46,17.02,17.14,17.15,0.04,0.2332,1.3557,7428379,127866178.65,9418744800.0,9418744800.0
2019-04-16,'002618,丹邦科技,17.15,17.26,16.55,16.83,16.84,0.31,1.8409,1.3952,7644357,129641211.04,9396828000.0,9396828000.0
2019-04-15,'002618,丹邦科技,16.84,17.0,16.6,16.95,16.69,0.15,0.8987,0.9248,5067338,84996066.9,9226972800.0,9226972800.0
2019-04-12,'002618,丹邦科技,16.69,16.79,16.43,16.57,16.5,0.19,1.1515,1.0396,5696068,94615848.98,9144784800.0,9144784800.0
2019-04-11,'002618,丹邦科技,16.5,17.03,16.5,17.01,17.17,-0.67,-3.9022,1.9108,10469466,174997647.62,9040680000.0,9040680000.0
2019-04-10,'002618,丹邦科技,17.17,17.48,16.95,17.31,17.51,-0.34,-1.9417,1.8303,10028539,171629703.46,9407786400.0,9407786400.0
2019-04-09,'002618,丹邦科技,17.51,17.76,17.36,17.4,17.51,0.0,0.0,1.4132,7743357,135799492.26,9594079200.0,9594079200.0
2019-04-08,'002618,丹邦科技,17.51,18.21,17.37,18.2,18.2,-0.69,-3.7912,2.5949,14217980,251384066.0,9594079200.0,9594079200.0
2019-04-04,'002618,丹邦科技,18.2,18.82,18.01,18.33,18.58,-0.38,-2.0452,2.7214,14911046,272117800.68,9972144000.0,9972144000.0
2019-04-03,'002618,丹邦科技,18.58,19.2,18.08,18.08,17.97,0.61,3.3945,4.5758,25071964,469071492.37,10180353600.0,10180353600.0
2019-04-02,'002618,丹邦科技,17.97,18.28,17.81,18.26,18.36,-0.39,-2.1242,3.1092,17036166,306652636.99,9846122400.0,9846122400.0
2019-04-01,'002618,丹邦科技,18.36,18.66,17.73,18.3,18.13,0.23,1.2686,4.0403,22137872,402502758.42,10059811200.0,10059811200.0
2019-03-29,'002618,丹邦科技,18.13,18.22,17.27,17.87,18.06,0.07,0.3876,3.2472,17791988,317253994.28,9933789600.0,9933789600.0
2019-03-28,'002618,丹邦科技,18.06,18.69,17.76,18.19,18.48,-0.42,-2.2727,3.5601,19506447,354970052.61,9895435200.0,9895435200.0
2019-03-27,'002618,丹邦科技,18.48,19.15,17.41,17.58,17.68,0.8,4.5249,5.1352,28136749,517333796.17,10125561600.0,10125561600.0
2019-03-26,'002618,丹邦科技,17.68,18.06,16.29,16.46,16.42,1.26,7.6736,6.1339,33609037,582989707.1,9687225600.0,9687225600.0
2019-03-25,'002618,丹邦科技,16.42,16.8,16.36,16.8,16.98,-0.56,-3.298,2.6092,14296500,236736162.5,8996846400.0,8996846400.0
2019-03-22,'002618,丹邦科技,16.98,17.1,16.46,16.83,16.89,0.09,0.5329,2.2114,12116900,202700319.5,9303681600.0,9303681600.0
2019-03-21,'002618,丹邦科技,16.89,17.26,16.82,17.01,16.54,0.35,2.1161,3.5347,19367593,329847886.8,9254368800.0,9254368800.0
2019-03-20,'002618,丹邦科技,16.54,16.74,15.79,16.4,16.37,0.17,1.0385,2.0755,11371831,185516718.19,9062596800.0,9062596800.0
2019-03-19,'002618,丹邦科技,16.37,16.79,15.64,15.8,15.78,0.59,3.7389,2.9647,16244348,265115706.72,8969450400.0,8969450400.0
2019-03-18,'002618,丹邦科技,15.78,15.8,15.1,15.73,15.6,0.18,1.1538,1.9242,10542837,163145258.38,8646177600.0,8646177600.0
2019-03-15,'002618,丹邦科技,15.6,15.93,15.45,15.65,15.51,0.09,0.5803,1.5838,8677922,135672903.52,8547552000.0,8547552000.0
