日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002318,久立特材,7.42,7.66,7.39,7.58,7.62,-0.2,-2.6247,1.7732,14921638,111454844.68,6244159463.5,6244159463.5
2019-04-25,'002318,久立特材,7.62,8.03,7.55,7.9,7.94,-0.32,-4.0302,1.7233,14502438,113645089.18,6412465648.5,6412465648.5
2019-04-24,'002318,久立特材,7.94,8.01,7.85,7.88,7.85,0.09,1.1465,1.016,8549940,67611542.6,6681755544.5,6681755544.5
2019-04-23,'002318,久立特材,7.85,8.18,7.84,8.16,8.11,-0.26,-3.2059,1.4755,12416844,99093458.24,6606017761.25,6606017761.25
2019-04-22,'002318,久立特材,8.11,8.22,8.07,8.15,8.15,-0.04,-0.4908,1.3526,11382769,92661396.11,6824815801.75,6824815801.75
2019-04-19,'002318,久立特材,8.15,8.33,8.0,8.27,8.3,-0.15,-1.8072,1.918,16140760,131149130.15,6858477038.75,6858477038.75
2019-04-18,'002318,久立特材,8.3,8.52,8.3,8.5,8.53,-0.23,-2.6964,1.5608,13134677,110533966.05,6984706677.5,6984706677.5
2019-04-17,'002318,久立特材,8.83,8.83,8.68,8.75,8.77,0.06,0.6842,1.8149,15273168,133811706.04,7430718067.75,7430718067.75
2019-04-16,'002318,久立特材,8.77,8.77,8.5,8.59,8.59,0.18,2.0955,1.4571,12261575,106028448.24,7380226212.25,7380226212.25
2019-04-15,'002318,久立特材,8.59,8.78,8.57,8.71,8.61,-0.02,-0.2323,1.3967,11753506,101852881.92,7228750645.75,7228750645.75
2019-04-12,'002318,久立特材,8.61,8.66,8.46,8.47,8.47,0.14,1.6529,1.434,12067913,103391216.1,7245581264.25,7245581264.25
2019-04-11,'002318,久立特材,8.47,8.9,8.45,8.9,8.77,-0.3,-3.4208,1.9289,16232506,140347359.87,7127766934.75,7127766934.75
2019-04-10,'002318,久立特材,8.77,8.88,8.55,8.67,8.76,0.01,0.1142,1.6989,14296664,124378762.02,7380203085.76,7380203085.76
2019-04-09,'002318,久立特材,8.76,8.96,8.66,8.96,8.94,-0.18,-2.0134,2.3597,19857268,174028135.76,7371787802.88,7371787802.88
2019-04-08,'002318,久立特材,8.94,8.94,8.6,8.64,8.54,0.4,4.6838,4.114,34620218,303361836.12,7523262894.72,7523262894.72
2019-04-04,'002318,久立特材,8.54,8.74,8.46,8.67,8.66,-0.12,-1.3857,2.5124,21142387,181474866.08,7186651579.52,7186651579.52
2019-04-03,'002318,久立特材,8.66,8.74,8.53,8.59,8.63,0.03,0.3476,1.9402,16327531,141417582.36,7287634974.08,7287634974.08
2019-04-02,'002318,久立特材,8.63,8.88,8.6,8.78,8.71,-0.08,-0.9185,3.2702,27520057,239773614.63,7262389125.44,7262389125.44
2019-04-01,'002318,久立特材,8.71,8.95,8.31,8.31,8.26,0.45,5.4479,4.2358,35645460,307128547.43,7329642039.46,7329642039.46
2019-03-29,'002318,久立特材,8.26,8.26,7.91,8.05,8.02,0.24,2.9925,2.1537,18123517,147267208.37,6950957892.76,6950957892.76
2019-03-28,'002318,久立特材,8.02,8.25,8.0,8.1,8.12,-0.1,-1.2315,1.47,12370200,100633528.94,6748993014.52,6748993014.52
2019-03-27,'002318,久立特材,8.12,8.2,8.03,8.15,8.11,0.01,0.1233,1.4368,12090942,97820448.62,6833145047.12,6833145047.12
2019-03-26,'002318,久立特材,8.11,8.52,8.09,8.52,8.29,-0.18,-2.1713,2.1259,17889709,147474997.35,6824729843.86,6824729843.86
2019-03-25,'002318,久立特材,8.29,8.5,8.05,8.09,8.27,0.02,0.2418,2.9133,24516005,203651887.51,6976203502.54,6976203502.54
2019-03-22,'002318,久立特材,8.27,8.46,8.18,8.46,8.46,-0.19,-2.2459,2.5679,21609529,178937057.96,6959373096.02,6959373096.02
2019-03-21,'002318,久立特材,8.46,8.54,8.29,8.36,8.36,0.1,1.1962,3.5617,29972554,252427418.02,7119261957.96,7119261957.96
2019-03-20,'002318,久立特材,8.36,8.68,8.23,8.63,8.55,-0.19,-2.2222,3.7711,31734659,266858134.06,7035109925.36,7035109925.36
2019-03-19,'002318,久立特材,8.55,9.12,8.53,8.7,8.31,0.24,2.8881,7.5233,63310501,552736228.47,7194998787.3,7194998787.3
2019-03-18,'002318,久立特材,8.31,8.34,8.05,8.08,7.96,0.35,4.397,3.4315,28876385,236528631.65,6993033909.06,6993033909.06
2019-03-15,'002318,久立特材,7.96,8.12,7.91,7.94,7.93,0.03,0.3783,1.4692,12363337,98916354.28,6698501794.96,6698501794.96
2019-03-14,'002318,久立特材,7.93,8.26,7.8,8.05,8.1,-0.17,-2.0988,2.2638,19050181,152369193.96,6673256185.18,6673256185.18
2019-03-13,'002318,久立特材,8.1,8.45,8.0,8.25,8.31,-0.21,-2.5271,3.4606,29121630,237289214.13,6816314640.6,6816314640.6
2019-03-12,'002318,久立特材,8.31,8.48,7.98,8.09,8.0,0.31,3.875,5.8407,49150741,405593242.57,6993033909.06,6993033909.06
2019-03-11,'002318,久立特材,8.0,8.06,7.46,7.46,7.45,0.55,7.3826,3.1962,26896922,210324484.34,6732162608.0,6732162608.0
2019-03-08,'002318,久立特材,7.45,7.91,7.41,7.9,8.05,-0.6,-7.4534,3.4699,29199782,224523199.96,6269326428.7,6269326428.7
2019-03-07,'002318,久立特材,8.05,8.23,7.99,8.23,8.21,-0.16,-1.9488,3.4337,28895179,233214968.87,6774238624.3,6774238624.3
2019-03-06,'002318,久立特材,8.21,8.22,7.86,7.88,7.91,0.3,3.7927,4.1563,34975809,282679864.12,6908881876.46,6908881876.46
2019-03-05,'002318,久立特材,7.91,8.01,7.6,7.68,7.73,0.18,2.3286,3.0693,25828396,201766033.87,6656425778.66,6656425778.66
2019-03-04,'002318,久立特材,7.73,7.98,7.72,7.83,7.77,-0.04,-0.5148,3.7963,31946270,250838210.76,6504952119.98,6504952119.98
2019-03-01,'002318,久立特材,7.77,7.8,7.55,7.69,7.61,0.16,2.1025,1.9211,16166251,124127755.71,6538612933.02,6538612933.02
2019-02-28,'002318,久立特材,7.61,7.84,7.55,7.55,7.55,0.06,0.7947,2.2899,19269916,148136554.56,6403969680.86,6403969680.86
2019-02-27,'002318,久立特材,7.55,7.7,7.45,7.54,7.62,-0.07,-0.9186,2.4596,20698290,157180571.41,6353478461.3,6353478461.3
2019-02-26,'002318,久立特材,7.62,7.93,7.38,7.44,7.49,0.13,1.7356,4.5506,38294170,293533288.71,6412384884.12,6412384884.12
2019-02-25,'002318,久立特材,7.49,7.6,7.18,7.25,7.18,0.31,4.3175,3.557,29932961,220435054.11,6302987241.74,6302987241.74
2019-02-22,'002318,久立特材,7.18,7.19,7.01,7.05,7.07,0.11,1.5559,1.4072,11841913,84098223.98,6042115940.68,6042115940.68
2019-02-21,'002318,久立特材,7.07,7.24,7.03,7.15,7.17,-0.1,-1.3947,2.0195,16994764,121102993.03,5949548704.82,5949548704.82
2019-02-20,'002318,久立特材,7.17,7.32,7.1,7.31,7.32,-0.15,-2.0492,1.7151,14432794,103828417.04,6033700737.42,6033700737.42
2019-02-19,'002318,久立特材,7.32,7.37,7.15,7.23,7.23,0.09,1.2448,2.3663,19912727,144549069.24,6159928786.32,6159928786.32
2019-02-18,'002318,久立特材,7.23,7.24,7.08,7.08,7.08,0.15,2.1186,2.1545,18130975,130041766.78,6084191956.98,6084191956.98
2019-02-15,'002318,久立特材,7.08,7.27,7.08,7.16,7.18,-0.1,-1.3928,1.2691,10679981,76297649.08,5957963908.08,5957963908.08
2019-02-14,'002318,久立特材,7.18,7.22,7.07,7.15,7.16,0.02,0.2793,1.346,11326995,81184622.22,6042115940.68,6042115940.68
2019-02-13,'002318,久立特材,7.16,7.37,7.1,7.35,7.2,-0.04,-0.5556,2.6135,21993412,158671310.55,6025285534.16,6025285534.16
2019-02-12,'002318,久立特材,7.2,7.21,7.09,7.13,7.19,0.01,0.1391,1.4427,12140841,86892638.92,6058946347.2,6058946347.2
2019-02-11,'002318,久立特材,7.19,7.32,7.01,7.01,7.03,0.16,2.276,3.3833,28471477,204153895.2,6050531143.94,6050531143.94
2019-02-01,'002318,久立特材,7.03,7.04,6.69,6.74,6.77,0.26,3.8405,2.1293,17918605,124283995.81,5915887891.78,5915887891.78
2019-01-31,'002318,久立特材,6.77,6.87,6.67,6.82,6.88,-0.11,-1.5988,1.8809,15828454,106675021.53,5697092607.02,5697092607.02
2019-01-30,'002318,久立特材,6.88,6.96,6.71,6.82,6.8,0.08,1.1765,2.1799,18344043,125644388.47,5789659842.88,5789659842.88
2019-01-29,'002318,久立特材,6.8,6.84,6.44,6.57,6.56,0.24,3.6585,1.9182,16142414,108540646.95,5722338216.8,5722338216.8
2019-01-28,'002318,久立特材,6.56,6.85,6.55,6.64,6.57,-0.01,-0.1522,1.1369,9566945,64104332.96,5520373338.56,5520373338.56
2019-01-25,'002318,久立特材,6.57,6.65,6.45,6.52,6.51,0.06,0.9217,0.9457,7958361,52299816.7,5528788541.82,5528788541.82
2019-01-24,'002318,久立特材,6.51,6.58,6.37,6.56,6.58,-0.07,-1.0638,0.9768,8219829,53171949.69,5478297322.26,5478297322.26
2019-01-23,'002318,久立特材,6.58,6.59,6.41,6.45,6.47,0.11,1.7002,0.5385,4531876,29566682.19,5537203745.08,5537203745.08
