日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600644,乐山电力,7.28,7.37,7.18,7.22,7.3,-0.02,-0.274,1.1634,6263642,45579067.0,3919556797.52,3919556797.52
2019-04-25,'600644,乐山电力,7.3,7.79,7.28,7.7,7.78,-0.48,-6.1697,1.3355,7190433,54008637.0,3930324810.7,3930324810.7
2019-04-24,'600644,乐山电力,7.78,7.8,7.6,7.66,7.65,0.13,1.6993,0.8111,4366832,33783228.0,4188757127.02,4188757127.02
2019-04-23,'600644,乐山电力,7.65,7.87,7.5,7.67,7.6,0.05,0.6579,1.2779,6880137,52900393.0,4118765041.35,4118765041.35
2019-04-22,'600644,乐山电力,7.6,8.15,7.6,7.98,8.09,-0.49,-6.0569,2.4058,12952971,101114315.0,4091845008.4,4091845008.4
2019-04-19,'600644,乐山电力,8.09,8.69,7.89,8.1,8.04,0.05,0.6219,3.7608,20247987,166976298.0,4355661331.31,4355661331.31
2019-04-18,'600644,乐山电力,8.04,8.17,7.16,7.44,7.43,0.61,8.21,2.6896,14480784,111735681.0,4328741298.36,4328741298.36
2019-04-17,'600644,乐山电力,7.43,7.65,7.38,7.62,7.57,-0.14,-1.8494,1.3882,7473899,55840202.0,4000316896.37,4000316896.37
2019-04-16,'600644,乐山电力,7.57,7.79,7.34,7.47,7.65,-0.08,-1.0458,3.1218,16807980,128067932.0,4075692988.63,4075692988.63
2019-04-15,'600644,乐山电力,7.65,7.72,7.1,7.16,7.02,0.63,8.9744,4.2047,22638345,169522328.0,4118765041.35,4118765041.35
2019-04-12,'600644,乐山电力,7.02,7.13,6.77,6.78,6.81,0.21,3.0837,2.1287,11460818,80347493.0,3779572626.18,3779572626.18
2019-04-11,'600644,乐山电力,6.81,6.98,6.66,6.8,6.7,0.11,1.6418,1.7638,9496097,64887078.0,3666508487.79,3666508487.79
2019-04-10,'600644,乐山电力,6.7,6.81,6.59,6.7,6.76,-0.06,-0.8876,0.7964,4288039,28720390.0,3607284415.3,3607284415.3
2019-04-09,'600644,乐山电力,6.76,6.8,6.47,6.47,6.52,0.24,3.681,1.3413,7221396,48086896.0,3639588454.84,3639588454.84
2019-04-08,'600644,乐山电力,6.52,6.71,6.4,6.65,6.63,-0.11,-1.6591,0.9137,4919100,32191213.0,3510372296.68,3510372296.68
2019-04-04,'600644,乐山电力,6.63,6.68,6.5,6.55,6.55,0.08,1.2214,1.2939,6966234,45978558.0,3569596369.17,3569596369.17
2019-04-03,'600644,乐山电力,6.55,6.56,6.41,6.43,6.49,0.06,0.9245,0.9857,5307120,34282441.0,3526524316.45,3526524316.45
2019-04-02,'600644,乐山电力,6.49,6.58,6.44,6.55,6.53,-0.04,-0.6126,1.0555,5682902,36860809.0,3494220276.91,3494220276.91
2019-04-01,'600644,乐山电力,6.53,6.58,6.39,6.39,6.42,0.11,1.7134,1.1704,6301285,40985802.0,3515756303.27,3515756303.27
2019-03-29,'600644,乐山电力,6.42,6.43,6.2,6.2,6.37,0.05,0.7849,0.9922,5342091,33904752.0,3456532230.78,3456532230.78
2019-03-28,'600644,乐山电力,6.37,6.63,6.34,6.52,6.52,-0.15,-2.3006,1.0406,5602434,36317491.0,3429612197.83,3429612197.83
2019-03-27,'600644,乐山电力,6.52,6.54,6.27,6.32,6.3,0.22,3.4921,0.925,4980103,31786893.0,3510372296.68,3510372296.68
2019-03-26,'600644,乐山电力,6.3,6.66,6.27,6.57,6.61,-0.31,-4.6899,1.5875,8546902,54956239.0,3391924151.7,3391924151.7
2019-03-25,'600644,乐山电力,6.61,6.79,6.5,6.63,6.65,-0.04,-0.6015,1.5597,8397204,55736041.0,3558828355.99,3558828355.99
2019-03-22,'600644,乐山电力,6.65,6.82,6.51,6.81,6.82,-0.17,-2.4927,2.0312,10935821,72628249.0,3580364382.35,3580364382.35
2019-03-21,'600644,乐山电力,6.82,7.1,6.64,6.74,6.92,-0.1,-1.4451,3.3775,18184681,124799578.0,3671892494.38,3671892494.38
2019-03-20,'600644,乐山电力,6.92,7.14,6.59,6.7,6.74,0.18,2.6706,5.4442,29311353,202916014.0,3725732560.28,3725732560.28
2019-03-19,'600644,乐山电力,6.74,6.74,6.1,6.13,6.13,0.61,9.9511,3.4121,18370581,119776086.0,3628820441.66,3628820441.66
2019-03-18,'600644,乐山电力,6.13,6.29,5.77,5.85,5.84,0.29,4.9658,1.5778,8495123,51585085.0,3300396039.67,3300396039.67
2019-03-15,'600644,乐山电力,5.84,5.9,5.7,5.7,5.71,0.13,2.2767,0.7569,4074933,23639701.0,3144259848.56,3144259848.56
2019-03-14,'600644,乐山电力,5.71,5.92,5.51,5.88,5.93,-0.22,-3.7099,1.1189,6024234,34464462.0,3074267762.89,3074267762.89
2019-03-13,'600644,乐山电力,5.93,6.15,5.9,6.15,6.2,-0.27,-4.3548,1.5378,8279388,49783826.0,3192715907.87,3192715907.87
2019-03-12,'600644,乐山电力,6.2,6.3,6.06,6.06,6.0,0.2,3.3333,2.5611,13789006,85567091.0,3338084085.8,3338084085.8
2019-03-11,'600644,乐山电力,6.0,6.05,5.65,5.65,5.6,0.4,7.1429,1.4635,7879304,46179430.0,3230403954.0,3230403954.0
2019-03-08,'600644,乐山电力,5.6,5.93,5.59,5.93,6.0,-0.4,-6.6667,1.6621,8948601,51813102.0,3015043690.4,3015043690.4
2019-03-07,'600644,乐山电力,6.0,6.03,5.87,5.94,5.98,0.02,0.3344,1.6144,8692062,51866742.0,3230403954.0,3230403954.0
2019-03-06,'600644,乐山电力,5.98,6.04,5.84,6.03,6.01,-0.03,-0.4992,1.7416,9376554,55505982.0,3219635940.82,3219635940.82
2019-03-05,'600644,乐山电力,6.01,6.2,5.85,5.89,5.94,0.07,1.1785,2.155,11602649,69611751.0,3235787960.59,3235787960.59
2019-03-04,'600644,乐山电力,5.94,6.14,5.82,5.83,5.91,0.03,0.5076,2.3263,12525047,75096206.0,3198099914.46,3198099914.46
2019-03-01,'600644,乐山电力,5.91,6.23,5.57,5.63,5.66,0.25,4.417,2.4593,13241068,78022167.0,3181947894.69,3181947894.69
2019-02-28,'600644,乐山电力,5.66,5.88,5.41,5.5,5.4,0.26,4.8148,2.1069,11343303,63553891.0,3047347729.94,3047347729.94
2019-02-27,'600644,乐山电力,5.4,5.49,5.35,5.42,5.44,-0.04,-0.7353,1.1321,6094973,33113613.0,2907363558.6,2907363558.6
2019-02-26,'600644,乐山电力,5.44,5.57,5.41,5.57,5.56,-0.12,-2.1583,1.8232,9816238,53685769.0,2928899584.96,2928899584.96
2019-02-25,'600644,乐山电力,5.56,5.62,5.33,5.45,5.34,0.22,4.1199,2.5755,13866553,75769530.0,2993507664.04,2993507664.04
2019-02-22,'600644,乐山电力,5.34,5.34,5.18,5.18,5.24,0.1,1.9084,1.2011,6466927,34125594.0,2875059519.06,2875059519.06
2019-02-21,'600644,乐山电力,5.24,5.47,5.23,5.3,5.3,-0.06,-1.1321,1.844,9928268,53309187.0,2821219453.16,2821219453.16
