日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002687,乔治白,6.83,6.95,6.74,6.81,6.83,0.0,0.0,1.7874,6342732,43577691.53,2423639160.0,2423639160.0
2019-04-25,'002687,乔治白,6.83,7.21,6.81,7.21,7.19,-0.36,-5.007,2.2027,7816314,54656754.44,2423639160.0,2423639160.0
2019-04-24,'002687,乔治白,7.19,7.2,7.02,7.2,7.14,0.05,0.7003,1.7715,6286300,44811600.0,2551385880.0,2551385880.0
2019-04-23,'002687,乔治白,7.14,7.37,7.0,7.37,7.34,-0.2,-2.7248,2.1798,7735104,55736530.48,2533643280.0,2533643280.0
2019-04-22,'002687,乔治白,7.34,7.55,7.3,7.51,7.49,-0.15,-2.0027,2.4731,8775900,65077184.0,2604613680.0,2604613680.0
2019-04-19,'002687,乔治白,7.49,7.52,7.34,7.46,7.45,0.04,0.5369,1.4968,5311500,39477875.0,2657841480.0,2657841480.0
2019-04-18,'002687,乔治白,7.45,7.69,7.42,7.69,7.65,-0.2,-2.6144,1.9218,6819400,51304095.0,2643647400.0,2643647400.0
2019-04-17,'002687,乔治白,7.65,7.75,7.6,7.63,7.61,0.04,0.5256,2.086,7402223,56804717.54,2714617800.0,2714617800.0
2019-04-16,'002687,乔治白,7.61,7.67,7.34,7.58,7.6,0.01,0.1316,2.1876,7762700,58400520.0,2700423720.0,2700423720.0
2019-04-15,'002687,乔治白,7.6,7.94,7.59,7.72,7.77,-0.17,-2.1879,3.03,10751882,83650888.66,2696875200.0,2696875200.0
2019-04-12,'002687,乔治白,7.77,7.88,7.55,7.64,7.64,0.13,1.7016,2.6084,9256100,71358150.92,2757200040.0,2757200040.0
2019-04-11,'002687,乔治白,7.64,8.03,7.51,7.75,7.75,-0.11,-1.4194,3.5695,12666554,97566594.26,2711069280.0,2711069280.0
2019-04-10,'002687,乔治白,7.75,8.1,7.7,7.79,8.11,-0.36,-4.439,5.1923,18425117,145267567.13,2750103000.0,2750103000.0
2019-04-09,'002687,乔治白,8.11,8.57,7.52,8.0,7.84,0.27,3.4439,10.5618,37478739,295359930.23,2877849720.0,2877849720.0
2019-04-08,'002687,乔治白,7.84,7.84,6.83,7.18,7.13,0.71,9.9579,6.6748,23685729,174730491.29,2782039680.0,2782039680.0
2019-04-04,'002687,乔治白,7.13,7.32,7.09,7.21,7.2,-0.07,-0.9722,3.1424,11151026,80125554.74,2530094760.0,2530094760.0
2019-04-03,'002687,乔治白,7.2,7.24,7.1,7.1,7.13,0.07,0.9818,3.1714,11253661,80786856.15,2554934400.0,2554934400.0
2019-04-02,'002687,乔治白,7.13,7.25,7.06,7.14,7.14,-0.01,-0.1401,3.8191,13552090,96792327.49,2530094760.0,2530094760.0
2019-04-01,'002687,乔治白,7.14,7.37,6.79,6.79,6.8,0.34,5.0,5.2497,18628577,132157702.47,2533643280.0,2533643280.0
2019-03-29,'002687,乔治白,6.8,6.8,6.52,6.64,6.64,0.16,2.4096,1.8464,6551900,43894548.96,2412993600.0,2412993600.0
2019-03-28,'002687,乔治白,6.64,6.82,6.62,6.66,6.68,-0.04,-0.5988,1.9824,7034591,47256474.42,2356217280.0,2356217280.0
2019-03-27,'002687,乔治白,6.68,6.86,6.58,6.82,6.81,-0.13,-1.909,2.4294,8620750,57573227.5,2370411360.0,2370411360.0
2019-03-26,'002687,乔治白,6.81,7.1,6.7,7.07,7.03,-0.22,-3.1294,3.7405,13273302,90980091.52,2416542120.0,2416542120.0
2019-03-25,'002687,乔治白,7.03,7.23,6.81,6.86,7.03,0.0,0.0,4.9797,17670684,125158272.79,2494609560.0,2494609560.0
2019-03-22,'002687,乔治白,7.03,7.05,6.8,6.95,7.02,0.01,0.1425,4.227,14999700,103717653.0,2494609560.0,2494609560.0
2019-03-21,'002687,乔治白,7.02,7.09,6.79,6.85,6.83,0.19,2.7818,5.9289,21038783,146472374.49,2491061040.0,2491061040.0
2019-03-20,'002687,乔治白,6.83,6.94,6.75,6.83,6.83,0.0,0.0,3.4211,12139962,83031722.08,2423639160.0,2423639160.0
2019-03-19,'002687,乔治白,6.83,6.9,6.78,6.9,6.91,-0.08,-1.1577,2.7606,9796033,66969213.74,2423639160.0,2423639160.0
2019-03-18,'002687,乔治白,6.91,7.13,6.82,7.09,6.93,-0.02,-0.2886,4.1952,14886686,102528362.15,2452027320.0,2452027320.0
2019-03-15,'002687,乔治白,6.93,6.96,6.59,6.62,6.56,0.37,5.6402,5.7076,20253594,138254540.8,2459124360.0,2459124360.0
2019-03-14,'002687,乔治白,6.56,6.76,6.48,6.7,6.81,-0.25,-3.6711,3.5073,12445693,82062174.01,2327829120.0,2327829120.0
2019-03-13,'002687,乔治白,6.81,7.18,6.67,6.83,6.8,0.01,0.1471,6.2096,22034953,152262597.18,2416542120.0,2416542120.0
2019-03-12,'002687,乔治白,6.8,6.9,6.61,6.73,6.66,0.14,2.1021,4.5597,16180184,109429440.83,2412993600.0,2412993600.0
2019-03-11,'002687,乔治白,6.66,6.66,6.4,6.4,6.38,0.28,4.3887,3.038,10780460,70564048.2,2363314320.0,2363314320.0
2019-03-08,'002687,乔治白,6.38,6.77,6.34,6.77,6.9,-0.52,-7.5362,4.7047,16694631,110378485.65,2263955760.0,2263955760.0
2019-03-07,'002687,乔治白,6.9,6.99,6.73,6.81,6.92,-0.02,-0.289,5.6848,20172474,137990904.68,2448478800.0,2448478800.0
2019-03-06,'002687,乔治白,6.92,7.21,6.52,6.66,6.63,0.29,4.3741,7.3148,25956831,176384428.54,2455575840.0,2455575840.0
2019-03-05,'002687,乔治白,6.63,6.64,6.35,6.44,6.49,0.14,2.1572,5.1189,18164400,118303783.42,2352668760.0,2352668760.0
2019-03-04,'002687,乔治白,6.49,6.6,6.42,6.54,6.48,0.01,0.1543,5.4963,19503900,126927640.38,2302989480.0,2302989480.0
2019-03-01,'002687,乔治白,6.48,6.5,6.29,6.36,6.36,0.12,1.8868,3.9585,14046749,90354344.45,2299440960.0,2299440960.0
