日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600053,九鼎投资,23.45,24.08,22.75,22.88,23.0,0.45,1.9565,0.9845,4268232,100731437.0,10166531760.0,10166531760.0
2019-04-25,'600053,九鼎投资,23.0,24.75,22.99,24.6,24.7,-1.7,-6.8826,0.9451,4097294,97795875.0,9971438400.0,9971438400.0
2019-04-24,'600053,九鼎投资,24.7,25.73,24.13,25.68,25.73,-1.03,-4.0031,1.2632,5476491,134849476.0,10708457760.0,10708457760.0
2019-04-23,'600053,九鼎投资,25.73,25.95,24.67,25.0,25.13,0.6,2.3876,1.37,5939453,151308069.0,11155004784.0,11155004784.0
2019-04-22,'600053,九鼎投资,25.13,25.98,25.03,25.32,25.13,0.0,0.0,0.9148,3966219,101113080.0,10894880304.0,10894880304.0
2019-04-19,'600053,九鼎投资,25.13,25.15,24.46,24.89,24.69,0.44,1.7821,0.7223,3131364,77896585.0,10894880304.0,10894880304.0
2019-04-18,'600053,九鼎投资,24.69,25.49,24.51,25.23,25.56,-0.87,-3.4038,0.8643,3747204,93097019.0,10704122352.0,10704122352.0
2019-04-17,'600053,九鼎投资,25.56,26.09,25.4,25.46,25.68,-0.12,-0.4673,1.0107,4381802,112711863.0,11081302848.0,11081302848.0
2019-04-16,'600053,九鼎投资,25.68,25.74,24.08,25.05,25.34,0.34,1.3418,1.1669,5058965,126489441.0,11133327744.0,11133327744.0
2019-04-15,'600053,九鼎投资,25.34,26.38,25.29,25.79,25.55,-0.21,-0.8219,0.8502,3686105,95378538.0,10985923872.0,10985923872.0
2019-04-12,'600053,九鼎投资,25.55,25.7,25.12,25.37,25.17,0.38,1.5097,0.6846,2968073,75318149.0,11076967440.0,11076967440.0
2019-04-11,'600053,九鼎投资,25.17,26.29,25.09,26.29,26.0,-0.83,-3.1923,1.0845,4701934,119911698.0,10912221936.0,10912221936.0
2019-04-10,'600053,九鼎投资,26.0,26.55,25.6,26.55,26.48,-0.48,-1.8127,0.9156,3969547,102993501.0,11272060800.0,11272060800.0
2019-04-09,'600053,九鼎投资,26.48,26.77,26.12,26.39,26.2,0.28,1.0687,0.8401,3642142,96538177.0,11480160384.0,11480160384.0
2019-04-08,'600053,九鼎投资,26.2,26.66,25.93,26.5,27.01,-0.81,-2.9989,1.3597,5894756,154760987.0,11358768960.0,11358768960.0
2019-04-04,'600053,九鼎投资,27.01,27.88,26.88,27.88,27.55,-0.54,-1.9601,1.2221,5298460,144122853.0,11709937008.0,11709937008.0
