日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002195,二三四五,5.6,5.76,5.55,5.57,5.57,0.03,0.5386,3.2747,142074217,804404793.02,24880603003.2,24295611323.2
2019-04-25,'002195,二三四五,5.57,5.87,5.57,5.78,5.83,-0.26,-4.4597,3.1212,135414211,773733836.16,24747314058.5,24165456262.5
2019-04-24,'002195,二三四五,5.83,5.85,5.65,5.7,5.68,0.15,2.6408,3.171,137573990,792547101.35,25902484912.3,25293466788.3
2019-04-23,'002195,二三四五,5.68,5.88,5.6,5.81,5.83,-0.15,-2.5729,4.082,177098317,1014487045.34,25236040189.0,24642691485.0
2019-04-22,'002195,二三四五,5.83,6.08,5.81,6.08,6.07,-0.24,-3.9539,4.4936,194955170,1159438665.57,25902484912.3,25293466788.3
2019-04-19,'002195,二三四五,6.07,6.13,6.02,6.03,6.06,0.01,0.165,3.1149,135140523,818344276.47,26968796469.5,26334707273.5
2019-04-18,'002195,二三四五,6.06,6.25,6.05,6.24,6.23,-0.17,-2.7287,4.885,211935617,1291910441.42,26924366821.3,26291322253.3
2019-04-17,'002195,二三四五,6.23,6.32,6.16,6.22,6.2,0.03,0.4839,4.1665,180762629,1127287948.86,27679670841.1,27028867597.1
2019-04-16,'002195,二三四五,6.2,6.22,5.96,6.05,6.12,0.08,1.3072,4.4393,192598997,1175514530.85,27546381896.4,26898712536.4
2019-04-15,'002195,二三四五,6.12,6.35,6.1,6.19,6.06,0.06,0.9901,5.8151,252289156,1574770596.47,27190944710.6,26551632374.6
2019-04-12,'002195,二三四五,6.06,6.08,5.96,6.01,6.01,0.05,0.8319,2.5757,111746319,672318841.4,26924366821.3,26291322253.3
2019-04-11,'002195,二三四五,6.01,6.19,6.0,6.18,6.19,-0.18,-2.9079,3.7224,161498486,979450515.09,26702218580.2,26074397152.2
2019-04-10,'002195,二三四五,6.19,6.25,6.01,6.13,6.14,0.05,0.8143,4.5571,197710148,1216598564.73,27501952248.2,26855327516.2
2019-04-09,'002195,二三四五,6.14,6.25,6.0,6.03,6.06,0.08,1.3201,4.3439,188461355,1160342995.93,27279804007.1,26638402415.1
2019-04-08,'002195,二三四五,6.06,6.24,5.98,6.23,6.21,-0.15,-2.4155,5.7303,248610842,1515978926.42,26924366821.3,26291322253.3
2019-04-04,'002195,二三四五,6.21,6.35,6.17,6.34,6.3,-0.09,-1.4286,5.7504,249481073,1554672239.77,27590811544.6,26942097556.6
2019-04-03,'002195,二三四五,6.3,6.4,6.16,6.23,6.27,0.03,0.4785,5.8593,254207688,1596109696.82,27990678378.6,27332562738.6
2019-04-02,'002195,二三四五,6.27,6.52,6.23,6.49,6.46,-0.19,-2.9412,9.4317,409193674,2612024960.89,27857389433.9,27202407677.9
2019-04-01,'002195,二三四五,6.46,6.55,6.12,6.17,6.06,0.4,6.6007,10.7326,465634298,2934747396.77,28701552750.1,28026723062.1
2019-03-29,'002195,二三四五,6.06,6.15,5.66,5.77,5.77,0.29,5.026,8.0572,349563020,2081310639.04,26924366821.3,26291322253.3
2019-03-28,'002195,二三四五,5.77,6.11,5.74,5.91,6.07,-0.3,-4.9423,6.0502,262489146,1561422180.99,25635907022.9,25033156666.9
2019-03-27,'002195,二三四五,6.07,6.08,5.58,5.82,5.77,0.3,5.1993,8.315,360745079,2093018715.63,26968796469.5,26334707273.5
2019-03-26,'002195,二三四五,5.77,6.19,5.71,6.13,6.05,-0.28,-4.6281,7.6571,332204785,1963933475.79,25635907022.9,25033156666.9
2019-03-25,'002195,二三四五,6.05,6.19,5.93,6.01,6.16,-0.11,-1.7857,6.7548,293057841,1780794391.73,26879937173.1,26247937233.1
2019-03-22,'002195,二三四五,6.16,6.3,6.01,6.22,6.43,-0.27,-4.1991,11.5078,499264637,3077688963.53,27368663303.5,26725172455.5
2019-03-21,'002195,二三四五,6.43,6.51,5.91,6.1,5.92,0.51,8.6149,17.9106,777052146,4864299712.1,28568263805.5,27896568001.5
2019-03-20,'002195,二三四五,5.92,6.32,5.85,5.99,5.75,0.17,2.9565,17.9155,777264975,4699244651.88,26302351746.2,25683931970.2
2019-03-19,'002195,二三四五,5.75,5.75,5.43,5.56,5.23,0.52,9.9426,8.4409,366207710,2058927468.79,25547047726.5,24946386626.5
