日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000878,云南铜业,10.92,11.23,10.89,10.93,11.02,-0.1,-0.9074,1.5904,22526462,248739758.11,18560489875.2,15467074896.0
2019-04-25,'000878,云南铜业,11.02,11.62,10.92,11.5,11.6,-0.58,-5.0,2.3771,33669752,379816472.46,18730457731.2,15608714776.0
2019-04-24,'000878,云南铜业,11.6,11.6,11.23,11.5,11.53,0.07,0.6071,1.783,25254454,289138056.95,19716271296.0,16430226080.0
2019-04-23,'000878,云南铜业,11.53,11.93,11.43,11.5,11.53,0.0,0.0,2.4839,35182021,409180848.4,19597293796.8,16331078164.0
2019-04-22,'000878,云南铜业,11.53,12.03,11.49,11.97,12.04,-0.51,-4.2359,2.9316,41522783,485229744.0,19597293796.8,16331078164.0
2019-04-19,'000878,云南铜业,12.04,12.11,11.67,11.85,11.96,0.08,0.6689,2.8645,40573050,482084533.86,20464129862.4,17053441552.0
2019-04-18,'000878,云南铜业,11.96,12.73,11.89,11.95,11.95,0.01,0.0837,4.6255,65515776,801201863.84,20328155577.6,16940129648.0
2019-04-17,'000878,云南铜业,11.95,12.1,11.51,11.6,11.79,0.16,1.3571,5.8383,82693543,976758619.63,20311158792.0,16925965660.0
2019-04-16,'000878,云南铜业,11.79,11.85,10.68,10.72,10.77,1.02,9.4708,6.9816,98887502,1146920029.86,20039210222.4,16699341852.0
2019-04-15,'000878,云南铜业,10.77,11.38,10.75,11.16,10.63,0.14,1.317,2.8142,39860598,442250000.62,18305538091.2,15254615076.0
2019-04-12,'000878,云南铜业,10.63,10.72,10.5,10.61,10.63,0.0,0.0,1.0776,15263046,161865798.34,18067583092.8,15056319244.0
2019-04-11,'000878,云南铜业,10.63,11.05,10.62,10.95,10.93,-0.3,-2.7447,2.0636,29229057,315599065.51,18067583092.8,15056319244.0
2019-04-10,'000878,云南铜业,10.93,11.06,10.82,11.0,11.21,-0.28,-2.4978,2.3041,32634722,356773273.89,18577486660.8,15481238884.0
2019-04-09,'000878,云南铜业,11.21,11.31,10.99,11.3,11.37,-0.16,-1.4072,2.1538,30505820,338540102.39,19053396657.6,15877830548.0
2019-04-08,'000878,云南铜业,11.37,11.85,11.2,11.25,11.25,0.12,1.0667,4.6428,65760419,752650415.27,19325345227.2,16104454356.0
2019-04-04,'000878,云南铜业,11.25,11.7,11.1,11.5,11.28,-0.03,-0.266,3.3964,48106181,547022051.43,19121383800.0,15934486500.0
2019-04-03,'000878,云南铜业,11.28,11.36,10.85,10.89,11.18,0.1,0.8945,2.8565,40459210,450201693.2,19172374156.8,15976978464.0
2019-04-02,'000878,云南铜业,11.18,11.48,10.95,11.45,11.11,0.07,0.6301,5.1672,73187598,819793204.25,19002406300.8,15835338584.0
2019-04-01,'000878,云南铜业,11.11,11.11,10.36,10.38,10.1,1.01,10.0,3.6134,51179600,554885407.89,18883428801.6,15736190668.0
2019-03-29,'000878,云南铜业,10.1,10.13,9.68,9.73,9.72,0.38,3.9095,1.3466,19073509,189575997.77,17166753456.0,14305627880.0
2019-03-28,'000878,云南铜业,9.72,9.92,9.7,9.91,9.94,-0.22,-2.2133,0.9275,13137331,128835028.44,16520875603.2,13767396336.0
2019-03-27,'000878,云南铜业,9.94,10.07,9.86,10.04,9.95,-0.01,-0.1005,0.7268,10293700,102678838.22,16894804886.4,14079004072.0
2019-03-26,'000878,云南铜业,9.95,10.23,9.94,10.15,10.14,-0.19,-1.8738,1.165,16501592,166183049.94,16911801672.0,14093168060.0
2019-03-25,'000878,云南铜业,10.14,10.27,10.0,10.1,10.49,-0.35,-3.3365,1.4882,21078417,214561261.69,17234740598.4,14362283832.0
2019-03-22,'000878,云南铜业,10.49,10.59,10.32,10.59,10.68,-0.19,-1.779,1.5743,22298788,232916971.78,17829628094.4,14858023412.0
2019-03-21,'000878,云南铜业,10.68,10.8,10.58,10.69,10.55,0.13,1.2322,2.19,31019592,331310199.62,18152567020.8,15127139184.0
2019-03-20,'000878,云南铜业,10.55,10.58,10.32,10.47,10.56,-0.01,-0.0947,1.2791,18117393,189634168.27,17931608808.0,14943007340.0
2019-03-19,'000878,云南铜业,10.56,10.69,10.4,10.69,10.64,-0.08,-0.7519,1.2711,18003185,189541152.19,17948605593.6,14957171328.0
2019-03-18,'000878,云南铜业,10.64,10.64,10.34,10.34,10.34,0.3,2.9014,1.6254,23021680,242120525.72,18084579878.4,15070483232.0
2019-03-15,'000878,云南铜业,10.34,10.38,10.19,10.25,10.24,0.1,0.9766,1.2331,17465499,179697498.21,17574676310.4,14645563592.0
2019-03-14,'000878,云南铜业,10.24,10.68,10.1,10.36,10.46,-0.22,-2.1033,1.6303,23091234,238904029.57,17404708454.4,14503923712.0
2019-03-13,'000878,云南铜业,10.46,10.78,10.38,10.61,10.62,-0.16,-1.5066,1.8109,25649085,271611854.36,17778637737.6,14815531448.0
2019-03-12,'000878,云南铜业,10.62,10.86,10.43,10.68,10.59,0.03,0.2833,2.3858,33792560,359574653.76,18050586307.2,15042155256.0
2019-03-11,'000878,云南铜业,10.59,10.7,10.31,10.42,10.4,0.19,1.8269,1.9385,27456947,288462583.26,17999595950.4,14999663292.0
2019-03-08,'000878,云南铜业,10.4,11.04,10.37,10.86,11.24,-0.84,-7.4733,3.5773,50668300,542973723.26,17676657024.0,14730547520.0
2019-03-07,'000878,云南铜业,11.24,11.53,10.49,10.6,10.76,0.48,4.461,4.9736,70446643,786420558.88,19104387014.4,15920322512.0
2019-03-06,'000878,云南铜业,10.76,10.93,10.5,10.64,10.6,0.16,1.5094,3.851,54545941,583958442.02,18288541305.6,15240451088.0
2019-03-05,'000878,云南铜业,10.6,10.61,10.19,10.28,10.38,0.22,2.1195,2.7991,39645842,414413678.45,18016592736.0,15013827280.0
2019-03-04,'000878,云南铜业,10.38,10.66,10.22,10.4,10.29,0.09,0.8746,3.528,49970075,522074613.96,17642663452.8,14702219544.0
2019-03-01,'000878,云南铜业,10.29,10.33,10.02,10.33,10.22,0.07,0.6849,1.5805,22386835,227149847.1,17489692382.4,14574743652.0
2019-02-28,'000878,云南铜业,10.22,10.33,9.99,10.16,10.15,0.07,0.6897,1.9415,27499358,278935525.86,17370714883.2,14475595736.0
2019-02-27,'000878,云南铜业,10.15,10.53,10.02,10.25,10.38,-0.23,-2.2158,3.0215,42796665,439507854.42,17251737384.0,14376447820.0
2019-02-26,'000878,云南铜业,10.38,10.86,10.0,10.22,9.93,0.45,4.5317,4.7028,66610698,696956678.36,17642663452.8,14702219544.0
2019-02-25,'000878,云南铜业,9.93,9.93,9.16,9.25,9.03,0.9,9.9668,3.8773,54918416,531165570.99,16877808100.8,14064840084.0
2019-02-22,'000878,云南铜业,9.03,9.03,8.66,8.71,8.84,0.19,2.1493,1.6074,22766977,201254327.32,15348097396.8,12790081164.0
2019-02-21,'000878,云南铜业,8.84,9.07,8.8,9.0,8.9,-0.06,-0.6742,1.6763,23743344,212428046.24,15025158470.4,12520965392.0
2019-02-20,'000878,云南铜业,8.9,9.13,8.83,8.83,8.71,0.19,2.1814,1.9629,27802684,248916248.91,15127139184.0,12605949320.0
2019-02-19,'000878,云南铜业,8.71,8.86,8.63,8.78,8.77,-0.06,-0.6842,1.3566,19214200,168021411.11,14804200257.6,12336833548.0
2019-02-18,'000878,云南铜业,8.77,8.78,8.52,8.54,8.46,0.31,3.6643,1.3118,18580747,160865327.95,14906180971.2,12421817476.0
2019-02-15,'000878,云南铜业,8.46,8.61,8.45,8.59,8.6,-0.14,-1.6279,0.9493,13445398,114512535.11,14379280617.6,11982733848.0
2019-02-14,'000878,云南铜业,8.6,8.71,8.56,8.63,8.65,-0.05,-0.578,0.8405,11905246,102602643.16,14617235616.0,12181029680.0
2019-02-13,'000878,云南铜业,8.65,8.73,8.47,8.53,8.53,0.12,1.4068,1.2037,17049792,146805720.2,14702219544.0,12251849620.0
2019-02-12,'000878,云南铜业,8.53,8.57,8.45,8.48,8.54,-0.01,-0.1171,0.7078,10024788,85242880.56,14498258116.8,12081881764.0
2019-02-11,'000878,云南铜业,8.54,8.54,8.36,8.38,8.37,0.17,2.0311,0.7773,11009970,92973352.38,14515254902.4,12096045752.0
2019-02-01,'000878,云南铜业,8.37,8.38,8.15,8.19,8.19,0.18,2.1978,0.6415,9086688,75296253.2,14226309547.2,11855257956.0
2019-01-31,'000878,云南铜业,8.19,8.34,8.1,8.14,8.11,0.08,0.9864,0.6349,8992878,73914453.44,13920367406.4,11600306172.0
2019-01-30,'000878,云南铜业,8.11,8.21,8.1,8.18,8.18,-0.07,-0.8557,0.3762,5327934,43442068.11,13784393121.6,11486994268.0
2019-01-29,'000878,云南铜业,8.18,8.29,8.02,8.29,8.32,-0.14,-1.6827,0.6414,9084915,74097506.06,11586142184.0,11586142184.0
2019-01-28,'000878,云南铜业,8.32,8.47,8.3,8.4,8.27,0.05,0.6046,0.7231,10242267,85819555.72,11784438016.0,11784438016.0
2019-01-25,'000878,云南铜业,8.27,8.36,8.25,8.3,8.3,-0.03,-0.3614,0.4788,6782369,56232013.34,11713618076.0,11713618076.0
2019-01-24,'000878,云南铜业,8.3,8.35,8.23,8.27,8.29,0.01,0.1206,0.3787,5363770,44496822.55,11756110040.0,11756110040.0
2019-01-23,'000878,云南铜业,8.29,8.34,8.23,8.31,8.29,0.0,0.0,0.3718,5266733,43620682.0,11741946052.0,11741946052.0
2019-01-22,'000878,云南铜业,8.29,8.47,8.23,8.43,8.48,-0.19,-2.2406,0.702,9942871,83060406.14,11741946052.0,11741946052.0
2019-01-21,'000878,云南铜业,8.48,8.59,8.42,8.57,8.5,-0.02,-0.2353,0.9136,12939999,109929681.84,12011061824.0,12011061824.0
2019-01-18,'000878,云南铜业,8.5,8.5,8.28,8.28,8.28,0.22,2.657,1.1713,16589618,140102503.18,12039389800.0,12039389800.0
2019-01-17,'000878,云南铜业,8.28,8.46,8.24,8.33,8.32,-0.04,-0.4808,0.6645,9411367,78477264.8,11727782064.0,11727782064.0
2019-01-16,'000878,云南铜业,8.32,8.37,8.23,8.34,8.32,0.0,0.0,0.3817,5406217,44929360.43,11784438016.0,11784438016.0
2019-01-15,'000878,云南铜业,8.32,8.34,8.2,8.22,8.28,0.04,0.4831,0.4531,6417138,53119302.27,11784438016.0,11784438016.0
2019-01-14,'000878,云南铜业,8.28,8.41,8.22,8.28,8.28,0.0,0.0,0.6301,8925110,74212972.88,11727782064.0,11727782064.0
2019-01-11,'000878,云南铜业,8.28,8.3,8.15,8.21,8.16,0.12,1.4706,0.5079,7193331,59292612.09,11727782064.0,11727782064.0
2019-01-10,'000878,云南铜业,8.16,8.26,8.14,8.19,8.21,-0.05,-0.609,0.3426,4852837,39775672.69,11557814208.0,11557814208.0
2019-01-09,'000878,云南铜业,8.21,8.35,8.2,8.24,8.19,0.02,0.2442,0.5554,7866449,65135918.04,11628634148.0,11628634148.0
2019-01-08,'000878,云南铜业,8.19,8.27,8.17,8.22,8.29,-0.1,-1.2063,0.4316,6112759,50264850.76,11600306172.0,11600306172.0
2019-01-07,'000878,云南铜业,8.29,8.34,8.11,8.15,8.13,0.16,1.968,0.8027,11370081,93574400.96,11741946052.0,11741946052.0
2019-01-04,'000878,云南铜业,8.13,8.14,7.87,7.89,7.96,0.17,2.1357,0.5086,7203963,57970998.16,11515322244.0,11515322244.0
