ศีฦฺ,นษฦฑด๚ย๋,ร๛ณฦ,สีลฬผÛ,ื๎ธ฿ผÛ,ื๎ตอผÛ,ฟชลฬผÛ,วฐสีลฬ,ีวต๘ถ๎,ีวต๘ท๙,ปปสึยส,ณษฝปมฟ,ณษฝปฝ๐ถ๎,ืÜสะึต,ม๗อจสะึต
2019-04-26,'002623,ัวย๊ถู,16.02,16.48,16.02,16.45,16.55,-0.53,-3.2024,0.787,1259143,20376030.88,2563200000.0,2563200000.0
2019-04-25,'002623,ัวย๊ถู,16.55,17.65,16.49,17.33,17.81,-1.26,-7.0747,1.491,2385661,40531070.89,2648000000.0,2648000000.0
2019-04-24,'002623,ัวย๊ถู,17.81,17.92,17.5,17.66,17.86,-0.05,-0.28,0.6574,1051806,18607484.92,2849600000.0,2849600000.0
2019-04-23,'002623,ัวย๊ถู,17.86,17.95,17.5,17.8,17.87,-0.01,-0.056,0.6194,990961,17558202.09,2857600000.0,2857600000.0
2019-04-22,'002623,ัวย๊ถู,17.87,18.26,17.81,17.92,17.98,-0.11,-0.6118,0.7248,1159600,20945502.0,2859200000.0,2859200000.0
2019-04-19,'002623,ัวย๊ถู,17.98,17.98,17.67,17.84,17.79,0.19,1.068,0.6409,1025401,18300066.89,2876800000.0,2876800000.0
2019-04-18,'002623,ัวย๊ถู,17.79,17.92,17.75,17.9,17.92,-0.13,-0.7254,0.4886,781806,13944295.25,2846400000.0,2846400000.0
2019-04-17,'002623,ัวย๊ถู,17.92,17.93,17.7,17.8,17.8,0.12,0.6742,0.6674,1067801,19052943.78,2867200000.0,2867200000.0
2019-04-16,'002623,ัวย๊ถู,17.8,17.81,17.12,17.53,17.58,0.22,1.2514,0.7816,1250531,21850333.06,2848000000.0,2848000000.0
2019-04-15,'002623,ัวย๊ถู,17.58,18.08,17.55,17.96,17.87,-0.29,-1.6228,0.9577,1532298,27411640.83,2812800000.0,2812800000.0
2019-04-12,'002623,ัวย๊ถู,17.87,17.87,17.55,17.7,17.63,0.24,1.3613,0.5588,894159,15818255.1,2859200000.0,2859200000.0
2019-04-11,'002623,ัวย๊ถู,17.63,18.05,17.63,17.98,17.9,-0.27,-1.5084,0.9599,1535834,27378220.78,2820800000.0,2820800000.0
2019-04-10,'002623,ัวย๊ถู,17.9,18.34,17.81,18.28,18.36,-0.46,-2.5054,1.338,2140839,38513899.01,2864000000.0,2864000000.0
2019-04-09,'002623,ัวย๊ถู,18.36,18.37,18.1,18.23,18.25,0.11,0.6027,0.9421,1507398,27511779.74,2937600000.0,2937600000.0
2019-04-08,'002623,ัวย๊ถู,18.25,18.78,18.06,18.61,18.58,-0.33,-1.7761,1.4845,2375209,43712916.18,2920000000.0,2920000000.0
2019-04-04,'002623,ัวย๊ถู,18.58,18.85,18.35,18.44,18.44,0.14,0.7592,1.7033,2725216,50749654.28,2972800000.0,2972800000.0
2019-04-03,'002623,ัวย๊ถู,18.44,18.49,18.22,18.35,18.38,0.06,0.3264,1.0412,1665996,30596597.46,2950400000.0,2950400000.0
2019-04-02,'002623,ัวย๊ถู,18.38,18.69,18.34,18.59,18.66,-0.28,-1.5005,1.8783,3005301,55598167.7,2940800000.0,2940800000.0
2019-04-01,'002623,ัวย๊ถู,18.66,18.67,18.1,18.23,18.52,0.14,0.7559,2.6091,4174572,76787479.92,2985600000.0,2985600000.0
2019-03-29,'002623,ัวย๊ถู,18.52,18.55,17.81,18.1,18.07,0.45,2.4903,1.1986,1917724,34924744.26,2963200000.0,2963200000.0
2019-03-28,'002623,ัวย๊ถู,18.07,18.25,17.81,17.95,18.01,0.06,0.3331,0.9177,1468254,26534890.07,2891200000.0,2891200000.0
2019-03-27,'002623,ัวย๊ถู,18.01,18.17,17.53,17.97,17.97,0.04,0.2226,0.8434,1349492,24068012.46,2881600000.0,2881600000.0
2019-03-26,'002623,ัวย๊ถู,17.97,18.53,17.85,18.37,18.37,-0.4,-2.1775,1.1133,1781293,32464803.66,2875200000.0,2875200000.0
2019-03-25,'002623,ัวย๊ถู,18.37,18.63,18.25,18.43,18.72,-0.35,-1.8697,1.1652,1864391,34355722.84,2939200000.0,2939200000.0
2019-03-22,'002623,ัวย๊ถู,18.72,18.76,18.2,18.27,18.19,0.53,2.9137,2.0037,3205962,59477985.62,2995200000.0,2995200000.0
2019-03-21,'002623,ัวย๊ถู,18.19,18.3,18.0,18.16,18.09,0.1,0.5528,1.2498,1999652,36327052.08,2910400000.0,2910400000.0
2019-03-20,'002623,ัวย๊ถู,18.09,18.22,17.82,17.98,17.94,0.15,0.8361,1.1395,1823201,32838550.45,2894400000.0,2894400000.0
2019-03-19,'002623,ัวย๊ถู,17.94,18.16,17.8,18.06,18.05,-0.11,-0.6094,1.0644,1703068,30617651.34,2870400000.0,2870400000.0
2019-03-18,'002623,ัวย๊ถู,18.05,18.07,17.53,17.64,17.61,0.44,2.4986,1.1602,1856293,33042376.03,2888000000.0,2888000000.0
2019-03-15,'002623,ัวย๊ถู,17.61,17.92,17.4,17.67,17.6,0.01,0.0568,1.1821,1891407,33418361.42,2817600000.0,2817600000.0
2019-03-14,'002623,ัวย๊ถู,17.6,18.22,17.31,18.0,18.2,-0.6,-3.2967,1.4169,2267038,40207309.23,2816000000.0,2816000000.0
2019-03-13,'002623,ัวย๊ถู,18.2,19.15,18.1,19.01,18.88,-0.68,-3.6017,2.1278,3404501,63241418.55,2912000000.0,2912000000.0
2019-03-12,'002623,ัวย๊ถู,18.88,18.97,17.95,17.96,17.85,1.03,5.7703,3.0625,4899949,91166171.03,3020800000.0,3020800000.0
2019-03-11,'002623,ัวย๊ถู,17.85,17.85,17.26,17.26,17.36,0.49,2.8226,1.2777,2044352,36068231.38,2856000000.0,2856000000.0
2019-03-08,'002623,ัวย๊ถู,17.36,18.14,17.25,18.06,18.25,-0.89,-4.8767,1.651,2641548,46982700.79,2777600000.0,2777600000.0
2019-03-07,'002623,ัวย๊ถู,18.25,18.37,17.92,18.2,18.18,0.07,0.385,1.9943,3190845,57798661.72,2920000000.0,2920000000.0
2019-03-06,'002623,ัวย๊ถู,18.18,18.2,17.86,18.02,17.96,0.22,1.2249,1.8831,3013002,54420968.14,2908800000.0,2908800000.0
2019-03-05,'002623,ัวย๊ถู,17.96,17.98,17.55,17.65,17.65,0.31,1.7564,1.6077,2572282,45555222.74,2873600000.0,2873600000.0
2019-03-04,'002623,ัวย๊ถู,17.65,18.0,17.56,17.7,17.66,-0.01,-0.0566,1.8628,2980511,52997122.5,2824000000.0,2824000000.0
2019-03-01,'002623,ัวย๊ถู,17.66,17.68,17.41,17.59,17.59,0.07,0.398,1.0254,1640563,28821520.38,2825600000.0,2825600000.0
2019-02-28,'002623,ัวย๊ถู,17.59,17.59,17.3,17.45,17.41,0.18,1.0339,0.8121,1299323,22652772.1,2814400000.0,2814400000.0
2019-02-27,'002623,ัวย๊ถู,17.41,17.76,17.3,17.66,17.66,-0.25,-1.4156,1.4971,2395399,42123106.4,2785600000.0,2785600000.0
2019-02-26,'002623,ัวย๊ถู,17.66,17.97,17.41,17.77,17.76,-0.1,-0.5631,1.9933,3189288,56283735.89,2825600000.0,2825600000.0
2019-02-25,'002623,ัวย๊ถู,17.76,17.79,17.08,17.17,17.19,0.57,3.3159,2.559,4094368,71624327.6,2841600000.0,2841600000.0
2019-02-22,'002623,ัวย๊ถู,17.19,17.26,16.8,17.06,17.17,0.02,0.1165,1.4817,2370752,40384508.7,2750400000.0,2750400000.0
2019-02-21,'002623,ัวย๊ถู,17.17,17.93,17.12,17.48,17.46,-0.29,-1.6609,2.3691,3790533,66580922.14,2747200000.0,2747200000.0
2019-02-20,'002623,ัวย๊ถู,17.46,17.5,16.88,17.07,17.07,0.39,2.2847,1.5765,2522434,43337733.27,2793600000.0,2793600000.0
2019-02-19,'002623,ัวย๊ถู,17.07,17.25,16.91,17.24,17.2,-0.13,-0.7558,1.475,2359964,40270145.55,2731200000.0,2731200000.0
2019-02-18,'002623,ัวย๊ถู,17.2,17.26,16.75,16.91,16.76,0.44,2.6253,1.3981,2236968,38126612.07,2752000000.0,2752000000.0
2019-02-15,'002623,ัวย๊ถู,16.76,16.99,16.72,16.95,17.06,-0.3,-1.7585,1.3165,2106336,35469287.64,2681600000.0,2681600000.0
2019-02-14,'002623,ัวย๊ถู,17.06,17.54,16.81,16.96,16.96,0.1,0.5896,1.8711,2993800,51481238.4,2729600000.0,2729600000.0
2019-02-13,'002623,ัวย๊ถู,16.96,17.08,16.75,16.9,16.88,0.08,0.4739,1.4636,2341700,39592348.92,2713600000.0,2713600000.0
2019-02-12,'002623,ัวย๊ถู,16.88,17.13,16.76,16.9,17.01,-0.13,-0.7643,1.4824,2371892,40107792.96,2700800000.0,2700800000.0
2019-02-11,'002623,ัวย๊ถู,17.01,17.14,16.43,16.62,16.62,0.39,2.3466,2.0744,3318961,55635262.36,2721600000.0,2721600000.0
2019-02-01,'002623,ัวย๊ถู,16.62,16.65,15.7,15.87,15.86,0.76,4.7919,1.5802,2528327,41234103.42,2659200000.0,2659200000.0
2019-01-31,'002623,ัวย๊ถู,15.86,16.26,15.6,16.2,16.16,-0.3,-1.8564,0.9983,1597347,25378007.28,2537600000.0,2537600000.0
2019-01-30,'002623,ัวย๊ถู,16.16,16.5,15.52,15.52,15.7,0.46,2.9299,1.2754,2040625,33020494.99,2585600000.0,2585600000.0
2019-01-29,'002623,ัวย๊ถู,15.7,15.97,15.31,15.76,15.99,-0.29,-1.8136,0.7016,1122501,17527652.59,2512000000.0,2512000000.0
2019-01-28,'002623,ัวย๊ถู,15.99,16.23,15.79,15.81,15.78,0.21,1.3308,0.731,1169639,18754661.3,2558400000.0,2558400000.0
2019-01-25,'002623,ัวย๊ถู,15.78,16.13,15.78,16.12,16.14,-0.36,-2.2305,0.601,961627,15350702.58,2524800000.0,2524800000.0
2019-01-24,'002623,ัวย๊ถู,16.14,16.14,15.85,15.91,16.03,0.11,0.6862,0.6461,1033703,16545702.27,2582400000.0,2582400000.0
2019-01-23,'002623,ัวย๊ถู,16.03,16.05,15.8,16.05,16.08,-0.05,-0.3109,0.72,1152060,18363767.0,2564800000.0,2564800000.0
2019-01-22,'002623,ัวย๊ถู,16.08,16.14,15.62,15.7,15.7,0.38,2.4204,0.9699,1551880,24612150.2,2572800000.0,2572800000.0
2019-01-21,'002623,ัวย๊ถู,15.7,15.77,15.55,15.55,15.56,0.14,0.8997,0.3941,630600,9881781.29,2512000000.0,2512000000.0
2019-01-18,'002623,ัวย๊ถู,15.56,15.57,15.37,15.37,15.44,0.12,0.7772,0.4546,727349,11255882.36,2489600000.0,2489600000.0
2019-01-17,'002623,ัวย๊ถู,15.44,15.63,15.35,15.48,15.6,-0.16,-1.0256,0.6205,992728,15334257.56,2470400000.0,2470400000.0
2019-01-16,'002623,ัวย๊ถู,15.6,15.75,15.55,15.68,15.66,-0.06,-0.3831,0.5423,867728,13578717.8,2496000000.0,2496000000.0
2019-01-15,'002623,ัวย๊ถู,15.66,15.75,15.37,15.37,15.46,0.2,1.2937,0.6158,985313,15324223.38,2505600000.0,2505600000.0
2019-01-14,'002623,ัวย๊ถู,15.46,15.79,15.36,15.79,15.68,-0.22,-1.4031,0.5196,831296,12890266.36,2473600000.0,2473600000.0
2019-01-11,'002623,ัวย๊ถู,15.68,15.79,15.45,15.77,15.79,-0.11,-0.6966,0.7315,1170360,18234280.43,2508800000.0,2508800000.0
2019-01-10,'002623,ัวย๊ถู,15.79,16.13,15.34,15.52,15.35,0.44,2.8664,1.0178,1628493,25737620.18,2526400000.0,2526400000.0
2019-01-09,'002623,ัวย๊ถู,15.35,15.71,15.35,15.66,15.39,-0.04,-0.2599,0.7294,1167000,18153347.0,2456000000.0,2456000000.0
2019-01-08,'002623,ัวย๊ถู,15.39,15.63,15.38,15.52,15.5,-0.11,-0.7097,0.4316,690600,10698203.0,2462400000.0,2462400000.0
2019-01-07,'002623,ัวย๊ถู,15.5,15.54,15.22,15.26,15.23,0.27,1.7728,0.6826,1092100,16820128.0,2480000000.0,2480000000.0
2019-01-04,'002623,ัวย๊ถู,15.23,15.24,14.52,14.7,14.85,0.38,2.5589,0.7028,1124536,16861179.04,2436800000.0,2436800000.0
2019-01-03,'002623,ัวย๊ถู,14.85,15.02,14.8,14.8,14.85,0.0,0.0,0.4139,662300,9865681.0,2376000000.0,2376000000.0
2019-01-02,'002623,ัวย๊ถู,14.85,15.24,14.85,15.24,15.32,-0.47,-3.0679,0.7071,1131364,17002019.64,2376000000.0,2376000000.0
2018-12-28,'002623,ัวย๊ถู,15.32,15.56,15.13,15.13,15.09,0.23,1.5242,0.5659,905451,13926891.28,2451200000.0,2451200000.0
2018-12-27,'002623,ัวย๊ถู,15.09,15.77,15.06,15.64,15.41,-0.32,-2.0766,0.5096,815300,12625585.01,2414400000.0,2414400000.0
2018-12-26,'002623,ัวย๊ถู,15.41,15.56,15.23,15.46,15.46,-0.05,-0.3234,0.4983,797200,12289864.0,2465600000.0,2465600000.0
2018-12-25,'002623,ัวย๊ถู,15.46,15.9,15.03,15.89,15.98,-0.52,-3.2541,0.8833,1413200,21726323.01,2473600000.0,2473600000.0
2018-12-24,'002623,ัวย๊ถู,15.98,15.99,15.76,15.89,15.98,0.0,0.0,0.5893,942900,14968408.44,2556800000.0,2556800000.0
2018-12-21,'002623,ัวย๊ถู,15.98,16.27,15.81,16.0,16.1,-0.12,-0.7453,0.7799,1247900,20062574.0,2556800000.0,2556800000.0
2018-12-20,'002623,ัวย๊ถู,16.1,16.1,15.76,15.97,15.99,0.11,0.6879,0.6132,981100,15639364.0,2576000000.0,2576000000.0
2018-12-19,'002623,ัวย๊ถู,15.99,16.19,15.96,16.12,15.88,0.11,0.6927,0.6342,1014700,16326848.0,2558400000.0,2558400000.0
2018-12-18,'002623,ัวย๊ถู,15.88,16.08,15.76,15.91,15.98,-0.1,-0.6258,0.4753,760452,12095424.12,2540800000.0,2540800000.0
2018-12-17,'002623,ัวย๊ถู,15.98,15.98,15.56,15.61,15.7,0.28,1.7834,0.5278,844492,13384105.7,2556800000.0,2556800000.0
2018-12-14,'002623,ัวย๊ถู,15.7,16.29,15.7,16.22,16.21,-0.51,-3.1462,0.6851,1096198,17538968.88,2512000000.0,2512000000.0
2018-12-13,'002623,ัวย๊ถู,16.21,16.33,16.07,16.14,16.07,0.14,0.8712,0.7704,1232694,20013156.04,2593600000.0,2593600000.0
2018-12-12,'002623,ัวย๊ถู,16.07,16.2,15.98,15.98,15.93,0.14,0.8788,0.4633,741200,11926655.54,2571200000.0,2571200000.0
2018-12-11,'002623,ัวย๊ถู,15.93,15.96,15.75,15.75,15.75,0.18,1.1429,0.3981,637005,10119273.55,2548800000.0,2548800000.0
2018-12-10,'002623,ัวย๊ถู,15.75,16.15,15.7,16.15,16.19,-0.44,-2.7177,0.6388,1022004,16215913.21,2520000000.0,2520000000.0
2018-12-07,'002623,ัวย๊ถู,16.19,16.23,16.03,16.03,16.05,0.14,0.8723,0.6745,1079263,17436003.93,2590400000.0,2590400000.0
2018-12-06,'002623,ัวย๊ถู,16.05,16.2,15.93,16.05,16.05,0.0,0.0,0.7616,1218593,19585439.88,2568000000.0,2568000000.0
2018-12-05,'002623,ัวย๊ถู,16.05,16.23,15.85,15.88,16.3,-0.25,-1.5337,0.7559,1209500,19408851.0,2568000000.0,2568000000.0
2018-12-04,'002623,ัวย๊ถู,16.3,16.35,16.03,16.08,16.13,0.17,1.0539,0.8749,1399900,22678703.0,2608000000.0,2608000000.0
2018-12-03,'002623,ัวย๊ถู,16.13,16.31,15.87,15.98,15.62,0.51,3.265,1.2721,2035395,32756078.65,2580800000.0,2580800000.0
2018-11-30,'002623,ัวย๊ถู,15.62,15.75,15.25,15.65,15.72,-0.1,-0.6361,1.1015,1762463,27322356.06,2499200000.0,2499200000.0
