日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002647,仁东控股,13.58,13.8,13.49,13.58,13.7,-0.12,-0.8759,0.342,1915227,26067647.47,7603939707.0,7603939707.0
2019-04-25,'002647,仁东控股,13.7,14.17,13.64,13.98,13.89,-0.19,-1.3679,0.4239,2373460,32993492.1,7671132105.0,7671132105.0
2019-04-24,'002647,仁东控股,13.89,13.89,13.64,13.8,13.86,0.03,0.2165,0.3186,1784100,24584935.0,7777520068.5,7777520068.5
2019-04-23,'002647,仁东控股,13.86,14.04,13.75,14.0,14.01,-0.15,-1.0707,0.4301,2408478,33400060.27,7760721969.0,7760721969.0
2019-04-22,'002647,仁东控股,14.01,14.25,13.86,14.2,14.17,-0.16,-1.1291,0.5774,3232960,45410106.1,7844712466.5,7844712466.5
2019-04-19,'002647,仁东控股,14.17,14.26,14.11,14.22,14.19,-0.02,-0.1409,0.4252,2381086,33744512.59,7934302330.5,7934302330.5
2019-04-18,'002647,仁东控股,14.19,14.46,14.1,14.44,14.29,-0.1,-0.6998,0.6518,3649876,52041550.09,7945501063.5,7945501063.5
2019-04-17,'002647,仁东控股,14.29,14.6,14.07,14.19,14.2,0.09,0.6338,1.1873,6648110,95239453.47,8001494728.5,8001494728.5
2019-04-16,'002647,仁东控股,14.2,14.22,13.73,13.83,13.95,0.25,1.7921,1.2103,6776647,94885198.83,7951100430.0,7951100430.0
2019-04-15,'002647,仁东控股,13.95,14.27,13.83,13.84,13.83,0.12,0.8677,0.7511,4205932,59228677.49,7811116267.5,7811116267.5
2019-04-12,'002647,仁东控股,13.83,13.87,13.64,13.64,13.69,0.14,1.0226,0.3859,2160935,29763646.23,7743923869.5,7743923869.5
2019-04-11,'002647,仁东控股,13.69,13.78,13.6,13.7,13.67,0.02,0.1463,0.3331,1865222,25528941.47,7665532738.5,7665532738.5
2019-04-10,'002647,仁东控股,13.67,13.8,13.46,13.75,13.81,-0.14,-1.0138,0.4503,2521306,34364368.24,7654334005.5,7654334005.5
2019-04-09,'002647,仁东控股,13.81,13.86,13.65,13.7,13.7,0.11,0.8029,0.4875,2729804,37545149.09,7732725136.5,7732725136.5
