日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002629,仁智股份,3.77,3.92,3.69,3.8,4.1,-0.33,-8.0488,22.3945,77171701,291295371.69,1553043960.0,1299143632.41
2019-04-25,'002629,仁智股份,4.1,4.55,4.1,4.37,4.47,-0.37,-8.2774,23.7199,81738934,351849938.53,1688986800.0,1412861775.3
2019-04-24,'002629,仁智股份,4.47,4.47,4.47,4.47,4.97,-0.5,-10.0604,1.902,6554400,29298168.0,1841407560.0,1540363935.51
2019-04-23,'002629,仁智股份,4.97,4.97,4.97,4.97,5.52,-0.55,-9.9638,0.9666,3330900,16554573.0,2047381560.0,1712664152.01
2019-04-22,'002629,仁智股份,5.52,5.64,5.25,5.34,5.43,0.09,1.6575,12.7402,43902797,240279803.93,2273952960.0,1902194390.16
2019-04-19,'002629,仁智股份,5.43,5.61,5.33,5.53,5.56,-0.13,-2.3381,13.0553,44988588,244309337.15,2236877640.0,1871180351.19
2019-04-18,'002629,仁智股份,5.56,5.82,5.5,5.68,5.96,-0.4,-6.7114,16.0212,55209020,312055904.47,2290430880.0,1915978407.48
2019-04-17,'002629,仁智股份,5.96,6.1,5.83,5.9,5.88,0.08,1.3605,17.8776,61606369,367058592.99,2455210080.0,2053818580.68
2019-04-16,'002629,仁智股份,5.88,6.21,5.68,6.2,6.25,-0.37,-5.92,20.8387,71810310,425986040.1,2422254240.0,2026250546.04
2019-04-15,'002629,仁智股份,6.25,7.29,6.15,7.29,6.63,-0.38,-5.7315,31.9086,109957216,763906631.65,2574675000.0,2153752706.25
2019-04-12,'002629,仁智股份,6.63,6.63,6.63,6.63,6.03,0.6,9.9502,1.4813,5104730,33844359.9,2731215240.0,2284700870.79
2019-04-11,'002629,仁智股份,6.03,6.03,6.03,6.03,5.48,0.55,10.0365,0.2744,945656,5702305.68,2484046440.0,2077940610.99
2019-04-10,'002629,仁智股份,5.48,5.48,5.48,5.48,4.98,0.5,10.0402,0.1693,583260,3196264.8,2257475040.0,1888410372.84
2019-04-09,'002629,仁智股份,4.98,4.98,4.98,4.98,4.53,0.45,9.9338,0.2973,1024600,5102508.0,2051501040.0,1716110156.34
2019-04-08,'002629,仁智股份,0.0,0.0,0.0,0.0,4.53,None,None,0.0,0,0.0,1866124440.0,1561039961.49
2019-04-04,'002629,仁智股份,0.0,0.0,0.0,0.0,4.53,None,None,0.0,0,0.0,1866124440.0,1561039961.49
