хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2019-04-26,'002922,ра╦Й╤Ш,15.84,16.11,15.8,16.08,16.13,-0.29,-1.7979,1.7849,1283400,20457609.0,2090767140.0,1138945500.0
2019-04-25,'002922,ра╦Й╤Ш,16.13,17.0,16.1,17.0,16.91,-0.78,-4.6127,2.353,1691879,27994279.02,2129045073.75,1159797406.25
2019-04-24,'002922,ра╦Й╤Ш,16.91,17.1,16.67,17.1,16.99,-0.08,-0.4709,1.596,1147600,19383411.0,2231999516.25,1215881843.75
2019-04-23,'002922,ра╦Й╤Ш,16.99,17.35,16.7,16.96,16.96,0.03,0.1769,1.8947,1362373,23106798.96,2242558946.25,1221634093.75
2019-04-22,'002922,ра╦Й╤Ш,16.96,17.47,16.8,17.47,17.23,-0.27,-1.567,1.9244,1383724,23705836.85,2238599160.0,1219477000.0
2019-04-19,'002922,ра╦Й╤Ш,17.23,17.35,16.82,16.88,16.88,0.35,2.0735,2.1308,1532079,26131745.94,2274237236.25,1238890843.75
2019-04-18,'002922,ра╦Й╤Ш,16.88,17.28,16.83,17.18,17.33,-0.45,-2.5967,2.6842,1930000,32777732.63,2228039730.0,1213724750.0
2019-04-17,'002922,ра╦Й╤Ш,17.33,17.45,17.08,17.16,17.29,0.04,0.2313,3.1573,2270203,39172605.21,2287436523.75,1246081156.25
2019-04-16,'002922,ра╦Й╤Ш,17.29,17.31,16.08,16.8,16.9,0.39,2.3077,4.1003,2948226,49119414.19,2282156808.75,1243205031.25
2019-04-15,'002922,ра╦Й╤Ш,16.9,17.57,16.88,17.3,17.29,-0.39,-2.2556,3.5704,2567203,44457019.16,2230679587.5,1215162812.5
2019-04-12,'002922,ра╦Й╤Ш,17.29,17.65,17.22,17.22,18.59,-1.3,-6.993,7.0337,5057427,87888736.52,2282156808.75,1243205031.25
2019-04-11,'002922,ра╦Й╤Ш,18.59,19.45,18.39,19.01,18.39,0.2,1.0875,10.6852,7683021,144669916.52,2453747546.25,1336679093.75
2019-04-10,'002922,ра╦Й╤Ш,18.39,18.45,17.6,18.0,18.09,0.3,1.6584,5.9208,4257235,77214349.22,2427348971.25,1322298468.75
2019-04-09,'002922,ра╦Й╤Ш,18.09,18.16,17.63,17.86,17.85,0.24,1.3445,2.6901,1934281,34771136.17,2387751108.75,1300727531.25
2019-04-08,'002922,ра╦Й╤Ш,17.85,18.45,17.58,18.45,18.31,-0.46,-2.5123,4.0725,2928284,52767017.45,2356072818.75,1283470781.25
2019-04-04,'002922,ра╦Й╤Ш,18.31,18.77,18.2,18.45,18.52,-0.21,-1.1339,5.6275,4046339,74367044.78,2416789541.25,1316546218.75
2019-04-03,'002922,ра╦Й╤Ш,18.52,18.96,17.88,18.23,18.08,0.44,2.4336,7.7057,5540609,101850572.52,2444508045.0,1331645875.0
2019-04-02,'002922,ра╦Й╤Ш,18.08,18.29,17.96,18.29,18.2,-0.12,-0.6593,4.4061,3168109,57433218.19,2386431180.0,1300008500.0
2019-04-01,'002922,ра╦Й╤Ш,18.2,18.48,17.23,17.23,17.2,1.0,5.814,4.8589,3493683,62670914.04,2402270325.0,1308636875.0
2019-03-29,'002922,ра╦Й╤Ш,17.2,17.3,16.63,16.63,16.81,0.39,2.32,2.7324,1964660,33372788.53,2270277450.0,1236733750.0
2019-03-28,'002922,ра╦Й╤Ш,16.81,17.28,16.71,17.1,17.14,-0.33,-1.9253,2.4325,1749056,29734023.38,2218800228.75,1208691531.25
2019-03-27,'002922,ра╦Й╤Ш,17.14,17.81,16.84,17.74,17.48,-0.34,-1.9451,3.178,2285078,39283190.37,2262357877.5,1232419562.5
2019-03-26,'002922,ра╦Й╤Ш,17.48,18.26,17.38,18.03,17.95,-0.47,-2.6184,3.463,2489974,44347710.97,2307235455.0,1256866625.0
2019-03-25,'002922,ра╦Й╤Ш,17.95,18.12,17.57,17.77,18.2,-0.25,-1.3736,2.7288,1962091,35139963.26,2369272106.25,1290661093.75
2019-03-22,'002922,ра╦Й╤Ш,18.2,18.41,17.95,18.25,18.58,-0.38,-2.0452,3.8941,2799986,50782101.46,2402270325.0,1308636875.0
2019-03-21,'002922,ра╦Й╤Ш,18.58,18.86,18.36,18.38,18.16,0.42,2.3128,7.3883,5312392,98684763.12,2452427617.5,1335960062.5
2019-03-20,'002922,ра╦Й╤Ш,18.16,18.41,17.8,18.33,18.31,-0.15,-0.8192,3.6267,2607721,47042199.64,2396990610.0,1305760750.0
2019-03-19,'002922,ра╦Й╤Ш,18.31,18.71,18.16,18.42,18.42,-0.11,-0.5972,4.0546,2915349,53769902.22,2416789541.25,1316546218.75
2019-03-18,'002922,ра╦Й╤Ш,18.42,18.48,17.88,18.34,18.09,0.33,1.8242,3.9569,2845149,51722587.62,2431308757.5,1324455562.5
2019-03-15,'002922,ра╦Й╤Ш,18.09,18.36,17.6,17.96,17.9,0.19,1.0615,3.6461,2621694,47321832.26,2387751108.75,1300727531.25
2019-03-14,'002922,ра╦Й╤Ш,17.9,18.8,17.77,18.22,18.68,-0.78,-4.1756,5.6727,4078869,74358207.23,2362672462.5,1287065937.5
2019-03-13,'002922,ра╦Й╤Ш,18.68,19.0,17.96,18.91,18.41,0.27,1.4666,7.9441,5712081,107002158.88,2465626905.0,1343150375.0
