日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'601579,会稽山,9.1,9.28,9.1,9.27,9.3,-0.2,-2.1505,0.6857,2742600,25183439.0,4525976000.0,3640000000.0
2019-04-25,'601579,会稽山,9.3,9.67,9.3,9.64,9.69,-0.39,-4.0248,0.825,3300000,31276524.0,4625448000.0,3720000000.0
2019-04-24,'601579,会稽山,9.69,9.76,9.51,9.72,9.74,-0.05,-0.5133,0.5943,2377001,22922313.0,4819418400.0,3876000000.0
2019-04-23,'601579,会稽山,9.74,9.81,9.68,9.79,9.79,-0.05,-0.5107,0.5244,2097700,20417414.0,4844286400.0,3896000000.0
2019-04-22,'601579,会稽山,9.79,9.93,9.77,9.9,9.92,-0.13,-1.3105,0.751,3003800,29587746.0,4869154400.0,3916000000.0
2019-04-19,'601579,会稽山,9.92,9.92,9.8,9.86,9.88,0.04,0.4049,0.7493,2997271,29532740.0,4933811200.0,3968000000.0
2019-04-18,'601579,会稽山,9.88,9.98,9.85,9.86,9.88,0.0,0.0,0.6695,2677835,26528454.0,4913916800.0,3952000000.0
2019-04-17,'601579,会稽山,9.88,9.93,9.82,9.84,9.87,0.01,0.1013,0.8896,3558300,35127694.0,4913916800.0,3952000000.0
2019-04-16,'601579,会稽山,9.87,9.89,9.68,9.81,9.82,0.05,0.5092,0.8546,3418413,33438577.0,4908943200.0,3948000000.0
2019-04-15,'601579,会稽山,9.82,9.98,9.82,9.94,9.88,-0.06,-0.6073,0.8385,3354031,33305647.0,4884075200.0,3928000000.0
2019-04-12,'601579,会稽山,9.88,10.0,9.82,9.97,9.96,-0.08,-0.8032,0.821,3283807,32474219.0,4913916800.0,3952000000.0
2019-04-11,'601579,会稽山,9.96,10.23,9.94,10.23,10.19,-0.23,-2.2571,1.3254,5301618,53232974.0,4953705600.0,3984000000.0
2019-04-10,'601579,会稽山,10.19,10.32,10.0,10.05,10.12,0.07,0.6917,1.695,6779867,68940551.0,5068098400.0,4076000000.0
2019-04-09,'601579,会稽山,10.12,10.19,9.96,10.15,10.32,-0.2,-1.938,2.064,8256151,83154186.0,5033283200.0,4048000000.0
2019-04-08,'601579,会稽山,10.32,10.55,10.1,10.19,10.17,0.15,1.4749,3.5261,14104362,145808638.0,5132755200.0,4128000000.0
2019-04-04,'601579,会稽山,10.17,10.18,9.95,10.06,10.07,0.1,0.993,2.5379,10151799,101979522.0,5058151200.0,4068000000.0
2019-04-03,'601579,会稽山,10.07,10.11,9.89,9.93,9.96,0.11,1.1044,1.8386,7354247,73764118.0,5008415200.0,4028000000.0
2019-04-02,'601579,会稽山,9.96,10.08,9.94,9.99,10.03,-0.07,-0.6979,1.4774,5909747,59076426.0,4953705600.0,3984000000.0
2019-04-01,'601579,会稽山,10.03,10.07,9.9,9.95,9.91,0.12,1.2109,1.9359,7743540,77401599.0,4988520800.0,4012000000.0
2019-03-29,'601579,会稽山,9.91,9.94,9.6,9.62,9.63,0.28,2.9076,0.8824,3529700,34590168.0,4928837600.0,3964000000.0
2019-03-28,'601579,会稽山,9.63,9.76,9.62,9.76,9.76,-0.13,-1.332,0.5075,2029900,19690592.0,4789576800.0,3852000000.0
2019-03-27,'601579,会稽山,9.76,9.81,9.61,9.73,9.7,0.06,0.6186,0.4986,1994200,19391090.0,4854233600.0,3904000000.0
2019-03-26,'601579,会稽山,9.7,9.98,9.68,9.92,9.95,-0.25,-2.5126,0.8361,3344388,32885399.0,4824392000.0,3880000000.0
2019-03-25,'601579,会稽山,9.95,10.03,9.9,10.03,10.06,-0.11,-1.0934,0.6664,2665447,26570029.0,4948732000.0,3980000000.0
2019-03-22,'601579,会稽山,10.06,10.09,9.9,10.05,10.0,0.06,0.6,1.04,4159817,41620887.0,5003441600.0,4024000000.0
2019-03-21,'601579,会稽山,10.0,10.06,9.83,9.9,9.91,0.09,0.9082,1.603,6411800,64000469.0,4973600000.0,4000000000.0
2019-03-20,'601579,会稽山,9.91,10.05,9.79,9.8,9.83,0.08,0.8138,1.1859,4743500,47035320.0,4928837600.0,3964000000.0
2019-03-19,'601579,会稽山,9.83,10.09,9.78,9.99,10.01,-0.18,-1.7982,1.7131,6852200,67714610.0,4889048800.0,3932000000.0
2019-03-18,'601579,会稽山,10.01,10.07,9.7,9.77,9.73,0.28,2.8777,2.5774,10309526,102871047.0,4978573600.0,4004000000.0
2019-03-15,'601579,会稽山,9.73,9.87,9.69,9.7,9.69,0.04,0.4128,0.6992,2796914,27330698.0,4839312800.0,3892000000.0
2019-03-14,'601579,会稽山,9.69,10.0,9.64,9.99,9.98,-0.29,-2.9058,0.8817,3526710,34372398.0,4819418400.0,3876000000.0
2019-03-13,'601579,会稽山,9.98,10.15,9.93,10.07,10.15,-0.17,-1.6749,0.7738,3095172,31055543.0,4963652800.0,3992000000.0
2019-03-12,'601579,会稽山,10.15,10.2,9.96,10.01,9.98,0.17,1.7034,1.5424,6169418,62130412.0,5048204000.0,4060000000.0
2019-03-11,'601579,会稽山,9.98,9.99,9.82,9.87,9.86,0.12,1.217,1.1595,4638000,45973346.0,4963652800.0,3992000000.0
2019-03-08,'601579,会稽山,9.86,10.33,9.83,9.91,10.01,-0.15,-1.4985,1.4534,5813700,58229588.0,4903969600.0,3944000000.0
2019-03-07,'601579,会稽山,10.01,10.05,9.78,9.83,9.87,0.14,1.4184,1.4364,5745700,56945463.0,4978573600.0,4004000000.0
2019-03-06,'601579,会稽山,9.87,9.92,9.75,9.88,9.86,0.01,0.1014,1.0675,4269976,41943400.0,4908943200.0,3948000000.0
2019-03-05,'601579,会稽山,9.86,9.87,9.73,9.77,9.79,0.07,0.715,0.5124,2049522,20094475.0,4903969600.0,3944000000.0
2019-03-04,'601579,会稽山,9.79,9.92,9.71,9.75,9.76,0.03,0.3074,0.8392,3356666,32979659.0,4869154400.0,3916000000.0
2019-03-01,'601579,会稽山,9.76,9.81,9.64,9.7,9.73,0.03,0.3083,0.5995,2398100,23302622.0,4854233600.0,3904000000.0
2019-02-28,'601579,会稽山,9.73,9.8,9.67,9.8,9.82,-0.09,-0.9165,0.6763,2705273,26280741.0,4839312800.0,3892000000.0
2019-02-27,'601579,会稽山,9.82,10.07,9.61,9.61,9.68,0.14,1.4463,1.0414,4165428,41062363.0,4884075200.0,3928000000.0
2019-02-26,'601579,会稽山,9.68,9.76,9.6,9.66,9.73,-0.05,-0.5139,0.8701,3480466,33711404.0,4814444800.0,3872000000.0
2019-02-25,'601579,会稽山,9.73,9.78,9.4,9.7,9.39,0.34,3.6209,1.3663,5465200,52518973.0,4839312800.0,3892000000.0
2019-02-22,'601579,会稽山,9.39,9.39,9.2,9.25,9.25,0.14,1.5135,0.5235,2093847,19522639.0,4670210400.0,3756000000.0
2019-02-21,'601579,会稽山,9.25,9.4,9.17,9.23,9.24,0.01,0.1082,0.3223,1289213,11956753.0,4600580000.0,3700000000.0
2019-02-20,'601579,会稽山,9.24,9.34,9.2,9.3,9.45,-0.21,-2.2222,0.4915,1966100,18233154.0,4595606400.0,3696000000.0
2019-02-19,'601579,会稽山,9.45,9.45,9.05,9.27,9.23,0.22,2.3835,0.7687,3074826,28387860.0,4700052000.0,3780000000.0
2019-02-18,'601579,会稽山,9.23,9.25,9.07,9.07,9.06,0.17,1.8764,0.4059,1623754,14896497.0,4590632800.0,3692000000.0
2019-02-15,'601579,会稽山,9.06,9.16,9.06,9.14,9.15,-0.09,-0.9836,0.2737,1094800,9971311.0,4506081600.0,3624000000.0
2019-02-14,'601579,会稽山,9.15,9.25,9.06,9.1,9.12,0.03,0.3289,0.3707,1482701,13576987.0,4550844000.0,3660000000.0
2019-02-13,'601579,会稽山,9.12,9.14,9.01,9.03,9.06,0.06,0.6623,0.2774,1109726,10079688.0,4535923200.0,3648000000.0
2019-02-12,'601579,会稽山,9.06,9.07,8.98,9.04,9.04,0.02,0.2212,0.259,1035900,9357138.0,4506081600.0,3624000000.0
2019-02-11,'601579,会稽山,9.04,9.07,8.87,8.92,8.93,0.11,1.2318,0.2702,1080700,9722636.0,4496134400.0,3616000000.0
2019-02-01,'601579,会稽山,8.93,8.98,8.8,8.96,8.8,0.13,1.4773,0.1638,655100,5817658.0,4441424800.0,3572000000.0
2019-01-31,'601579,会稽山,8.8,8.99,8.76,8.85,8.87,-0.07,-0.7892,0.1627,650900,5756120.0,4376768000.0,3520000000.0
2019-01-30,'601579,会稽山,8.87,9.01,8.83,8.99,8.94,-0.07,-0.783,0.1201,480400,4292913.0,4411583200.0,3548000000.0
2019-01-29,'601579,会稽山,8.94,9.16,8.92,9.12,9.11,-0.17,-1.8661,0.1347,538966,4855811.0,4446398400.0,3576000000.0
2019-01-28,'601579,会稽山,9.11,9.22,9.1,9.18,9.09,0.02,0.22,0.127,507800,4642274.0,4530949600.0,3644000000.0
2019-01-25,'601579,会稽山,9.09,9.22,9.08,9.2,9.17,-0.08,-0.8724,0.1515,606100,5542130.0,4521002400.0,3636000000.0
2019-01-24,'601579,会稽山,9.17,9.22,9.14,9.2,9.17,0.0,0.0,0.0865,345931,3176574.0,4560791200.0,3668000000.0
2019-01-23,'601579,会稽山,9.17,9.26,9.14,9.2,9.23,-0.06,-0.6501,0.0887,354800,3263298.0,4560791200.0,3668000000.0
2019-01-22,'601579,会稽山,9.23,9.45,9.13,9.41,9.36,-0.13,-1.3889,0.1209,483765,4464799.0,4590632800.0,3692000000.0
2019-01-21,'601579,会稽山,9.36,9.4,9.23,9.29,9.25,0.11,1.1892,0.1478,591165,5521446.0,4655289600.0,3744000000.0
2019-01-18,'601579,会稽山,9.25,9.32,9.19,9.23,9.21,0.04,0.4343,0.1228,491100,4538824.0,4600580000.0,3700000000.0
2019-01-17,'601579,会稽山,9.21,9.32,9.15,9.16,9.16,0.05,0.5459,0.1836,734200,6795409.0,4580685600.0,3684000000.0
2019-01-16,'601579,会稽山,9.16,9.36,9.16,9.36,9.43,-0.27,-2.8632,0.2267,906677,8368691.0,4555817600.0,3664000000.0
2019-01-15,'601579,会稽山,9.43,9.48,9.27,9.3,9.44,-0.01,-0.1059,0.2871,1148466,10787382.0,4690104800.0,3772000000.0
2019-01-14,'601579,会稽山,9.44,9.49,9.15,9.39,9.45,-0.01,-0.1058,0.501,2003800,18646135.0,4695078400.0,3776000000.0
2019-01-11,'601579,会稽山,9.45,9.5,9.02,9.09,9.1,0.35,3.8462,0.4917,1966800,18268718.0,4700052000.0,3780000000.0
2019-01-10,'601579,会稽山,9.1,9.1,8.91,9.0,8.94,0.16,1.7897,0.3111,1244509,11228431.0,4525976000.0,3640000000.0
2019-01-09,'601579,会稽山,8.94,9.05,8.89,8.89,8.89,0.05,0.5624,0.2064,825600,7414585.0,4446398400.0,3576000000.0
2019-01-08,'601579,会稽山,8.89,8.95,8.89,8.92,8.93,-0.04,-0.4479,0.1359,543400,4843622.0,4421530400.0,3556000000.0
2019-01-07,'601579,会稽山,8.93,9.0,8.87,8.92,8.92,0.01,0.1121,0.3276,1310465,11690816.0,4441424800.0,3572000000.0
