ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2019-04-26,'002644,·ð´ÈÖÆÒ©,8.59,8.81,8.57,8.68,8.81,-0.22,-2.4972,1.0427,5324464,46163724.4,4386543630.0,4386543630.0
2019-04-25,'002644,·ð´ÈÖÆÒ©,8.81,9.38,8.65,8.8,9.07,-0.26,-2.8666,2.3103,11797775,104994582.81,4498888170.0,4498888170.0
2019-04-24,'002644,·ð´ÈÖÆÒ©,9.07,9.17,9.0,9.05,9.16,-0.09,-0.9825,0.7978,4074184,36966614.24,4631658990.0,4631658990.0
2019-04-23,'002644,·ð´ÈÖÆÒ©,9.16,9.39,9.09,9.35,9.4,-0.24,-2.5532,1.0492,5357570,49179199.55,4677618120.0,4677618120.0
2019-04-22,'002644,·ð´ÈÖÆÒ©,9.4,9.6,9.33,9.43,9.62,-0.22,-2.2869,1.0295,5257250,49460997.5,4800175800.0,4800175800.0
2019-04-19,'002644,·ð´ÈÖÆÒ©,9.62,9.85,9.14,9.14,9.27,0.35,3.7756,1.8667,9532259,90734688.61,4912520340.0,4912520340.0
2019-04-18,'002644,·ð´ÈÖÆÒ©,9.27,9.34,9.19,9.3,9.31,-0.04,-0.4296,0.6144,3137450,28994494.5,4733790390.0,4733790390.0
2019-04-17,'002644,·ð´ÈÖÆÒ©,9.31,9.37,9.18,9.37,9.35,-0.04,-0.4278,0.7921,4044662,37461786.83,4754216670.0,4754216670.0
2019-04-16,'002644,·ð´ÈÖÆÒ©,9.35,9.36,9.09,9.31,9.32,0.03,0.3219,0.9175,4685275,43208318.67,4774642950.0,4774642950.0
2019-04-15,'002644,·ð´ÈÖÆÒ©,9.32,9.65,9.3,9.54,9.46,-0.14,-1.4799,0.8863,4526018,42701319.97,4759323240.0,4759323240.0
2019-04-12,'002644,·ð´ÈÖÆÒ©,9.46,9.54,9.26,9.28,9.3,0.16,1.7204,1.131,5775520,54448859.69,4830815220.0,4830815220.0
2019-04-11,'002644,·ð´ÈÖÆÒ©,9.3,9.8,9.3,9.68,9.85,-0.55,-5.5838,2.193,11198720,106476312.24,4749110100.0,4749110100.0
2019-04-10,'002644,·ð´ÈÖÆÒ©,9.85,9.99,8.98,9.02,9.08,0.77,8.4802,3.9478,20159655,193617772.33,5029971450.0,5029971450.0
2019-04-09,'002644,·ð´ÈÖÆÒ©,9.08,9.08,8.85,8.96,8.96,0.12,1.3393,0.955,4876525,43920474.0,4636765560.0,4636765560.0
2019-04-08,'002644,·ð´ÈÖÆÒ©,8.96,9.22,8.78,9.17,9.03,-0.07,-0.7752,1.1991,6123109,54974073.77,4575486720.0,4575486720.0
2019-04-04,'002644,·ð´ÈÖÆÒ©,9.03,9.12,8.92,9.01,9.01,0.02,0.222,1.1517,5881266,53048952.18,4611232710.0,4611232710.0
2019-04-03,'002644,·ð´ÈÖÆÒ©,9.01,9.01,8.86,8.91,8.92,0.09,1.009,0.9514,4858226,43474039.35,4601019570.0,4601019570.0
2019-04-02,'002644,·ð´ÈÖÆÒ©,8.92,9.0,8.9,8.98,8.98,-0.06,-0.6682,0.7187,3670166,32866811.04,4555060440.0,4555060440.0
2019-04-01,'002644,·ð´ÈÖÆÒ©,8.98,8.98,8.76,8.76,8.78,0.2,2.2779,1.0045,5129337,45769789.33,4585699860.0,4585699860.0
2019-03-29,'002644,·ð´ÈÖÆÒ©,8.78,8.78,8.51,8.55,8.6,0.18,2.093,0.5989,3058237,26558861.85,4483568460.0,4483568460.0
2019-03-28,'002644,·ð´ÈÖÆÒ©,8.6,8.73,8.57,8.69,8.7,-0.1,-1.1494,0.3816,1948892,16873546.81,4391650200.0,4391650200.0
2019-03-27,'002644,·ð´ÈÖÆÒ©,8.7,8.76,8.59,8.59,8.57,0.13,1.5169,0.5333,2723337,23608428.31,4442715900.0,4442715900.0
2019-03-26,'002644,·ð´ÈÖÆÒ©,8.57,8.88,8.55,8.81,8.81,-0.24,-2.7242,0.613,3130205,27262507.85,4376330490.0,4376330490.0
2019-03-25,'002644,·ð´ÈÖÆÒ©,8.81,8.93,8.8,8.84,8.98,-0.17,-1.8931,0.6627,3383905,29976212.15,4498888170.0,4498888170.0
2019-03-22,'002644,·ð´ÈÖÆÒ©,8.98,9.03,8.81,9.03,9.03,-0.05,-0.5537,0.755,3855230,34362838.32,4585699860.0,4585699860.0
2019-03-21,'002644,·ð´ÈÖÆÒ©,9.03,9.05,8.91,8.98,9.0,0.03,0.3333,0.7642,3902505,35110104.9,4611232710.0,4611232710.0
2019-03-20,'002644,·ð´ÈÖÆÒ©,9.0,9.05,8.81,8.9,8.94,0.06,0.6711,0.748,3819781,34141158.84,4595913000.0,4595913000.0
2019-03-19,'002644,·ð´ÈÖÆÒ©,8.94,9.11,8.91,9.1,9.1,-0.16,-1.7582,0.8298,4237325,38096880.37,4565273580.0,4565273580.0
2019-03-18,'002644,·ð´ÈÖÆÒ©,9.1,9.17,8.85,8.98,8.92,0.18,2.0179,1.1402,5822686,52499874.75,4646978700.0,4646978700.0
2019-03-15,'002644,·ð´ÈÖÆÒ©,8.92,8.95,8.83,8.83,8.91,0.01,0.1122,0.8748,4467313,39748200.79,4555060440.0,4555060440.0
2019-03-14,'002644,·ð´ÈÖÆÒ©,8.91,8.91,8.48,8.71,8.71,0.2,2.2962,1.0854,5542487,48115284.63,4549953870.0,4549953870.0
2019-03-13,'002644,·ð´ÈÖÆÒ©,8.71,8.98,8.66,8.97,8.87,-0.16,-1.8038,0.9332,4765700,42072008.17,4447822470.0,4447822470.0
2019-03-12,'002644,·ð´ÈÖÆÒ©,8.87,8.96,8.76,8.9,8.77,0.1,1.1403,1.3377,6831265,60600733.2,4529527590.0,4529527590.0
2019-03-11,'002644,·ð´ÈÖÆÒ©,8.77,8.87,8.5,8.5,8.5,0.27,3.1765,1.0318,5268750,45944599.5,4478461890.0,4478461890.0
2019-03-08,'002644,·ð´ÈÖÆÒ©,8.5,8.85,8.5,8.82,8.93,-0.43,-4.8152,1.0453,5338106,46405734.18,4340584500.0,4340584500.0
2019-03-07,'002644,·ð´ÈÖÆÒ©,8.93,8.98,8.77,8.85,8.88,0.05,0.5631,1.1923,6088369,54087203.04,4560167010.0,4560167010.0
2019-03-06,'002644,·ð´ÈÖÆÒ©,8.88,8.97,8.73,8.78,8.74,0.14,1.6018,1.2225,6242879,55258590.39,4534634160.0,4534634160.0
2019-03-05,'002644,·ð´ÈÖÆÒ©,8.74,8.74,8.62,8.67,8.66,0.08,0.9238,0.8045,4108440,35668622.99,4463142180.0,4463142180.0
