日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300264,佳创视讯,7.12,7.33,6.58,6.74,6.84,0.28,4.0936,3.8339,15837969,112124869.2,2941272000.0,2941272000.0
2019-04-25,'300264,佳创视讯,6.84,7.23,6.7,6.95,6.94,-0.1,-1.4409,2.4842,10262419,72084789.85,2825604000.0,2825604000.0
2019-04-24,'300264,佳创视讯,6.94,7.01,6.78,7.01,6.83,0.11,1.6105,1.3904,5743689,39429800.65,2866914000.0,2866914000.0
2019-04-23,'300264,佳创视讯,6.83,7.04,6.7,6.8,6.98,-0.15,-2.149,1.9922,8229894,56341626.16,2821473000.0,2821473000.0
2019-04-22,'300264,佳创视讯,6.98,7.1,6.9,6.95,6.98,0.0,0.0,2.0361,8411277,59039937.19,2883438000.0,2883438000.0
2019-04-19,'300264,佳创视讯,6.98,7.03,6.8,6.87,6.87,0.11,1.6012,1.3522,5585837,38725166.49,2883438000.0,2883438000.0
2019-04-18,'300264,佳创视讯,6.87,6.92,6.72,6.87,6.85,0.02,0.292,1.8934,7821509,53421371.33,2837997000.0,2837997000.0
2019-04-17,'300264,佳创视讯,6.85,6.97,6.63,6.63,6.57,0.28,4.2618,3.5379,14615196,100082804.87,2829735000.0,2829735000.0
2019-04-16,'300264,佳创视讯,6.57,6.58,6.32,6.36,6.36,0.21,3.3019,1.0567,4365220,28273425.4,2714067000.0,2714067000.0
2019-04-15,'300264,佳创视讯,6.36,6.57,6.34,6.4,6.4,-0.04,-0.625,1.094,4519235,29165309.24,2627316000.0,2627316000.0
2019-04-12,'300264,佳创视讯,6.4,6.48,6.18,6.26,6.26,0.14,2.2364,1.2129,5010375,31809596.68,2643840000.0,2643840000.0
2019-04-11,'300264,佳创视讯,6.26,6.48,6.23,6.48,6.42,-0.16,-2.4922,1.1175,4616282,29212850.42,2586006000.0,2586006000.0
2019-04-10,'300264,佳创视讯,6.42,6.65,6.33,6.65,6.72,-0.3,-4.4643,1.9241,7948580,51213320.6,2652102000.0,2652102000.0
2019-04-09,'300264,佳创视讯,6.72,6.78,6.6,6.7,6.64,0.08,1.2048,1.0462,4321812,28916231.92,2776032000.0,2776032000.0
2019-04-08,'300264,佳创视讯,6.64,6.95,6.58,6.82,6.82,-0.18,-2.6393,1.8326,7570356,50976482.72,2742984000.0,2742984000.0
2019-04-04,'300264,佳创视讯,6.82,7.1,6.74,6.99,7.02,-0.2,-2.849,2.3759,9814969,67217454.75,2817342000.0,2817342000.0
2019-04-03,'300264,佳创视讯,7.02,7.1,6.93,6.97,7.02,0.0,0.0,1.5927,6579472,46158881.55,2899962000.0,2899962000.0
2019-04-02,'300264,佳创视讯,7.02,7.21,6.99,7.12,7.12,-0.1,-1.4045,2.0659,8534397,60550726.39,2899962000.0,2899962000.0
2019-04-01,'300264,佳创视讯,7.12,7.25,6.92,6.92,6.87,0.25,3.639,3.0523,12608896,89695150.7,2941272000.0,2941272000.0
