ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2019-04-26,'603912,¼ÑÁ¦Í¼,15.99,16.36,15.84,16.03,16.21,-0.22,-1.3572,2.4071,2625830,42272457.0,3469877970.0,1744317120.0
2019-04-25,'603912,¼ÑÁ¦Í¼,16.21,17.17,16.2,17.11,17.26,-1.05,-6.0834,3.8737,4225780,70462532.0,3517618630.0,1768316480.0
2019-04-24,'603912,¼ÑÁ¦Í¼,17.26,17.36,16.72,17.06,17.06,0.2,1.1723,2.4162,2635750,44962932.0,3745471780.0,1882858880.0
2019-04-23,'603912,¼ÑÁ¦Í¼,17.06,17.54,17.06,17.54,17.64,-0.58,-3.288,2.948,3215916,55490702.0,3702071180.0,1861041280.0
2019-04-22,'603912,¼ÑÁ¦Í¼,17.64,17.88,17.22,17.42,17.4,0.24,1.3793,4.7541,5186106,91436181.0,3827932920.0,1924312320.0
2019-04-19,'603912,¼ÑÁ¦Í¼,17.4,17.42,16.91,17.0,17.18,0.22,1.2806,3.1599,3447082,59551025.0,3775852200.0,1898131200.0
2019-04-18,'603912,¼ÑÁ¦Í¼,17.18,17.61,17.16,17.52,17.65,-0.47,-2.6629,4.3398,4734245,82079203.0,3728111540.0,1874131840.0
2019-04-17,'603912,¼ÑÁ¦Í¼,17.65,18.24,17.5,17.75,17.79,-0.14,-0.787,5.7457,6267918,112102378.0,3830102950.0,1925403200.0
2019-04-16,'603912,¼ÑÁ¦Í¼,17.79,17.85,16.4,16.83,17.07,0.72,4.2179,6.1992,6682763,115383136.0,3860483370.0,1917762000.0
2019-04-15,'603912,¼ÑÁ¦Í¼,17.07,17.78,17.02,17.38,17.2,-0.13,-0.7558,3.9893,4300473,75237841.0,3704241210.0,1840146000.0
2019-04-12,'603912,¼ÑÁ¦Í¼,17.2,17.35,16.96,17.12,17.09,0.11,0.6437,3.0041,3238427,55419749.0,3732451600.0,1854160000.0
2019-04-11,'603912,¼ÑÁ¦Í¼,17.09,17.94,17.05,17.84,17.86,-0.77,-4.3113,4.0413,4356508,75892153.0,3708581270.0,1842302000.0
2019-04-10,'603912,¼ÑÁ¦Í¼,17.86,18.15,17.66,17.9,18.22,-0.36,-1.9759,4.6849,5050332,90049812.0,3875673580.0,1925308000.0
2019-04-09,'603912,¼ÑÁ¦Í¼,18.22,18.8,17.5,18.12,18.3,-0.08,-0.4372,5.6053,6042547,110007355.0,3953794660.0,1964116000.0
2019-04-08,'603912,¼ÑÁ¦Í¼,18.3,19.61,18.01,18.68,18.85,-0.55,-2.9178,8.4168,9073362,170018474.0,3971154900.0,1972740000.0
2019-04-04,'603912,¼ÑÁ¦Í¼,18.85,19.2,17.87,18.12,18.39,0.46,2.5014,9.9327,10707446,196743729.0,4090506550.0,2032030000.0
2019-04-03,'603912,¼ÑÁ¦Í¼,18.39,18.58,16.89,17.08,17.2,1.19,6.9186,10.9312,11783867,211584184.0,3990685170.0,1982442000.0
2019-04-02,'603912,¼ÑÁ¦Í¼,17.2,17.73,17.02,17.66,17.28,-0.08,-0.463,7.5935,8185743,142544044.0,3732451600.0,1854160000.0
2019-04-01,'603912,¼ÑÁ¦Í¼,17.28,17.39,16.79,17.1,16.79,0.49,2.9184,7.263,7829567,134206984.0,3749811840.0,1862784000.0
2019-03-29,'603912,¼ÑÁ¦Í¼,16.79,16.84,15.66,16.3,16.29,0.5,3.0694,5.401,5822318,95488653.0,3643480370.0,1809962000.0
2019-03-28,'603912,¼ÑÁ¦Í¼,16.29,17.0,16.0,16.19,16.25,0.04,0.2462,4.9772,5365403,89155070.0,3534978870.0,1756062000.0
2019-03-27,'603912,¼ÑÁ¦Í¼,16.25,16.38,15.72,16.2,16.19,0.06,0.3706,3.4932,3765709,60260152.0,3526298750.0,1751750000.0
2019-03-26,'603912,¼ÑÁ¦Í¼,16.19,17.79,15.98,17.63,17.42,-1.23,-7.0608,7.3651,7939614,133234359.0,3513278570.0,1745282000.0
2019-03-25,'603912,¼ÑÁ¦Í¼,17.42,17.69,16.45,16.48,17.05,0.37,2.1701,7.5135,8099503,138709927.0,3780192260.0,1877876000.0
2019-03-22,'603912,¼ÑÁ¦Í¼,17.05,17.14,16.35,17.05,17.04,0.01,0.0587,4.5387,4892701,81959441.0,3699901150.0,1837990000.0
2019-03-21,'603912,¼ÑÁ¦Í¼,17.04,17.17,16.69,17.0,17.24,-0.2,-1.1601,5.8547,6311409,106931204.0,3697731120.0,1836912000.0
2019-03-20,'603912,¼ÑÁ¦Í¼,17.24,17.49,16.66,16.73,16.97,0.27,1.591,8.0742,8704036,149364232.0,3741131720.0,1858472000.0
2019-03-19,'603912,¼ÑÁ¦Í¼,16.97,17.54,16.09,16.15,16.0,0.97,6.0625,8.0964,8727881,147480002.0,3682540910.0,1829366000.0
2019-03-18,'603912,¼ÑÁ¦Í¼,16.0,16.0,15.56,15.71,15.67,0.33,2.1059,2.824,3044263,48163371.0,3472048000.0,1724800000.0
2019-03-15,'603912,¼ÑÁ¦Í¼,15.67,15.87,15.36,15.67,15.64,0.03,0.1918,3.1512,3397027,53238738.0,3400437010.0,1689226000.0
2019-03-14,'603912,¼ÑÁ¦Í¼,15.64,16.5,15.24,16.37,16.38,-0.74,-4.5177,4.4647,4812960,75780330.0,3393926920.0,1685992000.0
2019-03-13,'603912,¼ÑÁ¦Í¼,16.38,17.2,16.23,17.16,17.16,-0.78,-4.5455,5.3915,5811994,96826836.0,3554509140.0,1765764000.0
2019-03-12,'603912,¼ÑÁ¦Í¼,17.16,17.38,16.79,17.02,17.0,0.16,0.9412,7.3294,7901051,134573723.0,3615371760.0,1849848000.0
2019-03-11,'603912,¼ÑÁ¦Í¼,17.0,17.0,16.27,16.28,16.1,0.9,5.5901,5.1869,5591484,93124866.0,3581662000.0,1832600000.0
2019-03-08,'603912,¼ÑÁ¦Í¼,16.1,16.92,16.05,16.3,16.91,-0.81,-4.7901,5.8619,6319122,103776920.0,3392044600.0,1735580000.0
2019-03-07,'603912,¼ÑÁ¦Í¼,16.91,17.64,16.6,17.64,17.16,-0.25,-1.4569,7.913,8530236,145448143.0,3562700260.0,1822898000.0
2019-03-06,'603912,¼ÑÁ¦Í¼,17.16,17.78,16.7,17.22,16.95,0.21,1.2389,9.9546,10731093,184118344.0,3615371760.0,1849848000.0
2019-03-05,'603912,¼ÑÁ¦Í¼,16.95,17.09,16.05,16.12,16.32,0.63,3.8603,9.4223,10157260,169751396.0,3571127700.0,1827210000.0
2019-03-04,'603912,¼ÑÁ¦Í¼,16.32,16.84,16.16,16.29,16.13,0.19,1.1779,7.7294,8332277,138027659.0,3438395520.0,1759296000.0
2019-03-01,'603912,¼ÑÁ¦Í¼,16.13,16.38,15.8,16.3,16.26,-0.13,-0.7995,3.2305,3482448,56127335.0,3398365180.0,1738814000.0
2019-02-28,'603912,¼ÑÁ¦Í¼,16.26,16.35,15.9,15.97,16.11,0.15,0.9311,3.5031,3776300,61015318.0,3425754360.0,1752828000.0
2019-02-27,'603912,¼ÑÁ¦Í¼,16.11,16.44,15.6,16.21,16.42,-0.31,-1.8879,6.2156,6700441,108091316.0,3394151460.0,1736658000.0
2019-02-26,'603912,¼ÑÁ¦Í¼,16.42,17.09,16.18,17.09,17.18,-0.76,-4.4237,12.4404,13410749,223240504.0,3459464120.0,1770076000.0
2019-02-25,'603912,¼ÑÁ¦Í¼,17.18,17.43,16.1,16.43,16.22,0.96,5.9186,15.82,17054006,286385549.0,3619585480.0,1852004000.0
2019-02-22,'603912,¼ÑÁ¦Í¼,16.22,16.32,15.57,15.69,16.0,0.22,1.375,11.1077,11974047,190762569.0,3417326920.0,1748516000.0
2019-02-21,'603912,¼ÑÁ¦Í¼,16.0,16.8,15.6,15.61,15.85,0.15,0.9464,13.4738,14524791,236960695.0,3370976000.0,1724800000.0
2019-02-20,'603912,¼ÑÁ¦Í¼,15.85,16.1,15.56,16.1,16.07,-0.22,-1.369,7.7189,8321026,131133772.0,3339373100.0,1708630000.0
2019-02-19,'603912,¼ÑÁ¦Í¼,16.07,16.48,15.82,16.28,16.56,-0.49,-2.9589,11.9228,12852804,207668674.0,3385724020.0,1732346000.0
2019-02-18,'603912,¼ÑÁ¦Í¼,16.56,17.13,15.63,15.64,15.77,0.79,5.0095,16.0497,17301610,280576014.0,3488960160.0,1785168000.0
2019-02-15,'603912,¼ÑÁ¦Í¼,15.77,16.99,15.3,15.51,15.88,-0.11,-0.6927,17.6766,19055384,304078627.0,3322518220.0,1700006000.0
2019-02-14,'603912,¼ÑÁ¦Í¼,15.88,16.27,15.27,15.43,16.24,-0.36,-2.2167,17.5504,18919303,296084179.0,3345693680.0,1711864000.0
2019-02-13,'603912,¼ÑÁ¦Í¼,16.24,16.24,14.92,15.49,14.76,1.48,10.0271,20.5626,22166514,347799560.0,3421540640.0,1750672000.0
2019-02-12,'603912,¼ÑÁ¦Í¼,14.76,14.76,14.76,14.76,13.42,1.34,9.9851,2.2306,2404558,35491276.0,3109725360.0,1591128000.0
2019-02-11,'603912,¼ÑÁ¦Í¼,13.42,13.42,13.0,13.0,12.2,1.22,10.0,1.0407,1121920,14993833.0,2827406120.0,1446676000.0
2019-02-01,'603912,¼ÑÁ¦Í¼,12.2,12.27,11.95,11.95,11.86,0.34,2.8668,0.9599,1034820,12576599.0,2570369200.0,1315160000.0
2019-01-31,'603912,¼ÑÁ¦Í¼,11.86,12.35,11.86,12.0,12.11,-0.25,-2.0644,1.7838,1922920,23184712.0,2498735960.0,1278508000.0
2019-01-30,'603912,¼ÑÁ¦Í¼,12.11,12.48,12.02,12.27,12.32,-0.21,-1.7045,0.921,992860,12214386.0,2551407460.0,1305458000.0
2019-01-29,'603912,¼ÑÁ¦Í¼,12.32,13.08,11.8,12.97,13.08,-0.76,-5.8104,2.7518,2966440,36685492.0,2595651520.0,1328096000.0
2019-01-28,'603912,¼ÑÁ¦Í¼,13.08,13.31,12.98,12.98,12.97,0.11,0.8481,1.3114,1413680,18616156.0,2755772880.0,1410024000.0
2019-01-25,'603912,¼ÑÁ¦Í¼,12.97,13.4,12.97,13.34,13.34,-0.37,-2.7736,2.068,2229300,29318960.0,2732597420.0,1398166000.0
2019-01-24,'603912,¼ÑÁ¦Í¼,13.34,13.45,13.15,13.21,13.2,0.14,1.0606,1.62,1746366,23276540.0,2810551240.0,1438052000.0
2019-01-23,'603912,¼ÑÁ¦Í¼,13.2,13.62,13.01,13.62,13.68,-0.48,-3.5088,3.1976,3446974,45692724.0,2781055200.0,1422960000.0
2019-01-22,'603912,¼ÑÁ¦Í¼,13.68,13.88,13.56,13.88,13.89,-0.21,-1.5119,1.8982,2046256,27973439.0,2882184480.0,1474704000.0
2019-01-21,'603912,¼ÑÁ¦Í¼,13.89,14.15,13.75,13.86,13.91,-0.02,-0.1438,2.242,2416860,33658038.0,2926428540.0,1497342000.0
2019-01-18,'603912,¼ÑÁ¦Í¼,13.91,14.25,13.59,14.15,14.2,-0.29,-2.0423,3.312,3570292,49612452.0,2930642260.0,1499498000.0
2019-01-17,'603912,¼ÑÁ¦Í¼,14.2,14.55,13.76,13.78,13.84,0.36,2.6012,5.8413,6296912,89587654.0,2991741200.0,1530760000.0
2019-01-16,'603912,¼ÑÁ¦Í¼,13.84,14.14,13.76,14.0,14.1,-0.26,-1.844,2.5279,2725120,37939940.0,2915894240.0,1491952000.0
2019-01-15,'603912,¼ÑÁ¦Í¼,14.1,14.1,13.11,13.37,13.58,0.52,3.8292,4.3928,4735460,65795990.0,2970672600.0,1519980000.0
2019-01-14,'603912,¼ÑÁ¦Í¼,13.58,13.89,13.29,13.85,13.92,-0.34,-2.4425,2.7746,2990995,40362578.0,2861115880.0,1463924000.0
2019-01-11,'603912,¼ÑÁ¦Í¼,13.92,14.22,13.76,13.89,13.95,-0.03,-0.2151,3.3821,3645920,50845914.0,2932749120.0,1500576000.0
2019-01-10,'603912,¼ÑÁ¦Í¼,13.95,14.1,13.55,13.6,13.68,0.27,1.9737,4.0084,4321080,60107024.0,2939069700.0,1503810000.0
2019-01-09,'603912,¼ÑÁ¦Í¼,13.68,14.01,13.42,13.62,13.53,0.15,1.1086,3.6113,3892940,53766019.0,2882184480.0,1474704000.0
2019-01-08,'603912,¼ÑÁ¦Í¼,13.53,14.12,13.51,13.83,13.8,-0.27,-1.9565,3.4736,3744580,51529754.0,2850581580.0,1458534000.0
2019-01-07,'603912,¼ÑÁ¦Í¼,13.8,14.15,13.67,13.73,13.66,0.14,1.0249,4.028,4342220,60325072.0,2907466800.0,1487640000.0
2019-01-04,'603912,¼ÑÁ¦Í¼,13.66,13.68,12.2,12.6,12.8,0.86,6.7188,4.5802,4937440,65347032.0,2877970760.0,1472548000.0
2019-01-03,'603912,¼ÑÁ¦Í¼,12.8,13.7,12.78,13.69,13.7,-0.9,-6.5693,4.1487,4472260,59100064.0,2696780800.0,1379840000.0
2019-01-02,'603912,¼ÑÁ¦Í¼,13.7,13.95,13.32,13.32,13.36,0.34,2.5449,3.8014,4097856,55958183.0,2886398200.0,1476860000.0
2018-12-28,'603912,¼ÑÁ¦Í¼,13.36,13.87,13.21,13.46,13.68,-0.32,-2.3392,3.9453,4253020,57181888.0,2811211200.0,1440208000.0
2018-12-27,'603912,¼ÑÁ¦Í¼,13.68,14.16,13.63,13.96,13.83,-0.15,-1.0846,4.5568,4912284,68266540.0,2878545600.0,1474704000.0
2018-12-26,'603912,¼ÑÁ¦Í¼,13.83,14.56,13.8,14.56,14.64,-0.81,-5.5328,5.9289,6391380,90465923.0,2910108600.0,1490874000.0
