日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300268,佳沃股份,17.47,18.14,17.4,17.91,18.22,-0.75,-4.1164,2.2993,2262501,40123213.46,2340980000.0,1719066885.07
2019-04-25,'300268,佳沃股份,18.22,18.4,17.34,17.34,17.51,0.71,4.0548,4.0313,3966809,71546271.2,2441480000.0,1792867695.82
2019-04-24,'300268,佳沃股份,17.51,17.56,16.99,16.99,17.06,0.45,2.6377,1.5642,1539202,26794966.83,2346340000.0,1723002928.31
2019-04-23,'300268,佳沃股份,17.06,17.58,16.97,16.98,17.2,-0.14,-0.814,1.5451,1520415,26237347.98,2286040000.0,1678722441.86
2019-04-22,'300268,佳沃股份,17.2,17.68,17.16,17.64,17.66,-0.46,-2.6048,1.4173,1394601,24246101.39,2304800000.0,1692498593.2
2019-04-19,'300268,佳沃股份,17.66,17.9,17.02,17.52,17.52,0.14,0.7991,4.9626,4883207,85502812.47,2366440000.0,1737763090.46
2019-04-18,'300268,佳沃股份,17.52,17.54,16.48,16.48,16.55,0.97,5.861,4.1261,4060100,69938634.0,2347680000.0,1723986939.12
2019-04-17,'300268,佳沃股份,16.55,16.68,16.48,16.65,16.57,-0.02,-0.1207,1.3887,1366500,22646881.37,2217700000.0,1628537890.55
2019-04-16,'300268,佳沃股份,16.57,16.64,16.05,16.4,16.22,0.35,2.1578,2.0368,2004253,32800422.15,2220380000.0,1630505912.17
2019-04-15,'300268,佳沃股份,16.22,16.66,16.21,16.4,16.28,-0.06,-0.3686,2.4504,2411223,39610850.88,2173480000.0,1596065533.82
2019-04-12,'300268,佳沃股份,16.28,16.29,15.74,15.96,15.85,0.43,2.7129,2.555,2514154,40320575.0,2181520000.0,1601969598.68
2019-04-11,'300268,佳沃股份,15.85,16.2,15.66,15.94,15.93,-0.08,-0.5022,2.483,2443252,39006458.44,2123900000.0,1559657133.85
