日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000564,供销大集,3.43,3.47,3.41,3.42,3.42,0.01,0.2924,1.3981,26407025,91037970.5,20606850832.3,6478370873.52
2019-04-25,'000564,供销大集,3.42,3.6,3.4,3.59,3.61,-0.19,-5.2632,2.0248,38243605,134624921.9,20546772550.0,6459483494.88
2019-04-24,'000564,供销大集,3.61,3.62,3.53,3.6,3.58,0.03,0.838,1.7666,33366331,119274508.9,21688259913.9,6818343689.04
2019-04-23,'000564,供销大集,3.58,3.7,3.56,3.68,3.71,-0.13,-3.504,2.189,41345301,149876482.57,21508025067.0,6761681553.12
2019-04-22,'000564,供销大集,3.71,3.8,3.67,3.76,3.76,-0.05,-1.3298,1.9161,36190701,135263225.76,22289042737.0,7007217475.44
2019-04-19,'000564,供销大集,3.76,3.77,3.67,3.72,3.72,0.04,1.0753,1.7694,33418715,124493357.65,22589434148.6,7101654368.64
2019-04-18,'000564,供销大集,3.72,3.83,3.71,3.8,3.81,-0.09,-2.3622,2.076,39210372,147592102.4,22349121019.3,7026104854.08
2019-04-17,'000564,供销大集,3.81,3.85,3.71,3.74,3.76,0.05,1.3298,3.1727,59923844,226276151.12,22889825560.1,7196091261.84
2019-04-16,'000564,供销大集,3.76,3.77,3.58,3.69,3.73,0.03,0.8043,3.0189,57018960,209164486.23,22589434148.6,7101654368.64
2019-04-15,'000564,供销大集,3.73,3.88,3.73,3.85,3.9,-0.17,-4.359,4.3641,82426018,314049519.06,22409199301.6,7044992232.72
2019-04-12,'000564,供销大集,3.9,3.97,3.85,3.87,3.9,0.0,0.0,2.2025,41599777,162626822.45,23430530100.9,7366077669.6
2019-04-11,'000564,供销大集,3.9,4.04,3.89,4.04,4.04,-0.14,-3.4653,3.41,64405201,254910230.42,23430530100.9,7366077669.6
2019-04-10,'000564,供销大集,4.04,4.17,3.99,4.03,4.12,-0.08,-1.9417,5.8943,111327925,452304278.9,24271626053.2,7630500970.56
2019-04-09,'000564,供销大集,4.12,4.12,3.76,3.84,3.84,0.28,7.2917,6.3779,120461575,479768218.49,24752252311.7,7781599999.68
2019-04-08,'000564,供销大集,3.84,3.96,3.78,3.93,3.93,-0.09,-2.2901,3.3272,62842000,243257978.0,23070060407.0,7252753397.76
2019-04-04,'000564,供销大集,3.93,4.14,3.87,4.02,3.97,-0.04,-1.0076,4.8378,91374233,362670296.18,23610764947.8,7422739805.52
2019-04-03,'000564,供销大集,3.97,4.0,3.76,3.79,3.8,0.17,4.4737,4.9534,93556892,365034285.47,23851078077.1,7498289320.08
2019-04-02,'000564,供销大集,3.8,3.88,3.78,3.85,3.83,-0.03,-0.7833,2.9431,55587300,212797247.0,22829747277.8,7177203883.2
2019-04-01,'000564,供销大集,3.83,3.89,3.66,3.67,3.64,0.19,5.2198,3.7959,71694958,272273236.53,23009982124.7,7233866019.12
2019-03-29,'000564,供销大集,3.64,3.66,3.46,3.54,3.53,0.11,3.1161,2.9868,56413367,202126163.54,21868494760.8,6875005824.96
2019-03-28,'000564,供销大集,3.53,3.71,3.52,3.66,3.72,-0.19,-5.1075,2.585,48823101,176569510.66,21207633655.4,6667244659.92
2019-03-27,'000564,供销大集,3.72,3.8,3.56,3.78,3.77,-0.05,-1.3263,3.3128,62570295,230538971.29,22349121019.3,7026104854.08
2019-03-26,'000564,供销大集,3.77,3.91,3.73,3.81,3.79,-0.02,-0.5277,3.3683,63618101,242028485.84,22649512430.9,7120541747.28
