日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300136,信维通信,28.79,29.44,28.4,28.51,28.7,0.09,0.3136,3.2701,31474024,911694258.2,28087388802.2,27710100717.7
2019-04-25,'300136,信维通信,28.7,30.14,28.5,29.95,30.62,-1.92,-6.2704,4.602,44293591,1307965080.6,27999585224.8,27623476575.1
2019-04-24,'300136,信维通信,30.62,30.65,29.42,29.8,29.46,1.16,3.9375,4.0539,39018078,1173422546.06,29872728208.5,29471458283.3
2019-04-23,'300136,信维通信,29.46,30.37,29.4,29.98,30.01,-0.55,-1.8327,3.6399,35033278,1044937372.75,28741037655.8,28354969334.6
2019-04-22,'300136,信维通信,30.01,31.75,29.84,31.13,30.99,-0.98,-3.1623,5.3797,51779082,1595171834.23,29277615073.0,28884339094.7
2019-04-19,'300136,信维通信,30.99,31.29,29.78,30.6,30.65,0.34,1.1093,4.7647,45859443,1400539973.38,30233698471.0,29827579758.3
2019-04-18,'300136,信维通信,30.65,31.36,30.15,30.98,30.8,-0.15,-0.487,5.7674,55510448,1709227933.68,29901996067.6,29500332997.5
2019-04-17,'300136,信维通信,30.8,31.59,30.65,31.59,31.24,-0.44,-1.4085,8.1835,78765698,2446294957.39,30048335363.2,29644706568.4
2019-04-16,'300136,信维通信,31.24,31.24,28.05,28.38,28.4,2.84,10.0,10.1791,97972988,2958556836.3,30477597297.0,30068202376.5
2019-04-15,'300136,信维通信,28.4,29.38,28.37,28.55,28.08,0.32,1.1396,3.4628,33328732,963854258.15,27706906633.6,27334729433.2
2019-04-12,'300136,信维通信,28.08,28.73,27.87,28.3,28.3,-0.22,-0.7774,2.3029,22165109,625911869.46,27394716136.3,27026732481.8
2019-04-11,'300136,信维通信,28.3,29.39,28.3,29.39,29.39,-1.09,-3.7087,2.843,27364027,787192166.35,27609347103.2,27238480385.9
2019-04-10,'300136,信维通信,29.39,29.73,28.44,28.56,28.88,0.51,1.7659,3.8249,36814158,1073413602.17,28672745984.6,28287595001.5
2019-04-09,'300136,信维通信,28.88,29.34,28.28,28.57,28.55,0.33,1.1559,2.5528,24570913,710353379.68,28175192379.5,27796724860.2
2019-04-08,'300136,信维通信,28.55,29.97,28.27,29.85,29.56,-1.01,-3.4168,4.3251,41628305,1206259890.51,27853245929.2,27479103004.2
2019-04-04,'300136,信维通信,29.56,30.3,29.4,30.2,30.01,-0.45,-1.4995,3.8296,36859769,1097771058.89,28838597186.2,28451218381.9
2019-04-03,'300136,信维通信,30.01,30.14,29.3,29.5,29.73,0.28,0.9418,3.6267,34906397,1039897892.38,29277615073.0,28884339094.7
2019-04-02,'300136,信维通信,29.73,30.45,29.71,30.18,30.09,-0.36,-1.1964,5.1056,49140672,1473458093.08,29004448387.9,28614841762.3
2019-04-01,'300136,信维通信,30.09,30.16,29.01,29.01,28.82,1.27,4.4067,5.9655,57416982,1698137990.22,29355662697.4,28961338332.6
2019-03-29,'300136,信维通信,28.82,28.9,27.3,27.79,27.79,1.03,3.7064,3.9356,37879570,1069600438.43,28116656661.3,27738975431.9
2019-03-28,'300136,信维通信,27.79,28.93,27.64,27.79,27.75,0.04,0.1441,4.1647,40084426,1134991104.11,27111793498.2,26747610244.7
2019-03-27,'300136,信维通信,27.75,28.4,27.08,28.3,28.06,-0.31,-1.1048,3.9495,38013653,1050252949.79,27072769686.0,26709110625.8
2019-03-26,'300136,信维通信,28.06,29.69,28.0,29.69,29.41,-1.35,-4.5903,4.3769,42127595,1212010141.95,27375204230.2,27007482672.4
2019-03-25,'300136,信维通信,29.41,30.18,29.33,29.5,30.41,-1.0,-3.2884,3.7308,35908462,1066350754.56,28692257890.6,28306844810.9
2019-03-22,'300136,信维通信,30.41,30.95,29.77,30.62,30.75,-0.34,-1.1057,4.5176,43481520,1315671876.13,29667853194.6,29269335283.9
2019-03-21,'300136,信维通信,30.75,31.12,29.91,30.15,30.15,0.6,1.99,5.5592,53506388,1635010710.62,29999555598.0,29596582044.8
2019-03-20,'300136,信维通信,30.15,30.88,29.5,30.64,30.49,-0.34,-1.1151,4.3554,41920252,1261372471.19,29414198415.6,29019087761.0
2019-03-19,'300136,信维通信,30.49,31.18,29.81,29.91,29.78,0.71,2.3842,5.845,56257737,1721317961.59,29745900819.0,29346334521.8
2019-03-18,'300136,信维通信,29.78,29.95,28.2,29.01,29.34,0.44,1.4997,4.5202,43506618,1266395970.6,29053228153.1,28662966285.9
2019-03-15,'300136,信维通信,29.34,30.14,29.05,30.09,29.9,-0.56,-1.8729,4.6988,45225541,1336851606.68,28623966219.4,28239470477.8
2019-03-14,'300136,信维通信,29.9,30.2,29.0,29.01,29.29,0.61,2.0826,5.1944,49995236,1483802094.59,29170299589.6,28778465142.7
2019-03-13,'300136,信维通信,29.29,30.46,29.0,30.35,30.5,-1.21,-3.9672,5.8324,56136378,1665458470.61,28575186454.2,28191345954.2
2019-03-12,'300136,信维通信,30.5,31.35,29.86,30.95,30.23,0.27,0.8932,7.4018,71241866,2183655308.38,29755656772.0,29355959426.5
2019-03-11,'300136,信维通信,30.23,30.28,29.13,29.94,29.32,0.91,3.1037,5.784,55670653,1663529251.04,29492246039.9,29096086998.8
2019-03-08,'300136,信维通信,29.32,30.76,28.08,28.49,29.53,-0.21,-0.7111,7.9735,76744107,2278130336.72,28604454313.3,28220220668.4
2019-03-07,'300136,信维通信,29.53,30.5,28.85,30.5,30.9,-1.37,-4.4337,10.4538,100616660,2986770117.76,28809329327.1,28422343667.7
2019-03-06,'300136,信维通信,30.9,32.38,30.15,31.81,31.6,-0.7,-2.2152,8.3851,80705428,2497556058.96,30145894893.6,29740955615.7
2019-03-05,'300136,信维通信,31.6,31.6,29.82,30.19,30.39,1.21,3.9816,7.5566,72731192,2225130069.11,30828811606.4,30414698946.8
2019-03-04,'300136,信维通信,30.39,31.5,30.0,30.78,30.2,0.19,0.6291,8.558,82370116,2533530188.46,29648341288.6,29250085474.5
2019-03-01,'300136,信维通信,30.2,30.35,29.36,30.15,29.7,0.5,1.6835,5.2514,50543882,1513658470.79,29462978180.8,29067212284.6
2019-02-28,'300136,信维通信,29.7,30.2,29.02,30.0,29.9,-0.2,-0.6689,5.0927,49017001,1452860056.95,28975180528.8,28585967048.1
2019-02-27,'300136,信维通信,29.9,31.25,29.35,31.0,30.18,-0.28,-0.9278,7.4276,71489899,2166493930.99,29170299589.6,28778465142.7
2019-02-26,'300136,信维通信,30.18,31.69,29.1,30.03,29.86,0.32,1.0717,10.1185,97390001,2938293431.94,29443466274.7,29047962475.1
