日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300333,兆日科技,9.72,9.92,9.64,9.66,9.68,0.04,0.4132,2.8613,9613977,93932833.11,3265920000.0,3265920000.0
2019-04-25,'300333,兆日科技,9.68,10.11,9.66,10.08,10.19,-0.51,-5.0049,3.8723,13010800,128666065.56,3252480000.0,3252480000.0
2019-04-24,'300333,兆日科技,10.19,10.2,9.8,9.96,9.93,0.26,2.6183,3.7648,12649774,126775877.54,3423840000.0,3423840000.0
2019-04-23,'300333,兆日科技,9.93,10.24,9.88,10.14,10.11,-0.18,-1.7804,4.8576,16321605,163920682.98,3336480000.0,3336480000.0
2019-04-22,'300333,兆日科技,10.11,10.87,10.11,10.87,10.87,-0.76,-6.9917,8.1046,27231440,284262464.36,3396960000.0,3396960000.0
2019-04-19,'300333,兆日科技,10.87,10.88,10.66,10.75,10.79,0.08,0.7414,4.1676,14003103,150932549.63,3652320000.0,3652320000.0
2019-04-18,'300333,兆日科技,10.79,11.22,10.71,10.81,11.02,-0.23,-2.0871,4.5605,15323300,167889414.0,3625440000.0,3625440000.0
2019-04-17,'300333,兆日科技,11.02,11.48,11.01,11.2,11.18,-0.16,-1.4311,5.7909,19457400,218025157.4,3702720000.0,3702720000.0
2019-04-16,'300333,兆日科技,11.18,11.18,10.48,10.83,10.91,0.27,2.4748,6.0533,20339100,220570024.0,3756480000.0,3756480000.0
2019-04-15,'300333,兆日科技,10.91,12.0,10.9,11.95,11.5,-0.59,-5.1304,10.6519,35790441,404056531.58,3665760000.0,3665760000.0
2019-04-12,'300333,兆日科技,11.5,11.72,10.61,10.61,10.82,0.68,6.2847,14.2615,47918596,542215756.92,3864000000.0,3864000000.0
2019-04-11,'300333,兆日科技,10.82,11.4,10.52,10.66,10.67,0.15,1.4058,10.1366,34058958,373700556.05,3635520000.0,3635520000.0
2019-04-10,'300333,兆日科技,10.67,10.89,10.51,10.79,10.8,-0.13,-1.2037,5.3495,17974406,191918898.13,3585120000.0,3585120000.0
2019-04-09,'300333,兆日科技,10.8,10.8,10.22,10.22,10.34,0.46,4.4487,6.0019,20166406,212314207.79,3628800000.0,3628800000.0
2019-04-08,'300333,兆日科技,10.34,10.88,10.14,10.8,10.82,-0.48,-4.4362,6.9896,23484902,245327353.21,3474240000.0,3474240000.0
2019-04-04,'300333,兆日科技,10.82,11.17,10.71,10.88,10.75,0.07,0.6512,6.4721,21746286,237497853.53,3635520000.0,3635520000.0
2019-04-03,'300333,兆日科技,10.75,10.95,10.62,10.68,10.84,-0.09,-0.8303,5.3489,17972362,193205118.93,3612000000.0,3612000000.0
2019-04-02,'300333,兆日科技,10.84,11.2,10.5,10.69,10.59,0.25,2.3607,9.4229,31660911,345022048.33,3642240000.0,3642240000.0
2019-04-01,'300333,兆日科技,10.59,10.71,10.31,10.31,10.27,0.32,3.1159,6.2121,20872552,220444134.25,3558240000.0,3558240000.0
2019-03-29,'300333,兆日科技,10.27,10.28,9.71,9.85,9.95,0.32,3.2161,6.0273,20251773,203803737.51,3450720000.0,3450720000.0
2019-03-28,'300333,兆日科技,9.95,10.39,9.85,9.85,10.0,-0.05,-0.5,5.9176,19883281,201350562.0,3343200000.0,3343200000.0
2019-03-27,'300333,兆日科技,10.0,10.31,9.61,10.15,10.16,-0.16,-1.5748,7.5728,25444489,253854926.62,3360000000.0,3360000000.0
2019-03-26,'300333,兆日科技,10.16,10.88,10.12,10.5,10.62,-0.46,-4.3315,8.009,26910103,283697468.88,3413760000.0,3413760000.0
2019-03-25,'300333,兆日科技,10.62,10.9,10.46,10.59,10.73,-0.11,-1.0252,7.6794,25802848,275735470.97,3568320000.0,3568320000.0
2019-03-22,'300333,兆日科技,10.73,10.86,10.3,10.52,10.52,0.21,1.9962,9.0776,30500903,322760172.14,3605280000.0,3605280000.0
2019-03-21,'300333,兆日科技,10.52,10.88,10.17,10.22,10.22,0.3,2.9354,9.1176,30635127,322185060.49,3534720000.0,3534720000.0
2019-03-20,'300333,兆日科技,10.22,10.49,9.96,10.4,10.43,-0.21,-2.0134,5.8713,19727595,200514981.22,3433920000.0,3433920000.0
2019-03-19,'300333,兆日科技,10.43,10.75,10.17,10.3,10.31,0.12,1.1639,7.05,23687914,247507041.44,3504480000.0,3504480000.0
2019-03-18,'300333,兆日科技,10.31,10.37,9.71,10.18,10.17,0.14,1.3766,6.2089,20861783,210357101.75,3464160000.0,3464160000.0
2019-03-15,'300333,兆日科技,10.17,10.6,10.05,10.35,10.27,-0.1,-0.9737,7.5019,25206299,260421723.71,3417120000.0,3417120000.0
2019-03-14,'300333,兆日科技,10.27,10.87,10.05,10.6,11.09,-0.82,-7.394,11.1205,37364720,386793291.94,3450720000.0,3450720000.0
2019-03-13,'300333,兆日科技,11.09,12.49,11.0,11.41,11.88,-0.79,-6.6498,19.7387,66321903,772610943.33,3726240000.0,3726240000.0
2019-03-12,'300333,兆日科技,11.88,11.88,10.48,10.59,10.8,1.08,10.0,22.0512,74091878,820886806.51,3991680000.0,3991680000.0
2019-03-11,'300333,兆日科技,10.8,11.59,10.74,11.59,10.54,0.26,2.4668,25.3071,85031752,956991055.41,3628800000.0,3628800000.0
2019-03-08,'300333,兆日科技,10.54,10.54,9.58,9.8,9.58,0.96,10.0209,8.2313,27657017,282509696.36,3541440000.0,3541440000.0
2019-03-07,'300333,兆日科技,9.58,9.94,9.31,9.4,9.39,0.19,2.0234,10.1024,33943975,327346986.52,3218880000.0,3218880000.0
2019-03-06,'300333,兆日科技,9.39,9.53,9.17,9.52,9.46,-0.07,-0.74,9.9059,33283889,311089483.61,3155040000.0,3155040000.0
2019-03-05,'300333,兆日科技,9.46,9.49,8.85,8.95,9.04,0.42,4.646,10.8106,36323652,335552731.44,3178560000.0,3178560000.0
2019-03-04,'300333,兆日科技,9.04,9.37,8.91,9.0,9.01,0.03,0.333,10.0308,33703443,307771421.95,3037440000.0,3037440000.0
2019-03-01,'300333,兆日科技,9.01,9.21,8.82,8.87,8.86,0.15,1.693,7.7599,26073321,235738118.03,3027360000.0,3027360000.0
2019-02-28,'300333,兆日科技,8.86,9.01,8.73,8.8,8.87,-0.01,-0.1127,4.7148,15841629,140605950.64,2976960000.0,2976960000.0
2019-02-27,'300333,兆日科技,8.87,9.09,8.59,8.71,8.83,0.04,0.453,7.4253,24948926,221325437.13,2980320000.0,2980320000.0
2019-02-26,'300333,兆日科技,8.83,9.51,8.57,8.9,9.04,-0.21,-2.323,12.6123,42377491,380085254.83,2966880000.0,2966880000.0
2019-02-25,'300333,兆日科技,9.04,9.19,8.68,8.85,8.67,0.37,4.2676,11.2729,37876966,339137500.08,3037440000.0,3037440000.0
2019-02-22,'300333,兆日科技,8.67,8.71,8.32,8.38,8.45,0.22,2.6036,8.4746,28474795,242399891.29,2913120000.0,2913120000.0
2019-02-21,'300333,兆日科技,8.45,8.78,8.31,8.44,8.72,-0.27,-3.0963,10.9547,36807671,313245251.81,2839200000.0,2839200000.0
2019-02-20,'300333,兆日科技,8.72,9.33,8.58,8.96,8.78,-0.06,-0.6834,18.0092,60510810,541000553.57,2929920000.0,2929920000.0
2019-02-19,'300333,兆日科技,8.78,8.78,7.84,8.04,7.98,0.8,10.0251,12.5359,42120471,358845030.13,2950080000.0,2950080000.0
2019-02-18,'300333,兆日科技,7.98,8.02,7.71,7.75,7.66,0.32,4.1775,5.7038,19164899,151453160.11,2681280000.0,2681280000.0
2019-02-15,'300333,兆日科技,7.66,7.86,7.63,7.72,7.75,-0.09,-1.1613,4.011,13476899,104336142.87,2573760000.0,2573760000.0
2019-02-14,'300333,兆日科技,7.75,7.83,7.56,7.61,7.71,0.04,0.5188,4.6849,15741099,121490381.22,2604000000.0,2604000000.0
2019-02-13,'300333,兆日科技,7.71,7.93,7.41,7.45,7.45,0.26,3.4899,6.6088,22205513,171483530.87,2590560000.0,2590560000.0
2019-02-12,'300333,兆日科技,7.45,7.54,7.33,7.41,7.45,0.0,0.0,3.8789,13033099,96865517.17,2503200000.0,2503200000.0
