日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'603086,先达股份,33.69,37.0,33.51,37.0,36.71,-3.02,-8.2266,5.2892,3835372,132242332.0,3773280000.0,2442988001.67
2019-04-25,'603086,先达股份,36.71,37.97,36.26,36.8,37.35,-0.64,-1.7135,2.6069,1890380,70184746.0,4111520000.0,2661979505.53
2019-04-24,'603086,先达股份,37.35,38.39,36.68,38.1,37.88,-0.53,-1.3992,2.6851,1947080,72675108.0,4183200000.0,2708388301.05
2019-04-23,'603086,先达股份,37.88,39.25,37.1,37.72,37.09,0.79,2.13,3.976,2883156,110883929.0,4242560000.0,2746820584.84
2019-04-22,'603086,先达股份,37.09,38.63,36.72,38.08,37.71,-0.62,-1.6441,3.881,2814240,106954543.0,4154080000.0,2689534727.87
2019-04-19,'603086,先达股份,37.71,38.1,35.92,37.8,37.71,0.0,0.0,3.5739,2591560,95990964.0,4223520000.0,2734493248.53
2019-04-18,'603086,先达股份,37.71,38.58,37.31,38.24,38.65,-0.94,-2.4321,3.0779,2231927,84161748.0,4223520000.0,2734493248.53
2019-04-17,'603086,先达股份,38.65,39.77,37.8,38.4,38.77,-0.12,-0.3095,4.0896,2965554,114840633.0,4328800000.0,2802656166.95
2019-04-16,'603086,先达股份,38.77,38.77,37.12,37.24,38.1,0.67,1.7585,3.1231,2264679,86923792.0,4342240000.0,2811357816.11
2019-04-15,'603086,先达股份,38.1,39.89,38.02,39.08,37.84,0.26,0.6871,5.1777,3754537,145730851.0,4267200000.0,2762773608.3
2019-04-12,'603086,先达股份,37.84,38.99,37.38,37.45,37.32,0.52,1.3934,3.9543,2867398,109574346.0,4238080000.0,2743920035.12
2019-04-11,'603086,先达股份,37.32,40.95,36.77,40.2,40.21,-2.89,-7.1873,6.2539,4534955,176023812.0,4179840000.0,2706212888.76
2019-04-10,'603086,先达股份,40.21,42.48,39.12,40.88,41.99,-1.78,-4.2391,9.6716,7013231,285217346.0,4503520000.0,2915777606.03
2019-04-09,'603086,先达股份,41.99,46.95,40.61,44.01,44.45,-2.46,-5.5343,10.6167,7698557,334692961.0,4702880000.0,3044852068.57
2019-04-08,'603086,先达股份,44.45,44.45,44.45,44.45,40.41,4.04,9.9975,0.4546,329653,14653076.0,4978400000.0,3223235876.35
