日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'601788,光大证券,12.78,13.05,12.53,12.53,12.59,0.19,1.5091,1.0993,42946292,549336497.0,58925866026.4,49927611162.4
2019-04-25,'601788,光大证券,12.59,13.18,12.57,13.14,13.17,-0.58,-4.4039,0.9684,37832913,488762171.0,58049816375.0,49185338383.0
2019-04-24,'601788,光大证券,13.17,13.25,12.92,13.0,12.97,0.2,1.542,0.9451,36920746,484469150.0,60724073205.6,51451223709.6
2019-04-23,'601788,光大证券,12.97,13.27,12.72,12.9,12.99,-0.02,-0.154,0.9731,38015541,493642602.0,59801915677.8,50669883941.8
2019-04-22,'601788,光大证券,12.99,13.53,12.94,13.49,13.33,-0.34,-2.5506,0.9807,38314266,503028560.0,59894131430.6,50748017918.6
2019-04-19,'601788,光大证券,13.33,13.44,13.16,13.2,13.15,0.18,1.3688,0.6192,24191036,321686518.0,61461799227.9,52076295523.9
2019-04-18,'601788,光大证券,13.15,13.39,13.13,13.33,13.32,-0.17,-1.2763,0.6318,24682547,327215650.0,60631857452.8,51373089732.8
2019-04-17,'601788,光大证券,13.32,13.51,13.24,13.26,13.39,-0.07,-0.5228,0.771,30121115,402661996.0,61415691351.5,52037228535.5
2019-04-16,'601788,光大证券,13.39,13.45,12.76,12.93,13.05,0.34,2.6054,1.1116,43426342,571562724.0,61738446486.2,52310697454.2
2019-04-15,'601788,光大证券,13.05,13.57,13.02,13.51,13.18,-0.13,-0.9863,1.0651,41609505,555848761.0,60170778688.9,50982419848.9
2019-04-12,'601788,光大证券,13.18,13.42,13.07,13.18,13.2,-0.02,-0.1515,0.8184,31971298,423270294.0,60770181082.0,51490290698.0
2019-04-11,'601788,光大证券,13.2,13.59,13.17,13.44,13.54,-0.34,-2.5111,1.0995,42952575,573829798.0,60862396834.8,51568424674.8
2019-04-10,'601788,光大证券,13.54,13.79,13.24,13.73,13.9,-0.36,-2.5899,1.4867,58079138,781324536.0,62430064632.1,52896702280.1
2019-04-09,'601788,光大证券,13.9,14.14,13.6,13.93,13.98,-0.08,-0.5722,1.2664,49474748,685339840.0,64089948182.1,54303113862.1
2019-04-08,'601788,光大证券,13.98,14.56,13.71,14.35,14.5,-0.52,-3.5862,2.2902,89470350,1262535986.0,64458811193.2,54615649769.2
2019-04-04,'601788,光大证券,14.5,14.82,13.61,13.76,13.75,0.75,5.4545,3.4737,135707179,1936340613.0,66856420765.5,56647133165.5
2019-04-03,'601788,光大证券,13.75,13.88,13.05,13.1,13.27,0.48,3.6172,2.1158,82659442,1114674787.0,63398330036.2,53717109036.2
2019-04-02,'601788,光大证券,13.27,13.55,13.17,13.29,13.26,0.01,0.0754,1.6713,65291416,870728033.0,61185151969.5,51841893593.5
2019-04-01,'601788,光大证券,13.26,13.51,13.02,13.14,13.16,0.1,0.7599,2.5552,99822466,1320856521.0,61139044093.1,51802826605.1
2019-03-29,'601788,光大证券,13.16,13.26,12.42,12.48,12.39,0.77,6.2147,2.3351,91224582,1179098139.0,60677965329.2,51412156721.2
2019-03-28,'601788,光大证券,12.39,12.63,12.16,12.3,12.34,0.05,0.4052,0.8882,34699993,430566090.0,57127658847.2,48403998615.2
2019-03-27,'601788,光大证券,12.34,12.57,12.31,12.48,12.34,0.0,0.0,0.8712,34035335,422485906.0,56897119465.3,48208663673.3
2019-03-26,'601788,光大证券,12.34,12.95,12.27,12.86,12.8,-0.46,-3.5938,1.2368,48317413,609038050.0,56897119465.3,48208663673.3
2019-03-25,'601788,光大证券,12.8,13.13,12.8,12.9,13.26,-0.46,-3.4691,1.1913,46539561,602974068.0,59018081779.2,50005745139.2
2019-03-22,'601788,光大证券,13.26,13.44,13.01,13.38,13.47,-0.21,-1.559,1.5147,59173417,781345562.0,61139044093.1,51802826605.1
2019-03-21,'601788,光大证券,13.47,13.83,13.18,13.26,13.41,0.06,0.4474,2.2409,87545467,1183955812.0,62107309497.3,52623233361.3
2019-03-20,'601788,光大证券,13.41,13.63,12.84,12.9,13.29,0.12,0.9029,2.3279,90944897,1202429270.0,61830662239.0,52388831431.0
2019-03-19,'601788,光大证券,13.29,13.68,13.22,13.5,13.6,-0.31,-2.2794,1.3304,51973790,698283353.0,61277367722.3,51920027570.3
2019-03-18,'601788,光大证券,13.6,13.62,12.95,13.0,13.58,0.02,0.1473,2.1786,85111727,1127861591.0,62706711890.4,53131104210.4
2019-03-15,'601788,光大证券,13.58,13.95,13.36,13.58,13.49,0.09,0.6672,1.43,55864786,763085212.0,62614496137.6,53052970233.6
2019-03-14,'601788,光大证券,13.49,14.38,13.26,13.92,14.38,-0.89,-6.1892,2.2052,86150801,1185494664.0,62199525250.1,52701367338.1
2019-03-13,'601788,光大证券,14.38,14.74,13.98,14.3,14.28,0.1,0.7003,2.3601,92203425,1320501731.0,66303126248.8,56178329304.8
2019-03-12,'601788,光大证券,14.28,14.83,14.03,14.5,14.37,-0.09,-0.6263,2.8799,112509758,1626606315.0,65842047484.9,55787659420.9
2019-03-11,'601788,光大证券,14.37,14.72,13.9,14.5,14.12,0.25,1.7705,2.9031,113414099,1626034850.0,66257018372.4,56139262316.4
2019-03-08,'601788,光大证券,14.12,15.41,13.96,14.11,14.57,-0.45,-3.0885,4.2344,165426732,2413286486.0,65104321462.7,55162587606.7
2019-03-07,'601788,光大证券,14.57,15.02,13.88,14.22,14.13,0.44,3.1139,3.3723,131746336,1909771152.0,67179175900.2,56920602084.2
2019-03-06,'601788,光大证券,14.13,14.51,13.6,13.6,13.58,0.55,4.0501,2.4893,97251139,1358329811.0,65150429339.1,55201654595.1
2019-03-05,'601788,光大证券,13.58,13.59,13.16,13.21,13.65,-0.07,-0.5128,1.4324,55960550,750897707.0,62614496137.6,53052970233.6
2019-03-04,'601788,光大证券,13.65,14.4,13.11,13.5,13.53,0.12,0.8869,2.7547,107616974,1468054628.0,62937251272.3,53326439152.3
2019-03-01,'601788,光大证券,13.53,13.75,13.05,13.38,13.23,0.3,2.2676,2.0419,79770763,1073205297.0,62383956755.7,52857635291.7
2019-02-28,'601788,光大证券,13.23,13.84,12.98,13.84,14.01,-0.78,-5.5675,2.3443,91584033,1218372739.0,61000720464.0,51685625640.0
2019-02-27,'601788,光大证券,14.01,14.68,13.62,14.2,14.3,-0.29,-2.028,2.6169,102232698,1449634483.0,64597134822.4,54732850734.4
2019-02-26,'601788,光大证券,14.3,15.13,13.98,14.58,13.89,0.41,2.9518,3.8178,149151027,2187435950.0,65934263237.7,55865793397.7
2019-02-25,'601788,光大证券,13.89,13.89,13.12,13.8,12.63,1.26,9.9762,2.6822,104783593,1428069942.0,64043840305.7,54264046873.7
2019-02-22,'601788,光大证券,12.63,12.63,11.51,11.6,11.48,1.15,10.0174,2.4255,94757506,1145814922.0,58234247880.6,49341606336.6
2019-02-21,'601788,光大证券,11.48,12.11,11.15,11.24,11.3,0.18,1.5929,1.7827,69644274,805235024.0,52931842095.7,44848902671.7
2019-02-20,'601788,光大证券,11.3,11.42,11.05,11.21,11.21,0.09,0.8029,1.053,41137022,462643680.0,52101900320.7,44145696880.7
2019-02-19,'601788,光大证券,11.21,11.49,10.8,10.8,10.77,0.44,4.0854,2.0795,81240391,909819141.0,51686929433.2,43794093985.2
2019-02-18,'601788,光大证券,10.77,10.86,10.25,10.26,10.13,0.64,6.3179,1.2763,49860192,525461773.0,49658182872.0,42075146496.0
2019-02-15,'601788,光大证券,10.13,10.39,10.07,10.27,10.28,-0.15,-1.4591,0.785,30668543,314416882.0,46707278783.1,39574859239.1
2019-02-14,'601788,光大证券,10.28,10.42,10.21,10.26,10.3,-0.02,-0.1942,0.7926,30965662,319130791.0,47398896928.9,40160864064.9
2019-02-13,'601788,光大证券,10.3,10.38,9.78,9.88,9.88,0.42,4.251,1.3306,51984055,526803917.0,47491112681.7,40238998041.7
2019-02-12,'601788,光大证券,9.88,9.96,9.59,9.69,9.68,0.2,2.0661,0.9057,35382142,345818288.0,45554581873.3,38598184529.3
2019-02-11,'601788,光大证券,9.68,9.7,9.4,9.46,9.58,0.1,1.0438,0.6883,26888326,257717180.0,44632424345.5,37816844761.5
2019-02-01,'601788,光大证券,9.58,9.66,9.37,9.53,9.28,0.3,3.2328,0.5149,20117000,191006195.0,44171345581.6,37426174877.6
2019-01-31,'601788,光大证券,9.28,9.41,9.18,9.25,9.19,0.09,0.9793,0.352,13749860,127705241.0,42788109289.9,36254165225.9
2019-01-30,'601788,光大证券,9.19,9.36,9.19,9.23,9.29,-0.1,-1.0764,0.256,10001993,92774325.0,42373138402.4,35902562330.4
2019-01-29,'601788,光大证券,9.29,9.48,9.1,9.41,9.5,-0.21,-2.2105,0.5029,19647744,182580954.0,42834217166.3,36293232214.3
