日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600708,光明地产,6.04,6.14,6.01,6.01,6.06,-0.02,-0.33,0.9428,20979664,127474475.0,13460965927.7,13440677736.8
2019-04-25,'600708,光明地产,6.06,6.35,5.97,6.11,6.21,-0.15,-2.4155,1.6158,35957089,220713213.0,13505538662.6,13485183292.3
2019-04-24,'600708,光明地产,6.21,6.42,6.05,6.3,6.4,-0.19,-2.9688,2.2821,50782747,316356393.0,13839834174.0,13818974957.9
2019-04-23,'600708,光明地产,6.4,6.57,5.78,5.9,5.97,0.43,7.2027,5.0282,111890558,707895712.0,14263275155.2,14241777734.4
2019-04-22,'600708,光明地产,5.97,6.29,5.9,6.26,6.19,-0.22,-3.5541,2.0669,45993794,277070109.0,13304961355.7,13284908292.9
2019-04-19,'600708,光明地产,6.19,6.31,6.16,6.24,6.28,-0.09,-1.4331,1.0496,23356359,144986049.0,13795261439.2,13774469402.5
2019-04-18,'600708,光明地产,6.28,6.49,6.12,6.34,6.28,0.0,0.0,1.4443,32139170,201600397.0,13995838746.0,13974744401.9
2019-04-17,'600708,光明地产,6.28,6.46,6.23,6.3,6.38,-0.1,-1.5674,1.6737,37243714,235873041.0,13995838746.0,13974744401.9
2019-04-16,'600708,光明地产,6.38,6.58,6.16,6.52,6.5,-0.12,-1.8462,2.7145,60404117,379858331.0,14218702420.3,14197272179.0
2019-04-15,'600708,光明地产,6.5,6.72,6.21,6.25,6.11,0.39,6.383,5.1114,113742482,752266197.0,14486138829.5,14464305511.5
2019-04-12,'600708,光明地产,6.11,6.22,5.95,5.96,5.8,0.31,5.3448,2.4139,53716871,326014714.0,13616970499.7,13596447180.8
2019-04-11,'600708,光明地产,5.8,6.05,5.73,5.82,5.71,0.09,1.5762,2.5003,55637916,328293783.0,12926093109.4,12906611071.8
2019-04-10,'600708,光明地产,5.71,5.84,5.5,5.57,5.55,0.16,2.8829,1.9823,44112020,250498175.0,12725515802.5,12706336072.4
2019-04-09,'600708,光明地产,5.55,5.69,5.49,5.68,5.7,-0.15,-2.6316,1.6615,36973630,206205352.0,12368933923.6,12350291629.0
2019-04-08,'600708,光明地产,5.7,5.84,5.55,5.83,5.9,-0.2,-3.3898,3.0197,67196435,382236076.0,12703229435.1,12684083294.7
2019-04-04,'600708,光明地产,5.9,6.25,5.79,6.1,5.83,0.07,1.2007,4.6812,104168961,624765694.0,13148956783.7,13129138848.9
2019-04-03,'600708,光明地产,5.83,5.83,5.29,5.3,5.3,0.53,10.0,3.168,70497722,402318989.0,12992952211.7,12973369404.9
2019-04-02,'600708,光明地产,5.3,5.48,5.29,5.33,5.29,0.01,0.189,1.141,25389919,136372514.0,11811774737.9,11793972186.3
2019-04-01,'600708,光明地产,5.29,5.42,5.17,5.25,5.17,0.12,2.3211,1.7951,39945604,211683238.0,11789488370.5,11771719408.6
2019-03-29,'600708,光明地产,5.17,5.29,4.84,4.87,4.85,0.32,6.5979,1.6731,37231529,188994559.0,11522051961.3,11504686076.1
2019-03-28,'600708,光明地产,4.85,5.05,4.83,5.01,4.99,-0.14,-2.8056,0.7634,16988388,83893124.0,10808888203.5,10792597189.4
2019-03-27,'600708,光明地产,4.99,5.03,4.88,4.98,4.95,0.04,0.8081,0.4856,10805936,53841890.0,11120897347.6,11104136077.3
2019-03-26,'600708,光明地产,4.95,5.15,4.9,5.14,5.1,-0.15,-2.9412,0.983,21875033,109273200.0,11031751877.9,11015124966.5
2019-03-25,'600708,光明地产,5.1,5.23,5.04,5.12,5.15,-0.05,-0.9709,0.7881,17537763,89931535.0,11366047389.3,11348916632.1
2019-03-22,'600708,光明地产,5.15,5.18,5.11,5.15,5.15,0.0,0.0,0.7296,16235628,83457044.0,11477479226.5,11460180520.6
2019-03-21,'600708,光明地产,5.15,5.21,5.13,5.18,5.16,-0.01,-0.1938,0.9465,21062452,108794404.0,11477479226.5,11460180520.6
2019-03-20,'600708,光明地产,5.16,5.2,5.01,5.1,5.12,0.04,0.7813,0.9973,22191863,113179591.0,11499765593.9,11482433298.4
2019-03-19,'600708,光明地产,5.12,5.25,5.07,5.17,5.2,-0.08,-1.5385,1.1312,25171819,129480581.0,11410620124.2,11393422187.5
2019-03-18,'600708,光明地产,5.2,5.22,5.02,5.21,5.21,-0.01,-0.1919,2.0442,45488450,232796967.0,11588911063.6,11571444409.2
2019-03-15,'600708,光明地产,5.21,5.35,5.02,5.02,4.96,0.25,5.0403,2.7399,60970227,316268486.0,11611197431.0,11593697186.9
2019-03-14,'600708,光明地产,4.96,5.29,4.91,5.05,5.05,-0.09,-1.7822,1.7743,39483991,201423367.0,11054038245.3,11037377744.2
