日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600188,兖州煤业,11.18,11.38,11.06,11.2,11.2,-0.02,-0.1786,0.4946,14639517,164476160.0,54916338880.0,33092800000.0
2019-04-25,'600188,兖州煤业,11.2,11.7,11.2,11.66,11.73,-0.53,-4.5183,0.7019,20777317,238046993.0,55014579200.0,33152000000.0
2019-04-24,'600188,兖州煤业,11.73,11.81,11.55,11.62,11.62,0.11,0.9466,0.5616,16622611,194056220.0,57617947680.0,34720800000.0
2019-04-23,'600188,兖州煤业,11.62,11.96,11.56,11.73,11.83,-0.21,-1.7751,0.7283,21557289,253590237.0,57077625920.0,34395200000.0
2019-04-22,'600188,兖州煤业,11.83,12.26,11.75,12.26,12.18,-0.35,-2.8736,0.8843,26175181,312621963.0,58109149280.0,35016800000.0
2019-04-19,'600188,兖州煤业,12.18,12.35,11.59,11.87,11.96,0.22,1.8395,1.4595,43199924,515385672.0,59828354880.0,36052800000.0
2019-04-18,'600188,兖州煤业,11.96,12.31,11.96,12.17,12.19,-0.23,-1.8868,0.8132,24071486,291597188.0,58747711360.0,35401600000.0
2019-04-17,'600188,兖州煤业,12.19,12.37,12.07,12.22,12.14,0.05,0.4119,0.9848,29150672,355920307.0,59877475040.0,36082400000.0
2019-04-16,'600188,兖州煤业,12.14,12.15,11.55,11.64,11.77,0.37,3.1436,1.0113,29935841,357325564.0,59631874240.0,35934400000.0
2019-04-15,'600188,兖州煤业,11.77,12.28,11.76,12.22,11.98,-0.21,-1.7529,1.0206,30210581,363693140.0,57814428320.0,34839200000.0
2019-04-12,'600188,兖州煤业,11.98,12.08,11.8,11.88,11.88,0.1,0.8418,0.8235,24375196,291790402.0,58845951680.0,35460800000.0
2019-04-11,'600188,兖州煤业,11.88,12.32,11.81,12.03,12.15,-0.27,-2.2222,1.3516,40006286,483864105.0,58354750080.0,35164800000.0
2019-04-10,'600188,兖州煤业,12.15,12.36,11.79,12.11,12.11,0.04,0.3303,1.6386,48501813,586945090.0,59680994400.0,35964000000.0
2019-04-09,'600188,兖州煤业,12.11,12.28,12.01,12.27,12.42,-0.31,-2.496,1.3201,39075070,473698163.0,59484513760.0,35845600000.0
2019-04-08,'600188,兖州煤业,12.42,12.75,12.05,12.36,12.06,0.36,2.9851,2.3658,70028967,866467694.0,61007238720.0,36763200000.0
