日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300458,全志科技,22.56,22.96,22.2,22.49,22.65,-0.09,-0.3974,1.1823,3908931,88456661.41,7458578677.92,7458578677.92
2019-04-25,'300458,全志科技,22.65,23.69,22.65,23.5,23.65,-1.0,-4.2283,1.4206,4696709,108891819.08,7488333646.05,7488333646.05
2019-04-24,'300458,全志科技,23.65,23.79,22.94,23.3,23.07,0.58,2.5141,1.4054,4646244,108680680.36,7818944403.05,7818944403.05
2019-04-23,'300458,全志科技,23.07,23.72,23.02,23.61,23.8,-0.73,-3.0672,1.2572,4156384,96637994.05,7627190163.99,7627190163.99
2019-04-22,'300458,全志科技,23.8,23.92,23.52,23.75,23.74,0.06,0.2527,1.3022,4305220,102176939.99,7868536016.6,7868536016.6
2019-04-19,'300458,全志科技,23.74,23.82,23.28,23.81,23.69,0.05,0.2111,1.119,3699575,87159617.99,7848699371.18,7848699371.18
2019-04-18,'300458,全志科技,23.69,24.0,23.55,23.72,23.75,-0.06,-0.2526,1.269,4195396,99519856.12,7832168833.33,7832168833.33
2019-04-17,'300458,全志科技,23.75,24.59,23.7,24.05,24.0,-0.25,-1.0417,2.3016,7609179,183245720.77,7852005478.75,7852005478.75
2019-04-16,'300458,全志科技,24.0,24.04,22.76,23.08,23.15,0.85,3.6717,2.0153,6662730,156713938.86,7934658168.0,7934658168.0
2019-04-15,'300458,全志科技,23.15,23.95,23.13,23.66,23.29,-0.14,-0.6011,1.4617,4832492,113991670.48,7653639024.55,7653639024.55
2019-04-12,'300458,全志科技,23.29,23.69,23.01,23.4,23.46,-0.17,-0.7246,1.3753,4546864,105998088.11,7699924530.53,7699924530.53
2019-04-11,'300458,全志科技,23.46,24.01,23.46,24.01,23.91,-0.45,-1.8821,1.2282,4060511,96148563.83,7756128359.22,7756128359.22
2019-04-10,'300458,全志科技,23.91,24.16,23.4,23.9,24.01,-0.1,-0.4165,1.5205,5027078,119545785.71,7904903199.87,7904903199.87
2019-04-09,'300458,全志科技,24.01,24.38,23.62,23.85,23.85,0.16,0.6709,1.5687,5186420,124605494.9,7937964275.57,7937964275.57
2019-04-08,'300458,全志科技,23.85,25.17,23.5,25.0,24.95,-1.1,-4.4088,3.0357,10036498,242712061.81,7885066554.45,7885066554.45
2019-04-04,'300458,全志科技,24.95,25.87,24.82,25.58,24.85,0.1,0.4024,3.1192,10312560,260213386.23,8248738387.15,8248738387.15
2019-04-03,'300458,全志科技,24.85,25.08,24.52,24.75,25.0,-0.15,-0.6,2.2943,7585307,188009277.28,8235354212.4,8215677311.45
2019-04-02,'300458,全志科技,25.0,25.38,24.73,24.9,24.92,0.08,0.321,3.3441,11055846,276729443.43,8285064600.0,8265268925.0
2019-04-01,'300458,全志科技,24.92,25.1,24.22,24.22,24.14,0.78,3.2312,3.3294,11007510,272121002.76,8258552393.28,8238820064.44
2019-03-29,'300458,全志科技,24.14,24.16,22.71,23.12,23.22,0.92,3.9621,2.9108,9623316,226727154.39,8000058377.76,7980943673.98
2019-03-28,'300458,全志科技,23.22,24.1,23.05,23.44,23.47,-0.25,-1.0652,2.2015,7278354,171953301.36,7695168000.48,7676781777.54
2019-03-27,'300458,全志科技,23.47,23.97,22.96,23.78,23.7,-0.23,-0.9705,2.3154,7654847,179145719.4,7778018646.48,7759434466.79
2019-03-26,'300458,全志科技,23.7,25.28,23.64,25.05,25.33,-1.63,-6.4351,3.6148,11950951,291125055.71,7854241240.8,7835474940.9
2019-03-25,'300458,全志科技,25.33,26.25,25.02,25.28,25.27,0.06,0.2374,4.4563,14732980,377599545.81,8394427452.72,8374370474.81
2019-03-22,'300458,全志科技,25.27,25.48,24.68,25.1,24.71,0.56,2.2663,4.1444,13701731,343574963.26,8374543297.68,8354533829.39
2019-03-21,'300458,全志科技,24.71,24.78,24.22,24.22,24.32,0.39,1.6036,3.1365,10369522,254751269.85,8188957850.64,8169391805.47
2019-03-20,'300458,全志科技,24.32,24.96,23.66,24.82,24.54,-0.22,-0.8965,2.77,9158011,221060448.1,8059710842.88,8040453610.24
2019-03-19,'300458,全志科技,24.54,25.08,24.13,24.54,24.55,-0.01,-0.0407,2.9988,9914482,243439097.19,8132619411.36,8113187976.78
2019-03-18,'300458,全志科技,24.55,24.55,23.65,23.95,23.96,0.59,2.4624,2.2551,7455595,179976769.07,8135933437.2,8116494084.35
2019-03-15,'300458,全志科技,23.96,24.66,23.73,24.57,24.17,-0.21,-0.8688,2.5884,8557452,207005117.05,7940405912.64,7921433737.72
2019-03-14,'300458,全志科技,24.17,25.1,23.59,24.8,25.13,-0.96,-3.8201,3.4409,11376110,274581514.24,8010000455.28,7990861996.69
2019-03-13,'300458,全志科技,25.13,26.66,24.79,26.11,27.0,-1.87,-6.9259,4.8603,16068636,415574775.98,8328146935.92,8308248323.41
2019-03-12,'300458,全志科技,27.0,27.0,25.78,26.0,26.31,0.69,2.6226,6.0702,20068632,526251952.53,8947869768.0,8926490439.0
2019-03-11,'300458,全志科技,26.31,26.77,25.21,26.33,25.36,0.95,3.7461,5.8876,19465109,506619350.71,8719201985.04,8698369016.67
2019-03-08,'300458,全志科技,25.36,26.99,24.48,25.0,24.87,0.49,1.9702,7.5758,25046565,653022257.86,8404369530.24,8384288797.52
2019-03-07,'300458,全志科技,24.87,25.2,23.9,24.3,24.6,0.27,1.0976,5.2819,17462543,428950655.28,8241982264.08,8222289526.59
2019-03-06,'300458,全志科技,24.6,25.66,23.89,25.5,24.79,-0.19,-0.7664,5.4274,17943443,438917463.97,8152503566.4,8133024622.2
2019-03-05,'300458,全志科技,24.79,24.87,23.2,23.29,23.02,1.77,7.689,6.3422,20967875,504395964.43,8215470057.36,8195840666.03
2019-03-04,'300458,全志科技,23.02,24.54,22.82,24.54,22.31,0.71,3.1824,6.2972,20819375,494192375.27,7628887483.68,7610659626.14
2019-03-01,'300458,全志科技,22.31,22.59,21.87,22.3,22.45,-0.14,-0.6236,2.3698,7834655,173514350.44,7393591649.04,7375925988.67
2019-02-28,'300458,全志科技,22.45,23.65,22.16,23.4,22.49,-0.04,-0.1779,3.9536,13071094,299209426.17,7439988010.8,7422211494.65
2019-02-27,'300458,全志科技,22.49,22.88,22.04,22.2,22.03,0.46,2.0881,3.7906,12531998,281645512.09,7453244114.16,7435435924.93
2019-02-26,'300458,全志科技,22.03,23.14,21.75,22.3,22.27,-0.24,-1.0777,4.2441,14031536,314021688.21,7300798925.52,7283354976.71
2019-02-25,'300458,全志科技,22.27,22.45,21.42,21.42,21.03,1.24,5.8963,4.4306,14647878,320043787.06,7380335545.68,7362701558.39
2019-02-22,'300458,全志科技,21.03,21.03,20.27,20.37,20.47,0.56,2.7357,2.7398,9058082,187762193.33,6969396341.52,6952744219.71
2019-02-21,'300458,全志科技,20.47,21.1,20.35,20.39,20.57,-0.1,-0.4861,2.995,9901943,205553087.65,6783810894.48,6767602195.79
2019-02-20,'300458,全志科技,20.57,20.84,20.2,20.84,20.84,-0.27,-1.2956,2.0651,6827532,140110925.13,6816951152.88,6800663271.49
2019-02-19,'300458,全志科技,20.84,21.25,20.5,21.15,20.96,-0.12,-0.5725,3.1793,10511074,219148086.95,6906429850.56,6889928175.88
2019-02-18,'300458,全志科技,20.96,21.1,20.11,20.12,19.92,1.04,5.2209,3.363,11118378,230115660.7,6946198160.64,6929601466.72
2019-02-15,'300458,全志科技,19.92,20.35,19.91,20.11,20.21,-0.29,-1.4349,1.8693,6180017,124297384.37,6601539473.28,6585766279.44
2019-02-14,'300458,全志科技,20.21,20.33,19.99,20.3,20.38,-0.17,-0.8342,1.9004,6282932,126614792.82,6697646222.64,6681643398.97
2019-02-13,'300458,全志科技,20.38,20.58,19.63,19.77,19.8,0.58,2.9293,3.3092,10940625,222155280.03,6753984661.92,6737847227.66
2019-02-12,'300458,全志科技,19.8,20.01,19.43,19.43,19.34,0.46,2.3785,2.2612,7475914,147811666.28,6561771163.2,6546092988.6
2019-02-11,'300458,全志科技,19.34,19.37,18.7,18.75,18.75,0.59,3.1467,1.7006,5622442,107726874.64,6409325974.56,6394012040.38
2019-02-01,'300458,全志科技,18.75,18.84,18.3,18.3,18.25,0.5,2.7397,1.024,3385560,63022211.08,6213798450.0,6198951693.75
2019-01-31,'300458,全志科技,18.25,18.99,18.25,18.79,18.65,-0.4,-2.1448,1.1816,3906609,72686223.64,6048097158.0,6033646315.25
2019-01-30,'300458,全志科技,18.65,19.08,18.63,18.72,18.82,-0.17,-0.9033,0.6633,2192804,41265870.39,6180658191.6,6165890618.05
2019-01-29,'300458,全志科技,18.82,19.37,18.51,19.29,19.37,-0.55,-2.8394,1.2272,4057260,76360743.65,6236996630.88,6222094446.74
2019-01-28,'300458,全志科技,19.37,19.59,19.21,19.45,19.34,0.03,0.1551,1.0783,3565023,69149789.51,6419268052.08,6403930363.09
2019-01-25,'300458,全志科技,19.34,19.62,19.17,19.48,19.46,-0.12,-0.6166,1.6219,5362088,104123826.05,6409325974.56,6394012040.38
2019-01-24,'300458,全志科技,19.46,19.66,18.81,18.93,18.8,0.66,3.5106,2.486,8218923,159422436.42,6449094284.64,6433685331.22
2019-01-23,'300458,全志科技,18.8,18.96,18.7,18.79,18.89,-0.09,-0.4764,0.6377,2108225,39671507.69,6230368579.2,6215482231.6
2019-01-22,'300458,全志科技,18.89,19.28,18.8,19.25,19.35,-0.46,-2.3773,1.1696,3866782,73522482.16,6260194811.76,6245237199.73
2019-01-21,'300458,全志科技,19.35,19.4,18.98,19.16,19.09,0.26,1.362,1.5228,5034518,96703780.47,6412640000.4,6397318147.95
2019-01-18,'300458,全志科技,19.09,19.09,18.55,18.98,19.0,0.09,0.4737,1.7268,5708960,107587001.55,6326475328.56,6311359351.13
2019-01-17,'300458,全志科技,19.0,19.42,18.9,19.32,19.41,-0.41,-2.1123,1.689,5584176,106493389.15,6296649096.0,6281604383.0
2019-01-16,'300458,全志科技,19.41,19.83,19.37,19.61,19.57,-0.16,-0.8176,1.5419,5097591,99613603.11,6432524155.44,6417154793.37
2019-01-15,'300458,全志科技,19.57,19.7,19.25,19.25,19.53,0.04,0.2048,1.4407,4763074,93012322.25,6485548568.88,6470052514.49
2019-01-14,'300458,全志科技,19.53,20.55,19.18,20.55,20.55,-1.02,-4.9635,2.8692,9485760,186430518.09,6472292465.52,6456828084.21
2019-01-11,'300458,全志科技,20.55,20.59,20.2,20.2,20.29,0.26,1.2814,1.1141,3683321,75304404.03,6810323101.2,6794051056.35
2019-01-10,'300458,全志科技,20.29,20.76,20.2,20.48,20.53,-0.24,-1.169,1.3867,4584528,93738607.69,6724158429.36,6708092259.53
2019-01-09,'300458,全志科技,20.53,21.21,20.24,20.5,20.5,0.03,0.1463,2.1024,6950628,143733779.2,6803695049.52,6787438841.21
2019-01-08,'300458,全志科技,20.5,20.66,20.2,20.31,20.43,0.07,0.3426,1.3551,4480095,91626421.48,6793752972.0,6777520518.5
2019-01-07,'300458,全志科技,20.43,20.59,19.96,19.96,19.96,0.47,2.3547,1.5918,5262580,107230814.02,6770554791.12,6754377765.51
2019-01-04,'300458,全志科技,19.96,19.99,18.83,19.2,19.5,0.46,2.359,1.4835,4904731,95769915.15,6614795576.64,6598990709.72
2019-01-03,'300458,全志科技,19.5,20.8,19.5,20.24,20.2,-0.7,-3.4653,1.6065,5311279,106598499.37,6462350388.0,6446909761.5
2019-01-02,'300458,全志科技,20.2,20.49,19.93,20.09,20.0,0.2,1.0,0.8528,2819303,57104363.31,6694332196.8,6678337291.4
2018-12-28,'300458,全志科技,20.0,20.33,19.78,19.97,19.9,0.1,0.5025,0.8138,2690384,54023159.73,6628051680.0,6612215140.0
2018-12-27,'300458,全志科技,19.9,20.66,19.9,20.57,20.27,-0.37,-1.8254,1.1649,3851312,78507800.56,6594911421.6,6579154064.3
2018-12-26,'300458,全志科技,20.27,20.77,20.15,20.25,20.25,0.02,0.0988,1.3281,4390825,89917742.72,6717530377.68,6701480044.39
2018-12-25,'300458,全志科技,20.25,20.42,19.61,20.11,20.5,-0.25,-1.2195,1.3519,4469492,89483709.03,6710902326.0,6694867829.25
2018-12-24,'300458,全志科技,20.5,20.53,19.96,20.0,20.09,0.41,2.0408,0.9451,3124722,63461044.94,6793752972.0,6777520518.5
2018-12-21,'300458,全志科技,20.09,20.35,19.97,20.23,20.33,-0.24,-1.1805,0.7434,2457794,49390066.87,6657877912.56,6641970108.13
2018-12-20,'300458,全志科技,20.33,20.52,19.95,20.2,20.16,0.17,0.8433,1.0011,3309589,66996611.8,6737414532.72,6721316689.81
2018-12-19,'300458,全志科技,20.16,20.8,20.0,20.65,20.81,-0.65,-3.1235,1.3137,4343197,88127418.0,6681076093.44,6665112861.12
2018-12-18,'300458,全志科技,20.81,20.94,19.97,20.16,20.45,0.36,1.7604,1.4348,4743502,96822759.42,6896487773.04,6880009853.17
2018-12-17,'300458,全志科技,20.45,20.59,19.91,20.13,20.43,0.02,0.0979,1.0789,3567081,72253382.32,6777182842.8,6760989980.65
2018-12-14,'300458,全志科技,20.43,21.17,20.4,20.99,20.86,-0.43,-2.0614,1.3585,4491440,93283873.57,6770554791.12,6754377765.51
2018-12-13,'300458,全志科技,20.86,21.36,20.65,21.08,21.0,-0.14,-0.6667,1.4842,4907008,103259055.92,6913057902.24,6896540391.02
2018-12-12,'300458,全志科技,21.0,21.45,20.81,21.32,21.09,-0.09,-0.4267,1.1704,3869568,81705955.9,6959454264.0,6942825897.0
2018-12-11,'300458,全志科技,21.09,21.17,20.71,20.71,20.65,0.44,2.1308,1.4551,4810741,100884623.91,6989280496.56,6972580865.13
2018-12-10,'300458,全志科技,20.65,22.58,20.51,22.45,22.69,-2.04,-8.9907,3.6669,12123305,257905784.11,6843463359.6,6827112132.05
2018-12-07,'300458,全志科技,22.69,23.08,22.57,22.93,23.15,-0.46,-1.987,2.2364,7393778,168662494.98,7519524630.96,7501558076.33
2018-12-06,'300458,全志科技,23.15,23.84,22.33,22.48,22.58,0.57,2.5244,3.5892,11866301,276136395.17,7671969819.6,7653639024.55
2018-12-05,'300458,全志科技,22.58,23.05,22.51,22.6,23.24,-0.66,-2.8399,1.968,6506335,147971634.36,7483070346.72,7465190893.06
2018-12-04,'300458,全志科技,23.24,23.29,22.73,23.01,23.05,0.19,0.8243,1.9813,6550286,150861405.05,7701796052.16,7683393992.68
2018-12-03,'300458,全志科技,23.05,23.28,22.51,22.96,22.17,0.88,3.9693,2.8547,9437897,216585608.67,7638829561.2,7620577948.85
2018-11-30,'300458,全志科技,22.17,22.47,21.53,22.3,22.53,-0.36,-1.5979,2.6901,8893884,195208799.87,7347195287.28,7329640482.69
2018-11-29,'300458,全志科技,22.53,23.91,22.48,23.15,23.09,-0.56,-2.4253,3.4922,11545689,269577980.14,7466500217.52,7448660355.21
2018-11-28,'300458,全志科技,23.09,23.37,22.56,22.87,22.81,0.28,1.2275,2.7711,9161542,210733590.66,7652085664.56,7633802379.13
2018-11-27,'300458,全志科技,22.81,23.08,22.31,22.81,22.92,-0.11,-0.4799,2.5866,8551630,193365818.08,7559292941.04,7541231367.17
2018-11-26,'300458,全志科技,22.92,23.24,22.39,22.63,22.88,0.04,0.1748,3.1425,10389540,237367579.33,7595747225.28,7577598550.44
2018-11-23,'300458,全志科技,22.88,23.15,21.93,22.2,22.43,0.45,2.0062,4.8088,15898266,360403170.93,7582491121.92,7564374120.16
2018-11-22,'300458,全志科技,22.43,22.9,21.29,21.41,21.35,1.08,5.0585,4.0213,13294832,296812172.79,7433359959.12,7415599279.51
2018-11-21,'300458,全志科技,21.35,21.71,20.84,21.58,21.89,-0.54,-2.4669,2.4069,7957560,169033847.09,7075445168.4,7058539661.95
2018-11-20,'300458,全志科技,21.89,22.32,21.1,21.39,21.64,0.25,1.1553,3.3906,11209621,244907710.8,7254402563.76,7237069470.73
2018-11-19,'300458,全志科技,21.64,21.8,21.31,21.51,21.76,-0.12,-0.5515,1.8133,5994835,129125722.64,7171551917.76,7154416781.48
2018-11-16,'300458,全志科技,21.76,22.11,21.53,21.57,21.59,0.17,0.7874,2.8688,9484422,206800332.43,7211320227.84,7194090072.32
2018-11-15,'300458,全志科技,21.59,21.77,20.9,20.99,21.14,0.45,2.1287,3.0208,9987100,214400438.17,7154981788.56,7137886243.63
2018-11-14,'300458,全志科技,21.14,21.49,20.44,20.64,20.57,0.57,2.771,3.2547,10760246,226026714.05,7005850625.76,6989111402.98
2018-11-13,'300458,全志科技,20.57,20.8,20.19,20.29,20.58,-0.01,-0.0486,2.2054,7291430,149352115.16,6816951152.88,6800663271.49
2018-11-12,'300458,全志科技,20.58,20.62,19.42,19.42,19.63,0.95,4.8395,2.2908,7573544,153077798.88,6820265178.72,6803969379.06
