日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600218,全柴动力,18.04,19.37,17.96,18.83,19.22,-1.18,-6.1394,18.8569,69535654,1290271677.0,6652340200.0,6652340200.0
2019-04-25,'600218,全柴动力,19.22,20.6,19.22,20.6,21.35,-2.13,-9.9766,18.9723,69961230,1362457990.0,7087471100.0,7087471100.0
2019-04-24,'600218,全柴动力,21.35,22.19,19.85,20.31,20.5,0.85,4.1463,27.0284,99668460,2096951572.0,7872919250.0,7872919250.0
2019-04-23,'600218,全柴动力,20.5,21.77,20.5,21.5,22.78,-2.28,-10.0088,24.861,91676103,1910012616.0,7559477500.0,7559477500.0
2019-04-22,'600218,全柴动力,22.78,24.47,21.38,23.4,22.66,0.12,0.5296,37.5003,138284060,3210536155.0,8400238900.0,8400238900.0
2019-04-19,'600218,全柴动力,22.66,22.66,19.15,19.8,20.6,2.06,10.0,34.2994,126480773,2656302021.0,8355988300.0,8355988300.0
2019-04-18,'600218,全柴动力,20.6,22.51,19.45,21.9,20.46,0.14,0.6843,39.7477,146571692,3114945284.0,7596353000.0,7596353000.0
2019-04-17,'600218,全柴动力,20.46,20.46,19.8,20.0,18.6,1.86,10.0,17.6189,64970601,1315913424.0,7544727300.0,7544727300.0
2019-04-16,'600218,全柴动力,18.6,18.6,16.91,17.0,16.91,1.69,9.9941,25.6145,94454845,1712216415.0,6858843000.0,6858843000.0
2019-04-15,'600218,全柴动力,16.91,16.91,15.5,16.1,15.37,1.54,10.0195,31.9293,117740892,1942476478.0,6235647050.0,6235647050.0
2019-04-12,'600218,全柴动力,15.37,16.01,15.0,15.57,14.55,0.82,5.6357,37.7136,139070851,2206857044.0,5667764350.0,5667764350.0
2019-04-11,'600218,全柴动力,14.55,14.55,13.08,13.2,13.23,1.32,9.9773,29.4021,108421660,1548461237.0,5365385250.0,5365385250.0
2019-04-10,'600218,全柴动力,13.23,13.73,11.95,12.16,12.48,0.75,6.0096,26.4181,97417914,1292124069.0,4878628650.0,4878628650.0
2019-04-09,'600218,全柴动力,12.48,12.69,11.31,11.79,11.87,0.61,5.139,16.957,62529818,748156746.0,4602062400.0,4602062400.0
2019-04-08,'600218,全柴动力,11.87,12.08,11.2,11.73,11.7,0.17,1.453,12.555,46297256,540331340.0,4377121850.0,4377121850.0
2019-04-04,'600218,全柴动力,11.7,12.15,11.5,11.85,11.69,0.01,0.0855,12.9028,47579595,560758333.0,4314433500.0,4314433500.0
2019-04-03,'600218,全柴动力,11.69,11.98,11.52,11.57,11.7,-0.01,-0.0855,8.7783,32370559,379295832.0,4310745950.0,4310745950.0
2019-04-02,'600218,全柴动力,11.7,12.19,11.55,11.81,11.79,-0.09,-0.7634,13.7623,50749053,602103132.0,4314433500.0,4314433500.0
2019-04-01,'600218,全柴动力,11.79,11.99,11.35,11.36,11.36,0.43,3.7852,11.8575,43725014,512696358.0,4347621450.0,4347621450.0
2019-03-29,'600218,全柴动力,11.36,11.59,10.53,11.03,11.61,-0.25,-2.1533,11.9774,44167100,487875440.0,4189056800.0,4189056800.0
2019-03-28,'600218,全柴动力,11.61,12.2,11.61,12.07,12.9,-1.29,-10.0,14.9147,54998751,646080103.0,4281245550.0,4281245550.0
2019-03-27,'600218,全柴动力,12.9,13.65,12.68,13.19,12.68,0.22,1.735,15.701,57898187,759516532.0,4756939500.0,4756939500.0
2019-03-26,'600218,全柴动力,12.68,13.38,12.58,13.0,12.83,-0.15,-1.1691,15.4545,56989067,739050144.0,4675813400.0,4675813400.0
2019-03-25,'600218,全柴动力,12.83,13.25,12.25,12.26,12.46,0.37,2.9695,17.1031,63068688,812288603.0,4731126650.0,4731126650.0
2019-03-22,'600218,全柴动力,12.46,12.92,11.95,12.0,12.66,-0.2,-1.5798,12.1905,44953210,558238674.0,4594687300.0,4594687300.0
2019-03-21,'600218,全柴动力,12.66,13.22,12.2,12.37,12.38,0.28,2.2617,15.7409,58045184,738630599.0,4668438300.0,4668438300.0
2019-03-20,'600218,全柴动力,12.38,13.05,11.86,12.86,12.95,-0.57,-4.4015,13.8599,51108995,638551554.0,4565186900.0,4565186900.0
2019-03-19,'600218,全柴动力,12.95,13.3,12.5,12.55,13.28,-0.33,-2.4849,14.2596,52582851,675486254.0,4775377250.0,4775377250.0
2019-03-18,'600218,全柴动力,13.28,14.28,12.77,13.97,13.28,0.0,0.0,19.1937,70777618,947926195.0,4897066400.0,4897066400.0
2019-03-15,'600218,全柴动力,13.28,14.65,12.78,13.8,13.61,-0.33,-2.4247,28.6964,105819336,1429541591.0,4897066400.0,4897066400.0
2019-03-14,'600218,全柴动力,13.61,13.94,11.93,12.1,12.67,0.94,7.4191,29.2324,107796081,1459789157.0,5018755550.0,5018755550.0
2019-03-13,'600218,全柴动力,12.67,13.4,11.84,12.2,12.4,0.27,2.1774,16.991,62655239,792357079.0,4672125850.0,4672125850.0
2019-03-12,'600218,全柴动力,12.4,12.7,11.82,12.26,12.24,0.16,1.3072,12.7309,46945713,578602501.0,4572562000.0,4572562000.0
2019-03-11,'600218,全柴动力,12.24,12.49,11.48,11.85,12.74,-0.5,-3.9246,13.0251,48030598,576092627.0,4513561200.0,4513561200.0
2019-03-08,'600218,全柴动力,12.74,13.3,12.74,13.04,14.16,-1.42,-10.0282,16.5328,60965655,783626786.0,4697938700.0,4697938700.0
2019-03-07,'600218,全柴动力,14.16,14.8,13.31,13.45,13.91,0.25,1.7973,23.8912,88100134,1236142221.0,5221570800.0,5221570800.0
2019-03-06,'600218,全柴动力,13.91,14.47,12.8,13.72,13.81,0.1,0.7241,23.7834,87702319,1207979074.0,5129382050.0,5129382050.0
2019-03-05,'600218,全柴动力,13.81,14.17,12.77,12.82,13.18,0.63,4.78,20.9457,77238222,1055314180.0,5092506550.0,5092506550.0
2019-03-04,'600218,全柴动力,13.18,13.53,11.95,12.87,12.32,0.86,6.9805,24.998,92181192,1174402421.0,4860190900.0,4860190900.0
2019-03-01,'600218,全柴动力,12.32,12.32,11.33,11.33,11.2,1.12,10.0,21.5906,79616402,961393643.0,4543061600.0,4543061600.0
2019-02-28,'600218,全柴动力,11.2,11.7,10.97,11.3,11.44,-0.24,-2.0979,13.0702,48197128,547946451.0,4130056000.0,4130056000.0
2019-02-27,'600218,全柴动力,11.44,12.37,11.44,11.88,12.71,-1.27,-9.9921,18.5064,68243231,804889568.0,4218557200.0,4218557200.0
2019-02-26,'600218,全柴动力,12.71,14.7,12.71,14.5,14.12,-1.41,-9.9858,29.9225,110340677,1512007330.0,4686876050.0,4686876050.0
2019-02-25,'600218,全柴动力,14.12,14.12,12.15,12.2,12.84,1.28,9.9688,25.3603,93517442,1255279759.0,5206820600.0,5206820600.0
2019-02-22,'600218,全柴动力,12.84,13.55,12.3,12.59,12.32,0.52,4.2208,31.8197,117336723,1524914603.0,4734814200.0,4734814200.0
2019-02-21,'600218,全柴动力,12.32,12.32,11.3,11.3,11.2,1.12,10.0,20.4301,75337150,896075062.0,4543061600.0,4543061600.0
2019-02-20,'600218,全柴动力,11.2,12.06,10.36,12.0,10.96,0.24,2.1898,34.2471,126287756,1432781021.0,4130056000.0,4130056000.0
2019-02-19,'600218,全柴动力,10.96,10.96,10.55,10.69,9.96,1.0,10.0402,7.8151,28818573,313008418.0,4041554800.0,4041554800.0
2019-02-18,'600218,全柴动力,9.96,9.96,8.88,8.96,9.05,0.91,10.0552,16.9414,62472262,602237716.0,3672799800.0,3672799800.0
2019-02-15,'600218,全柴动力,9.05,9.75,8.61,8.69,8.95,0.1,1.1173,29.7436,109680868,1003877314.0,3337232750.0,3337232750.0
2019-02-14,'600218,全柴动力,8.95,8.95,7.85,8.06,8.14,0.81,9.9509,29.433,108535726,913920402.0,3300357250.0,3300357250.0
2019-02-13,'600218,全柴动力,8.14,8.2,7.72,7.99,8.16,-0.02,-0.2451,21.6669,79897925,637762555.0,3001665700.0,3001665700.0
2019-02-12,'600218,全柴动力,8.16,8.39,7.62,7.65,7.72,0.44,5.6995,25.6286,94506572,760512364.0,3009040800.0,3009040800.0
2019-02-11,'600218,全柴动力,7.72,7.86,7.39,7.51,7.46,0.26,3.4853,21.1642,78043885,595696428.0,2846788600.0,2846788600.0
2019-02-01,'600218,全柴动力,7.46,8.38,7.33,8.33,8.14,-0.68,-8.3538,24.9817,92121398,705828042.0,2750912300.0,2750912300.0
2019-01-31,'600218,全柴动力,8.14,8.88,8.14,8.14,9.04,-0.9,-9.9558,26.4639,97586990,808974856.0,3001665700.0,3001665700.0
2019-01-30,'600218,全柴动力,9.04,9.04,9.04,9.04,10.04,-1.0,-9.9602,1.9508,7193700,65031048.0,3333545200.0,3333545200.0
2019-01-29,'600218,全柴动力,10.04,10.04,8.27,9.17,9.13,0.91,9.9671,34.4726,127119402,1167920502.0,3702300200.0,3702300200.0
2019-01-28,'600218,全柴动力,9.13,10.58,8.74,10.05,9.71,-0.58,-5.9732,32.9545,121521521,1168942532.0,3366733150.0,3366733150.0
2019-01-25,'600218,全柴动力,9.71,9.71,8.52,8.79,8.83,0.88,9.966,21.4891,79242139,734828279.0,3580611050.0,3580611050.0
2019-01-24,'600218,全柴动力,8.83,8.83,8.4,8.53,8.03,0.8,9.9626,18.6016,68594319,599831634.0,3256106650.0,3256106650.0
2019-01-23,'600218,全柴动力,8.03,8.03,7.13,7.18,7.3,0.73,10.0,12.6799,46757774,362332649.0,2961102650.0,2961102650.0
2019-01-22,'600218,全柴动力,7.3,7.3,6.8,6.99,6.64,0.66,9.9398,21.8466,80560395,576487613.0,2691911500.0,2691911500.0
2019-01-21,'600218,全柴动力,6.64,6.64,6.3,6.3,6.04,0.6,9.9338,6.116,22553053,146729671.0,2448533200.0,2448533200.0
2019-01-18,'600218,全柴动力,6.04,6.74,6.01,6.27,6.27,-0.23,-3.6683,15.6055,57545897,363898282.0,2227280200.0,2227280200.0
2019-01-17,'600218,全柴动力,6.27,6.27,5.71,5.71,5.7,0.57,10.0,17.8703,65897488,400496811.0,2312093850.0,2312093850.0
2019-01-16,'600218,全柴动力,5.7,6.1,5.61,5.89,6.09,-0.39,-6.4039,11.2416,41453859,242272916.0,2101903500.0,2101903500.0
2019-01-15,'600218,全柴动力,6.09,6.09,5.3,5.43,5.54,0.55,9.9278,13.8687,51141380,302228067.0,2245717950.0,2245717950.0
2019-01-14,'600218,全柴动力,5.54,5.54,5.44,5.54,5.04,0.5,9.9206,4.8002,17700808,98050342.0,2042902700.0,2042902700.0
2019-01-11,'600218,全柴动力,5.04,5.13,4.86,4.9,4.91,0.13,2.6477,1.4619,5390819,27060213.0,1858525200.0,1858525200.0
2019-01-10,'600218,全柴动力,4.91,4.93,4.83,4.84,4.83,0.08,1.6563,0.6222,2294439,11233424.0,1810587050.0,1810587050.0
2019-01-09,'600218,全柴动力,4.83,4.94,4.77,4.78,4.78,0.05,1.046,1.0556,3892736,18986500.0,1781086650.0,1781086650.0
2019-01-08,'600218,全柴动力,4.78,4.81,4.74,4.77,4.78,0.0,0.0,0.5278,1946136,9294681.0,1762648900.0,1762648900.0
2019-01-07,'600218,全柴动力,4.78,4.82,4.68,4.69,4.66,0.12,2.5751,0.7895,2911237,13867223.0,1762648900.0,1762648900.0
2019-01-04,'600218,全柴动力,4.66,4.68,4.48,4.53,4.57,0.09,1.9694,0.6168,2274514,10489955.0,1718398300.0,1718398300.0
