日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600738,兰州民百,8.93,9.14,8.62,8.73,8.84,0.09,1.0181,3.5749,15059606,133263521.0,6993042243.48,3761837092.29
2019-04-25,'600738,兰州民百,8.84,9.49,8.84,9.49,9.54,-0.7,-7.3375,4.9079,20674777,188128254.0,6922563654.24,3723923840.52
2019-04-24,'600738,兰州民百,9.54,9.55,8.82,9.3,9.24,0.3,3.2468,5.1343,21628813,200333240.0,7470730459.44,4018804687.62
2019-04-23,'600738,兰州民百,9.24,9.68,9.19,9.55,9.66,-0.42,-4.3478,4.8714,20521121,192241069.0,7235801828.64,3892427181.72
2019-04-22,'600738,兰州民百,9.66,10.31,9.48,10.27,10.07,-0.41,-4.0715,7.3219,30844102,301925183.0,7564701911.76,4069355689.98
2019-04-19,'600738,兰州民百,10.07,10.23,9.37,9.37,9.37,0.7,7.4707,8.5163,35875480,352954667.0,7885771040.52,4242071614.71
2019-04-18,'600738,兰州民百,9.37,9.52,8.87,8.9,8.93,0.44,4.9272,7.6358,32166328,296981863.0,7337604235.32,3947190767.61
2019-04-17,'600738,兰州民百,8.93,9.13,8.86,9.0,9.0,-0.07,-0.7778,3.8119,16057946,143672521.0,6993042243.48,3761837092.29
2019-04-16,'600738,兰州民百,9.0,9.08,8.56,8.8,8.85,0.15,1.6949,4.9738,20952352,187499557.0,7047858924.0,3791325177.0
2019-04-15,'600738,兰州民百,8.85,9.24,8.78,8.78,8.7,0.15,1.7241,5.0488,21268298,190705033.0,6930394608.6,3728136424.05
2019-04-12,'600738,兰州民百,8.7,8.97,8.63,8.83,8.82,-0.12,-1.3605,3.889,16382908,143141405.0,6812930293.2,3664947671.1
2019-04-11,'600738,兰州民百,8.82,9.26,8.69,8.76,8.86,-0.04,-0.4515,8.3121,35015537,313651272.0,6906901745.52,3715498673.46
2019-04-10,'600738,兰州民百,8.86,8.96,8.24,8.38,8.39,0.47,5.6019,9.2036,38770805,339969641.0,6938225562.96,3732349007.58
2019-04-09,'600738,兰州民百,8.39,8.45,7.87,7.95,7.97,0.42,5.2698,7.1583,30154788,248868818.0,6570170708.04,3534357581.67
2019-04-08,'600738,兰州民百,7.97,8.24,7.82,8.2,8.19,-0.22,-2.6862,5.1118,21533701,173086572.0,6241270624.92,3357429073.41
2019-04-04,'600738,兰州民百,8.19,8.34,8.15,8.28,8.28,-0.09,-1.087,4.7013,19804519,162592700.0,6413551620.84,3450105911.07
2019-04-03,'600738,兰州民百,8.28,8.3,8.14,8.23,8.22,0.06,0.7299,5.2785,22235967,182798419.0,6484030210.08,3488019162.84
2019-04-02,'600738,兰州民百,8.22,8.29,8.1,8.15,8.15,0.07,0.8589,6.5,27381898,224176627.0,6437044483.92,3462743661.66
2019-04-01,'600738,兰州民百,8.15,8.29,7.87,7.88,7.9,0.25,3.1646,7.5874,31962734,260233824.0,6382227803.4,3433255576.95
2019-03-29,'600738,兰州民百,7.9,7.95,7.69,7.76,7.79,0.11,1.4121,4.5242,19058380,149563201.0,6186453944.4,3327940988.7
2019-03-28,'600738,兰州民百,7.79,8.04,7.76,7.97,8.09,-0.3,-3.7083,5.5201,23253994,183951510.0,6100313446.44,3281602569.87
