日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000426,兴业矿业,5.81,5.89,5.72,5.8,5.83,-0.02,-0.3431,1.2606,16771115,97407343.29,10855988236.2,7729948738.33
2019-04-25,'000426,兴业矿业,5.83,6.07,5.81,6.01,6.03,-0.2,-3.3167,1.9002,25280970,149747772.15,10893358247.3,7756557856.19
2019-04-24,'000426,兴业矿业,6.03,6.07,5.92,5.96,5.98,0.05,0.8361,1.395,18560468,111411233.65,11267058358.7,8022649034.79
2019-04-23,'000426,兴业矿业,5.98,6.14,5.97,6.14,6.12,-0.14,-2.2876,1.886,25092219,151167373.37,11173633330.9,7956126240.14
2019-04-22,'000426,兴业矿业,6.12,6.3,6.07,6.3,6.3,-0.18,-2.8571,2.0667,27496682,169313514.92,11435223408.8,8142390065.16
2019-04-19,'000426,兴业矿业,6.3,6.32,6.14,6.26,6.29,0.01,0.159,1.6308,21696458,134987361.97,11771553509.1,8381872125.9
2019-04-18,'000426,兴业矿业,6.29,6.46,6.26,6.36,6.39,-0.1,-1.5649,2.1158,28150063,178240497.31,11752868503.5,8368567566.97
2019-04-17,'000426,兴业矿业,6.39,6.44,6.13,6.19,6.24,0.15,2.4038,3.1124,41409684,262099239.9,11939718559.2,8501613156.27
2019-04-16,'000426,兴业矿业,6.24,6.25,5.78,6.05,6.16,0.08,1.2987,4.9659,66068670,398814790.97,11659443475.7,8302044772.32
2019-04-15,'000426,兴业矿业,6.16,6.89,6.09,6.8,6.74,-0.58,-8.6053,6.498,86452737,551497265.33,11509963431.1,8195608300.88
2019-04-12,'000426,兴业矿业,6.74,6.8,6.65,6.75,6.8,-0.06,-0.8824,1.5993,21278303,143245510.93,12593693754.2,8967272718.82
2019-04-11,'000426,兴业矿业,6.8,6.97,6.76,6.9,6.87,-0.07,-1.0189,2.3721,31559336,216142526.14,12705803787.6,9047100072.4
2019-04-10,'000426,兴业矿业,6.87,6.95,6.76,6.94,6.97,-0.1,-1.4347,2.5677,34161968,234304724.84,12836598826.6,9140231984.91
2019-04-09,'000426,兴业矿业,6.97,7.15,6.88,7.15,7.17,-0.2,-2.7894,3.7133,49404280,345989254.57,13023448882.3,9273277574.21
2019-04-08,'000426,兴业矿业,7.17,7.19,6.89,7.03,7.01,0.16,2.2825,6.28,83552306,588620817.36,13397148993.7,9539368752.81
2019-04-04,'000426,兴业矿业,7.01,7.15,6.87,6.93,6.95,0.06,0.8633,5.8099,77298077,541202003.29,13098188904.6,9326495809.93
2019-04-03,'000426,兴业矿业,6.95,7.15,6.81,6.93,6.76,0.19,2.8107,7.4262,98802323,688528993.21,12986078871.1,9246668456.35
2019-04-02,'000426,兴业矿业,6.76,6.79,6.51,6.64,6.59,0.17,2.5797,4.6336,61647540,408426322.04,12631063765.3,8993881836.68
2019-04-01,'000426,兴业矿业,6.59,6.62,6.27,6.3,6.26,0.33,5.2716,3.618,48135349,312725591.29,12313418670.6,8767704334.87
2019-03-29,'000426,兴业矿业,6.26,6.28,6.05,6.16,6.15,0.11,1.7886,2.3588,31382208,194784280.87,11696813486.8,8328653890.18
2019-03-28,'000426,兴业矿业,6.15,6.32,6.13,6.26,6.31,-0.16,-2.5357,1.7547,23345695,144934735.74,11491278425.5,8182303741.95
2019-03-27,'000426,兴业矿业,6.31,6.65,6.18,6.61,6.58,-0.27,-4.1033,3.3685,44816836,283896775.1,11790238514.7,8395176684.83
2019-03-26,'000426,兴业矿业,6.58,6.87,6.54,6.65,6.62,-0.04,-0.6042,3.6609,48706371,328013025.53,12294733665.1,8754399775.94
2019-03-25,'000426,兴业矿业,6.62,6.78,6.51,6.58,6.61,0.01,0.1513,2.8853,38387962,256631876.58,12369473687.3,8807618011.66
2019-03-22,'000426,兴业矿业,6.61,6.77,6.5,6.7,6.78,-0.17,-2.5074,3.4393,45757863,302318885.51,12350788681.8,8794313452.73
2019-03-21,'000426,兴业矿业,6.78,6.86,6.7,6.75,6.68,0.1,1.497,3.737,49719703,337792952.1,12668433776.5,9020490954.54
2019-03-20,'000426,兴业矿业,6.68,6.81,6.55,6.76,6.82,-0.14,-2.0528,3.1367,41733040,278206819.54,12481583720.8,8887445365.24
2019-03-19,'000426,兴业矿业,6.82,6.94,6.71,6.76,6.79,0.03,0.4418,3.2451,43174900,294509793.52,12743173798.7,9073709190.26
2019-03-18,'000426,兴业矿业,6.79,6.79,6.51,6.53,6.54,0.25,3.8226,3.3892,45092405,302077511.58,12687118782.0,9033795513.47
2019-03-15,'000426,兴业矿业,6.54,6.61,6.41,6.52,6.48,0.06,0.9259,2.5708,34202851,222640204.82,12219993642.8,8701181540.22
2019-03-14,'000426,兴业矿业,6.48,6.86,6.34,6.7,6.78,-0.3,-4.4248,3.333,44344596,291259201.58,12107883609.4,8621354186.64
2019-03-13,'000426,兴业矿业,6.78,6.98,6.61,6.97,6.99,-0.21,-3.0043,3.8395,51083300,347961655.54,12668433776.5,9020490954.54
2019-03-12,'000426,兴业矿业,6.99,7.08,6.8,6.88,6.82,0.17,2.4927,4.8817,64949081,450638723.98,13060818893.4,9299886692.07
2019-03-11,'000426,兴业矿业,6.82,6.88,6.6,6.6,6.59,0.23,3.4901,3.9313,52304580,353911719.74,12743173798.7,9073709190.26
2019-03-08,'000426,兴业矿业,6.59,7.26,6.58,7.08,7.31,-0.72,-9.8495,7.7504,103116053,720963290.31,12313418670.6,8767704334.87
2019-03-07,'000426,兴业矿业,7.31,7.5,6.87,6.96,6.98,0.33,4.7278,8.7731,116722403,838649828.96,13658739071.7,9725632577.83
2019-03-06,'000426,兴业矿业,6.98,7.11,6.79,6.88,6.89,0.09,1.3062,7.4915,99671365,690071714.31,13042133887.9,9286582133.14
