日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'601166,兴业银行,18.95,19.27,18.95,19.17,19.25,-0.3,-1.5584,0.4191,79857238,1523951993.0,3.93670914731e+11,3.61041781431e+11
2019-04-25,'601166,兴业银行,19.25,19.59,19.18,19.38,19.4,-0.15,-0.7732,0.3818,72735667,1408763586.0,3.99903171957e+11,3.66757482457e+11
2019-04-24,'601166,兴业银行,19.4,19.72,19.12,19.53,19.41,-0.01,-0.0515,0.4771,90899002,1769139608.0,4.03019300569e+11,3.69615332969e+11
2019-04-23,'601166,兴业银行,19.41,19.64,19.32,19.36,19.37,0.04,0.2065,0.4297,81859819,1593414571.0,4.03227042477e+11,3.69805856337e+11
2019-04-22,'601166,兴业银行,19.37,20.28,19.29,20.18,20.3,-0.93,-4.5813,0.8338,158855209,3131988328.0,4.02396074847e+11,3.69043762867e+11
2019-04-19,'601166,兴业银行,20.3,20.49,19.9,20.26,20.13,0.17,0.8445,0.5404,102962499,2080087005.0,4.21716072245e+11,3.86762436045e+11
2019-04-18,'601166,兴业银行,20.13,20.36,20.0,20.27,20.33,-0.2,-0.9838,0.3736,71188912,1432193704.0,4.18184459818e+11,3.83523538798e+11
2019-04-17,'601166,兴业银行,20.33,20.61,20.1,20.4,20.6,-0.27,-1.3107,0.8088,154095230,3136685915.0,4.22339297968e+11,3.87334006148e+11
2019-04-16,'601166,兴业银行,20.6,20.66,19.12,19.16,19.16,1.44,7.5157,1.6504,314439886,6303797715.0,4.27948329471e+11,3.92478137071e+11
2019-04-15,'601166,兴业银行,19.16,19.95,19.05,19.57,18.98,0.18,0.9484,0.9648,183823239,3613086270.0,3.98033494789e+11,3.65042772149e+11
2019-04-12,'601166,兴业银行,18.98,19.02,18.8,18.92,18.91,0.07,0.3702,0.2206,42026042,794407871.0,3.94294140454e+11,3.61613351534e+11
2019-04-11,'601166,兴业银行,18.91,19.41,18.72,19.2,19.18,-0.27,-1.4077,0.4225,80489010,1532203472.0,3.92839947101e+11,3.60279687961e+11
2019-04-10,'601166,兴业银行,19.18,19.37,18.83,19.1,19.1,0.08,0.4188,0.5363,102171929,1947695109.0,3.98448978604e+11,3.65423818884e+11
2019-04-09,'601166,兴业银行,19.1,19.67,19.01,19.42,19.46,-0.36,-1.8499,0.524,99827269,1923929950.0,3.96787043344e+11,3.63899631944e+11
2019-04-08,'601166,兴业银行,19.46,20.08,19.39,19.39,19.28,0.18,0.9336,0.8869,168973373,3342027236.0,4.04265752014e+11,3.70758473174e+11
2019-04-04,'601166,兴业银行,19.28,19.47,19.08,19.08,18.98,0.3,1.5806,0.5718,108948746,2100714384.0,4.00526397679e+11,3.67329052559e+11
2019-04-03,'601166,兴业银行,18.98,19.0,18.59,18.64,18.81,0.17,0.9038,0.4998,95219248,1793701367.0,3.94294140454e+11,3.61613351534e+11
2019-04-02,'601166,兴业银行,18.81,19.0,18.74,18.74,18.65,0.16,0.8579,0.5619,107064229,2019656604.0,3.90762528026e+11,3.58374454286e+11
2019-04-01,'601166,兴业银行,18.65,18.74,18.36,18.36,18.17,0.48,2.6417,0.8642,164641483,3063146774.0,3.87438657506e+11,3.55326080406e+11
2019-03-29,'601166,兴业银行,18.17,18.2,17.5,17.52,17.53,0.64,3.6509,0.6879,131055151,2349504996.0,3.77467045946e+11,3.46180958766e+11
2019-03-28,'601166,兴业银行,17.53,17.58,17.32,17.53,17.63,-0.1,-0.5672,0.2835,54008961,942815313.0,3.64171563865e+11,3.33987463245e+11
2019-03-27,'601166,兴业银行,17.63,17.78,17.58,17.58,17.53,0.1,0.5705,0.3532,67296292,1190061841.0,3.6624898294e+11,3.3589269692e+11
2019-03-26,'601166,兴业银行,17.53,17.65,17.39,17.65,17.51,0.02,0.1142,0.3109,59241241,1037262590.0,3.64171563865e+11,3.33987463245e+11
2019-03-25,'601166,兴业银行,17.51,17.89,17.5,17.81,18.1,-0.59,-3.2597,0.4847,92343442,1635161350.0,3.6375608005e+11,3.3360641651e+11
2019-03-22,'601166,兴业银行,18.1,18.36,17.91,18.34,18.29,-0.19,-1.0388,0.4004,76291629,1381433181.0,3.76012852593e+11,3.44847295193e+11
2019-03-21,'601166,兴业银行,18.29,18.55,18.26,18.55,18.55,-0.26,-1.4016,0.4171,79458137,1462535316.0,3.79959948836e+11,3.48467239176e+11
2019-03-20,'601166,兴业银行,18.55,18.76,18.3,18.54,18.61,-0.06,-0.3224,0.3652,69578129,1288324462.0,3.85361238431e+11,3.53420846731e+11
2019-03-19,'601166,兴业银行,18.61,18.9,18.51,18.69,18.65,-0.04,-0.2145,0.4322,82350692,1540176156.0,3.86607689876e+11,3.54563986936e+11
2019-03-18,'601166,兴业银行,18.65,18.65,18.22,18.42,18.44,0.21,1.1388,0.5102,97203384,1792760265.0,3.87438657506e+11,3.55326080406e+11
2019-03-15,'601166,兴业银行,18.44,18.53,18.1,18.22,18.19,0.25,1.3744,0.4325,82399249,1512678465.0,3.83076077448e+11,3.51325089688e+11
2019-03-14,'601166,兴业银行,18.19,18.53,18.02,18.05,18.17,0.02,0.1101,0.4675,89067197,1629169921.0,3.77882529761e+11,3.46562005501e+11
2019-03-13,'601166,兴业银行,18.17,18.46,17.8,17.95,17.97,0.2,1.113,0.5677,108162645,1960784133.0,3.77467045946e+11,3.46180958766e+11
2019-03-12,'601166,兴业银行,17.97,18.37,17.83,18.17,17.92,0.05,0.279,0.5193,98935477,1793883885.0,3.73312207795e+11,3.42370491415e+11
2019-03-11,'601166,兴业银行,17.92,18.06,17.79,17.9,17.9,0.02,0.1117,0.5084,96863091,1735107642.0,3.72273498258e+11,3.41417874578e+11
2019-03-08,'601166,兴业银行,17.9,18.48,17.83,18.48,18.74,-0.84,-4.4824,0.9354,178206769,3232296593.0,3.71858014443e+11,3.41036827843e+11
2019-03-07,'601166,兴业银行,18.74,19.18,18.64,19.14,19.28,-0.54,-2.8008,0.7523,143321757,2701887750.0,3.89308334674e+11,3.57040790714e+11
2019-03-06,'601166,兴业银行,19.28,19.43,18.9,19.04,19.08,0.2,1.0482,0.6348,120934799,2317484979.0,4.00526397679e+11,3.67329052559e+11
