日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000401,冀东水泥,16.64,16.96,16.56,16.75,16.75,-0.11,-0.6567,1.9001,25599221,429100060.23,22422781289.0,22418078825.0
2019-04-25,'000401,冀东水泥,16.75,17.3,16.61,17.3,17.36,-0.61,-3.5138,2.2339,30096359,510820868.94,22571008809.5,22566275259.5
2019-04-24,'000401,冀东水泥,17.36,17.51,17.01,17.35,17.22,0.14,0.813,2.0225,27247368,470470364.76,23392997787.0,23388091851.0
2019-04-23,'000401,冀东水泥,17.22,17.46,16.91,17.12,17.17,0.05,0.2912,2.7146,36571897,628827497.88,23204344579.1,23199478207.1
2019-04-22,'000401,冀东水泥,17.17,18.43,16.8,18.43,18.6,-1.43,-7.6882,4.9223,66314953,1155900406.82,23136968433.4,23132116191.4
2019-04-19,'000401,冀东水泥,18.6,18.79,18.37,18.65,18.65,-0.05,-0.2681,1.3483,18165368,336681702.47,25063926200.4,25058669840.4
2019-04-18,'000401,冀东水泥,18.65,18.91,18.4,18.59,18.7,-0.05,-0.2674,1.8064,24336626,455285264.48,25131302346.1,25126031856.1
2019-04-17,'000401,冀东水泥,18.7,18.97,18.5,18.8,18.87,-0.17,-0.9009,2.1663,29185880,546197529.72,25198678491.8,25193393871.8
2019-04-16,'000401,冀东水泥,18.87,18.87,18.03,18.4,18.35,0.52,2.8338,2.387,32158468,596060429.5,25427757387.2,25422424725.2
2019-04-15,'000401,冀东水泥,18.35,19.55,18.35,19.07,18.58,-0.23,-1.2379,3.5866,48320783,918672338.26,24727045471.9,24721859761.9
2019-04-12,'000401,冀东水泥,18.58,18.64,18.2,18.62,18.42,0.16,0.8686,1.5978,21525686,397334297.32,25036975742.1,25031725034.1
2019-04-11,'000401,冀东水泥,18.42,19.27,18.41,19.19,19.02,-0.6,-3.1546,2.6924,36273136,680360718.26,24821372075.9,24816166583.9
2019-04-10,'000401,冀东水泥,19.02,20.08,18.8,20.0,19.62,-0.6,-3.0581,3.7102,49984895,963524925.71,25629885824.3,25624510772.3
