日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'603601,再升科技,8.8,9.02,8.8,8.95,9.0,-0.2,-2.2222,0.399,2156864,19138768.0,4757478774.4,4757478774.4
2019-04-25,'603601,再升科技,9.0,9.35,8.92,9.35,9.37,-0.37,-3.9488,0.59,3189540,28997028.0,4865603292.0,4865603292.0
2019-04-24,'603601,再升科技,9.37,9.42,9.1,9.32,9.29,0.08,0.8611,0.5415,2927219,27075011.0,5065633649.56,5065633649.56
2019-04-23,'603601,再升科技,9.29,9.48,9.23,9.41,9.43,-0.14,-1.4846,0.6503,3515864,32766106.0,5022383842.52,5022383842.52
2019-04-22,'603601,再升科技,9.43,9.69,9.39,9.52,9.66,-0.23,-2.381,0.7717,4171760,39735760.0,5098071004.84,5098071004.84
2019-04-19,'603601,再升科技,9.66,9.67,9.3,9.57,9.57,0.09,0.9404,1.0148,5486167,52097626.0,5222414200.08,5222414200.08
2019-04-18,'603601,再升科技,9.57,9.78,9.51,9.72,9.6,-0.03,-0.3125,0.9805,5300744,51012796.0,5173758167.16,5173758167.16
2019-04-17,'603601,再升科技,9.6,10.38,9.59,9.74,9.59,0.01,0.1043,3.0172,16311614,160987189.0,5189976844.8,5189976844.8
2019-04-16,'603601,再升科技,9.59,9.65,9.4,9.61,9.59,0.0,0.0,0.6486,3506670,33475069.0,5184570618.92,5184570618.92
2019-04-15,'603601,再升科技,9.59,9.75,9.44,9.68,9.49,0.1,1.0537,0.667,3605954,34458582.0,5184570618.92,5184570618.92
2019-04-12,'603601,再升科技,9.49,9.65,9.16,9.2,9.05,0.44,4.8619,1.2698,6865058,64939561.0,5130508360.12,5130508360.12
2019-04-11,'603601,再升科技,9.05,9.7,9.05,9.67,9.66,-0.61,-6.3147,0.8052,4352910,40666284.0,4892634421.4,4892634421.4
2019-04-10,'603601,再升科技,9.66,9.77,9.31,9.4,9.4,0.26,2.766,0.5268,2848220,27134877.0,5222414200.08,5222414200.08
2019-04-09,'603601,再升科技,9.4,9.54,9.29,9.45,9.43,-0.03,-0.3181,0.4974,2688996,25211543.0,5081852327.2,5081852327.2
2019-04-08,'603601,再升科技,9.43,10.09,9.32,9.58,9.55,-0.12,-1.2565,1.3141,7104381,69088427.0,5098071004.84,5098071004.84
2019-04-04,'603601,再升科技,9.55,9.62,9.41,9.6,9.58,-0.03,-0.3132,0.6428,3475097,33139122.0,5162945715.4,5162945715.4
