日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600313,农发种业,2.87,2.94,2.85,2.94,3.01,-0.14,-4.6512,2.1818,22241300,64352289.0,3105910162.81,2925669697.09
2019-04-25,'600313,农发种业,3.01,3.19,3.0,3.05,3.06,-0.05,-1.634,2.9783,30360234,94001311.0,3257417975.63,3068385292.07
2019-04-24,'600313,农发种业,3.06,3.07,3.0,3.05,3.06,0.0,0.0,1.1039,11253448,34216710.0,3311527908.78,3119355147.42
2019-04-23,'600313,农发种业,3.06,3.12,3.04,3.11,3.12,-0.06,-1.9231,1.4203,14478770,44506424.0,3311527908.78,3119355147.42
2019-04-22,'600313,农发种业,3.12,3.17,3.09,3.12,3.12,0.0,0.0,1.826,18613831,58305269.0,3376459828.56,3180518973.84
2019-04-19,'600313,农发种业,3.12,3.14,3.09,3.13,3.14,-0.02,-0.6369,1.5175,15469131,48111504.0,3376459828.56,3180518973.84
2019-04-18,'600313,农发种业,3.14,3.16,3.1,3.12,3.13,0.01,0.3195,2.0429,20824799,65384882.0,3398103801.82,3200906915.98
2019-04-17,'600313,农发种业,3.13,3.15,3.07,3.09,3.12,0.01,0.3205,2.2224,22655170,70574033.0,3387281815.19,3190712944.91
2019-04-16,'600313,农发种业,3.12,3.16,2.98,3.04,3.05,0.07,2.2951,2.6125,26632201,82074431.0,3376459828.56,3180518973.84
2019-04-15,'600313,农发种业,3.05,3.17,3.04,3.15,3.13,-0.08,-2.5559,2.439,24863458,77453069.0,3300705922.15,3109161176.35
2019-04-12,'600313,农发种业,3.13,3.17,3.11,3.12,3.11,0.02,0.6431,1.7942,18289532,57337356.0,3387281815.19,3190712944.91
2019-04-11,'600313,农发种业,3.11,3.19,3.09,3.13,3.14,-0.03,-0.9554,2.8142,28687938,90128481.0,3365637841.93,3170325002.77
2019-04-10,'600313,农发种业,3.14,3.2,3.11,3.16,3.22,-0.08,-2.4845,4.1494,42298610,132901466.0,3398103801.82,3200906915.98
2019-04-09,'600313,农发种业,3.22,3.37,3.18,3.37,3.41,-0.19,-5.5718,9.2177,93964689,304690312.0,3484679694.86,3282458684.54
2019-04-08,'600313,农发种业,3.41,3.41,3.09,3.09,3.1,0.31,10.0,9.3413,95225249,314758132.0,3690297440.83,3476144134.87
2019-04-04,'600313,农发种业,3.1,3.14,3.0,3.0,3.01,0.09,2.99,5.1495,52494049,160820935.0,3354815855.3,3160131031.7
2019-04-03,'600313,农发种业,3.01,3.02,2.96,2.99,2.99,0.02,0.6689,1.8992,19359928,58006904.0,3257417975.63,3068385292.07
2019-04-02,'600313,农发种业,2.99,3.05,2.94,3.05,2.99,0.0,0.0,1.9918,20304535,60952669.0,3235774002.37,3047997349.93
2019-04-01,'600313,农发种业,2.99,3.01,2.9,2.92,2.89,0.1,3.4602,2.5326,25817331,76818672.0,3235774002.37,3047997349.93
2019-03-29,'600313,农发种业,2.89,2.89,2.78,2.81,2.81,0.08,2.847,1.6251,16566608,47273873.0,3127554136.07,2946057639.23
2019-03-28,'600313,农发种业,2.81,2.92,2.8,2.92,2.91,-0.1,-3.4364,1.6413,16730950,47521627.0,3040978243.03,2864505870.67
2019-03-27,'600313,农发种业,2.91,2.95,2.83,2.94,2.92,-0.01,-0.3425,1.9099,19469502,55893243.0,3149198109.33,2966445581.37
2019-03-26,'600313,农发种业,2.92,3.02,2.9,2.97,3.01,-0.09,-2.99,2.4846,25327453,74722840.0,3160020095.96,2976639552.44
2019-03-25,'600313,农发种业,3.01,3.12,2.93,2.97,3.03,-0.02,-0.6601,3.2313,32939941,100009283.0,3257417975.63,3068385292.07
2019-03-22,'600313,农发种业,3.03,3.05,2.96,2.98,2.99,0.04,1.3378,4.1102,41898983,126476220.0,3279061948.89,3088773234.21
2019-03-21,'600313,农发种业,2.99,3.02,2.89,2.92,2.92,0.07,2.3973,3.653,37238321,110666020.0,3235774002.37,3047997349.93
2019-03-20,'600313,农发种业,2.92,2.96,2.86,2.92,2.91,0.01,0.3436,1.9583,19962431,58102200.0,3160020095.96,2976639552.44
2019-03-19,'600313,农发种业,2.91,3.0,2.89,2.99,2.96,-0.05,-1.6892,2.0562,20960854,61261643.0,3149198109.33,2966445581.37
2019-03-18,'600313,农发种业,2.96,2.97,2.81,2.83,2.81,0.15,5.3381,2.6444,26956824,77866447.0,3203308042.48,3017415436.72
2019-03-15,'600313,农发种业,2.81,2.87,2.75,2.8,2.81,0.0,0.0,2.0378,20773100,58597426.0,3040978243.03,2864505870.67
2019-03-14,'600313,农发种业,2.81,2.91,2.78,2.89,2.94,-0.13,-4.4218,2.7761,28299064,80203036.0,3040978243.03,2864505870.67
2019-03-13,'600313,农发种业,2.94,3.13,2.93,3.05,3.0,-0.06,-2.0,4.1535,42340317,128114403.0,3181664069.22,2997027494.58
2019-03-12,'600313,农发种业,3.0,3.05,2.93,2.96,2.96,0.04,1.3514,3.4186,34848632,104517222.0,3246595989.0,3058191321.0
2019-03-11,'600313,农发种业,2.96,2.96,2.81,2.81,2.82,0.14,4.9645,3.1756,32372055,94179029.0,3203308042.48,3017415436.72
2019-03-08,'600313,农发种业,2.82,3.0,2.82,2.96,3.05,-0.23,-7.541,4.2337,43158394,126009745.0,3051800229.66,2874699841.74
2019-03-07,'600313,农发种业,3.05,3.15,2.91,2.95,2.95,0.1,3.3898,4.4794,45663011,138959990.0,3300705922.15,3109161176.35
2019-03-06,'600313,农发种业,2.95,2.96,2.86,2.9,2.9,0.05,1.7241,4.357,44415090,129158297.0,3192486055.85,3007221465.65
2019-03-05,'600313,农发种业,2.9,2.94,2.77,2.81,2.81,0.09,3.2028,3.7428,38154373,108478620.0,3138376122.7,2956251610.3
2019-03-04,'600313,农发种业,2.81,2.84,2.77,2.79,2.78,0.03,1.0791,3.412,34781652,97737187.0,3040978243.03,2864505870.67
2019-03-01,'600313,农发种业,2.78,2.79,2.73,2.76,2.78,0.0,0.0,2.0656,21056852,57950477.0,3008512283.14,2833923957.46
2019-02-28,'600313,农发种业,2.78,2.84,2.74,2.76,2.77,0.01,0.361,2.31,23548401,65465696.0,3008512283.14,2833923957.46
2019-02-27,'600313,农发种业,2.77,2.85,2.73,2.77,2.8,-0.03,-1.0714,3.9208,39968839,111266349.0,2997690296.51,2823729986.39
2019-02-26,'600313,农发种业,2.8,2.84,2.66,2.73,2.73,0.07,2.5641,5.4015,55062714,152063099.0,3030156256.4,2854311899.6
2019-02-25,'600313,农发种业,2.73,2.73,2.61,2.64,2.63,0.1,3.8023,4.0425,41209338,110326206.0,2954402349.99,2782954102.11
2019-02-22,'600313,农发种业,2.63,2.63,2.56,2.59,2.59,0.04,1.5444,2.2349,22782137,59575216.0,2846182483.69,2681014391.41
2019-02-21,'600313,农发种业,2.59,2.68,2.56,2.6,2.66,-0.07,-2.6316,3.9366,40129538,104738988.0,2802894537.17,2640238507.13
2019-02-20,'600313,农发种业,2.66,2.86,2.65,2.75,2.63,0.03,1.1407,6.4766,66022177,180778521.0,2878648443.58,2711596304.62
2019-02-19,'600313,农发种业,2.63,2.68,2.58,2.68,2.69,-0.06,-2.2305,3.6997,37714300,99074424.0,2846182483.69,2681014391.41
2019-02-18,'600313,农发种业,2.69,2.78,2.51,2.52,2.53,0.16,6.3241,4.8679,49623269,129567149.0,2911114403.47,2742178217.83
2019-02-15,'600313,农发种业,2.53,2.61,2.48,2.49,2.5,0.03,1.2,3.3112,33754750,85949498.0,2737962617.39,2579074680.71
2019-02-14,'600313,农发种业,2.5,2.52,2.43,2.45,2.47,0.03,1.2146,2.2347,22780687,56506561.0,2705496657.5,2548492767.5
2019-02-13,'600313,农发种业,2.47,2.49,2.4,2.43,2.43,0.04,1.6461,2.3077,23524650,57362036.0,2673030697.61,2517910854.29
2019-02-12,'600313,农发种业,2.43,2.46,2.4,2.44,2.41,0.02,0.8299,1.7825,18170950,44061875.0,2629742751.09,2477134970.01
2019-02-11,'600313,农发种业,2.41,2.41,2.33,2.34,2.34,0.07,2.9915,1.4419,14698450,34968814.0,2608098777.83,2456747027.87
2019-02-01,'600313,农发种业,2.34,2.35,2.27,2.27,2.26,0.08,3.5398,1.061,10816302,25045248.0,2532344871.42,2385389230.38
2019-01-31,'600313,农发种业,2.26,2.34,2.23,2.32,2.31,-0.05,-2.1645,1.8816,19181300,44061258.0,2445768978.38,2303837461.82
2019-01-30,'600313,农发种业,2.31,2.36,2.3,2.33,2.35,-0.04,-1.7021,1.5671,15974550,37215125.0,2499878911.53,2354807317.17
2019-01-29,'600313,农发种业,2.35,2.43,2.27,2.4,2.43,-0.08,-3.2922,2.7177,27704505,64767755.0,2543166858.05,2395583201.45
2019-01-28,'600313,农发种业,2.43,2.51,2.41,2.46,2.48,-0.05,-2.0161,2.8588,29142602,71606593.0,2629742751.09,2477134970.01
2019-01-25,'600313,农发种业,2.48,2.55,2.46,2.55,2.63,-0.15,-5.7034,5.1286,52280492,130367301.0,2683852684.24,2528104825.36
2019-01-24,'600313,农发种业,2.63,2.81,2.54,2.7,2.61,0.02,0.7663,9.9967,101906353,272308397.0,2846182483.69,2681014391.41
2019-01-23,'600313,农发种业,2.61,2.61,2.35,2.37,2.37,0.24,10.1266,6.1977,63179288,159942693.0,2824538510.43,2660626449.27
2019-01-22,'600313,农发种业,2.37,2.38,2.33,2.34,2.35,0.02,0.8511,1.069,10897600,25658045.0,2564810831.31,2415971143.59
2019-01-21,'600313,农发种业,2.35,2.39,2.34,2.38,2.36,-0.01,-0.4237,0.7049,7185450,16960332.0,2543166858.05,2395583201.45
2019-01-18,'600313,农发种业,2.36,2.4,2.33,2.34,2.34,0.02,0.8547,1.0256,10454675,24724771.0,2553988844.68,2405777172.52
2019-01-17,'600313,农发种业,2.34,2.37,2.32,2.33,2.33,0.01,0.4292,0.9596,9781850,22954488.0,2532344871.42,2385389230.38
2019-01-16,'600313,农发种业,2.33,2.35,2.32,2.34,2.34,-0.01,-0.4274,0.4976,5072687,11825609.0,2521522884.79,2375195259.31
2019-01-15,'600313,农发种业,2.34,2.35,2.31,2.34,2.34,0.0,0.0,0.6313,6434993,15010193.0,2532344871.42,2385389230.38
