日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600251,冠农股份,5.8,6.08,5.77,6.0,6.03,-0.23,-3.8143,1.1796,9258025,54707099.0,4552083646.4,4552083646.4
2019-04-25,'600251,冠农股份,6.03,6.43,6.03,6.25,6.29,-0.26,-4.1335,1.205,9457494,59118016.0,4732597308.24,4732597308.24
2019-04-24,'600251,冠农股份,6.29,6.3,6.06,6.13,6.14,0.15,2.443,1.2094,9491827,58994360.0,4936656230.32,4936656230.32
2019-04-23,'600251,冠农股份,6.14,6.39,6.13,6.36,6.35,-0.21,-3.3071,1.0129,7949666,49553526.0,4818929929.12,4818929929.12
2019-04-22,'600251,冠农股份,6.35,6.55,6.32,6.46,6.45,-0.1,-1.5504,0.9133,7168165,46087120.0,4983746750.8,4983746750.8
2019-04-19,'600251,冠农股份,6.45,6.54,6.36,6.45,6.5,-0.05,-0.7692,1.1704,9185445,59093871.0,5062230951.6,5062230951.6
2019-04-18,'600251,冠农股份,6.5,6.57,6.34,6.35,6.39,0.11,1.7214,1.8768,14729902,95336296.0,5101473052.0,5101473052.0
2019-04-17,'600251,冠农股份,6.39,6.44,6.37,6.39,6.41,-0.02,-0.312,0.9788,7682018,49135776.0,5015140431.12,5015140431.12
2019-04-16,'600251,冠农股份,6.41,6.42,6.21,6.23,6.29,0.12,1.9078,1.1988,9409064,59774820.0,5030837271.28,5030837271.28
2019-04-15,'600251,冠农股份,6.29,6.49,6.29,6.39,6.31,-0.02,-0.317,1.3119,10296707,65690610.0,4936656230.32,4936656230.32
2019-04-12,'600251,冠农股份,6.31,6.33,6.24,6.28,6.29,0.02,0.318,0.8531,6695867,42059659.0,4952353070.48,4952353070.48
2019-04-11,'600251,冠农股份,6.29,6.5,6.28,6.36,6.36,-0.07,-1.1006,1.1498,9024309,57483252.0,4936656230.32,4936656230.32
2019-04-10,'600251,冠农股份,6.36,6.4,6.29,6.3,6.37,-0.01,-0.157,0.892,7000404,44372242.0,4991595170.88,4991595170.88
2019-04-09,'600251,冠农股份,6.37,6.47,6.28,6.41,6.48,-0.11,-1.6975,1.2531,9834876,62619653.0,4999443590.96,4999443590.96
2019-04-08,'600251,冠农股份,6.48,6.55,6.32,6.35,6.34,0.14,2.2082,1.7851,14010414,89755846.0,5085776211.84,5085776211.84
2019-04-04,'600251,冠农股份,6.34,6.44,6.23,6.27,6.27,0.07,1.1164,2.1879,17171814,108853316.0,4975898330.72,4975898330.72
2019-04-03,'600251,冠农股份,6.27,6.27,6.19,6.22,6.23,0.04,0.6421,1.2103,9498626,59247158.0,4920959390.16,4920959390.16
2019-04-02,'600251,冠农股份,6.23,6.34,6.2,6.25,6.24,-0.01,-0.1603,1.409,11058647,69145549.0,4889565709.84,4889565709.84
2019-04-01,'600251,冠农股份,6.24,6.25,6.02,6.12,6.1,0.14,2.2951,1.5002,11774148,72935995.0,4897414129.92,4897414129.92
2019-03-29,'600251,冠农股份,6.1,6.14,5.87,5.93,6.1,0.0,0.0,1.7158,13466371,80783035.0,4787536248.8,4787536248.8
2019-03-28,'600251,冠农股份,6.1,6.68,6.01,6.6,6.34,-0.24,-3.7855,2.598,20390486,129818586.0,4787536248.8,4787536248.8
2019-03-27,'600251,冠农股份,6.34,6.38,5.88,6.06,6.02,0.32,5.3156,1.806,14173868,86762707.0,4975898330.72,4975898330.72
2019-03-26,'600251,冠农股份,6.02,6.29,5.99,6.25,6.27,-0.25,-3.9872,1.3107,10286906,63121437.0,4724748888.16,4724748888.16
2019-03-25,'600251,冠农股份,6.27,6.45,6.03,6.1,6.22,0.05,0.8039,1.7491,13727838,86573594.0,4920959390.16,4920959390.16
