ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2019-04-26,'300533,±ù´¨ÍøÂç,35.35,36.08,35.02,35.11,35.2,0.15,0.4261,2.4491,999513,35409782.83,3579046100.0,1442697306.75
2019-04-25,'300533,±ù´¨ÍøÂç,35.2,37.35,35.0,37.35,37.3,-2.1,-5.63,3.2875,1341690,48754102.4,3563859200.0,1436575536.0
2019-04-24,'300533,±ù´¨ÍøÂç,37.3,37.79,36.2,37.38,37.35,-0.05,-0.1339,3.3169,1353680,50208935.3,3776475800.0,1522280326.5
2019-04-23,'300533,±ù´¨ÍøÂç,37.35,39.0,37.2,39.0,40.31,-2.96,-7.3431,4.8411,1975735,75418575.96,3781538100.0,1524320916.75
2019-04-22,'300533,±ù´¨ÍøÂç,40.31,41.94,39.78,41.6,41.6,-1.29,-3.101,3.5692,1456655,59464720.14,4081226260.0,1645123859.55
2019-04-19,'300533,±ù´¨ÍøÂç,41.6,41.79,40.6,41.5,41.4,0.2,0.4831,4.0472,1651738,67965895.56,4211833600.0,1697771088.0
2019-04-18,'300533,±ù´¨ÍøÂç,41.4,42.4,40.21,40.58,40.76,0.64,1.5702,5.5348,2258848,93470117.53,4191584400.0,1689608727.0
2019-04-17,'300533,±ù´¨ÍøÂç,40.76,41.44,38.5,38.58,38.63,2.13,5.5138,6.1652,2516110,101203444.76,4126786960.0,1663489171.8
2019-04-16,'300533,±ù´¨ÍøÂç,38.63,38.78,36.9,38.05,38.05,0.58,1.5243,2.5505,1040914,39250551.52,3911132980.0,1576560027.15
2019-04-15,'300533,±ù´¨ÍøÂç,38.05,39.18,38.05,38.2,37.9,0.15,0.3958,2.2096,901781,34852164.34,3852410300.0,1552889180.25
2019-04-12,'300533,±ù´¨ÍøÂç,37.9,38.21,37.6,38.03,38.14,-0.24,-0.6293,1.7899,730500,27644962.96,3837223400.0,1546767409.5
2019-04-11,'300533,±ù´¨ÍøÂç,38.14,39.5,38.03,39.12,39.65,-1.51,-3.8083,3.3192,1354643,52219385.23,3861522440.0,1556562242.7
2019-04-10,'300533,±ù´¨ÍøÂç,39.65,40.45,38.61,38.79,38.35,1.3,3.3898,5.4246,2213883,87699721.33,4014403900.0,1618188068.25
2019-04-09,'300533,±ù´¨ÍøÂç,38.35,38.57,37.8,38.38,38.06,0.29,0.762,2.2267,908776,34696473.08,3882784100.0,1565132721.75
2019-04-08,'300533,±ù´¨ÍøÂç,38.06,39.39,37.53,39.2,38.95,-0.89,-2.285,3.0885,1260467,48540643.64,3853422760.0,1553297298.3
2019-04-04,'300533,±ù´¨ÍøÂç,38.95,39.5,38.71,39.19,39.18,-0.23,-0.587,2.7625,1127421,43952554.04,3943531700.0,1589619804.75
2019-04-03,'300533,±ù´¨ÍøÂç,39.18,39.69,38.03,38.36,38.37,0.81,2.111,4.0789,1664692,64962960.51,3966818280.0,1599006519.9
2019-04-02,'300533,±ù´¨ÍøÂç,38.37,38.87,38.05,38.5,38.28,0.09,0.2351,2.8141,1148493,44186115.12,3884809020.0,1565948957.85
2019-04-01,'300533,±ù´¨ÍøÂç,38.28,38.4,37.09,37.09,37.03,1.25,3.3756,2.9375,1198838,45532813.58,3875696880.0,1562275895.4
2019-03-29,'300533,±ù´¨ÍøÂç,37.03,37.06,35.83,36.01,36.01,1.02,2.8325,2.5666,1047482,38324184.4,3749139380.0,1511261139.15
2019-03-28,'300533,±ù´¨ÍøÂç,36.01,37.3,36.01,36.55,36.6,-0.59,-1.612,2.6895,1097634,40347151.56,3645868460.0,1469633098.05
2019-03-27,'300533,±ù´¨ÍøÂç,36.6,37.29,36.36,36.5,36.4,0.2,0.5495,2.197,896624,32961726.61,3705603600.0,1493712063.0
2019-03-26,'300533,±ù´¨ÍøÂç,36.4,39.16,36.4,38.81,38.3,-1.9,-4.9608,3.3587,1370756,51616443.44,3685354400.0,1485549702.0
2019-03-25,'300533,±ù´¨ÍøÂç,38.3,38.99,37.18,37.75,37.97,0.33,0.8691,3.0883,1260409,48248410.38,3877721800.0,1563092131.5
2019-03-22,'300533,±ù´¨ÍøÂç,37.97,39.17,37.3,38.84,38.6,-0.63,-1.6321,3.3121,1351730,51256482.24,3844310620.0,1549624235.85
2019-03-21,'300533,±ù´¨ÍøÂç,38.6,39.28,37.98,37.98,37.66,0.94,2.496,3.9374,1606911,62387782.34,3908095600.0,1575335673.0
2019-03-20,'300533,±ù´¨ÍøÂç,37.66,38.52,37.18,38.15,38.57,-0.91,-2.3593,3.4762,1418711,53578639.58,3812924360.0,1536972576.3
2019-03-19,'300533,±ù´¨ÍøÂç,38.57,39.28,37.69,38.08,38.18,0.39,1.0215,2.9804,1216355,47088226.68,3905058220.0,1574111318.85
2019-03-18,'300533,±ù´¨ÍøÂç,38.18,38.19,36.69,36.97,36.56,1.62,4.4311,2.7124,1106986,41627144.86,3865572280.0,1558194714.9
2019-03-15,'300533,±ù´¨ÍøÂç,36.56,36.93,36.1,36.22,36.07,0.49,1.3585,2.1873,892661,32706503.18,3701553760.0,1492079590.8
2019-03-14,'300533,±ù´¨ÍøÂç,36.07,37.86,35.72,37.3,37.93,-1.86,-4.9038,3.6298,1481389,54154771.65,3651943220.0,1472081806.35
2019-03-13,'300533,±ù´¨ÍøÂç,37.93,39.46,37.36,39.35,39.48,-1.55,-3.926,4.1716,1702500,65690318.2,3840260780.0,1547991763.65
2019-03-12,'300533,±ù´¨ÍøÂç,39.48,40.08,38.35,38.47,38.25,1.23,3.2157,5.5749,2275237,89524472.18,3997192080.0,1611250061.4
2019-03-11,'300533,±ù´¨ÍøÂç,38.25,38.48,36.32,37.45,36.88,1.37,3.7148,4.9274,2010960,75566408.55,3872659500.0,1561051541.25
2019-03-08,'300533,±ù´¨ÍøÂç,36.88,40.47,36.59,37.2,37.78,-0.9,-2.3822,6.3715,2600319,99643769.55,3733952480.0,1505139368.4
2019-03-07,'300533,±ù´¨ÍøÂç,37.78,38.3,36.02,36.42,36.69,1.09,2.9708,4.4257,1806200,67019346.0,3825073880.0,1541869992.9
2019-03-06,'300533,±ù´¨ÍøÂç,36.69,36.83,35.66,36.45,36.68,0.01,0.0273,3.9168,1598500,57953158.02,3714715740.0,1497385125.45
2019-03-05,'300533,±ù´¨ÍøÂç,36.68,36.68,35.01,35.29,35.35,1.33,3.7624,3.4035,1389023,49908734.0,3713703280.0,1496977007.4
2019-03-04,'300533,±ù´¨ÍøÂç,35.35,36.35,34.9,35.11,34.99,0.36,1.0289,4.2396,1730272,61447683.35,3579046100.0,1442697306.75
2019-03-01,'300533,±ù´¨ÍøÂç,34.99,35.11,34.27,34.73,34.56,0.43,1.2442,2.422,988447,34394354.32,3542597540.0,1428005056.95
2019-02-28,'300533,±ù´¨ÍøÂç,34.56,35.22,33.99,34.49,34.28,0.28,0.8168,2.5153,1026545,35548390.13,3499061760.0,1410455980.8
2019-02-27,'300533,±ù´¨ÍøÂç,34.28,34.91,33.85,34.16,34.56,-0.28,-0.8102,2.6527,1082603,37161363.56,3470712880.0,1399028675.4
2019-02-26,'300533,±ù´¨ÍøÂç,34.56,35.33,33.81,34.62,34.55,0.01,0.0289,3.3832,1380733,47665410.46,3499061760.0,1410455980.8
2019-02-25,'300533,±ù´¨ÍøÂç,34.55,35.11,33.02,33.2,32.82,1.73,5.2712,3.589,1464742,49811871.52,3498049300.0,1410047862.75
2019-02-22,'300533,±ù´¨ÍøÂç,32.82,32.88,31.7,31.7,31.94,0.88,2.7552,2.114,862761,28083199.03,3322893720.0,1339443440.1
2019-02-21,'300533,±ù´¨ÍøÂç,31.94,32.56,31.85,31.92,32.1,-0.16,-0.4984,1.7554,716400,23105160.44,3233797240.0,1303529051.7
2019-02-20,'300533,±ù´¨ÍøÂç,32.1,32.25,31.7,32.25,32.02,0.08,0.2498,1.1501,469361,15008571.36,3249996600.0,1310058940.5
2019-02-19,'300533,±ù´¨ÍøÂç,32.02,32.45,31.5,31.9,31.82,0.2,0.6285,1.6818,686381,21927392.82,3241896920.0,1306793996.1
2019-02-18,'300533,±ù´¨ÍøÂç,31.82,32.08,30.81,30.89,30.85,0.97,3.1442,1.9648,801870,25391958.03,3221647720.0,1298631635.1
2019-02-15,'300533,±ù´¨ÍøÂç,30.85,31.19,30.71,30.8,30.99,-0.14,-0.4518,1.0702,436752,13508662.4,3123439100.0,1259044184.25
2019-02-14,'300533,±ù´¨ÍøÂç,30.99,31.2,30.48,30.87,30.58,0.41,1.3407,1.2837,523900,16156822.0,3137613540.0,1264757836.95
2019-02-13,'300533,±ù´¨ÍøÂç,30.58,30.69,30.09,30.09,30.13,0.45,1.4935,0.9818,400700,12215538.4,3096102680.0,1248024996.9
2019-02-12,'300533,±ù´¨ÍøÂç,30.13,30.42,29.71,29.9,29.88,0.25,0.8367,0.8882,362479,10918869.9,3050541980.0,1229659684.65
2019-02-11,'300533,±ù´¨ÍøÂç,29.88,29.96,29.02,29.1,29.0,0.88,3.0345,1.0042,409841,12156227.22,3025230480.0,1219456733.4
2019-02-01,'300533,±ù´¨ÍøÂç,29.0,29.1,28.33,28.48,28.19,0.81,2.8734,0.9211,375913,10845016.67,2936134000.0,1183542345.0
2019-01-31,'300533,±ù´¨ÍøÂç,28.19,29.33,27.56,29.33,29.33,-1.14,-3.8868,1.6146,658944,18778961.93,2854124740.0,1150484782.95
2019-01-30,'300533,±ù´¨ÍøÂç,29.33,29.63,29.18,29.2,29.33,0.0,0.0,0.6303,257247,7573564.63,2969545180.0,1197010240.65
2019-01-29,'300533,±ù´¨ÍøÂç,29.33,30.2,29.23,30.16,30.1,-0.77,-2.5581,0.8926,364279,10784120.53,2969545180.0,1197010240.65
2019-01-28,'300533,±ù´¨ÍøÂç,30.1,31.25,30.0,31.01,30.97,-0.87,-2.8092,1.2303,502100,15353924.0,3047504600.0,1228435330.5
2019-01-25,'300533,±ù´¨ÍøÂç,30.97,31.5,30.92,31.06,31.29,-0.32,-1.0227,0.6315,257744,8008932.12,3135588620.0,1263941600.85
2019-01-24,'300533,±ù´¨ÍøÂç,31.29,31.48,30.93,31.08,31.15,0.14,0.4494,0.6844,279300,8747127.0,3167987340.0,1277001378.45
2019-01-23,'300533,±ù´¨ÍøÂç,31.15,31.29,30.86,31.28,31.28,-0.13,-0.4156,0.5812,237200,7370597.0,3153812900.0,1271287725.75
2019-01-22,'300533,±ù´¨ÍøÂç,31.28,31.76,31.19,31.76,31.6,-0.32,-1.0127,0.7985,325900,10247110.0,3166974880.0,1276593260.4
2019-01-21,'300533,±ù´¨ÍøÂç,31.6,31.95,31.46,31.76,31.76,-0.16,-0.5038,0.8877,362300,11482930.0,3199373600.0,1289653038.0
2019-01-18,'300533,±ù´¨ÍøÂç,31.76,32.09,31.3,31.8,31.89,-0.13,-0.4077,1.1412,465759,14757439.16,3215572960.0,1296182926.8
2019-01-17,'300533,±ù´¨ÍøÂç,31.89,32.66,31.81,32.66,32.48,-0.59,-1.8165,0.9937,405542,13034070.49,3228734940.0,1301488461.45
2019-01-16,'300533,±ù´¨ÍøÂç,32.48,32.61,32.05,32.26,32.09,0.39,1.2153,1.3413,547400,17758856.0,3288470080.0,1325567426.4
2019-01-15,'300533,±ù´¨ÍøÂç,32.09,32.19,31.71,31.8,31.84,0.25,0.7852,0.891,363644,11626889.64,3248984140.0,1309650822.45
2019-01-14,'300533,±ù´¨ÍøÂç,31.84,32.86,31.79,32.8,32.69,-0.85,-2.6002,1.3496,550779,17686330.74,3223672640.0,1299447871.2
2019-01-11,'300533,±ù´¨ÍøÂç,32.69,32.71,31.7,31.92,31.87,0.82,2.573,1.581,645230,20792232.89,3309731740.0,1334137905.45
2019-01-10,'300533,±ù´¨ÍøÂç,31.87,32.75,31.71,32.75,32.37,-0.5,-1.5446,1.2931,527726,17033627.54,3226710020.0,1300672225.35
2019-01-09,'300533,±ù´¨ÍøÂç,32.37,32.87,32.34,32.68,32.68,-0.31,-0.9486,1.7819,727244,23769563.48,3277333020.0,1321078127.85
2019-01-08,'300533,±ù´¨ÍøÂç,32.68,33.02,32.48,33.02,33.02,-0.34,-1.0297,1.3606,555289,18151134.32,3308719280.0,1333729787.4
2019-01-07,'300533,±ù´¨ÍøÂç,33.02,33.55,32.93,33.11,33.08,-0.06,-0.1814,2.1563,880011,29202834.52,3343142920.0,1347605801.1
